#id: 4227584384
#name: H.sapiens - Frontal cortex, SC (Kim,nature,2014)
#score: 28.5
#weight:  100%
#description: abundance based on Spectral counting, Interaction consistency score: 28.5, Coverage: 48
#organ: FRONTAL_CORTEX
#integrated: false
#coverage: 48
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13302.html
#publication_year: 2014
#filename: 9606-Adult_Frontalcortex_Kim_2014_SEQUEST.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4451549	9606.ENSP00000481006	15593	2383
4446738	9606.ENSP00000380958	11493	1586
4433451	9606.ENSP00000229239	11315	2511
4439524	9606.ENSP00000322421	7818	1604
4434183	9606.ENSP00000251595	7818	1604
4440511	9606.ENSP00000333994	7395	2010
4446198	9606.ENSP00000377470	6810	2697
4437548	9606.ENSP00000299198	5799	1805
4438513	9606.ENSP00000309539	4618	2518
4439274	9606.ENSP00000319281	4564	754
4446386	9606.ENSP00000378669	4477	1419
4445428	9606.ENSP00000370010	4068	40
4450595	9606.ENSP00000458162	3843	3349
4441991	9606.ENSP00000349960	3843	3349
4434387	9606.ENSP00000254810	3787	234
4442746	9606.ENSP00000355778	3787	234
4444156	9606.ENSP00000362399	3777	2011
4433145	9606.ENSP00000221166	3573	2774
4450881	9606.ENSP00000468500	3508	1990
4435372	9606.ENSP00000264071	3472	4250
4446501	9606.ENSP00000379386	3434	1149
4449851	9606.ENSP00000438144	3377	721
4439337	9606.ENSP00000320171	3308	1666
4451641	9606.ENSP00000482169	3231	1863
4434854	9606.ENSP00000261313	3200	425
4436586	9606.ENSP00000284440	3054	448
4435583	9606.ENSP00000265333	2979	796
4444160	9606.ENSP00000362413	2949	1109
4437217	9606.ENSP00000295987	2949	1687
4446852	9606.ENSP00000381736	2811	1273
4445365	9606.ENSP00000369654	2795	1192
4433634	9606.ENSP00000234590	2765	1276
4446184	9606.ENSP00000377372	2741	464
4441138	9606.ENSP00000341289	2735	4520
4432855	9606.ENSP00000215095	2710	804
4451621	9606.ENSP00000481878	2637	802
4436571	9606.ENSP00000284240	2622	351
4445375	9606.ENSP00000369703	2618	4091
4442397	9606.ENSP00000353785	2605	353
4445746	9606.ENSP00000372654	2604	225
4440737	9606.ENSP00000336799	2592	4981
4437206	9606.ENSP00000295897	2591	1462
4445700	9606.ENSP00000371958	2497	185
4449041	9606.ENSP00000419425	2481	380
4434056	9606.ENSP00000248437	2476	4418
4444794	9606.ENSP00000366095	2431	557
4435094	9606.ENSP00000262494	2414	923
4434401	9606.ENSP00000254976	2414	510
4446480	9606.ENSP00000379287	2410	738
4437720	9606.ENSP00000301071	2384	4820
4450152	9606.ENSP00000445306	2377	3014
4434727	9606.ENSP00000259818	2360	3993
4444013	9606.ENSP00000361824	2343	5875
4450127	9606.ENSP00000444688	2342	3184
4437056	9606.ENSP00000294117	2186	84
4433361	9606.ENSP00000226253	2175	784
4436362	9606.ENSP00000280187	2076	356
