#id: 3570553296
#name: Homo sapiens - Gall bladder, SC (Kim,nature,2014)
#score: 18.0
#description: abundance based on Spectral counting, Interaction consistency score: 18.0, Coverage: 37
#organ: GALL_BLADDER
#integrated: false
#coverage: 37
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13302.html
#publication_year: 2014
#filename: 9606-Adult_Gallbladder_Kim_2014_SEQUEST.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4437206	9606.ENSP00000295897	22403	7746
4439524	9606.ENSP00000322421	14967	2207
4434183	9606.ENSP00000251595	14967	2207
4440511	9606.ENSP00000333994	13614	2556
4445033	9606.ENSP00000367542	13543	2815
4449622	9606.ENSP00000432282	12282	1731
4442096	9606.ENSP00000351022	10999	2265
4444297	9606.ENSP00000363071	9984	2859
4434059	9606.ENSP00000248553	9410	942
4443409	9606.ENSP00000358866	8783	10916
4446531	9606.ENSP00000379616	8104	9172
4450181	9606.ENSP00000446007	7423	2246
4448813	9606.ENSP00000416066	6884	1628
4448229	9606.ENSP00000402373	6726	6997
4436861	9606.ENSP00000290378	6570	6964
4441808	9606.ENSP00000348170	6547	1620
4447434	9606.ENSP00000386857	6470	6859
4450595	9606.ENSP00000458162	6026	5772
4441991	9606.ENSP00000349960	6026	5772
4434224	9606.ENSP00000252456	5900	777
4437198	9606.ENSP00000295834	5581	320
4442723	9606.ENSP00000355645	5427	6481
4442857	9606.ENSP00000356275	5270	467
4445365	9606.ENSP00000369654	4964	1473
4441938	9606.ENSP00000349541	4696	673
4441502	9606.ENSP00000345230	4638	1544
4438190	9606.ENSP00000306099	4378	1179
4442549	9606.ENSP00000354826	3995	1060
4440740	9606.ENSP00000336829	3729	1110
4434459	9606.ENSP00000256104	3663	254
4442654	9606.ENSP00000355330	3610	1245
4433451	9606.ENSP00000229239	3405	504
4450215	9606.ENSP00000446955	3388	383
4439914	9606.ENSP00000327336	3290	614
4435881	9606.ENSP00000269321	3203	187
4432924	9606.ENSP00000216181	3148	4228
4443076	9606.ENSP00000357283	3067	1256
4438237	9606.ENSP00000306606	3049	832
4434216	9606.ENSP00000252244	3020	1140
4443118	9606.ENSP00000357516	3011	1245
4432629	9606.ENSP00000052754	2981	649
4440919	9606.ENSP00000339063	2976	690
4447279	9606.ENSP00000385834	2931	1319
4441580	9606.ENSP00000346032	2798	618
4433634	9606.ENSP00000234590	2734	677
4433326	9606.ENSP00000225655	2713	281
4444439	9606.ENSP00000363827	2708	4854
4449581	9606.ENSP00000431254	2660	356
4442254	9606.ENSP00000352455	2659	185
4449639	9606.ENSP00000432660	2589	390
4436327	9606.ENSP00000279022	2583	369
4437161	9606.ENSP00000295550	2550	4664
4439901	9606.ENSP00000327145	2543	4110
4442622	9606.ENSP00000355180	2535	1386
4434700	9606.ENSP00000259396	2524	238
4433951	9606.ENSP00000245907	2507	2487
4450866	9606.ENSP00000468057	2506	207
4435725	9606.ENSP00000266718	2489	470
4435898	9606.ENSP00000269576	2487	881
4445428	9606.ENSP00000370010	2482	15
4437672	9606.ENSP00000300527	2422	1053
4438214	9606.ENSP00000306361	2405	1121
4446235	9606.ENSP00000377710	2381	346
4446270	9606.ENSP00000377941	2371	1890
4432848	9606.ENSP00000211998	2330	1515
4439395	9606.ENSP00000320866	2241	317
4439770	9606.ENSP00000325527	2203	3741
4435133	9606.ENSP00000262746	2098	284
