#id: 3308518375
#name: Homo sapiens - Kidney, SC (Kim,nature,2014)
#score: 28.6
#description: abundance based on Spectral counting, Interaction consistency score: 28.6, Coverage: 35
#organ: KIDNEY
#integrated: false
#coverage: 35
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13302.html
#publication_year: 2014
#filename: 9606-Adult_Kidney_Kim_2014_SEQUEST.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4439524	9606.ENSP00000322421	27638	4373
4434183	9606.ENSP00000251595	27638	4373
4440511	9606.ENSP00000333994	23877	5166
4437206	9606.ENSP00000295897	20823	8667
4445365	9606.ENSP00000369654	9501	2891
4433451	9606.ENSP00000229239	6774	1097
4435927	9606.ENSP00000270142	6038	272
4444463	9606.ENSP00000363988	5801	1247
4448813	9606.ENSP00000416066	5463	1457
4434854	9606.ENSP00000261313	5369	509
4449678	9606.ENSP00000433560	5157	482
4437770	9606.ENSP00000301522	4961	575
4443929	9606.ENSP00000361471	4795	1047
4433634	9606.ENSP00000234590	4775	1421
4446501	9606.ENSP00000379386	4557	1110
4445798	9606.ENSP00000373477	4526	526
4450595	9606.ENSP00000458162	4078	2593
4441991	9606.ENSP00000349960	4078	2593
4435133	9606.ENSP00000262746	4047	660
4444869	9606.ENSP00000366525	3981	360
4450194	9606.ENSP00000446252	3734	401
4446582	9606.ENSP00000379895	3694	1120
4449553	9606.ENSP00000430656	3557	619
4436619	9606.ENSP00000285093	3454	681
4434993	9606.ENSP00000262030	3404	1248
4445814	9606.ENSP00000373620	3386	1152
4446837	9606.ENSP00000381607	3175	430
4436127	9606.ENSP00000274353	3108	872
4440308	9606.ENSP00000331897	3026	886
4444160	9606.ENSP00000362413	2968	898
4450308	9606.ENSP00000450436	2965	908
4446852	9606.ENSP00000381736	2948	1004
4433456	9606.ENSP00000229270	2922	660
4444540	9606.ENSP00000364490	2878	907
4440919	9606.ENSP00000339063	2866	997
4434059	9606.ENSP00000248553	2743	407
4449041	9606.ENSP00000419425	2729	333
4450181	9606.ENSP00000446007	2679	1104
4434937	9606.ENSP00000261733	2661	1090
4443119	9606.ENSP00000357535	2590	535
4434216	9606.ENSP00000252244	2569	1331
4444634	9606.ENSP00000364986	2501	280
4439772	9606.ENSP00000325548	2469	793
4439895	9606.ENSP00000327070	2406	626
4436628	9606.ENSP00000285379	2380	435
4437495	9606.ENSP00000298510	2362	397
4448088	9606.ENSP00000399805	2346	484
4439914	9606.ENSP00000327336	2283	505
4442980	9606.ENSP00000356864	2278	139
4435898	9606.ENSP00000269576	2242	978
4435651	9606.ENSP00000265838	2235	593
4447279	9606.ENSP00000385834	2137	1242
4449622	9606.ENSP00000432282	2136	394
4439337	9606.ENSP00000320171	2113	800
4437436	9606.ENSP00000297785	2089	682
4450285	9606.ENSP00000449404	2075	1045
4449581	9606.ENSP00000431254	2072	306
4435671	9606.ENSP00000265983	2042	538
4441580	9606.ENSP00000346032	2016	556
4435583	9606.ENSP00000265333	1998	426
4445799	9606.ENSP00000373487	1986	645
4432982	9606.ENSP00000216780	1972	948
4441216	9606.ENSP00000342026	1953	383
4432936	9606.ENSP00000216254	1945	976
4437319	9606.ENSP00000296658	1928	353
4433153	9606.ENSP00000221418	1915	444
4434700	9606.ENSP00000259396	1899	301
4448472	9606.ENSP00000408025	1875	468
4448989	9606.ENSP00000418770	1837	193
4435245	9606.ENSP00000263368	1822	201
4443625	9606.ENSP00000359871	1814	402
4450343	9606.ENSP00000451112	1806	188
4443780	9606.ENSP00000360671	1805	637
4447101	9606.ENSP00000384296	1768	818
4433668	9606.ENSP00000236850	1763	391
4440740	9606.ENSP00000336829	1721	623
4433675	9606.ENSP00000237014	1703	114
4433993	9606.ENSP00000246662	1689	588
4441808	9606.ENSP00000348170	1678	664
4432924	9606.ENSP00000216181	1669	2564
4437775	9606.ENSP00000301587	1668	197
4435967	9606.ENSP00000271064	1645	426
4442560	9606.ENSP00000354876	1614	144
4437724	9606.ENSP00000301149	1599	383
4434247	9606.ENSP00000252699	1598	1517
4436718	9606.ENSP00000287295	1580	621
4435725	9606.ENSP00000266718	1580	360
4438190	9606.ENSP00000306099	1567	578
4441649	9606.ENSP00000346694	1539	355
4442096	9606.ENSP00000351022	1536	346
4435415	9606.ENSP00000264335	1531	457
4442166	9606.ENSP00000351619	1515	265
4446386	9606.ENSP00000378669	1506	405
4443076	9606.ENSP00000357283	1495	788
4437626	9606.ENSP00000300060	1486	931
4433793	9606.ENSP00000241052	1483	590
4435820	9606.ENSP00000268379	1478	339
4439395	9606.ENSP00000320866	1477	276
4450152	9606.ENSP00000445306	1470	1180
4447270	9606.ENSP00000385763	1468	251
4444380	9606.ENSP00000363500	1467	277
4446480	9606.ENSP00000379287	1461	377
4451107	9606.ENSP00000474560	1447	206
4437198	9606.ENSP00000295834	1435	123
4439922	9606.ENSP00000327453	1434	910
4450150	9606.ENSP00000445175	1425	501
4441169	9606.ENSP00000341625	1416	107
4437277	9606.ENSP00000296424	1415	197
4443872	9606.ENSP00000361140	1412	379
4433021	9606.ENSP00000217426	1408	393
4442485	9606.ENSP00000354532	1402	313
4439526	9606.ENSP00000322439	1398	520
4446571	9606.ENSP00000379845	1391	491
4438237	9606.ENSP00000306606	1385	483
4440915	9606.ENSP00000339001	1379	1233
4434387	9606.ENSP00000254810	1376	150
4442746	9606.ENSP00000355778	1376	150
4437619	9606.ENSP00000300026	1370	193
4436266	9606.ENSP00000277865	1362	768
4448281	9606.ENSP00000403644	1337	432
4443211	9606.ENSP00000357873	1332	313
4436083	9606.ENSP00000273550	1323	189
4443556	9606.ENSP00000359539	1298	335
4443372	9606.ENSP00000358727	1280	206
4447473	9606.ENSP00000387123	1276	376
4436027	9606.ENSP00000272425	1270	187
4443409	9606.ENSP00000358866	1269	2101
4450306	9606.ENSP00000450353	1264	393
4450403	9606.ENSP00000452762	1262	282
4444439	9606.ENSP00000363827	1243	2810
4442961	9606.ENSP00000356790	1242	202
4433407	9606.ENSP00000228318	1242	322
4449851	9606.ENSP00000438144	1238	188
4450617	9606.ENSP00000459451	1234	805
4440237	9606.ENSP00000331209	1230	232
4446397	9606.ENSP00000378743	1229	207
4446258	9606.ENSP00000377833	1228	343
4448229	9606.ENSP00000402373	1225	1558
4447693	9606.ENSP00000391481	1222	336
4442857	9606.ENSP00000356275	1222	144
4436861	9606.ENSP00000290378	1218	1677
4439233	9606.ENSP00000318868	1217	371
4438640	9606.ENSP00000310861	1213	881
4448199	9606.ENSP00000401831	1213	396
4433003	9606.ENSP00000217182	1204	651
4435781	9606.ENSP00000267814	1203	274
4441496	9606.ENSP00000345179	1200	153
4441138	9606.ENSP00000341289	1199	1300
4438861	9606.ENSP00000313432	1196	203
4443964	9606.ENSP00000361635	1180	228
4435111	9606.ENSP00000262613	1159	284
4443752	9606.ENSP00000360522	1155	142
4446508	9606.ENSP00000379438	1152	494
4445033	9606.ENSP00000367542	1143	327
4433951	9606.ENSP00000245907	1139	1446
4451393	9606.ENSP00000479488	1137	238
4449639	9606.ENSP00000432660	1131	173
4450267	9606.ENSP00000448785	1127	146
4437273	9606.ENSP00000296412	1127	229
4447434	9606.ENSP00000386857	1116	1479
4445432	9606.ENSP00000370023	1114	541
4442723	9606.ENSP00000355645	1112	1623
4443642	9606.ENSP00000359991	1109	240
4449616	9606.ENSP00000432083	1103	582
4441668	9606.ENSP00000346921	1099	192
4433130	9606.ENSP00000220764	1098	256
4437376	9606.ENSP00000297185	1082	531
4432796	9606.ENSP00000203407	1077	272
4441634	9606.ENSP00000346550	1072	498
4451863	9606.ENSP00000484592	1063	223
4445546	9606.ENSP00000370808	1062	482
4442467	9606.ENSP00000354468	1062	163
4437945	9606.ENSP00000303222	1058	174
4442284	9606.ENSP00000352706	1057	327
4432704	9606.ENSP00000168216	1055	170
4433665	9606.ENSP00000236671	1055	390
4438214	9606.ENSP00000306361	1053	584
4436562	9606.ENSP00000284031	1051	241
4434056	9606.ENSP00000248437	1050	1100
4438079	9606.ENSP00000304811	1047	405
4447278	9606.ENSP00000385828	1045	198
4449123	9606.ENSP00000420487	1044	709
4435881	9606.ENSP00000269321	1036	83
4440737	9606.ENSP00000336799	1034	1343
4437953	9606.ENSP00000303356	1033	203
4449083	9606.ENSP00000420065	1027	141
4434791	9606.ENSP00000260599	1026	190
4447538	9606.ENSP00000388107	1023	357
4441502	9606.ENSP00000345230	1023	282
4443374	9606.ENSP00000358737	1023	237
4449888	9606.ENSP00000439012	1021	48
4437470	9606.ENSP00000298248	1020	214
4436857	9606.ENSP00000290349	1018	256
4435517	9606.ENSP00000264932	1011	349
4443770	9606.ENSP00000360609	1009	724
4442660	9606.ENSP00000355377	1003	224
4442694	9606.ENSP00000355518	998	221
4446105	9606.ENSP00000376807	993	270
4449091	9606.ENSP00000420168	984	329
4440697	9606.ENSP00000335620	978	329
4449878	9606.ENSP00000438689	969	533
4445297	9606.ENSP00000369314	962	41
4444623	9606.ENSP00000364935	958	164
4437721	9606.ENSP00000301072	956	1270
4444040	9606.ENSP00000361930	952	296
4441378	9606.ENSP00000343924	946	270
4438660	9606.ENSP00000311165	944	80
4446343	9606.ENSP00000378360	936	296
4437661	9606.ENSP00000300289	931	337
4437297	9606.ENSP00000296511	923	234
4433326	9606.ENSP00000225655	922	118
4433923	9606.ENSP00000245206	919	265
4434418	9606.ENSP00000255192	918	390
4444400	9606.ENSP00000363614	911	192
4442801	9606.ENSP00000356042	908	520
4439653	9606.ENSP00000323929	899	960
4443033	9606.ENSP00000357076	899	160
4436015	9606.ENSP00000272317	896	361
4438219	9606.ENSP00000306397	893	121
4433816	9606.ENSP00000242285	893	40
4451404	9606.ENSP00000479606	890	1116
4446196	9606.ENSP00000377446	890	156
4447650	9606.ENSP00000390265	882	294
4435209	9606.ENSP00000263182	881	222
4441742	9606.ENSP00000347665	880	648
4442622	9606.ENSP00000355180	879	571
4436240	9606.ENSP00000276689	876	95
4432913	9606.ENSP00000216121	875	140
4438974	9606.ENSP00000315130	875	210
4442387	9606.ENSP00000353731	875	399
4439742	9606.ENSP00000325136	873	216
4435259	9606.ENSP00000263408	868	338
4445700	9606.ENSP00000371958	868	47
4448366	9606.ENSP00000405573	867	323
4437352	9606.ENSP00000296930	864	115
4434748	9606.ENSP00000260118	861	151
4432813	9606.ENSP00000205402	859	230
4447974	9606.ENSP00000397261	848	402
4436430	9606.ENSP00000281456	846	402
4442507	9606.ENSP00000354632	843	26
4437720	9606.ENSP00000301071	843	1230
4444702	9606.ENSP00000365439	842	243
4443194	9606.ENSP00000357801	842	34
4436927	9606.ENSP00000291670	841	267
4441891	9606.ENSP00000349142	839	159
4439666	9606.ENSP00000324173	839	363
4442353	9606.ENSP00000353408	838	527
4448967	9606.ENSP00000418525	836	440
4433357	9606.ENSP00000226218	834	289
4433327	9606.ENSP00000225665	833	176
4436079	9606.ENSP00000273398	833	353
4449031	9606.ENSP00000419325	830	288
4439955	9606.ENSP00000327801	820	331
4441541	9606.ENSP00000345672	818	197
4446208	9606.ENSP00000377532	818	605
4441512	9606.ENSP00000345347	816	76
4438030	9606.ENSP00000304229	813	40
4444252	9606.ENSP00000362817	813	81
4434307	9606.ENSP00000253413	810	124
4440643	9606.ENSP00000335153	807	692
4437161	9606.ENSP00000295550	806	1837
4446231	9606.ENSP00000377696	804	178
4435604	9606.ENSP00000265431	802	147
4444922	9606.ENSP00000366927	802	268
4435313	9606.ENSP00000263774	800	160
4443160	9606.ENSP00000357709	800	47
4438518	9606.ENSP00000309565	797	28
4435372	9606.ENSP00000264071	794	987
4442941	9606.ENSP00000356671	790	229
4436066	9606.ENSP00000273258	787	41
4450571	9606.ENSP00000457513	787	97
4437909	9606.ENSP00000302896	782	90
4437548	9606.ENSP00000299198	781	182
