#id: 740488517
#name: Homo sapiens - Liver, SC (Kim,nature,2014)
#score: 29.7
#description: abundance based on Spectral counting, Interaction consistency score: 29.7, Coverage: 45
#organ: LIVER
#integrated: false
#coverage: 45
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13302.html
#publication_year: 2014
#filename: 9606-Adult_Liver_Kim_2014_SEQUEST.txt
#
#string_external_id	abundance	raw_spectral_count
9606.ENSP00000333994	10413	3448
9606.ENSP00000322421	9623	1967
9606.ENSP00000251595	9623	1967
9606.ENSP00000295897	7426	4508
9606.ENSP00000402608	6545	8065
9606.ENSP00000306606	6103	3021
9606.ENSP00000295834	6076	607
9606.ENSP00000363988	5546	1549
9606.ENSP00000265512	5113	1729
9606.ENSP00000369654	5039	2285
9606.ENSP00000353720	4866	2770
9606.ENSP00000355315	4791	31
9606.ENSP00000358414	4034	1682
9606.ENSP00000361471	4015	1252
9606.ENSP00000209668	3855	2434
9606.ENSP00000229239	3839	887
9606.ENSP00000379512	3836	372
9606.ENSP00000297785	3762	1655
9606.ENSP00000373620	3749	1683
9606.ENSP00000366525	3591	481
9606.ENSP00000373487	3569	1434
9606.ENSP00000285093	3435	899
9606.ENSP00000261733	3322	1889
9606.ENSP00000270142	3308	241
9606.ENSP00000302620	3276	1243
9606.ENSP00000426083	3263	2058
9606.ENSP00000274353	3212	1188
9606.ENSP00000339063	3062	1294
9606.ENSP00000303356	3056	759
9606.ENSP00000261313	3042	451
9606.ENSP00000446252	2905	422
9606.ENSP00000357535	2829	804
9606.ENSP00000480004	2812	1193
9606.ENSP00000449404	2744	1726
9606.ENSP00000349446	2656	672
9606.ENSP00000458162	2655	2325
9606.ENSP00000349960	2655	2325
9606.ENSP00000335620	2648	1065
9606.ENSP00000420168	2638	1089
9606.ENSP00000320866	2612	724
9606.ENSP00000324173	2575	1446
9606.ENSP00000262746	2572	600
9606.ENSP00000234590	2541	991
9606.ENSP00000327801	2541	1409
9606.ENSP00000441434	2516	424
9606.ENSP00000422607	2458	1595
9606.ENSP00000342026	2418	618
9606.ENSP00000408025	2379	820
9606.ENSP00000300026	2333	447
9606.ENSP00000222002	2292	664
9606.ENSP00000313432	2289	546
9606.ENSP00000378359	2226	597
9606.ENSP00000416066	2209	854
9606.ENSP00000419425	2181	399
9606.ENSP00000385763	2154	549
9606.ENSP00000301522	2139	378
9606.ENSP00000267814	2124	730
9606.ENSP00000277865	2097	1587
9606.ENSP00000364490	2088	918
9606.ENSP00000262030	2058	999
9606.ENSP00000379845	2056	1090
9606.ENSP00000265838	2030	706
9606.ENSP00000390265	2020	824
9606.ENSP00000445175	1971	870
9606.ENSP00000241052	1954	999
9606.ENSP00000309830	1948	79
9606.ENSP00000357873	1925	586
9606.ENSP00000338703	1920	895
9606.ENSP00000341625	1918	216
9606.ENSP00000291670	1914	817
9606.ENSP00000331897	1891	844
9606.ENSP00000363832	1879	1859
9606.ENSP00000381736	1843	935
9606.ENSP00000430656	1841	409
9606.ENSP00000318868	1828	762
9606.ENSP00000299767	1809	1370
9606.ENSP00000369814	1800	859
9606.ENSP00000378360	1740	721
9606.ENSP00000039007	1739	534
9606.ENSP00000359539	1727	652
9606.ENSP00000229270	1716	563
9606.ENSP00000285379	1700	419
9606.ENSP00000220764	1698	557
9606.ENSP00000361287	1678	508
9606.ENSP00000348170	1658	857
9606.ENSP00000259469	1651	67
9606.ENSP00000355995	1633	453
