#id: 2206960764
#name: H.sapiens - Cell line, Nk, SC (Kim,nature,2014)
#score: 32.4
#weight:  100%
#description: abundance based on Spectral counting, NK, Interaction consistency score: 32.4, Coverage: 45
#organ: CELL_LINE
#integrated: false
#coverage: 45
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13302.html
#publication_year: 2014
#filename: 9606-Adult_NKcells_Kim_2014_SEQUEST.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4450595	9606.ENSP00000458162	13755	11313
4441991	9606.ENSP00000349960	13755	11313
4433326	9606.ENSP00000225655	10861	1554
4433451	9606.ENSP00000229239	9281	1927
4433064	9606.ENSP00000219150	7952	1701
4446831	9606.ENSP00000381581	7118	4247
4449041	9606.ENSP00000419425	6599	896
4449639	9606.ENSP00000432660	6161	1065
4442633	9606.ENSP00000355228	5819	119
4434387	9606.ENSP00000254810	5385	812
4442746	9606.ENSP00000355778	5385	812
4450181	9606.ENSP00000446007	5155	2212
4445428	9606.ENSP00000370010	5062	41
4443166	9606.ENSP00000357727	4918	533
4442353	9606.ENSP00000353408	4656	2616
4441649	9606.ENSP00000346694	4650	1140
4446480	9606.ENSP00000379287	4496	1091
4433442	9606.ENSP00000228945	4392	489
4441512	9606.ENSP00000345347	4311	484
4433634	9606.ENSP00000234590	4278	1856
4444658	9606.ENSP00000365147	4242	651
4441634	9606.ENSP00000346550	3729	2098
4440919	9606.ENSP00000339063	3370	1215
4434216	9606.ENSP00000252244	3207	1800
4444985	9606.ENSP00000367220	3196	665
4432924	9606.ENSP00000216181	3118	5671
4433456	9606.ENSP00000229270	2939	862
4448031	9606.ENSP00000398568	2889	1307
4444027	9606.ENSP00000361883	2882	1157
4436066	9606.ENSP00000273258	2845	179
4444796	9606.ENSP00000366109	2799	763
4440440	9606.ENSP00000333277	2762	774
4447238	9606.ENSP00000385479	2762	774
4443269	9606.ENSP00000358154	2762	774
4440154	9606.ENSP00000330074	2608	374
4443164	9606.ENSP00000357722	2601	232
4446837	9606.ENSP00000381607	2547	446
4437176	9606.ENSP00000295685	2488	516
4449412	9606.ENSP00000427687	2471	1040
4435898	9606.ENSP00000269576	2448	1269
4435881	9606.ENSP00000269321	2441	224
4444160	9606.ENSP00000362413	2433	879
4433993	9606.ENSP00000246662	2395	1017
4443409	9606.ENSP00000358866	2394	5349
4438348	9606.ENSP00000307705	2335	779
4446990	9606.ENSP00000383118	2298	320
4445713	9606.ENSP00000372155	2200	511
4444702	9606.ENSP00000365439	2183	706
4434085	9606.ENSP00000249071	2154	446
4439187	9606.ENSP00000318195	2068	693
4446386	9606.ENSP00000378669	2061	665
4434993	9606.ENSP00000262030	2054	995
4447538	9606.ENSP00000388107	2021	813
4446852	9606.ENSP00000381736	1990	837
4434861	9606.ENSP00000261366	1985	974
4447693	9606.ENSP00000391481	1971	738
4432984	9606.ENSP00000216802	1943	357
4444623	9606.ENSP00000364935	1925	470
4439337	9606.ENSP00000320171	1924	917
4437293	9606.ENSP00000296503	1884	251
4435927	9606.ENSP00000270142	1859	123
4440915	9606.ENSP00000339001	1851	1601
4442723	9606.ENSP00000355645	1821	4860
4436861	9606.ENSP00000290378	1820	4884
4433900	9606.ENSP00000244534	1812	688
4444040	9606.ENSP00000361930	1800	591
4449616	9606.ENSP00000432083	1790	1227
4448843	9606.ENSP00000416706	1773	2221
4434707	9606.ENSP00000259469	1739	46
4439035	9606.ENSP00000316029	1737	3528
4440966	9606.ENSP00000339566	1737	693
4443770	9606.ENSP00000360609	1719	1448
4436015	9606.ENSP00000272317	1698	823
4441580	9606.ENSP00000346032	1697	574
4438372	9606.ENSP00000307940	1679	1124
4434247	9606.ENSP00000252699	1678	1862
4435220	9606.ENSP00000263238	1671	616
4447540	9606.ENSP00000388169	1663	411
