#id: 1728042872
#name: Homo sapiens - Retina, SC (Kim,nature,2014)
#score: 26.7
#description: abundance based on Spectral counting, Interaction consistency score: 26.7, Coverage: 54
#organ: RETINA
#integrated: false
#coverage: 54
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13302.html
#publication_year: 2014
#filename: 9606-Adult_Retina_Kim_2014_SEQUEST.txt
#
#string_external_id	abundance	raw_spectral_count
9606.ENSP00000229239	13994	3548
9606.ENSP00000234590	11363	5444
9606.ENSP00000299198	10210	3547
9606.ENSP00000299529	8411	1260
9606.ENSP00000320171	7621	3731
9606.ENSP00000268125	7507	1788
9606.ENSP00000446007	6500	3668
9606.ENSP00000285379	5873	1558
9606.ENSP00000386444	5202	2245
9606.ENSP00000265333	4852	1349
9606.ENSP00000437402	4785	2587
9606.ENSP00000362413	4515	2108
9606.ENSP00000433560	4484	501
9606.ENSP00000291554	4457	1153
9606.ENSP00000482816	4457	1153
9606.ENSP00000481878	4337	1140
9606.ENSP00000295897	4272	2825
9606.ENSP00000229270	4060	1487
9606.ENSP00000261313	4038	628
9606.ENSP00000254810	3944	765
9606.ENSP00000355778	3944	765
9606.ENSP00000226253	3504	1325
9606.ENSP00000361635	3360	790
9606.ENSP00000419425	3278	602
9606.ENSP00000262746	3093	700
9606.ENSP00000322421	2995	704
9606.ENSP00000251595	2995	704
9606.ENSP00000378669	2926	1022
9606.ENSP00000264335	2866	1044
9606.ENSP00000296271	2862	559
9606.ENSP00000468500	2838	1823
9606.ENSP00000381607	2687	557
9606.ENSP00000357429	2657	294
9606.ENSP00000333994	2641	730
9606.ENSP00000309539	2624	1752
9606.ENSP00000232461	2573	1151
9606.ENSP00000341289	2570	4705
9606.ENSP00000359991	2525	785
9606.ENSP00000345347	2517	345
9606.ENSP00000379287	2326	796
9606.ENSP00000264071	2263	4089
9606.ENSP00000307900	2242	610
9606.ENSP00000226193	2228	630
9606.ENSP00000381736	2223	1161
9606.ENSP00000458162	2188	1981
9606.ENSP00000349960	2188	1981
9606.ENSP00000248437	2102	3448
9606.ENSP00000339063	2068	952
9606.ENSP00000270142	2054	199
9606.ENSP00000445175	2045	1056
9606.ENSP00000219599	2039	520
9606.ENSP00000346694	2001	669
9606.ENSP00000252244	1995	1413
9606.ENSP00000418770	1993	355
9606.ENSP00000339001	1983	4002
9606.ENSP00000369703	1980	4017
9606.ENSP00000262030	1971	1095
9606.ENSP00000336799	1968	4032
9606.ENSP00000301071	1951	4170
9606.ENSP00000269576	1918	1166
9606.ENSP00000259818	1903	3980
9606.ENSP00000342026	1859	526
9606.ENSP00000320866	1828	446
9606.ENSP00000296503	1742	283
9606.ENSP00000388107	1741	804
9606.ENSP00000432083	1714	1101
9606.ENSP00000301522	1704	358
9606.ENSP00000391481	1703	718
9606.ENSP00000313199	1691	358
9606.ENSP00000379386	1613	776
9606.ENSP00000480132	1580	1036
9606.ENSP00000324105	1562	1357
9606.ENSP00000456206	1527	2533
9606.ENSP00000301072	1523	3339
9606.ENSP00000329757	1522	64
9606.ENSP00000326042	1502	3493
9606.ENSP00000382982	1502	3493
9606.ENSP00000343690	1498	1290
9606.ENSP00000265113	1485	472
9606.ENSP00000423563	1468	461
9606.ENSP00000272317	1461	815
9606.ENSP00000365439	1460	608
9606.ENSP00000321259	1451	500
9606.ENSP00000335153	1451	1665
9606.ENSP00000247461	1442	705
9606.ENSP00000479794	1432	1838
9606.ENSP00000366956	1432	1838
9606.ENSP00000366974	1432	1838
9606.ENSP00000244537	1432	1838
9606.ENSP00000484789	1432	1838
9606.ENSP00000367034	1432	1838
9606.ENSP00000480960	1432	1838
9606.ENSP00000443017	1432	1838
9606.ENSP00000347168	1432	1838
9606.ENSP00000479461	1432	1838
9606.ENSP00000462667	1432	1838
9606.ENSP00000479106	1432	1838
9606.ENSP00000481486	1432	1838
9606.ENSP00000462355	1432	1838
9606.ENSP00000320295	1430	3061
9606.ENSP00000246662	1408	728
9606.ENSP00000444688	1394	1981
9606.ENSP00000284440	1387	224
9606.ENSP00000416293	1386	389
9606.ENSP00000339566	1383	529
9606.ENSP00000281243	1373	336
9606.ENSP00000318197	1368	3022
9606.ENSP00000371267	1364	531
9606.ENSP00000305260	1358	625
9606.ENSP00000284031	1348	429
9606.ENSP00000438144	1326	312
9606.ENSP00000362329	1326	398
9606.ENSP00000405573	1302	746
9606.ENSP00000258962	1291	289
9606.ENSP00000432660	1258	268
9606.ENSP00000360609	1239	1297
9606.ENSP00000451291	1221	448
9606.ENSP00000332790	1214	668
9606.ENSP00000327070	1209	450
9606.ENSP00000262494	1208	480
9606.ENSP00000318195	1207	528
9606.ENSP00000427687	1204	513
9606.ENSP00000319281	1203	235
9606.ENSP00000355315	1195	6
9606.ENSP00000338481	1174	1168
9606.ENSP00000361824	1160	3102
9606.ENSP00000273258	1159	94
9606.ENSP00000324173	1139	721
9606.ENSP00000325905	1136	147
9606.ENSP00000307705	1129	489
9606.ENSP00000346550	1128	788
9606.ENSP00000376309	1117	364
9606.ENSP00000362820	1108	119
9606.ENSP00000402103	1107	1042
9606.ENSP00000451560	1106	3061
9606.ENSP00000362399	1100	656
9606.ENSP00000399888	1094	80
9606.ENSP00000384193	1093	263
9606.ENSP00000245206	1080	511
9606.ENSP00000373620	1071	553
9606.ENSP00000479606	1051	1883
9606.ENSP00000344504	1047	97
9606.ENSP00000299633	1043	163
9606.ENSP00000297012	1038	751
9606.ENSP00000369320	1037	185
9606.ENSP00000283179	1018	720
9606.ENSP00000478061	1017	221
9606.ENSP00000370808	1017	610
9606.ENSP00000333769	1003	242
9606.ENSP00000360671	1003	580
9606.ENSP00000445306	1002	1530
9606.ENSP00000215909	1001	156
9606.ENSP00000269321	1001	114
9606.ENSP00000303129	999	336
9606.ENSP00000296511	990	367
9606.ENSP00000477527	988	1789
9606.ENSP00000482674	988	1789
9606.ENSP00000358151	988	1789
9606.ENSP00000476136	983	1783
9606.ENSP00000434024	979	749
9606.ENSP00000327054	976	596
9606.ENSP00000216392	974	946
9606.ENSP00000307786	973	125
9606.ENSP00000345771	972	743
9606.ENSP00000417864	963	179
9606.ENSP00000321606	963	913
9606.ENSP00000305995	961	775
9606.ENSP00000228318	961	380
9606.ENSP00000361930	955	460
9606.ENSP00000332706	953	121
9606.ENSP00000352427	945	120
9606.ENSP00000252603	940	214
9606.ENSP00000479284	939	1634
9606.ENSP00000352257	935	507
9606.ENSP00000248572	934	68
9606.ENSP00000237014	925	100
9606.ENSP00000216218	924	221
9606.ENSP00000297258	924	102
9606.ENSP00000385834	920	789
9606.ENSP00000217182	910	636
9606.ENSP00000358865	909	616
9606.ENSP00000375978	904	557
9606.ENSP00000370109	901	394
9606.ENSP00000300026	897	187
9606.ENSP00000244534	894	441
9606.ENSP00000416066	894	365
9606.ENSP00000300289	894	517
9606.ENSP00000362463	887	156
9606.ENSP00000349259	877	2509
9606.ENSP00000310861	876	881
9606.ENSP00000221419	874	410
9606.ENSP00000217971	867	121
9606.ENSP00000375855	865	210
9606.ENSP00000354468	863	215
9606.ENSP00000354111	860	90
9606.ENSP00000356790	859	219
9606.ENSP00000299767	848	627
9606.ENSP00000349168	847	399
9606.ENSP00000254301	845	133
9606.ENSP00000366962	843	1756
9606.ENSP00000321744	843	1756
9606.ENSP00000289316	843	1756
9606.ENSP00000483237	843	1756
9606.ENSP00000445633	843	1756
9606.ENSP00000483903	843	1756
9606.ENSP00000477907	843	1756
9606.ENSP00000348924	843	1756
9606.ENSP00000479169	843	1756
9606.ENSP00000370517	842	557
9606.ENSP00000477310	840	69
9606.ENSP00000366618	839	1733
9606.ENSP00000325548	839	398
9606.ENSP00000345656	839	185
9606.ENSP00000349430	839	1750
9606.ENSP00000273550	833	191
9606.ENSP00000342374	832	85
9606.ENSP00000481622	832	1730
9606.ENSP00000366525	827	127
9606.ENSP00000296930	827	170
9606.ENSP00000463151	826	726
9606.ENSP00000381293	819	822
9606.ENSP00000354346	817	519
9606.ENSP00000338562	805	141
9606.ENSP00000362924	802	356
9606.ENSP00000269848	801	546
9606.ENSP00000216254	798	554
9606.ENSP00000276079	795	342
9606.ENSP00000311538	785	217
9606.ENSP00000445831	785	1757
9606.ENSP00000371393	784	528
9606.ENSP00000401010	781	233
9606.ENSP00000381928	781	59
9606.ENSP00000325376	777	558
9606.ENSP00000370125	775	53
9606.ENSP00000297185	770	530
9606.ENSP00000273398	757	494
9606.ENSP00000261205	757	350
9606.ENSP00000355689	755	212
9606.ENSP00000367992	754	245
9606.ENSP00000216714	753	219
9606.ENSP00000369654	746	334
9606.ENSP00000394071	745	449
9606.ENSP00000446215	744	159
9606.ENSP00000296755	739	1397
9606.ENSP00000248553	736	132
9606.ENSP00000241337	736	286
9606.ENSP00000308405	736	388
9606.ENSP00000296417	736	388
9606.ENSP00000278353	732	188
9606.ENSP00000333326	732	1896
9606.ENSP00000428845	731	194
9606.ENSP00000280326	727	337
9606.ENSP00000388942	725	269
9606.ENSP00000381992	721	305
9606.ENSP00000351777	717	569
9606.ENSP00000329662	716	138
9606.ENSP00000268379	711	266
9606.ENSP00000242285	710	54
9606.ENSP00000306330	699	381
9606.ENSP00000340466	695	537
9606.ENSP00000362271	693	146
9606.ENSP00000265062	692	173
9606.ENSP00000341826	690	381
9606.ENSP00000355228	690	22
9606.ENSP00000281456	685	500
9606.ENSP00000358966	684	451
9606.ENSP00000254976	683	157
9606.ENSP00000296412	683	219
9606.ENSP00000356354	682	125
9606.ENSP00000295688	678	360
9606.ENSP00000358155	677	735
9606.ENSP00000475814	677	735
9606.ENSP00000332194	676	732
9606.ENSP00000337838	671	497
9606.ENSP00000304229	671	54
9606.ENSP00000428895	669	43
9606.ENSP00000304697	666	797
9606.ENSP00000446252	665	121
9606.ENSP00000225655	663	127
9606.ENSP00000301587	659	106
9606.ENSP00000256594	655	240
9606.ENSP00000478828	655	34
9606.ENSP00000338413	654	637
9606.ENSP00000254108	650	191
9606.ENSP00000252699	644	838
9606.ENSP00000377958	640	331
9606.ENSP00000203407	638	247
9606.ENSP00000366999	636	666
9606.ENSP00000480826	636	666
9606.ENSP00000484095	636	666
9606.ENSP00000484841	636	666
9606.ENSP00000482271	636	666
9606.ENSP00000483283	636	666
9606.ENSP00000484658	636	666
9606.ENSP00000484638	636	666
9606.ENSP00000358160	636	666
9606.ENSP00000352252	636	666
9606.ENSP00000361927	631	294
9606.ENSP00000275603	629	277
9606.ENSP00000333277	629	665
9606.ENSP00000385479	629	665
9606.ENSP00000358154	629	665
9606.ENSP00000355759	625	508
9606.ENSP00000429301	625	110
9606.ENSP00000354532	624	219
9606.ENSP00000355657	621	658
9606.ENSP00000278833	620	122
9606.ENSP00000377710	617	176
9606.ENSP00000412189	616	304
9606.ENSP00000288699	611	316
9606.ENSP00000258091	610	343
9606.ENSP00000457513	610	112
9606.ENSP00000227524	608	146
9606.ENSP00000404121	605	459
9606.ENSP00000253413	600	146
9606.ENSP00000309415	600	79
9606.ENSP00000317159	598	148
9606.ENSP00000371594	596	47
9606.ENSP00000349748	593	331
9606.ENSP00000308057	591	39
9606.ENSP00000337060	589	193
9606.ENSP00000359539	588	253
9606.ENSP00000308430	585	55
9606.ENSP00000364945	585	183
9606.ENSP00000346827	584	303
9606.ENSP00000303373	583	702
9606.ENSP00000483842	583	702
9606.ENSP00000355656	583	702
9606.ENSP00000367022	583	716
9606.ENSP00000261366	583	403
9606.ENSP00000351646	581	308
9606.ENSP00000339850	580	308
9606.ENSP00000305556	578	252
9606.ENSP00000276390	572	360
9606.ENSP00000400175	571	167
9606.ENSP00000357189	570	151
9606.ENSP00000342056	570	229
9606.ENSP00000318697	568	1970
9606.ENSP00000239940	567	69
9606.ENSP00000216962	566	634
9606.ENSP00000356864	565	51
9606.ENSP00000385958	563	45
9606.ENSP00000253024	561	295
9606.ENSP00000395535	560	233
9606.ENSP00000369538	560	386
9606.ENSP00000439012	559	40
9606.ENSP00000299300	558	334
9606.ENSP00000357055	557	68
9606.ENSP00000258424	557	113
9606.ENSP00000259469	555	19
9606.ENSP00000463154	555	104
9606.ENSP00000355518	554	213
9606.ENSP00000264932	552	277
9606.ENSP00000404854	552	136
9606.ENSP00000464265	551	696
9606.ENSP00000277865	551	445
9606.ENSP00000353408	551	434
9606.ENSP00000274764	550	1343
9606.ENSP00000368959	550	67
9606.ENSP00000359345	550	119
9606.ENSP00000300413	548	46
9606.ENSP00000341094	546	710
9606.ENSP00000355011	546	213
9606.ENSP00000352627	546	724
9606.ENSP00000351589	546	724
9606.ENSP00000482538	546	724
9606.ENSP00000482431	546	724
9606.ENSP00000352119	546	724
9606.ENSP00000328484	546	724
9606.ENSP00000366679	546	724
9606.ENSP00000355387	545	50
9606.ENSP00000250111	544	145
9606.ENSP00000438553	544	721
9606.ENSP00000286788	542	386
9606.ENSP00000294724	534	1023
9606.ENSP00000464813	534	43
9606.ENSP00000225430	533	44
9606.ENSP00000345848	531	117
9606.ENSP00000356520	526	650
9606.ENSP00000263368	526	88
9606.ENSP00000413436	526	72
9606.ENSP00000451866	525	7
9606.ENSP00000447001	525	66
9606.ENSP00000290299	525	173
9606.ENSP00000261735	524	117
9606.ENSP00000225665	523	175
9606.ENSP00000265462	523	143
9606.ENSP00000349142	521	143
9606.ENSP00000327801	519	298
9606.ENSP00000217426	519	216
9606.ENSP00000361883	516	283
9606.ENSP00000354876	514	66
9606.ENSP00000463393	513	114
9606.ENSP00000362744	513	129
9606.ENSP00000329797	513	178
9606.ENSP00000400433	512	202
9606.ENSP00000216200	510	70
9606.ENSP00000468057	510	66
9606.ENSP00000302961	508	526
9606.ENSP00000215567	506	129
9606.ENSP00000354632	505	23
9606.ENSP00000479861	504	201
9606.ENSP00000371798	504	257
9606.ENSP00000309431	503	2283
9606.ENSP00000290401	502	172
9606.ENSP00000376276	501	69
9606.ENSP00000233893	500	72
9606.ENSP00000337040	500	114
9606.ENSP00000278572	499	159
9606.ENSP00000265073	498	60
9606.ENSP00000383118	498	91
9606.ENSP00000312625	497	253
9606.ENSP00000354490	497	1119
9606.ENSP00000265866	496	136
9606.ENSP00000172229	496	128
9606.ENSP00000291568	496	47
9606.ENSP00000263233	495	114
9606.ENSP00000392709	495	372
9606.ENSP00000481006	494	81
9606.ENSP00000262428	492	64
9606.ENSP00000357535	488	156
9606.ENSP00000370745	488	351
9606.ENSP00000216038	486	214
9606.ENSP00000331901	486	212
9606.ENSP00000309334	485	63
9606.ENSP00000276689	485	84
9606.ENSP00000348965	484	2520
9606.ENSP00000363745	483	337
9606.ENSP00000381216	483	262
9606.ENSP00000466134	482	213
9606.ENSP00000484060	482	185
