#id: 3134016530
#name: Homo sapiens - Urinary bladder, SC (Kim,nature,2014)
#score: 25.7
#description: abundance based on Spectral counting, Interaction consistency score: 25.7, Coverage: 42
#organ: URINARY_BLADDER
#integrated: false
#coverage: 42
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13302.html
#publication_year: 2014
#filename: 9606-Adult_Urinarybladder_Kim_2014_SEQUEST.txt
#
#string_external_id	abundance	raw_spectral_count
9606.ENSP00000295897	28830	13676
9606.ENSP00000432282	23621	4780
9606.ENSP00000252456	17881	3282
9606.ENSP00000363071	17751	6709
9606.ENSP00000402373	14515	17971
9606.ENSP00000290378	14130	17821
9606.ENSP00000356275	13991	1681
9606.ENSP00000386857	13799	17352
9606.ENSP00000379616	12755	19386
9606.ENSP00000355645	11738	16234
9606.ENSP00000367542	11580	3073
9606.ENSP00000229239	9165	1723
9606.ENSP00000358866	9100	16511
9606.ENSP00000351022	8077	2156
9606.ENSP00000458162	7957	11133
9606.ENSP00000349960	7957	11133
9606.ENSP00000416066	7660	2459
9606.ENSP00000333994	6566	1472
9606.ENSP00000354826	6374	2274
9606.ENSP00000322421	6038	1096
9606.ENSP00000251595	6038	1096
9606.ENSP00000248553	5950	975
9606.ENSP00000252244	5709	2974
9606.ENSP00000299198	4704	1249
9606.ENSP00000377941	4128	4421
9606.ENSP00000225655	4106	580
9606.ENSP00000269576	4016	1966
9606.ENSP00000301653	3699	1902
9606.ENSP00000052754	3634	1194
9606.ENSP00000355180	3595	2648
9606.ENSP00000246662	3529	1282
9606.ENSP00000211998	3445	2985
9606.ENSP00000327145	3350	7705
9606.ENSP00000266718	3341	989
9606.ENSP00000279022	3330	712
9606.ENSP00000339191	3156	482
9606.ENSP00000419425	3085	519
9606.ENSP00000385834	2966	1966
9606.ENSP00000446007	2935	1696
9606.ENSP00000345230	2911	1466
9606.ENSP00000379678	2910	1514
9606.ENSP00000234590	2802	1030
9606.ENSP00000167586	2770	1586
9606.ENSP00000336775	2767	3304
9606.ENSP00000377710	2752	596
9606.ENSP00000349541	2686	585
9606.ENSP00000446955	2686	475
9606.ENSP00000215909	2618	337
9606.ENSP00000348099	2531	766
9606.ENSP00000362924	2479	948
9606.ENSP00000316029	2474	4415
9606.ENSP00000482472	2385	851
9606.ENSP00000378669	2369	666
9606.ENSP00000363827	2343	6059
9606.ENSP00000295550	2332	5828
9606.ENSP00000369654	2322	809
9606.ENSP00000300527	2303	1498
9606.ENSP00000346550	2187	1143
9606.ENSP00000262746	2094	383
9606.ENSP00000262551	2032	529
9606.ENSP00000427687	2026	750
9606.ENSP00000381607	2019	319
9606.ENSP00000379386	2015	665
9606.ENSP00000346032	2014	652
9606.ENSP00000312326	1958	1043
9606.ENSP00000261313	1942	224
9606.ENSP00000245907	1924	2660
9606.ENSP00000306099	1898	729
9606.ENSP00000355330	1867	914
9606.ENSP00000252699	1858	2371
9606.ENSP00000265983	1852	621
9606.ENSP00000343924	1847	645
9606.ENSP00000336829	1831	770
9606.ENSP00000246069	1770	396
9606.ENSP00000379287	1766	489
9606.ENSP00000355315	1764	7
9606.ENSP00000339063	1763	573
9606.ENSP00000346839	1754	2458
9606.ENSP00000320171	1730	758
9606.ENSP00000432660	1728	317
9606.ENSP00000229270	1706	460
9606.ENSP00000345347	1702	161
9606.ENSP00000416706	1694	4660
9606.ENSP00000362413	1676	549
9606.ENSP00000357516	1674	1051
9606.ENSP00000388325	1649	2403
9606.ENSP00000320866	1645	347
9606.ENSP00000263277	1629	682
9606.ENSP00000225964	1603	1723
9606.ENSP00000388107	1591	600
9606.ENSP00000348170	1584	606
9606.ENSP00000246792	1554	353
9606.ENSP00000327336	1525	416
9606.ENSP00000323929	1511	1943
9606.ENSP00000269321	1502	144
9606.ENSP00000431254	1472	276
9606.ENSP00000438144	1450	262
9606.ENSP00000357283	1448	790
9606.ENSP00000297848	1437	1816
9606.ENSP00000310861	1409	1424
9606.ENSP00000264335	1400	386
9606.ENSP00000357801	1387	57
9606.ENSP00000306361	1386	944
9606.ENSP00000468057	1364	150
9606.ENSP00000391481	1355	453
9606.ENSP00000258341	1354	1521
9606.ENSP00000254810	1350	212
9606.ENSP00000355778	1350	212
9606.ENSP00000433560	1350	176
9606.ENSP00000357709	1330	118
9606.ENSP00000272317	1313	601
9606.ENSP00000445175	1303	552
9606.ENSP00000366525	1293	147
9606.ENSP00000371554	1285	183
9606.ENSP00000273258	1270	95
9606.ENSP00000331544	1268	602
9606.ENSP00000342858	1255	698
9606.ENSP00000308452	1251	856
9606.ENSP00000358921	1229	679
9606.ENSP00000254301	1203	160
9606.ENSP00000270142	1182	84
9606.ENSP00000354612	1182	475
9606.ENSP00000354468	1180	236
9606.ENSP00000367154	1177	224
9606.ENSP00000296412	1175	327
9606.ENSP00000405573	1164	557
9606.ENSP00000418770	1157	170
9606.ENSP00000379975	1157	336
9606.ENSP00000359991	1147	300
9606.ENSP00000342026	1114	250
9606.ENSP00000356257	1103	358
9606.ENSP00000343690	1100	620
9606.ENSP00000363500	1093	225
9606.ENSP00000263645	1091	111
9606.ENSP00000259396	1081	181
9606.ENSP00000262030	1071	458
9606.ENSP00000357727	1069	111
9606.ENSP00000323856	1060	4653
9606.ENSP00000378957	1060	147
9606.ENSP00000401010	1052	242
9606.ENSP00000449404	1040	1160
9606.ENSP00000334008	1028	299
9606.ENSP00000369677	1028	719
9606.ENSP00000439189	1026	4206
9606.ENSP00000296511	1025	315
9606.ENSP00000171887	1022	1187
9606.ENSP00000217652	1020	426
9606.ENSP00000463559	1020	426
9606.ENSP00000376793	1014	712
9606.ENSP00000450540	1014	712
9606.ENSP00000324422	1005	352
9606.ENSP00000379350	999	582
9606.ENSP00000369317	999	1618
9606.ENSP00000264187	999	847
9606.ENSP00000252250	991	1630
9606.ENSP00000216181	991	2877
9606.ENSP00000252252	987	1570
9606.ENSP00000366927	973	294
9606.ENSP00000306015	973	801
9606.ENSP00000309830	965	29
9606.ENSP00000339001	962	1176
9606.ENSP00000252242	951	1174
9606.ENSP00000421725	942	353
9606.ENSP00000446252	939	136
9606.ENSP00000291568	933	63
9606.ENSP00000425556	924	755
9606.ENSP00000484398	922	662
9606.ENSP00000236850	918	262
9606.ENSP00000307786	918	81
9606.ENSP00000367263	913	4392
9606.ENSP00000263368	912	127
9606.ENSP00000353408	906	515
9606.ENSP00000300026	905	166
9606.ENSP00000247461	904	337
9606.ENSP00000357722	901	97
9606.ENSP00000284440	892	122
9606.ENSP00000304229	888	57
9606.ENSP00000301522	886	185
9606.ENSP00000256104	885	100
9606.ENSP00000306606	878	424
9606.ENSP00000366109	873	210
9606.ENSP00000336799	873	1493
9606.ENSP00000297268	870	979
9606.ENSP00000371958	867	79
9606.ENSP00000327070	859	253
9606.ENSP00000381736	855	383
9606.ENSP00000216962	846	685
9606.ENSP00000256594	846	225
9606.ENSP00000375649	835	99
9606.ENSP00000259469	831	24
9606.ENSP00000355124	830	679
9606.ENSP00000360609	827	577
9606.ENSP00000301071	824	1475
9606.ENSP00000273550	821	154
9606.ENSP00000237014	810	78
9606.ENSP00000371267	805	266
9606.ENSP00000378332	795	232
9606.ENSP00000370517	794	429
9606.ENSP00000360293	792	736
9606.ENSP00000264036	780	395
9606.ENSP00000352455	777	88
9606.ENSP00000297258	776	82
9606.ENSP00000293379	770	533
9606.ENSP00000301072	761	1366
9606.ENSP00000383003	760	47
9606.ENSP00000385958	753	45
9606.ENSP00000347872	752	179
9606.ENSP00000341289	745	1155
9606.ENSP00000346694	744	204
9606.ENSP00000394496	738	274
9606.ENSP00000432083	733	496
9606.ENSP00000250378	730	181
9606.ENSP00000255040	726	115
9606.ENSP00000298159	726	181
9606.ENSP00000271638	726	62
9606.ENSP00000284770	721	182
9606.ENSP00000353452	717	932
9606.ENSP00000324173	717	369
9606.ENSP00000373620	716	311
9606.ENSP00000397261	707	371
9606.ENSP00000248437	702	1208
9606.ENSP00000350937	701	267
9606.ENSP00000305675	696	193
9606.ENSP00000216218	693	116
9606.ENSP00000329243	678	769
9606.ENSP00000290349	674	203
9606.ENSP00000327801	670	286
9606.ENSP00000361635	668	151
9606.ENSP00000477310	665	68
9606.ENSP00000358723	664	134
9606.ENSP00000228318	663	212
9606.ENSP00000368959	655	64
9606.ENSP00000354947	648	146
9606.ENSP00000416330	646	345
9606.ENSP00000364802	641	765
9606.ENSP00000364801	641	765
9606.ENSP00000428895	640	34
9606.ENSP00000326042	634	1243
9606.ENSP00000382982	634	1243
9606.ENSP00000464813	630	41
9606.ENSP00000264870	628	364
9606.ENSP00000390265	627	210
9606.ENSP00000383118	626	92
9606.ENSP00000335153	625	571
9606.ENSP00000230538	618	896
9606.ENSP00000343577	616	323
9606.ENSP00000478828	613	27
9606.ENSP00000316176	609	81
9606.ENSP00000344504	607	45
9606.ENSP00000362463	603	88
9606.ENSP00000326888	602	298
9606.ENSP00000217971	601	67
9606.ENSP00000296046	597	259
9606.ENSP00000356399	596	567
9606.ENSP00000373477	595	95
9606.ENSP00000362271	594	100
9606.ENSP00000331897	590	202
9606.ENSP00000367220	589	134
9606.ENSP00000304697	586	590
9606.ENSP00000470972	583	67
9606.ENSP00000400175	582	133
9606.ENSP00000482743	580	323
9606.ENSP00000302896	577	72
9606.ENSP00000321259	577	159
9606.ENSP00000481878	576	168
9606.ENSP00000353590	576	2399
9606.ENSP00000406773	572	45
9606.ENSP00000393241	565	65
9606.ENSP00000344674	563	143
9606.ENSP00000356042	563	392
9606.ENSP00000265333	561	147
9606.ENSP00000363641	558	64
9606.ENSP00000362308	557	49
9606.ENSP00000309539	556	301
9606.ENSP00000264071	556	988
9606.ENSP00000376297	556	61
9606.ENSP00000278572	555	138
9606.ENSP00000417185	554	165
9606.ENSP00000309334	549	57
9606.ENSP00000216254	547	313
9606.ENSP00000361930	546	252
9606.ENSP00000268379	545	153
9606.ENSP00000434516	543	263
9606.ENSP00000286713	539	140
9606.ENSP00000325527	537	1487
9606.ENSP00000312999	537	188
9606.ENSP00000357076	536	130
9606.ENSP00000356791	535	58
