#id: 1607688166
#name: H.sapiens - Cell line (Integrated)
#score: 37.9
#description: integrated dataset: weighted average of all H.sapiens CELL_LINE, Interaction consistency score: 37.9, Coverage: 94
#organ: CELL_LINE
#integrated: true
#coverage: 94
#publication_year: 2022
#filename: 9606-CELL_LINE-integrated.txt
#
#internal_id	string_external_id	abundance
4445428	9606.ENSP00000370010	7474
4433451	9606.ENSP00000229239	7137
4442650	9606.ENSP00000355315	5437
4449041	9606.ENSP00000419425	5216
4433634	9606.ENSP00000234590	5114
4450181	9606.ENSP00000446007	4934
4440919	9606.ENSP00000339063	4531
4450595	9606.ENSP00000458162	4464
4435133	9606.ENSP00000262746	4461
4439337	9606.ENSP00000320171	4164
4443770	9606.ENSP00000360609	4090
4433326	9606.ENSP00000225655	4081
4441649	9606.ENSP00000346694	4028
4449616	9606.ENSP00000432083	3915
4433456	9606.ENSP00000229270	3826
4445814	9606.ENSP00000373620	3435
4441580	9606.ENSP00000346032	3301
4449639	9606.ENSP00000432660	3076
4441991	9606.ENSP00000349960	2952
4438372	9606.ENSP00000307940	2850
4437619	9606.ENSP00000300026	2833
4446501	9606.ENSP00000379386	2803
4445799	9606.ENSP00000373487	2764
4446386	9606.ENSP00000378669	2672
4439395	9606.ENSP00000320866	2559
4446480	9606.ENSP00000379287	2484
4441512	9606.ENSP00000345347	2481
4432924	9606.ENSP00000216181	2368
4444160	9606.ENSP00000362413	2367
4440643	9606.ENSP00000335153	2284
4439666	9606.ENSP00000324173	2218
4439523	9606.ENSP00000322419	2192
4447693	9606.ENSP00000391481	2179
4435108	9606.ENSP00000262584	2082
4433608	9606.ENSP00000233893	2009
4432889	9606.ENSP00000215909	1986
4437721	9606.ENSP00000301072	1983
4437352	9606.ENSP00000296930	1909
4443409	9606.ENSP00000358866	1906
4440720	9606.ENSP00000336702	1830
4439187	9606.ENSP00000318195	1827
4434993	9606.ENSP00000262030	1827
4450191	9606.ENSP00000446215	1825
4444702	9606.ENSP00000365439	1786
4441190	9606.ENSP00000341826	1761
4440915	9606.ENSP00000339001	1760
4437604	9606.ENSP00000299767	1753
4433901	9606.ENSP00000244537	1753
4442353	9606.ENSP00000353408	1752
4444948	9606.ENSP00000367034	1740
4448994	9606.ENSP00000418868	1732
4444232	9606.ENSP00000362744	1712
4443033	9606.ENSP00000357076	1703
4450976	9606.ENSP00000470972	1687
4434727	9606.ENSP00000259818	1674
4438061	9606.ENSP00000304592	1657
4437661	9606.ENSP00000300289	1654
4450150	9606.ENSP00000445175	1650
4447293	9606.ENSP00000385958	1609
4437376	9606.ENSP00000297185	1596
4441138	9606.ENSP00000341289	1595
4446837	9606.ENSP00000381607	1563
4441576	9606.ENSP00000346001	1549
4436015	9606.ENSP00000272317	1545
4443502	9606.ENSP00000359345	1544
4435415	9606.ENSP00000264335	1541
4438689	9606.ENSP00000311430	1524
4442534	9606.ENSP00000354739	1521
4434059	9606.ENSP00000248553	1515
4432873	9606.ENSP00000215754	1501
4449502	9606.ENSP00000429374	1484
4436296	9606.ENSP00000278572	1476
4437038	9606.ENSP00000293831	1475
4444931	9606.ENSP00000366956	1465
4444934	9606.ENSP00000366974	1465
4450064	9606.ENSP00000443017	1465
4444796	9606.ENSP00000366109	1451
4434387	9606.ENSP00000254810	1448
4439955	9606.ENSP00000327801	1437
4442746	9606.ENSP00000355778	1419
4438368	9606.ENSP00000307889	1405
4446852	9606.ENSP00000381736	1400
4440923	9606.ENSP00000339095	1397
4438030	9606.ENSP00000304229	1393
4439472	9606.ENSP00000321744	1375
4441583	9606.ENSP00000346050	1363
4448949	9606.ENSP00000418082	1361
4434247	9606.ENSP00000252699	1359
4449378	9606.ENSP00000426909	1351
4443642	9606.ENSP00000359991	1350
4448260	9606.ENSP00000403172	1347
4441582	9606.ENSP00000346046	1344
4450285	9606.ENSP00000449404	1343
4442186	9606.ENSP00000351777	1327
4434174	9606.ENSP00000251453	1315
4448829	9606.ENSP00000416429	1312
4439758	9606.ENSP00000325376	1307
4436526	9606.ENSP00000283179	1293
4435550	9606.ENSP00000265073	1291
4441585	9606.ENSP00000346067	1284
4450720	9606.ENSP00000463784	1278
4448989	9606.ENSP00000418770	1276
4435953	9606.ENSP00000270625	1269
4435927	9606.ENSP00000270142	1264
4443076	9606.ENSP00000357283	1261
4439895	9606.ENSP00000327070	1244
4451366	9606.ENSP00000479169	1243
4435881	9606.ENSP00000269321	1237
4441578	9606.ENSP00000346015	1230
4440987	9606.ENSP00000339795	1229
4443861	9606.ENSP00000361076	1225
4441216	9606.ENSP00000342026	1210
