#id: 4290589278
#name: Homo sapiens - Cerebral cortex (Integrated)
#score: 27.7
#coverage: 60
#description: integrated dataset: weighted average of all Homo sapiens CEREBRAL_CORTEX: 27.7, Coverage: 60
#organ: CEREBRAL_CORTEX
#integrated: true
#weights: PXD016999_Jiang_Cell_2020_Brain_Cortex-ppm:0.649;cerebral_cortex_Wilhelm_2014_Maxquant:0.286;PXD020296_Ping_Sci_Data_2020_human_cortex_10control:0.065;
#publication_year: 2023
#filename: 9606-CEREBRAL_CORTEX-integrated.txt
#
#string_external_id	abundance
9606.ENSP00000370010	27084
9606.ENSP00000333994	18351
9606.ENSP00000251595	18115
9606.ENSP00000322421	17925
9606.ENSP00000295897	16019
9606.ENSP00000233143	7241
9606.ENSP00000361824	6884
9606.ENSP00000369654	6265
9606.ENSP00000349259	6229
9606.ENSP00000362399	5383
9606.ENSP00000353508	4887
9606.ENSP00000229239	4713
9606.ENSP00000270142	4597
9606.ENSP00000296755	4564
9606.ENSP00000349588	4437
9606.ENSP00000380958	4414
9606.ENSP00000221166	4365
9606.ENSP00000348965	3843
9606.ENSP00000377470	3813
9606.ENSP00000323856	3728
9606.ENSP00000468500	3694
9606.ENSP00000295987	3651
9606.ENSP00000309539	3569
9606.ENSP00000300231	3546
9606.ENSP00000319281	3346
9606.ENSP00000234590	3272
9606.ENSP00000307093	2987
9606.ENSP00000320171	2958
9606.ENSP00000301522	2921
9606.ENSP00000446007	2915
9606.ENSP00000479606	2870
9606.ENSP00000261313	2745
9606.ENSP00000445306	2683
9606.ENSP00000236850	2590
9606.ENSP00000377372	2558
9606.ENSP00000480132	2545
9606.ENSP00000264335	2542
9606.ENSP00000447006	2521
9606.ENSP00000444688	2431
9606.ENSP00000296452	2411
9606.ENSP00000284440	2407
9606.ENSP00000343158	2384
9606.ENSP00000418770	2237
9606.ENSP00000381293	2174
9606.ENSP00000419425	2146
9606.ENSP00000362413	2142
9606.ENSP00000340820	2126
9606.ENSP00000385834	2120
9606.ENSP00000354490	2090
9606.ENSP00000484060	2068
9606.ENSP00000299198	2027
9606.ENSP00000458162	2017
9606.ENSP00000402103	1999
9606.ENSP00000362014	1991
9606.ENSP00000349960	1990
9606.ENSP00000215095	1951
9606.ENSP00000229270	1929
9606.ENSP00000278379	1925
9606.ENSP00000382177	1873
9606.ENSP00000379287	1823
9606.ENSP00000416066	1783
9606.ENSP00000381736	1732
9606.ENSP00000437402	1681
9606.ENSP00000358865	1680
9606.ENSP00000273398	1636
9606.ENSP00000432083	1621
9606.ENSP00000467141	1595
9606.ENSP00000368314	1593
9606.ENSP00000262494	1584
9606.ENSP00000264436	1582
9606.ENSP00000262746	1565
9606.ENSP00000379386	1541
9606.ENSP00000391481	1521
9606.ENSP00000430656	1520
9606.ENSP00000254976	1485
9606.ENSP00000378669	1481
9606.ENSP00000356646	1452
9606.ENSP00000269321	1416
9606.ENSP00000432568	1411
9606.ENSP00000381607	1408
9606.ENSP00000348602	1400
9606.ENSP00000359077	1381
9606.ENSP00000405573	1356
9606.ENSP00000377047	1342
9606.ENSP00000438144	1334
9606.ENSP00000344786	1329
9606.ENSP00000394071	1326
9606.ENSP00000379704	1321
9606.ENSP00000358211	1318
9606.ENSP00000384537	1284
9606.ENSP00000237014	1273
9606.ENSP00000321606	1271
9606.ENSP00000337168	1261
9606.ENSP00000432282	1259
9606.ENSP00000432660	1254
9606.ENSP00000339063	1244
9606.ENSP00000354573	1237
9606.ENSP00000453508	1237
9606.ENSP00000284031	1234
9606.ENSP00000342026	1224
9606.ENSP00000362924	1217
9606.ENSP00000222812	1200
9606.ENSP00000393887	1175
9606.ENSP00000356790	1172
9606.ENSP00000263368	1168
