#id: 324803288
#name: Homo sapiens - Esophagus (Integrated)
#score: 30.8
#coverage: 65
#description: integrated dataset: weighted average of all Homo sapiens ESOPHAGUS: 30.8, Coverage: 65
#organ: ESOPHAGUS
#integrated: true
#weights: Adult_Esophagus_Kim_2014_SEQUEST:0.217;PXD016999_Jiang_Cell_2020_Esophagus_GastroesophagealJunction-ppm:0.174;esophagus_Wilhelm_2014_Maxquant:0.167;PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Esophagus:0.167;PXD016999_Jiang_Cell_2020_Esophagus_Muscularis-ppm:0.146;PXD016999_Jiang_Cell_2020_Esophagus_Mucosa-ppm:0.13;
#publication_year: 2023
#filename: 9606-ESOPHAGUS-integrated.txt
#
#string_external_id	abundance
9606.ENSP00000295897	24091
9606.ENSP00000379616	19382
9606.ENSP00000333994	16557
9606.ENSP00000358866	14428
9606.ENSP00000432282	12223
9606.ENSP00000363071	9264
9606.ENSP00000246635	8632
9606.ENSP00000351022	8580
9606.ENSP00000370010	8198
9606.ENSP00000367263	7006
9606.ENSP00000458162	6636
9606.ENSP00000251595	6479
9606.ENSP00000322421	5908
9606.ENSP00000448220	5630
9606.ENSP00000367542	5492
9606.ENSP00000229239	5382
9606.ENSP00000446007	5379
9606.ENSP00000416066	4862
9606.ENSP00000295550	4676
9606.ENSP00000252242	4513
9606.ENSP00000290378	4470
9606.ENSP00000248553	4393
9606.ENSP00000446955	4357
9606.ENSP00000327145	4175
9606.ENSP00000211998	4160
9606.ENSP00000366109	4020
9606.ENSP00000354826	3915
9606.ENSP00000279022	3723
9606.ENSP00000369654	3667
9606.ENSP00000336775	3656
9606.ENSP00000385834	3634
9606.ENSP00000356275	3581
9606.ENSP00000330391	3404
9606.ENSP00000252456	3231
9606.ENSP00000323856	3015
9606.ENSP00000467141	2971
9606.ENSP00000316029	2963
9606.ENSP00000234590	2918
9606.ENSP00000225655	2884
9606.ENSP00000346032	2857
9606.ENSP00000378669	2728
9606.ENSP00000377710	2715
9606.ENSP00000320171	2588
9606.ENSP00000299198	2581
9606.ENSP00000369129	2528
9606.ENSP00000266718	2506
9606.ENSP00000236850	2501
9606.ENSP00000377941	2469
9606.ENSP00000353452	2402
9606.ENSP00000291568	2374
9606.ENSP00000340989	2322
9606.ENSP00000419425	2316
9606.ENSP00000357283	2282
9606.ENSP00000346550	2276
9606.ENSP00000245907	2185
9606.ENSP00000363827	2171
9606.ENSP00000215909	2137
9606.ENSP00000357727	2128
9606.ENSP00000355180	2113
9606.ENSP00000336829	2065
9606.ENSP00000345230	2032
9606.ENSP00000262746	2006
9606.ENSP00000297258	1984
9606.ENSP00000357722	1978
9606.ENSP00000325527	1973
9606.ENSP00000354923	1972
9606.ENSP00000379287	1963
9606.ENSP00000306361	1962
9606.ENSP00000052754	1950
9606.ENSP00000362413	1936
9606.ENSP00000306099	1851
9606.ENSP00000300527	1842
9606.ENSP00000306015	1786
9606.ENSP00000216181	1776
9606.ENSP00000402373	1771
9606.ENSP00000355645	1730
9606.ENSP00000362924	1689
9606.ENSP00000357516	1671
9606.ENSP00000252250	1660
9606.ENSP00000482472	1650
9606.ENSP00000340510	1637
9606.ENSP00000347507	1605
9606.ENSP00000348170	1582
9606.ENSP00000349960	1572
9606.ENSP00000221476	1541
9606.ENSP00000252699	1531
9606.ENSP00000339191	1509
9606.ENSP00000445175	1501
9606.ENSP00000348965	1492
9606.ENSP00000301522	1481
9606.ENSP00000167586	1476
9606.ENSP00000265983	1467
9606.ENSP00000380489	1466
9606.ENSP00000229270	1459
9606.ENSP00000388325	1456
9606.ENSP00000339063	1449
9606.ENSP00000258341	1438
9606.ENSP00000246069	1437
9606.ENSP00000369317	1428
9606.ENSP00000386857	1423
