#id: 2167045526
#name: Homo sapiens - Fallopian tube (Integrated)
#score: 23.9
#coverage: 58
#description: integrated dataset: weighted average of all Homo sapiens FALLOPIAN_TUBE: 23.9, Coverage: 58
#organ: FALLOPIAN_TUBE
#integrated: true
#weights: PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Fallopian_tube:0.5;tube_Wilhelm_2014_Maxquant:0.5;
#publication_year: 2023
#filename: 9606-FALLOPIAN_TUBE-integrated.txt
#
#string_external_id	abundance
9606.ENSP00000333994	38502
9606.ENSP00000295897	31104
9606.ENSP00000432282	15307
9606.ENSP00000446007	10698
9606.ENSP00000229239	9750
9606.ENSP00000370010	8302
9606.ENSP00000419425	8188
9606.ENSP00000416066	8089
9606.ENSP00000236850	7522
9606.ENSP00000458162	6457
9606.ENSP00000369654	5923
9606.ENSP00000251595	5621
9606.ENSP00000322421	5621
9606.ENSP00000345347	5208
9606.ENSP00000385834	5170
9606.ENSP00000252456	4977
9606.ENSP00000351022	4975
9606.ENSP00000346032	4783
9606.ENSP00000262746	4690
9606.ENSP00000357283	4647
9606.ENSP00000248553	4571
9606.ENSP00000367542	4528
9606.ENSP00000449404	4491
9606.ENSP00000354826	4427
9606.ENSP00000363071	4244
9606.ENSP00000381607	3886
9606.ENSP00000341289	3853
9606.ENSP00000234590	3824
9606.ENSP00000270142	3742
9606.ENSP00000430656	3742
9606.ENSP00000358866	3731
9606.ENSP00000296511	3684
9606.ENSP00000432660	3494
9606.ENSP00000342026	3416
9606.ENSP00000301522	3388
9606.ENSP00000264335	3350
9606.ENSP00000478828	3331
9606.ENSP00000301071	3305
9606.ENSP00000356275	3288
9606.ENSP00000261313	3287
9606.ENSP00000369071	3220
9606.ENSP00000362413	3215
9606.ENSP00000299198	3212
9606.ENSP00000346694	3102
9606.ENSP00000300026	3082
9606.ENSP00000418770	3049
9606.ENSP00000462435	3019
9606.ENSP00000379287	3014
9606.ENSP00000378669	2974
9606.ENSP00000259396	2956
9606.ENSP00000339063	2820
9606.ENSP00000366109	2810
