#id: 1430705385
#name: H.sapiens - Cell line, Hct116 (Koch,proteomics,2014)
#score: 4.6
#weight:  1%
#description: abundance based on MAPPED_BY_AUTHORS, HCT116, Interaction consistency score: 4.6, Coverage: 5
#organ: CELL_LINE
#integrated: false
#coverage: 5
#link: http://www.ncbi.nlm.nih.gov/pubmed/25156699
#publication_year: 2014
#filename: 9606-HCT116_Koch_2014_emPAI.txt
#
#internal_id	string_external_id	abundance
4434727	9606.ENSP00000259818	129373
4439221	9606.ENSP00000318697	42500
4437721	9606.ENSP00000301072	35360
4433456	9606.ENSP00000229270	18250
4440720	9606.ENSP00000336702	17342
4443770	9606.ENSP00000360609	16962
4435415	9606.ENSP00000264335	14660
4432889	9606.ENSP00000215909	14579
4446501	9606.ENSP00000379386	12854
4446386	9606.ENSP00000378669	12056
4450181	9606.ENSP00000446007	11524
4450150	9606.ENSP00000445175	11508
4435610	9606.ENSP00000265462	9718
4446837	9606.ENSP00000381607	9718
4449639	9606.ENSP00000432660	7279
4448989	9606.ENSP00000418770	7137
4434090	9606.ENSP00000249299	5770
4437177	9606.ENSP00000295688	5489
4440870	9606.ENSP00000338413	5284
4439194	9606.ENSP00000318297	5107
4448843	9606.ENSP00000416706	5018
4444406	9606.ENSP00000363641	4931
4443033	9606.ENSP00000357076	4931
4439815	9606.ENSP00000326042	4859
4446977	9606.ENSP00000382982	4859
4433555	9606.ENSP00000232219	4757
4450285	9606.ENSP00000449404	4757
4442186	9606.ENSP00000351777	4660
4434059	9606.ENSP00000248553	4490
4441581	9606.ENSP00000346037	4490
4450215	9606.ENSP00000446955	4359
4448498	9606.ENSP00000408910	4270
4443372	9606.ENSP00000358727	4037
4437604	9606.ENSP00000299767	4007
4442171	9606.ENSP00000351646	3841
4434854	9606.ENSP00000261313	3747
4442867	9606.ENSP00000356354	3747
4441502	9606.ENSP00000345230	3617
4448400	9606.ENSP00000406162	3564
4436660	9606.ENSP00000286091	3405
4447182	9606.ENSP00000384949	3366
4444796	9606.ENSP00000366109	3264
4439526	9606.ENSP00000322439	3253
4433608	9606.ENSP00000233893	3221
4439395	9606.ENSP00000320866	3182
4436861	9606.ENSP00000290378	3089
4435728	9606.ENSP00000266735	3081
4447693	9606.ENSP00000391481	3081
4445428	9606.ENSP00000370010	2967
4444027	9606.ENSP00000361883	2916
4432975	9606.ENSP00000216605	2901
4433027	9606.ENSP00000217652	2883
4444249	9606.ENSP00000362803	2811
4436661	9606.ENSP00000286175	2811
4438570	9606.ENSP00000310226	2775
4443312	9606.ENSP00000358417	2709
4447122	9606.ENSP00000384474	2656
4451478	9606.ENSP00000480359	2656
4433191	9606.ENSP00000221957	2567
4448260	9606.ENSP00000403172	2550
4448567	9606.ENSP00000410758	2484
4447403	9606.ENSP00000386636	2484
4447771	9606.ENSP00000392896	2484
4433361	9606.ENSP00000226253	2440
4448554	9606.ENSP00000410452	2390
4444194	9606.ENSP00000362576	2390
4434413	9606.ENSP00000255120	2371
4444169	9606.ENSP00000362463	2332
4435386	9606.ENSP00000264161	2314
4432997	9606.ENSP00000217121	2292
4432717	9606.ENSP00000173527	2292
4446307	9606.ENSP00000378191	2262
4441819	9606.ENSP00000348316	2262
4447058	9606.ENSP00000383949	2262
4441562	9606.ENSP00000345848	2179
4437464	9606.ENSP00000298159	2179
4443829	9606.ENSP00000360939	2104
4449417	9606.ENSP00000427802	2088
4450244	9606.ENSP00000448035	2088
4447833	9606.ENSP00000394071	2081
4449043	9606.ENSP00000419449	2077
4439327	9606.ENSP00000320043	2077
4448366	9606.ENSP00000405573	2077
4436961	9606.ENSP00000292385	2077
4437748	9606.ENSP00000301329	2077
4432930	9606.ENSP00000216218	2072
4446400	9606.ENSP00000378769	2055
4433457	9606.ENSP00000229281	2017
4444982	9606.ENSP00000367208	2011
4448537	9606.ENSP00000410059	1995
4437907	9606.ENSP00000302886	1977
4439035	9606.ENSP00000316029	1952
4439764	9606.ENSP00000325425	1936
4443786	9606.ENSP00000360688	1919
4443753	9606.ENSP00000360525	1902
4445335	9606.ENSP00000369519	1898
4446104	9606.ENSP00000376800	1871
4446979	9606.ENSP00000383003	1871
4444031	9606.ENSP00000361900	1855
4432839	9606.ENSP00000210313	1855
4443872	9606.ENSP00000361140	1848
4451213	9606.ENSP00000477538	1847
4432901	9606.ENSP00000216038	1843
4444272	9606.ENSP00000362946	1835
4449816	9606.ENSP00000437402	1822
4439306	9606.ENSP00000319739	1820
4436650	9606.ENSP00000285930	1820
4436919	9606.ENSP00000291565	1820
4444958	9606.ENSP00000367086	1806
4435475	9606.ENSP00000264670	1801
4437502	9606.ENSP00000298556	1783
4447877	9606.ENSP00000395083	1783
4449867	9606.ENSP00000438455	1780
4446273	9606.ENSP00000377954	1767
4443409	9606.ENSP00000358866	1740
4435814	9606.ENSP00000268182	1719
4433542	9606.ENSP00000231572	1719
4445204	9606.ENSP00000368699	1702
4443961	9606.ENSP00000361626	1687
4442938	9606.ENSP00000356652	1665
4449736	9606.ENSP00000435289	1665
4449694	9606.ENSP00000433999	1665
4442762	9606.ENSP00000355890	1651
4441930	9606.ENSP00000349467	1645
4436014	9606.ENSP00000272298	1645
4436903	9606.ENSP00000291295	1645
4437662	9606.ENSP00000300291	1643
4451141	9606.ENSP00000475750	1612
4436526	9606.ENSP00000283179	1579
4439687	9606.ENSP00000324422	1561
4442795	9606.ENSP00000356015	1561
4439045	9606.ENSP00000316176	1556
4439272	9606.ENSP00000319255	1552
4448625	9606.ENSP00000411825	1539
4434378	9606.ENSP00000254719	1531
4451239	9606.ENSP00000477781	1506
4446656	9606.ENSP00000380402	1498
4433173	9606.ENSP00000221566	1487
4442801	9606.ENSP00000356042	1483
4446162	9606.ENSP00000377192	1461
4441217	9606.ENSP00000342056	1451
4439757	9606.ENSP00000325369	1441
4433489	9606.ENSP00000230048	1441
4451534	9606.ENSP00000480853	1441
4445840	9606.ENSP00000373918	1415
4435743	9606.ENSP00000267103	1410
4435253	9606.ENSP00000263382	1387
4449213	9606.ENSP00000422392	1387
4448185	9606.ENSP00000401564	1387
4436020	9606.ENSP00000272348	1387
4434912	9606.ENSP00000261601	1373
4443358	9606.ENSP00000358635	1368
4450134	9606.ENSP00000444850	1350
4446621	9606.ENSP00000380159	1338
4439353	9606.ENSP00000320309	1304
4441659	9606.ENSP00000346827	1280
4432761	9606.ENSP00000196371	1274
4441583	9606.ENSP00000346050	1267
4433475	9606.ENSP00000229595	1248
4446795	9606.ENSP00000381293	1248
4447578	9606.ENSP00000388942	1248
4447922	9606.ENSP00000396308	1248
4449069	9606.ENSP00000419851	1248
4437151	9606.ENSP00000295448	1224
4435111	9606.ENSP00000262613	1214
4443481	9606.ENSP00000359225	1200
4440491	9606.ENSP00000333837	1189
4449499	9606.ENSP00000429309	1189
4447954	9606.ENSP00000396937	1170
4450789	9606.ENSP00000465930	1170
4442006	9606.ENSP00000350052	1144
4442725	9606.ENSP00000355651	1134
4433563	9606.ENSP00000232607	1134
4445957	9606.ENSP00000375730	1134
4438861	9606.ENSP00000313432	1114
4447078	9606.ENSP00000384136	1114
4434937	9606.ENSP00000261733	1109
4442432	9606.ENSP00000354125	1106
4442780	9606.ENSP00000355955	1101
4441923	9606.ENSP00000349430	1085
4448014	9606.ENSP00000398131	1080
4443063	9606.ENSP00000357189	1075
4437009	9606.ENSP00000293362	1075
4434928	9606.ENSP00000261700	1075
4438368	9606.ENSP00000307889	1056
4434323	9606.ENSP00000253792	1051
4434134	9606.ENSP00000250495	1039
4451612	9606.ENSP00000481762	1039
4445875	9606.ENSP00000374332	1039
4441075	9606.ENSP00000340736	1039
4441792	9606.ENSP00000348056	1039
4442896	9606.ENSP00000356448	1032
4432876	9606.ENSP00000215793	1025
4434513	9606.ENSP00000256854	1022
4439742	9606.ENSP00000325136	1015
4444044	9606.ENSP00000361949	1009
4442886	9606.ENSP00000356425	1006
4450835	9606.ENSP00000467024	998
4438056	9606.ENSP00000304467	994
4445974	9606.ENSP00000375857	992
4450029	9606.ENSP00000442318	991
4437308	9606.ENSP00000296577	990
4437933	9606.ENSP00000303147	984
4435052	9606.ENSP00000262302	984
4447269	9606.ENSP00000385757	974
4438504	9606.ENSP00000309474	965
4450206	9606.ENSP00000446828	959
4433315	9606.ENSP00000225504	959
4443158	9606.ENSP00000357705	959
4437284	9606.ENSP00000296464	959
4438801	9606.ENSP00000312625	953
4441488	9606.ENSP00000345096	948
4449181	9606.ENSP00000421592	944
4432936	9606.ENSP00000216254	939
4435120	9606.ENSP00000262646	935
4433337	9606.ENSP00000225792	926
4441579	9606.ENSP00000346027	926
4445322	9606.ENSP00000369424	923
4449179	9606.ENSP00000421566	906
4451546	9606.ENSP00000480987	899
4440474	9606.ENSP00000333666	890
4432880	9606.ENSP00000215832	890
4446568	9606.ENSP00000379838	890
4442913	9606.ENSP00000356541	890
4439747	9606.ENSP00000325240	890
4440046	9606.ENSP00000328729	890
4434717	9606.ENSP00000259667	890
4444198	9606.ENSP00000362592	872
4448742	9606.ENSP00000414624	865
4446149	9606.ENSP00000377060	859
4442056	9606.ENSP00000350512	859
4441043	9606.ENSP00000340454	855
4435275	9606.ENSP00000263579	852
4435616	9606.ENSP00000265563	849
4449770	9606.ENSP00000436049	842
