#id: 575067358
#name: Homo sapiens - Whole organism, SC (Peptideatlas,may,2010)
#score: 13.9
#description: abundance based on Spectral counting, Interaction consistency score: 13.9, Coverage: 42
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 42
#link: http://www.peptideatlas.org/builds/human/
#publication_year: 2010
#filename: 9606-HsapiensBuild242_May2010.peptides.new.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4443001	9606.ENSP00000356969	47794	115463
4437206	9606.ENSP00000295897	45354	429809
4433675	9606.ENSP00000237014	32450	111588
4443752	9606.ENSP00000360522	32437	124558
4450772	9606.ENSP00000465356	32408	27032
4445428	9606.ENSP00000370010	31041	956
4433668	9606.ENSP00000236850	28873	116283
4433396	9606.ENSP00000227667	19620	40931
4434700	9606.ENSP00000259396	18250	62953
4448813	9606.ENSP00000416066	17855	134163
4450821	9606.ENSP00000466775	14125	47598
4434228	9606.ENSP00000252490	14125	47598
4440511	9606.ENSP00000333994	12504	62761
4447279	9606.ENSP00000385834	11647	138663
4441808	9606.ENSP00000348170	10953	75538
4439524	9606.ENSP00000322421	10225	52275
4434183	9606.ENSP00000251595	10225	52275
4433451	9606.ENSP00000229239	9900	44478
4441496	9606.ENSP00000345179	9546	35121
4435671	9606.ENSP00000265983	8143	65074
4438190	9606.ENSP00000306099	7125	57606
4447873	9606.ENSP00000394936	6914	27174
4433634	9606.ENSP00000234590	6888	51232
4441991	9606.ENSP00000349960	5468	111720
4447823	9606.ENSP00000393887	5413	25510
4450595	9606.ENSP00000458162	5332	110548
4440919	9606.ENSP00000339063	5224	29153
4432817	9606.ENSP00000205948	5041	29598
4450181	9606.ENSP00000446007	4808	28887
4449581	9606.ENSP00000431254	4541	23762
4449041	9606.ENSP00000419425	4484	9609
4433326	9606.ENSP00000225655	4481	12288
4443166	9606.ENSP00000357727	4277	9067
4445365	9606.ENSP00000369654	4184	33569
4437240	9606.ENSP00000296130	4168	18562
4433951	9606.ENSP00000245907	4154	125296
4440740	9606.ENSP00000336829	4143	43897
4442941	9606.ENSP00000356671	4051	30824
4438214	9606.ENSP00000306361	3947	53309
4436962	9606.ENSP00000292401	3843	17016
4439653	9606.ENSP00000323929	3642	96592
4437883	9606.ENSP00000302665	3619	2416
4435415	9606.ENSP00000264335	3150	14183
4449184	9606.ENSP00000421725	3034	25510
4434216	9606.ENSP00000252244	2893	24148
4450004	9606.ENSP00000441828	2785	37213
4442050	9606.ENSP00000350425	2778	16643
4435199	9606.ENSP00000263100	2747	18532
4439337	9606.ENSP00000320171	2637	18612
4445814	9606.ENSP00000373620	2631	23191
4446103	9606.ENSP00000376793	2335	40652
4450315	9606.ENSP00000450540	2335	40652
4445357	9606.ENSP00000369609	2297	19666
4443770	9606.ENSP00000360609	2268	34069
4441581	9606.ENSP00000346037	2197	2160
4439919	9606.ENSP00000327431	2169	19162
4441923	9606.ENSP00000349430	2150	38497
4451599	9606.ENSP00000481622	2150	38487
4451152	9606.ENSP00000476136	2145	38076
4444932	9606.ENSP00000366962	2143	38488
4439472	9606.ENSP00000321744	2143	38488
4451751	9606.ENSP00000483237	2143	38488
4450164	9606.ENSP00000445633	2143	38488
4441873	9606.ENSP00000348924	2143	38488
4436804	9606.ENSP00000289316	2143	38484
4451817	9606.ENSP00000483903	2143	38484
4451252	9606.ENSP00000477907	2143	38484
4451366	9606.ENSP00000479169	2143	38484
4444884	9606.ENSP00000366618	2142	38480
4443268	9606.ENSP00000358151	2138	38067
4451211	9606.ENSP00000477527	2137	38063
4451707	9606.ENSP00000482674	2137	38063
4451378	9606.ENSP00000479284	2136	38043
4437352	9606.ENSP00000296930	2123	6886
4440923	9606.ENSP00000339095	2097	4162
4450175	9606.ENSP00000445831	2087	38484
4441582	9606.ENSP00000346046	2007	3589
4435563	9606.ENSP00000265132	1972	17974
4435459	9606.ENSP00000264613	1960	38218
4449639	9606.ENSP00000432660	1909	4735
4449616	9606.ENSP00000432083	1893	23175
4440915	9606.ENSP00000339001	1892	43216
4446501	9606.ENSP00000379386	1861	10348
4433552	9606.ENSP00000232003	1846	15707
4438974	9606.ENSP00000315130	1846	12288
4433329	9606.ENSP00000225698	1842	5813
4439395	9606.ENSP00000320866	1828	9031
4440399	9606.ENSP00000332790	1803	25696
4443785	9606.ENSP00000360687	1749	5300
4449695	9606.ENSP00000434024	1725	26105
4437358	9606.ENSP00000297012	1720	24586
4435987	9606.ENSP00000271638	1717	2434
4432879	9606.ENSP00000215829	1706	2570
4435679	9606.ENSP00000266041	1677	22999
4435537	9606.ENSP00000265023	1666	19416
4433993	9606.ENSP00000246662	1660	12416
4442879	9606.ENSP00000356391	1651	12965
4442876	9606.ENSP00000356385	1651	12965
4444160	9606.ENSP00000362413	1640	12420
4450869	9606.ENSP00000468236	1639	2322
4432692	9606.ENSP00000164139	1635	34546
4434227	9606.ENSP00000252486	1618	9338
4443164	9606.ENSP00000357722	1609	3269
4450405	9606.ENSP00000452780	1596	3596
4442881	9606.ENSP00000356399	1586	30904
4438923	9606.ENSP00000314299	1580	13651
4433456	9606.ENSP00000229270	1574	10382
4448185	9606.ENSP00000401564	1554	2062
4433357	9606.ENSP00000226218	1536	16045
4443033	9606.ENSP00000357076	1520	6714
4441138	9606.ENSP00000341289	1482	40812
4445798	9606.ENSP00000373477	1459	4824
4446480	9606.ENSP00000379287	1450	6099
4437667	9606.ENSP00000300413	1450	2465
4448816	9606.ENSP00000416126	1448	2827
4439523	9606.ENSP00000322419	1419	2477
4440737	9606.ENSP00000336799	1409	50553
4439895	9606.ENSP00000327070	1383	6615
4434385	9606.ENSP00000254801	1382	3985
