#id: 4221675112
#name: Homo sapiens - Cell line, Huh7, SC (Pando-robles,j_proteomics,2014)
#score: 13.7
#description: abundance based on Spectral counting, Huh7, Interaction consistency score: 13.7, Coverage: 8
#organ: CELL_LINE
#integrated: false
#coverage: 8
#link: http://www.ncbi.nlm.nih.gov/pubmed/25009145
#publication_year: 2014
#filename: 9606-Huh-7_Pando-Robles_2014.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4445428	9606.ENSP00000370010	66076	885116815
4433634	9606.ENSP00000234590	14638	-1646888756
4436650	9606.ENSP00000285930	13560	858993856
4441580	9606.ENSP00000346032	12691	-1801497420
4449639	9606.ENSP00000432660	12002	1593713217
4450595	9606.ENSP00000458162	11178	-1005146241
4441991	9606.ENSP00000349960	11178	-1005146241
4449041	9606.ENSP00000419425	11055	-1994246657
4433326	9606.ENSP00000225655	10513	-2119661323
4443160	9606.ENSP00000357709	10020	1082361528
4437352	9606.ENSP00000296930	8665	-1937649842
4439337	9606.ENSP00000320171	8472	1439992050
4450181	9606.ENSP00000446007	8435	-1891140885
4433579	9606.ENSP00000233143	7915	230845799
4439523	9606.ENSP00000322419	7848	564135988
4441581	9606.ENSP00000346037	7449	465046694
4441649	9606.ENSP00000346694	7176	-1727415194
4439395	9606.ENSP00000320866	7154	1977907150
4433608	9606.ENSP00000233893	6991	1181348240
4434059	9606.ENSP00000248553	6440	1879623298
4439666	9606.ENSP00000324173	6106	568475611
4450191	9606.ENSP00000446215	5859	1397551097
4433451	9606.ENSP00000229239	5682	2017677658
4444702	9606.ENSP00000365439	5663	2077138082
4439895	9606.ENSP00000327070	5343	-1651660144
4446480	9606.ENSP00000379287	5247	-2109317950
4435133	9606.ENSP00000262746	5227	1744899115
4449616	9606.ENSP00000432083	5129	923166310
4450215	9606.ENSP00000446955	4983	1433523210
4443770	9606.ENSP00000360609	4658	1362287281
4447225	9606.ENSP00000385385	4464	1530537552
4436014	9606.ENSP00000272298	4095	1976017603
4436903	9606.ENSP00000291295	4095	1976017603
4441930	9606.ENSP00000349467	4095	1976017603
4433456	9606.ENSP00000229270	4041	1136873048
4436586	9606.ENSP00000284440	4000	866095863
4446116	9606.ENSP00000376886	3986	1586814665
4441512	9606.ENSP00000345347	3853	453501726
4447787	9606.ENSP00000393241	3691	753870258
4447293	9606.ENSP00000385958	3672	343759623
4444380	9606.ENSP00000363500	3656	1188693050
4441190	9606.ENSP00000341826	3616	1850286366
4446258	9606.ENSP00000377833	3555	1732954299
4439274	9606.ENSP00000319281	3546	628676271
4444414	9606.ENSP00000363676	3536	662166684
4440915	9606.ENSP00000339001	3513	-1299109777
4434707	9606.ENSP00000259469	3480	177500658
4450285	9606.ENSP00000449404	3436	-1795420020
4443194	9606.ENSP00000357801	3413	227324217
4447586	9606.ENSP00000389103	3377	424117743
4437297	9606.ENSP00000296511	3363	1369047675
4434993	9606.ENSP00000262030	3356	-1963989773
4435881	9606.ENSP00000269321	3308	347359875
4439187	9606.ENSP00000318195	3290	1752556064
4438356	9606.ENSP00000307786	3245	428434274
4446852	9606.ENSP00000381736	3228	1921777570
4446501	9606.ENSP00000379386	3176	1275528172
4447414	9606.ENSP00000386717	3152	366177775
4437661	9606.ENSP00000300289	3143	2032223148
4437604	9606.ENSP00000299767	3117	-898638318
4447693	9606.ENSP00000391481	3105	1496262051
4443033	9606.ENSP00000357076	3009	1061860263
4437954	9606.ENSP00000303366	2961	566504811
4444796	9606.ENSP00000366109	2839	915283087
4440919	9606.ENSP00000339063	2833	-2056177728
4446386	9606.ENSP00000378669	2806	1435269485
4437619	9606.ENSP00000300026	2803	691806429
4433003	9606.ENSP00000217182	2733	1795508852
4437358	9606.ENSP00000297012	2700	-624940474
4446979	9606.ENSP00000383003	2635	244172200
4439955	9606.ENSP00000327801	2601	1818107021
4445814	9606.ENSP00000373620	2568	1854590008
4449729	9606.ENSP00000435096	2553	306445674
4443076	9606.ENSP00000357283	2533	2094052134
4450282	9606.ENSP00000449328	2499	853776445
4435415	9606.ENSP00000264335	2490	1450939938
4446117	9606.ENSP00000376889	2432	1682190331
4451031	9606.ENSP00000472469	2420	192052674
4444160	9606.ENSP00000362413	2403	1310169492
4440643	9606.ENSP00000335153	2403	-425070098
4442650	9606.ENSP00000355315	2390	16277336
4449706	9606.ENSP00000434412	2361	1058504422
4439045	9606.ENSP00000316176	2294	358685804
4441585	9606.ENSP00000346067	2267	1022052522
4440923	9606.ENSP00000339095	2220	385090969
4449695	9606.ENSP00000434024	2196	-624940474
4435108	9606.ENSP00000262584	2158	376619217
4445799	9606.ENSP00000373487	2153	1187287869
4440399	9606.ENSP00000332790	2121	1371467595
4437376	9606.ENSP00000297185	2101	1750712203
4442011	9606.ENSP00000350090	2097	1315513757
4435645	9606.ENSP00000265753	2080	281782689
4450150	9606.ENSP00000445175	2036	936851294
4433313	9606.ENSP00000225430	2027	182281852
4435987	9606.ENSP00000271638	2015	304219210
4438576	9606.ENSP00000310275	2015	216701381
4441216	9606.ENSP00000342026	1989	559528838
4437775	9606.ENSP00000301587	1970	401786294
4449762	9606.ENSP00000435777	1939	294071906
4436296	9606.ENSP00000278572	1934	787712224
4438211	9606.ENSP00000306330	1925	1559701109
4441587	9606.ENSP00000346088	1912	214141879
4449743	9606.ENSP00000435370	1909	157517305
4441576	9606.ENSP00000346001	1908	413724376
4450354	9606.ENSP00000451291	1898	1198365567
4444232	9606.ENSP00000362744	1887	570438800
4450340	9606.ENSP00000451080	1868	227794684
4451239	9606.ENSP00000477781	1845	226953204
4432924	9606.ENSP00000216181	1845	-238115182
4434174	9606.ENSP00000251453	1843	396369694
4439747	9606.ENSP00000325240	1823	571188464
4444406	9606.ENSP00000363641	1820	330062539
4440758	9606.ENSP00000337060	1813	860212159
4432930	9606.ENSP00000216218	1805	467134032
4441138	9606.ENSP00000341289	1801	-1643304600
4449888	9606.ENSP00000439012	1801	193832015
4448260	9606.ENSP00000403172	1795	536505429
