#id: 765212561
#name: H.sapiens - Heart, SC (Kline,j.proteome_res,2008)
#score: 9.3
#weight:  6%
#description: abundance based on Spectral counting, Interaction consistency score: 9.3, Coverage: 17
#organ: HEART
#integrated: false
#coverage: 17
#link: http://pubs.acs.org/doi/full/10.1021/pr800239e
#publication_year: 2008
#filename: 9606-Human_Heart_Kline2008_JProteomeRes_peptide.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4446672	9606.ENSP00000380489	26261	858
4436861	9606.ENSP00000290378	24746	13991
4442723	9606.ENSP00000355645	23699	13682
4448229	9606.ENSP00000402373	22058	10761
4447434	9606.ENSP00000386857	20634	10667
4442096	9606.ENSP00000351022	19263	2502
4445033	9606.ENSP00000367542	19152	2625
4441502	9606.ENSP00000345230	17361	2395
4443118	9606.ENSP00000357516	16876	2409
4441728	9606.ENSP00000347507	12092	23609
4447300	9606.ENSP00000386041	11365	21446
4450595	9606.ENSP00000458162	10278	9992
4441991	9606.ENSP00000349960	10278	9992
4447538	9606.ENSP00000388107	10072	623
4437206	9606.ENSP00000295897	9715	1165
4434387	9606.ENSP00000254810	8128	262
4442746	9606.ENSP00000355778	8128	262
4433934	9606.ENSP00000245503	6229	19208
4433356	9606.ENSP00000226207	6190	19473
4449678	9606.ENSP00000433560	5814	152
4450739	9606.ENSP00000464317	5696	17886
4434429	9606.ENSP00000255381	5362	17600
4450840	9606.ENSP00000467141	5269	33413
4449041	9606.ENSP00000419425	5140	131
4436015	9606.ENSP00000272317	4971	623
4439337	9606.ENSP00000320171	4847	509
4447104	9606.ENSP00000384330	4816	16853
4448328	9606.ENSP00000404570	4743	16446
4446386	9606.ENSP00000378669	4273	370
4433162	9606.ENSP00000221476	4187	256
4440915	9606.ENSP00000339001	3940	2577
4441138	9606.ENSP00000341289	3907	2561
4438070	9606.ENSP00000304697	3807	623
4434727	9606.ENSP00000259818	3796	2522
4445375	9606.ENSP00000369703	3796	2522
4436430	9606.ENSP00000281456	3782	537
4443780	9606.ENSP00000360671	3781	499
4447410	9606.ENSP00000386665	3614	227
4435372	9606.ENSP00000264071	3418	2371
4445546	9606.ENSP00000370808	3404	467
4440399	9606.ENSP00000332790	3397	711
4435104	9606.ENSP00000262551	3387	176
4450366	9606.ENSP00000451712	3373	171
4449695	9606.ENSP00000434024	3306	872
4448311	9606.ENSP00000404203	3290	309
4448843	9606.ENSP00000416706	3263	3201
4439661	9606.ENSP00000324105	3154	482
4449897	9606.ENSP00000439189	3102	6797
4433003	9606.ENSP00000217182	3068	406
4450086	9606.ENSP00000443495	3064	1595
4437358	9606.ENSP00000297012	2905	776
4451686	9606.ENSP00000482538	2862	878
4449876	9606.ENSP00000438553	2862	878
4442276	9606.ENSP00000352627	2862	878
4441116	9606.ENSP00000341094	2862	878
4451672	9606.ENSP00000482431	2862	878
4442159	9606.ENSP00000351589	2862	878
4442214	9606.ENSP00000352119	2862	878
4440028	9606.ENSP00000328484	2862	878
4444893	9606.ENSP00000366679	2862	878
4451813	9606.ENSP00000483842	2757	850
4437955	9606.ENSP00000303373	2757	850
4442727	9606.ENSP00000355656	2757	850
4444942	9606.ENSP00000367022	2757	850
4441217	9606.ENSP00000342056	2754	133
4442006	9606.ENSP00000350052	2683	6606
4437770	9606.ENSP00000301522	2683	95
4451707	9606.ENSP00000482674	2680	760
4451211	9606.ENSP00000477527	2680	760
4443268	9606.ENSP00000358151	2680	760
4451152	9606.ENSP00000476136	2680	760
4440919	9606.ENSP00000339063	2638	385
4434059	9606.ENSP00000248553	2582	90
4440336	9606.ENSP00000332194	2551	792
4443270	9606.ENSP00000358155	2551	792
4451142	9606.ENSP00000475814	2551	792
4450736	9606.ENSP00000464265	2537	500
4444939	9606.ENSP00000366999	2502	273
4451529	9606.ENSP00000480826	2502	273
4451830	9606.ENSP00000484095	2502	273
4443272	9606.ENSP00000358160	2502	273
4451891	9606.ENSP00000484841	2502	273
4451655	9606.ENSP00000482271	2502	273
4442229	9606.ENSP00000352252	2502	273
4451757	9606.ENSP00000483283	2502	273
4451875	9606.ENSP00000484658	2502	273
4451871	9606.ENSP00000484638	2502	273
4440737	9606.ENSP00000336799	2497	1212
4450164	9606.ENSP00000445633	2422	765
4444932	9606.ENSP00000366962	2422	765
4451817	9606.ENSP00000483903	2422	765
4451252	9606.ENSP00000477907	2422	765
4439472	9606.ENSP00000321744	2422	765
4441923	9606.ENSP00000349430	2422	765
4441873	9606.ENSP00000348924	2422	765
4451366	9606.ENSP00000479169	2422	765
4436804	9606.ENSP00000289316	2422	765
4451751	9606.ENSP00000483237	2422	765
4451599	9606.ENSP00000481622	2350	725
4439640	9606.ENSP00000323856	2345	2552
4432629	9606.ENSP00000052754	2330	179
4434056	9606.ENSP00000248437	2328	1166
4450175	9606.ENSP00000445831	2300	765
4437721	9606.ENSP00000301072	2209	1115
4433634	9606.ENSP00000234590	2193	444
4437720	9606.ENSP00000301071	2181	1159
4434993	9606.ENSP00000262030	2177	272
4441378	9606.ENSP00000343924	2168	166
4437464	9606.ENSP00000298159	2135	110
4439221	9606.ENSP00000318697	2108	1909
4435133	9606.ENSP00000262746	2077	88
4444884	9606.ENSP00000366618	2061	705
4451423	9606.ENSP00000479794	2054	325
4444931	9606.ENSP00000366956	2054	325
4444934	9606.ENSP00000366974	2054	325
4450064	9606.ENSP00000443017	2054	325
4433901	9606.ENSP00000244537	2054	325
4441692	9606.ENSP00000347168	2054	325
4451886	9606.ENSP00000484789	2054	325
4444948	9606.ENSP00000367034	2054	325
4451392	9606.ENSP00000479461	2054	325
4450676	9606.ENSP00000462667	2054	325
4451542	9606.ENSP00000480960	2054	325
4451358	9606.ENSP00000479106	2054	325
4451586	9606.ENSP00000481486	2054	325
