#id: 367702003
#name: Homo sapiens - Heart, normalized data APEX (Aye,mol_bio_syst,2010)
#score: 13.0
#description: abundance based on normalized data APEX, Interaction consistency score: 13.0, Coverage: 11
#organ: HEART
#integrated: false
#coverage: 11
#link: http://pubs.rsc.org/en/content/articlehtml/2010/mb/c004495d#fn1
#publication_year: 2010
#filename: 9606-Human_heart_ThinThinAye_MolecularBioSystems2010_APEX.txt
#
#string_external_id	abundance
9606.ENSP00000380489	1126
9606.ENSP00000234590	1120
9606.ENSP00000333994	1117
9606.ENSP00000251595	1111
9606.ENSP00000221476	1086
9606.ENSP00000418770	1083
9606.ENSP00000228841	1080
9606.ENSP00000362271	1074
9606.ENSP00000229239	1070
9606.ENSP00000359539	1070
9606.ENSP00000445175	1067
9606.ENSP00000432083	1061
9606.ENSP00000404203	1055
9606.ENSP00000220764	1052
9606.ENSP00000324105	1052
9606.ENSP00000217182	1049
9606.ENSP00000362817	1049
9606.ENSP00000442795	1049
9606.ENSP00000295897	1046
9606.ENSP00000307786	1046
9606.ENSP00000357709	1043
9606.ENSP00000230048	1043
9606.ENSP00000439012	1039
9606.ENSP00000419425	1039
9606.ENSP00000298510	1036
9606.ENSP00000347507	1033
9606.ENSP00000438144	1027
9606.ENSP00000297283	1027
9606.ENSP00000346550	1027
9606.ENSP00000379210	1027
9606.ENSP00000379386	1024
9606.ENSP00000291577	1024
9606.ENSP00000426119	1024
9606.ENSP00000358727	1021
9606.ENSP00000299198	1021
9606.ENSP00000261313	1021
9606.ENSP00000359871	1021
9606.ENSP00000233143	1018
9606.ENSP00000378669	1018
9606.ENSP00000196371	1015
9606.ENSP00000265838	1015
9606.ENSP00000270142	1012
9606.ENSP00000431813	1012
9606.ENSP00000297258	1012
9606.ENSP00000433560	1012
9606.ENSP00000351022	1009
9606.ENSP00000360124	1009
9606.ENSP00000342026	1009
9606.ENSP00000346032	1005
9606.ENSP00000306330	1002
9606.ENSP00000367923	1002
9606.ENSP00000338703	999
9606.ENSP00000452762	999
9606.ENSP00000346173	999
9606.ENSP00000216254	996
9606.ENSP00000262746	996
9606.ENSP00000474560	996
9606.ENSP00000348170	996
9606.ENSP00000416066	993
9606.ENSP00000362413	993
9606.ENSP00000285093	990
9606.ENSP00000265462	990
9606.ENSP00000301522	990
9606.ENSP00000221418	987
9606.ENSP00000256104	987
9606.ENSP00000292169	987
9606.ENSP00000225655	987
9606.ENSP00000259396	984
9606.ENSP00000245206	984
9606.ENSP00000236850	981
9606.ENSP00000357705	981
9606.ENSP00000377446	981
9606.ENSP00000451712	978
9606.ENSP00000232975	978
9606.ENSP00000357535	978
9606.ENSP00000233893	975
9606.ENSP00000357722	975
9606.ENSP00000438689	971
9606.ENSP00000264335	968
9606.ENSP00000363500	968
9606.ENSP00000261733	968
9606.ENSP00000371230	968
9606.ENSP00000320171	965
9606.ENSP00000383003	965
9606.ENSP00000446252	965
9606.ENSP00000381607	962
9606.ENSP00000353408	962
9606.ENSP00000226253	962
9606.ENSP00000341838	959
9606.ENSP00000298159	956
9606.ENSP00000262030	956
9606.ENSP00000248975	956
9606.ENSP00000242592	953
9606.ENSP00000313050	953
9606.ENSP00000290378	953
9606.ENSP00000381736	953
9606.ENSP00000359991	950
9606.ENSP00000236671	950
9606.ENSP00000369461	950
9606.ENSP00000431808	950
9606.ENSP00000252244	950
9606.ENSP00000376793	947
9606.ENSP00000389649	944
9606.ENSP00000241337	944
9606.ENSP00000369654	944
9606.ENSP00000400906	944
9606.ENSP00000205402	944
9606.ENSP00000405573	944
9606.ENSP00000419325	940
9606.ENSP00000377710	940
9606.ENSP00000370023	940
9606.ENSP00000401437	940
9606.ENSP00000281243	940
9606.ENSP00000355518	940
9606.ENSP00000342056	937
9606.ENSP00000299518	937
9606.ENSP00000432660	937
9606.ENSP00000381386	937
9606.ENSP00000236918	937
9606.ENSP00000373620	937
9606.ENSP00000291568	934
9606.ENSP00000248553	934
9606.ENSP00000285930	934
9606.ENSP00000345771	934
9606.ENSP00000360609	934
9606.ENSP00000369134	934
9606.ENSP00000216962	931
9606.ENSP00000322439	928
9606.ENSP00000304229	928
9606.ENSP00000259667	928
9606.ENSP00000379287	928
9606.ENSP00000364567	928
9606.ENSP00000367992	925
9606.ENSP00000263277	925
9606.ENSP00000310111	925
9606.ENSP00000246069	925
9606.ENSP00000341289	922
9606.ENSP00000336799	922
9606.ENSP00000371267	922
9606.ENSP00000296412	922
9606.ENSP00000271638	919
