#id: 2151229104
#name: Homo sapiens - Kidney (Integrated)
#score: 31.4
#coverage: 59
#description: integrated dataset: weighted average of all Homo sapiens KIDNEY: 31.4, Coverage: 59
#organ: KIDNEY
#integrated: true
#weights: Adult_Kidney_Kim_2014_SEQUEST:0.491;9606-PA_kidney_201308:0.265;kidney_Wilhelm_2014_Maxquant:0.145;PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Kidney:0.098;
#publication_year: 2023
#filename: 9606-KIDNEY-integrated.txt
#
#internal_id	string_external_id	abundance
4437206	9606.ENSP00000295897	30007
4440511	9606.ENSP00000333994	26447
4434183	9606.ENSP00000251595	25693
4439524	9606.ENSP00000322421	25693
4434216	9606.ENSP00000252244	10159
4450181	9606.ENSP00000446007	9914
4433993	9606.ENSP00000246662	9756
4433451	9606.ENSP00000229239	9182
4450595	9606.ENSP00000458162	8014
4445365	9606.ENSP00000369654	7973
4435898	9606.ENSP00000269576	7364
4441991	9606.ENSP00000349960	6359
4444463	9606.ENSP00000363988	5699
4448813	9606.ENSP00000416066	5369
4434854	9606.ENSP00000261313	5182
4435927	9606.ENSP00000270142	4791
4434247	9606.ENSP00000252699	4712
4446501	9606.ENSP00000379386	4636
4433634	9606.ENSP00000234590	4294
4449678	9606.ENSP00000433560	4241
4446582	9606.ENSP00000379895	4187
4438640	9606.ENSP00000310861	4003
4437770	9606.ENSP00000301522	3806
4445814	9606.ENSP00000373620	3735
4443929	9606.ENSP00000361471	3708
4435133	9606.ENSP00000262746	3666
4445428	9606.ENSP00000370010	3598
4449041	9606.ENSP00000419425	3363
4434993	9606.ENSP00000262030	3263
4444869	9606.ENSP00000366525	3242
4444160	9606.ENSP00000362413	3157
4445798	9606.ENSP00000373477	3002
4436619	9606.ENSP00000285093	2937
4433668	9606.ENSP00000236850	2872
4446852	9606.ENSP00000381736	2871
4450194	9606.ENSP00000446252	2866
4436127	9606.ENSP00000274353	2855
4440919	9606.ENSP00000339063	2845
4434059	9606.ENSP00000248553	2796
4450308	9606.ENSP00000450436	2780
4433456	9606.ENSP00000229270	2704
4443119	9606.ENSP00000357535	2692
4441580	9606.ENSP00000346032	2675
4440308	9606.ENSP00000331897	2634
4437495	9606.ENSP00000298510	2574
4447279	9606.ENSP00000385834	2475
4446837	9606.ENSP00000381607	2459
4439895	9606.ENSP00000327070	2427
4449553	9606.ENSP00000430656	2420
4433675	9606.ENSP00000237014	2356
4435651	9606.ENSP00000265838	2325
4444540	9606.ENSP00000364490	2238
4444634	9606.ENSP00000364986	2225
4437198	9606.ENSP00000295834	2203
4433153	9606.ENSP00000221418	2155
4436628	9606.ENSP00000285379	2141
4439772	9606.ENSP00000325548	2109
4449622	9606.ENSP00000432282	2058
4448088	9606.ENSP00000399805	2020
4434387	9606.ENSP00000254810	2000
4442746	9606.ENSP00000355778	2000
4441649	9606.ENSP00000346694	1989
4451107	9606.ENSP00000474560	1982
4441216	9606.ENSP00000342026	1970
4443076	9606.ENSP00000357283	1943
4439914	9606.ENSP00000327336	1919
4434937	9606.ENSP00000261733	1910
4448472	9606.ENSP00000408025	1863
4440697	9606.ENSP00000335620	1849
4439337	9606.ENSP00000320171	1832
4432924	9606.ENSP00000216181	1799
4450285	9606.ENSP00000449404	1771
4435583	9606.ENSP00000265333	1746
4439395	9606.ENSP00000320866	1727
4432936	9606.ENSP00000216254	1667
4448989	9606.ENSP00000418770	1666
4442980	9606.ENSP00000356864	1665
4437436	9606.ENSP00000297785	1660
4435671	9606.ENSP00000265983	1632
4435415	9606.ENSP00000264335	1631
4449581	9606.ENSP00000431254	1586
4441169	9606.ENSP00000341625	1574
4436861	9606.ENSP00000290378	1547
4432982	9606.ENSP00000216780	1544
4437319	9606.ENSP00000296658	1516
4443780	9606.ENSP00000360671	1514
4448967	9606.ENSP00000418525	1512
4432889	9606.ENSP00000215909	1511
4446397	9606.ENSP00000378743	1487
4449639	9606.ENSP00000432660	1482
4437626	9606.ENSP00000300060	1479
4445799	9606.ENSP00000373487	1470
4434700	9606.ENSP00000259396	1464
4446480	9606.ENSP00000379287	1463
4443160	9606.ENSP00000357709	1444
4435245	9606.ENSP00000263368	1438
4446386	9606.ENSP00000378669	1429
4440740	9606.ENSP00000336829	1420
4442353	9606.ENSP00000353408	1417
4437775	9606.ENSP00000301587	1411
4450152	9606.ENSP00000445306	1402
4449888	9606.ENSP00000439012	1400
4441808	9606.ENSP00000348170	1399
4441668	9606.ENSP00000346921	1380
4438190	9606.ENSP00000306099	1379
4444380	9606.ENSP00000363500	1370
4435725	9606.ENSP00000266718	1369
4445432	9606.ENSP00000370023	1363
4450150	9606.ENSP00000445175	1362
4437297	9606.ENSP00000296511	1356
4442166	9606.ENSP00000351619	1351
4437724	9606.ENSP00000301149	1346
4442096	9606.ENSP00000351022	1345
4442801	9606.ENSP00000356042	1338
4439526	9606.ENSP00000322439	1327
4436266	9606.ENSP00000277865	1312
4447101	9606.ENSP00000384296	1312
4433608	9606.ENSP00000233893	1310
4451863	9606.ENSP00000484592	1308
4438237	9606.ENSP00000306606	1304
4435111	9606.ENSP00000262613	1304
4449851	9606.ENSP00000438144	1304
4435967	9606.ENSP00000271064	1304
4450403	9606.ENSP00000452762	1291
4450343	9606.ENSP00000451112	1281
4441138	9606.ENSP00000341289	1279
4443872	9606.ENSP00000361140	1277
4443625	9606.ENSP00000359871	1268
4432848	9606.ENSP00000211998	1260
4440237	9606.ENSP00000331209	1257
4437619	9606.ENSP00000300026	1246
4435820	9606.ENSP00000268379	1219
4443964	9606.ENSP00000361635	1208
4449616	9606.ENSP00000432083	1203
4451393	9606.ENSP00000479488	1198
4439922	9606.ENSP00000327453	1195
4446571	9606.ENSP00000379845	1193
4442723	9606.ENSP00000355645	1193
4432704	9606.ENSP00000168216	1190
4437277	9606.ENSP00000296424	1187
4442485	9606.ENSP00000354532	1178
4442857	9606.ENSP00000356275	1178
4448229	9606.ENSP00000402373	1177
4436718	9606.ENSP00000287295	1177
4438030	9606.ENSP00000304229	1164
4433326	9606.ENSP00000225655	1159
4447270	9606.ENSP00000385763	1154
4433793	9606.ENSP00000241052	1151
4433951	9606.ENSP00000245907	1131
4444406	9606.ENSP00000363641	1129
4442560	9606.ENSP00000354876	1117
4443752	9606.ENSP00000360522	1100
4450215	9606.ENSP00000446955	1096
4444439	9606.ENSP00000363827	1096
4445033	9606.ENSP00000367542	1093
4447434	9606.ENSP00000386857	1089
4433021	9606.ENSP00000217426	1073
4442622	9606.ENSP00000355180	1073
4446508	9606.ENSP00000379438	1070
4433407	9606.ENSP00000228318	1065
4442961	9606.ENSP00000356790	1064
4440915	9606.ENSP00000339001	1064
4449091	9606.ENSP00000420168	1063
4447538	9606.ENSP00000388107	1057
4437376	9606.ENSP00000297185	1053
4447473	9606.ENSP00000387123	1052
4443409	9606.ENSP00000358866	1051
4436083	9606.ENSP00000273550	1045
4446258	9606.ENSP00000377833	1043
4443211	9606.ENSP00000357873	1042
4436857	9606.ENSP00000290349	1041
4433130	9606.ENSP00000220764	1040
4442284	9606.ENSP00000352706	1040
4438861	9606.ENSP00000313432	1034
4441634	9606.ENSP00000346550	1032
4451404	9606.ENSP00000479606	1031
4439666	9606.ENSP00000324173	1029
4437661	9606.ENSP00000300289	1025
4446196	9606.ENSP00000377446	1018
4437953	9606.ENSP00000303356	1002
4439233	9606.ENSP00000318868	995
4442467	9606.ENSP00000354468	984
4444040	9606.ENSP00000361930	984
4435604	9606.ENSP00000265431	982
4438214	9606.ENSP00000306361	982
4444013	9606.ENSP00000361824	981
