#id: 26152312
#name: Homo sapiens - Whole organism, SC (Peptideatlas,aug,2014)
#score: 38.1
#description: abundance based on Spectral counting, Interaction consistency score: 38.1, Coverage: 84
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 84
#link: http://www.peptideatlas.org/builds/
#publication_year: 2014
#filename: 9606-PA_201408.txt
#
#string_external_id	abundance	raw_spectral_count
9606.ENSP00000370010	23042	33437
9606.ENSP00000360522	13296	738330
9606.ENSP00000295897	12646	2255119
9606.ENSP00000356969	9280	315108
9606.ENSP00000229239	8688	702773
9606.ENSP00000345179	8383	508558
9606.ENSP00000362924	8093	1225655
9606.ENSP00000322421	6651	546900
9606.ENSP00000251595	6651	546900
9606.ENSP00000292401	6153	542455
9606.ENSP00000333994	6053	547198
9606.ENSP00000259396	5801	332040
9606.ENSP00000227667	5727	224793
9606.ENSP00000237014	5614	259914
9606.ENSP00000264613	5608	1613653
9606.ENSP00000236850	5314	460955
9606.ENSP00000356671	5038	606918
9606.ENSP00000339063	4980	533586
9606.ENSP00000349960	4677	1549029
9606.ENSP00000458162	4624	1542154
9606.ENSP00000465356	4448	60859
9606.ENSP00000265983	4390	572973
9606.ENSP00000466775	4153	209882
9606.ENSP00000252490	4153	209882
9606.ENSP00000419425	4124	197140
9606.ENSP00000393887	4017	292924
9606.ENSP00000446007	3966	536614
9606.ENSP00000234590	3667	523774
9606.ENSP00000296930	3474	179118
9606.ENSP00000416066	3400	451218
9606.ENSP00000252244	3353	575964
9606.ENSP00000350425	3337	383807
9606.ENSP00000255040	3207	211309
9606.ENSP00000431254	3166	253848
9606.ENSP00000321853	3130	325192
9606.ENSP00000348170	3098	372199
9606.ENSP00000225655	3069	178815
9606.ENSP00000246662	2931	363016
9606.ENSP00000345968	2869	427058
9606.ENSP00000254722	2847	296195
9606.ENSP00000252486	2735	272469
9606.ENSP00000373620	2673	416839
9606.ENSP00000215727	2549	311313
9606.ENSP00000302621	2506	251243
9606.ENSP00000394936	2476	159740
9606.ENSP00000265132	2429	280960
9606.ENSP00000320171	2414	372293
9606.ENSP00000432660	2350	135669
9606.ENSP00000266718	2232	236722
9606.ENSP00000296130	2224	138972
9606.ENSP00000263408	2154	344497
9606.ENSP00000378669	2134	261704
9606.ENSP00000369654	2124	286134
9606.ENSP00000355627	2091	263083
9606.ENSP00000269576	2076	349391
9606.ENSP00000385834	2002	435933
9606.ENSP00000346694	1998	167583
9606.ENSP00000421725	1989	273778
9606.ENSP00000262746	1981	125209
9606.ENSP00000270142	1969	52222
9606.ENSP00000306099	1872	292173
9606.ENSP00000320866	1819	168659
9606.ENSP00000449404	1814	273052
9606.ENSP00000346037	1774	45289
9606.ENSP00000345347	1772	71539
9606.ENSP00000215754	1762	58060
9606.ENSP00000205948	1757	162574
9606.ENSP00000360609	1752	478591
9606.ENSP00000379287	1734	175721
9606.ENSP00000432083	1723	396873
9606.ENSP00000362413	1687	223036
9606.ENSP00000329374	1682	201528
9606.ENSP00000264335	1677	180654
9606.ENSP00000346032	1675	181441
9606.ENSP00000245907	1668	861664
9606.ENSP00000379386	1633	173052
9606.ENSP00000301522	1629	94523
9606.ENSP00000373487	1626	167823
9606.ENSP00000265023	1603	310638
9606.ENSP00000261313	1583	77084
9606.ENSP00000229270	1573	172711
9606.ENSP00000339001	1540	625523
9606.ENSP00000348933	1511	144438
9606.ENSP00000278222	1506	146885
9606.ENSP00000381607	1490	88166
9606.ENSP00000322061	1485	337034
9606.ENSP00000432282	1482	95099
9606.ENSP00000233893	1475	43476
9606.ENSP00000296028	1460	52771
9606.ENSP00000318195	1459	150564
9606.ENSP00000248553	1436	92384
9606.ENSP00000416561	1405	543181
9606.ENSP00000345230	1395	97585
9606.ENSP00000365081	1388	87652
9606.ENSP00000335153	1384	469681
9606.ENSP00000262030	1376	245517
9606.ENSP00000307940	1349	297315
9606.ENSP00000324173	1348	264006
9606.ENSP00000445175	1345	164011
9606.ENSP00000357727	1324	55792
9606.ENSP00000339095	1314	46684
9606.ENSP00000233143	1296	7381
9606.ENSP00000365439	1290	148448
9606.ENSP00000263100	1290	145560
9606.ENSP00000322419	1285	49598
9606.ENSP00000342850	1280	175424
9606.ENSP00000341826	1275	166775
9606.ENSP00000355778	1265	68433
9606.ENSP00000254810	1265	68433
9606.ENSP00000327070	1250	128280
9606.ENSP00000356399	1242	446856
9606.ENSP00000357076	1239	114562
9606.ENSP00000446955	1227	76309
9606.ENSP00000336829	1222	210556
9606.ENSP00000217182	1210	246620
9606.ENSP00000381736	1206	186349
9606.ENSP00000485444	1191	103289
9606.ENSP00000216181	1189	734508
9606.ENSP00000299198	1169	121987
9606.ENSP00000331544	1160	180149
9606.ENSP00000215909	1157	54227
9606.ENSP00000384906	1157	61404
9606.ENSP00000342026	1146	87856
9606.ENSP00000261267	1145	35168
9606.ENSP00000360687	1140	52808
9606.ENSP00000300026	1135	59374
9606.ENSP00000309830	1135	9769
9606.ENSP00000363641	1132	42758
9606.ENSP00000270879	1129	116093
9606.ENSP00000358866	1125	891280
9606.ENSP00000357722	1112	36340
9606.ENSP00000269321	1100	37420
9606.ENSP00000323929	1099	522026
9606.ENSP00000306361	1098	264650
9606.ENSP00000351022	1094	85143
9606.ENSP00000418770	1082	61255
9606.ENSP00000304229	1062	33425
9606.ENSP00000278407	1056	148513
9606.ENSP00000344547	1056	21129
9606.ENSP00000446215	1056	54467
9606.ENSP00000410815	1054	707219
9606.ENSP00000336702	1042	75693
9606.ENSP00000346046	1040	30693
9606.ENSP00000271638	1040	30015
9606.ENSP00000430656	1036	86572
9606.ENSP00000391481	1027	145467
9606.ENSP00000485552	1015	174685
9606.ENSP00000389103	1011	24874
9606.ENSP00000385958	1000	26987
9606.ENSP00000306606	998	121622
9606.ENSP00000299767	998	239396
9606.ENSP00000313199	991	53062
9606.ENSP00000308541	988	187894
9606.ENSP00000416683	988	170776
9606.ENSP00000230050	987	38075
9606.ENSP00000319464	985	158982
9606.ENSP00000300289	985	165927
9606.ENSP00000366109	980	94714
9606.ENSP00000296511	977	90956
9606.ENSP00000410452	977	27093
9606.ENSP00000373477	975	57360
9606.ENSP00000308720	966	106791
9606.ENSP00000355228	959	7648
9606.ENSP00000330074	956	40478
9606.ENSP00000478725	950	69550
9606.ENSP00000304236	947	92547
9606.ENSP00000315130	946	114628
9606.ENSP00000393241	943	27626
9606.ENSP00000339566	937	86024
9606.ENSP00000327801	935	135680
9606.ENSP00000449328	934	62506
9606.ENSP00000222381	931	82067
9606.ENSP00000353408	931	163222
9606.ENSP00000376886	924	71321
9606.ENSP00000259469	916	5666
9606.ENSP00000283179	914	149820
9606.ENSP00000388107	914	100182
9606.ENSP00000359991	910	100177
9606.ENSP00000341289	909	548320
9606.ENSP00000295834	907	34712
9606.ENSP00000336799	904	618620
9606.ENSP00000451291	903	74788
9606.ENSP00000317674	898	82063
9606.ENSP00000307705	894	84826
9606.ENSP00000308938	888	211751
9606.ENSP00000376793	881	278428
9606.ENSP00000450540	881	278428
9606.ENSP00000356037	879	151863
9606.ENSP00000310861	876	242594
9606.ENSP00000426909	867	81360
9606.ENSP00000228945	864	37037
9606.ENSP00000401564	858	26981
9606.ENSP00000242285	855	7874
9606.ENSP00000359446	851	93547
9606.ENSP00000211998	848	252602
9606.ENSP00000301072	828	518446
9606.ENSP00000433560	821	35874
9606.ENSP00000290378	813	749327
9606.ENSP00000464813	811	14835
9606.ENSP00000301071	806	575866
9606.ENSP00000270792	805	15302
9606.ENSP00000362744	801	46912
9606.ENSP00000346050	800	52917
9606.ENSP00000478828	799	9466
9606.ENSP00000452780	794	28922
9606.ENSP00000346088	794	19248
9606.ENSP00000310275	792	12737
9606.ENSP00000355315	792	538
9606.ENSP00000403172	790	38318
9606.ENSP00000299367	784	239549
9606.ENSP00000232003	783	108659
9606.ENSP00000361777	783	53542
9606.ENSP00000366956	780	222021
9606.ENSP00000366974	780	222021
9606.ENSP00000244537	780	222021
9606.ENSP00000484789	780	222021
9606.ENSP00000462667	780	222021
9606.ENSP00000462355	780	222021
9606.ENSP00000479794	780	222021
9606.ENSP00000367034	780	222021
9606.ENSP00000480960	780	222021
9606.ENSP00000443017	780	222021
9606.ENSP00000347168	780	222021
9606.ENSP00000479461	780	222021
9606.ENSP00000479106	780	222021
9606.ENSP00000481486	780	222021
9606.ENSP00000311430	779	61487
9606.ENSP00000402373	777	693510
9606.ENSP00000386857	774	687074
9606.ENSP00000272317	771	105014
9606.ENSP00000450838	771	106304
9606.ENSP00000226218	768	124764
9606.ENSP00000332790	763	174023
9606.ENSP00000357283	751	149207
9606.ENSP00000369609	751	119316
9606.ENSP00000357801	750	16954
9606.ENSP00000363988	745	75180
9606.ENSP00000265333	743	75477
