#id: 3008811616
#name: Homo sapiens - Liver, SC (Peptideatlas,aug,2013)
#score: 15.9
#description: abundance based on Spectral counting, Interaction consistency score: 15.9, Coverage: 26
#organ: LIVER
#integrated: false
#coverage: 26
#link: http://www.peptideatlas.org/builds/
#publication_year: 2013
#filename: 9606-PA_liver_201308.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4439524	9606.ENSP00000322421	38247	69483
4434183	9606.ENSP00000251595	38247	69483
4438237	9606.ENSP00000306606	36649	94731
4440511	9606.ENSP00000333994	32702	66244
4437198	9606.ENSP00000295834	31637	21543
4435927	9606.ENSP00000270142	28913	18197
4444463	9606.ENSP00000363988	24532	46152
4435613	9606.ENSP00000265512	19964	55890
4437206	9606.ENSP00000295897	19583	75444
4434854	9606.ENSP00000261313	17735	16271
4432830	9606.ENSP00000209668	14621	63081
4433451	9606.ENSP00000229239	12962	20681
4448239	9606.ENSP00000402608	12090	104087
4449347	9606.ENSP00000426083	12029	46425
4445365	9606.ENSP00000369654	11403	30597
4445428	9606.ENSP00000370010	10150	205
4436619	9606.ENSP00000285093	9871	21434
4440697	9606.ENSP00000335620	9627	18881
4434387	9606.ENSP00000254810	8842	3750
4442746	9606.ENSP00000355778	8842	3750
4445814	9606.ENSP00000373620	7737	21506
4449091	9606.ENSP00000420168	7651	17383
4435651	9606.ENSP00000265838	7191	16578
4444869	9606.ENSP00000366525	6719	6008
4451332	9606.ENSP00000478828	6662	1546
4443311	9606.ENSP00000358414	6540	16186
4442386	9606.ENSP00000353720	6188	26128
4443929	9606.ENSP00000361471	6057	11378
4437874	9606.ENSP00000302620	5820	14823
4433608	9606.ENSP00000233893	5814	3181
4440919	9606.ENSP00000339063	5535	12261
4437953	9606.ENSP00000303356	5534	9290
4441169	9606.ENSP00000341625	5430	3289
4437436	9606.ENSP00000297785	5093	15070
4440966	9606.ENSP00000339566	4714	4464
4443119	9606.ENSP00000357535	4589	8692
4436127	9606.ENSP00000274353	4496	11366
4435133	9606.ENSP00000262746	4043	5301
4441991	9606.ENSP00000349960	3870	27297
4435781	9606.ENSP00000267814	3813	8638
4434937	9606.ENSP00000261733	3780	16328
4439955	9606.ENSP00000327801	3748	8955
4433793	9606.ENSP00000241052	3747	13728
4434392	9606.ENSP00000254878	3693	3583
4450595	9606.ENSP00000458162	3654	26753
4438861	9606.ENSP00000313432	3504	5926
4433634	9606.ENSP00000234590	3425	11781
4446805	9606.ENSP00000381386	3263	3205
4439395	9606.ENSP00000320866	3233	5744
4439666	9606.ENSP00000324173	3084	11259
4445799	9606.ENSP00000373487	3082	6268
4434216	9606.ENSP00000252244	3004	11874
4441216	9606.ENSP00000342026	2981	4728
4446342	9606.ENSP00000378359	2933	9049
4444406	9606.ENSP00000363641	2883	2414
4434993	9606.ENSP00000262030	2746	9392
