#id: 424742617
#name: Homo sapiens - Placenta (Integrated)
#score: 30.9
#coverage: 58
#description: integrated dataset: weighted average of all Homo sapiens PLACENTA: 30.9, Coverage: 58
#organ: PLACENTA
#integrated: true
#weights: PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Placenta:0.333;Fetal_Placenta_Kim_2014_SEQUEST:0.333;placenta_Wilhelm_2014_Maxquant:0.333;
#publication_year: 2023
#filename: 9606-PLACENTA-integrated.txt
#
#internal_id	string_external_id	abundance
4440511	9606.ENSP00000333994	45191
4445357	9606.ENSP00000369609	22307
4437206	9606.ENSP00000295897	14589
4434183	9606.ENSP00000251595	14244
4439524	9606.ENSP00000322421	14244
4438190	9606.ENSP00000306099	8687
4445365	9606.ENSP00000369654	8117
4444796	9606.ENSP00000366109	7746
4450595	9606.ENSP00000458162	7209
4450181	9606.ENSP00000446007	7180
4440740	9606.ENSP00000336829	6855
4450285	9606.ENSP00000449404	6586
4441580	9606.ENSP00000346032	6339
4445799	9606.ENSP00000373487	6123
4445428	9606.ENSP00000370010	6104
4439054	9606.ENSP00000316416	5440
4433668	9606.ENSP00000236850	5068
4439919	9606.ENSP00000327431	5021
4433451	9606.ENSP00000229239	4892
4437619	9606.ENSP00000300026	4139
4448813	9606.ENSP00000416066	4132
4434059	9606.ENSP00000248553	3950
4437770	9606.ENSP00000301522	3858
4438214	9606.ENSP00000306361	3791
4447279	9606.ENSP00000385834	3658
4437270	9606.ENSP00000296370	3614
4440087	9606.ENSP00000329243	3564
4437297	9606.ENSP00000296511	3532
4449553	9606.ENSP00000430656	3345
4437661	9606.ENSP00000300289	3245
4449041	9606.ENSP00000419425	3239
4435987	9606.ENSP00000271638	3059
4435133	9606.ENSP00000262746	2846
4441661	9606.ENSP00000346839	2784
4439955	9606.ENSP00000327801	2772
4441649	9606.ENSP00000346694	2757
4449622	9606.ENSP00000432282	2675
4446089	9606.ENSP00000376623	2668
4443076	9606.ENSP00000357283	2613
4435245	9606.ENSP00000263368	2596
4443313	9606.ENSP00000358421	2576
4449639	9606.ENSP00000432660	2500
4439666	9606.ENSP00000324173	2443
4441991	9606.ENSP00000349960	2437
4442654	9606.ENSP00000355330	2419
4440919	9606.ENSP00000339063	2335
4448824	9606.ENSP00000416293	2292
4437604	9606.ENSP00000299767	2286
4446258	9606.ENSP00000377833	2257
4442650	9606.ENSP00000355315	2200
4439395	9606.ENSP00000320866	2125
4442612	9606.ENSP00000355124	2118
4435415	9606.ENSP00000264335	2044
4441634	9606.ENSP00000346550	2036
4436066	9606.ENSP00000273258	2023
4433634	9606.ENSP00000234590	1997
