#id: 1369124905
#name: Homo sapiens - Plasma (Integrated)
#score: 16.5
#coverage: 37
#description: integrated dataset: weighted average of all Homo sapiens PLASMA: 16.5, Coverage: 37
#organ: PLASMA
#integrated: true
#weights: human_plasma_PA_2021-7:0.445;9606-PA_plasma:0.178;human_plasma_atlas_201005:0.156;PXD003028_Grassl_Genome_Med_2016_human_plasma:0.084;human3_non-alkylatedPlasma_PRIDE:0.074;PXD010899_human_plasma:0.055;PXD004242_Geyer_Mol_Syst_Biol_2016_human_plasma:0.008;
#publication_year: 2023
#filename: 9606-PLASMA-integrated.txt
#
#internal_id	string_external_id	abundance
4437206	9606.ENSP00000295897	70240
4433668	9606.ENSP00000236850	37504
4443752	9606.ENSP00000360522	34554
4443001	9606.ENSP00000356969	34345
4449581	9606.ENSP00000431254	33096
4450772	9606.ENSP00000465356	27995
4448813	9606.ENSP00000416066	23066
4433675	9606.ENSP00000237014	22027
4433396	9606.ENSP00000227667	21304
4434700	9606.ENSP00000259396	19533
4441496	9606.ENSP00000345179	18333
4445428	9606.ENSP00000370010	17023
4435671	9606.ENSP00000265983	15782
4447279	9606.ENSP00000385834	15602
4441808	9606.ENSP00000348170	15221
4442941	9606.ENSP00000356671	14921
4444265	9606.ENSP00000362924	14458
4436962	9606.ENSP00000292401	14405
4438190	9606.ENSP00000306099	13610
4435459	9606.ENSP00000264613	13414
4433951	9606.ENSP00000245907	12430
4442050	9606.ENSP00000350425	12313
4447823	9606.ENSP00000393887	11980
4439653	9606.ENSP00000323929	11947
4434228	9606.ENSP00000252490	11053
4450821	9606.ENSP00000466775	10775
4438214	9606.ENSP00000306361	10463
4440740	9606.ENSP00000336829	9562
4449184	9606.ENSP00000421725	8227
4447873	9606.ENSP00000394936	8102
4434407	9606.ENSP00000255040	7776
4439481	9606.ENSP00000321853	7238
4434227	9606.ENSP00000252486	7196
4434379	9606.ENSP00000254722	7117
4442719	9606.ENSP00000355627	7059
4432817	9606.ENSP00000205948	6765
4435199	9606.ENSP00000263100	6763
4432868	9606.ENSP00000215727	6703
4441570	9606.ENSP00000345968	6243
4437875	9606.ENSP00000302621	6168
4440511	9606.ENSP00000333994	6149
4437240	9606.ENSP00000296130	6141
4433584	9606.ENSP00000233242	6030
4442881	9606.ENSP00000356399	5780
4435259	9606.ENSP00000263408	5736
4435563	9606.ENSP00000265132	5417
4434216	9606.ENSP00000252244	4957
4446103	9606.ENSP00000376793	4690
4433552	9606.ENSP00000232003	4671
4435537	9606.ENSP00000265023	4657
4435725	9606.ENSP00000266718	4638
4438974	9606.ENSP00000315130	4552
4440097	9606.ENSP00000329374	4408
4438421	9606.ENSP00000308541	4360
4435679	9606.ENSP00000266041	4278
4434183	9606.ENSP00000251595	4158
4436285	9606.ENSP00000278407	4120
4433993	9606.ENSP00000246662	3978
4439494	9606.ENSP00000322061	3962
4436068	9606.ENSP00000273283	3938
4450315	9606.ENSP00000450540	3930
4448574	9606.ENSP00000410815	3851
4448835	9606.ENSP00000416561	3804
4433224	9606.ENSP00000222381	3672
4441288	9606.ENSP00000342850	3534
4447940	9606.ENSP00000396688	3420
4433357	9606.ENSP00000226218	3386
4438461	9606.ENSP00000308938	3330
4436277	9606.ENSP00000278222	3307
4447178	9606.ENSP00000384906	3135
4442800	9606.ENSP00000356037	3107
4439524	9606.ENSP00000322421	2989
4448841	9606.ENSP00000416683	2958
4450004	9606.ENSP00000441828	2905
4442116	9606.ENSP00000351190	2821
4444651	9606.ENSP00000365081	2723
4439282	9606.ENSP00000319464	2690
4435966	9606.ENSP00000270879	2642
4433289	9606.ENSP00000223642	2638
4445798	9606.ENSP00000373477	2569
4435898	9606.ENSP00000269576	2547
4452063	9606.ENSP00000485552	2538
4448805	9606.ENSP00000415941	2476
4450325	9606.ENSP00000450838	2298
4434405	9606.ENSP00000255030	2219
4433367	9606.ENSP00000226355	2208
4441661	9606.ENSP00000346839	2174
4439145	9606.ENSP00000317674	2136
4440269	9606.ENSP00000331544	2113
4434385	9606.ENSP00000254801	2101
4444587	9606.ENSP00000364709	2051
4437564	9606.ENSP00000299367	2027
4446295	9606.ENSP00000378130	1999
4443530	9606.ENSP00000359446	1997
4438033	9606.ENSP00000304236	1972
4437223	9606.ENSP00000296028	1904
4438900	9606.ENSP00000313967	1871
4437883	9606.ENSP00000302665	1805
4443785	9606.ENSP00000360687	1699
4435164	9606.ENSP00000262919	1673
4438923	9606.ENSP00000314299	1664
4449771	9606.ENSP00000436126	1659
4449877	9606.ENSP00000438615	1653
4445394	9606.ENSP00000369816	1651
4435707	9606.ENSP00000266542	1647
4433043	9606.ENSP00000218099	1640
4445494	9606.ENSP00000370473	1629
4432734	9606.ENSP00000181383	1628
4434847	9606.ENSP00000261267	1616
4435424	9606.ENSP00000264381	1612
4439432	9606.ENSP00000321334	1576
4447198	9606.ENSP00000385035	1554
4450869	9606.ENSP00000468236	1540
4443057	9606.ENSP00000357156	1537
4440329	9606.ENSP00000332139	1536
4450405	9606.ENSP00000452780	1497
4449553	9606.ENSP00000430656	1480
4435261	9606.ENSP00000263413	1415
4443704	9606.ENSP00000360281	1414
4442465	9606.ENSP00000354458	1391
4451325	9606.ENSP00000478725	1372
4446810	9606.ENSP00000381448	1291
4445365	9606.ENSP00000369654	1234
4438640	9606.ENSP00000310861	1232
4441874	9606.ENSP00000348933	1207
4443247	9606.ENSP00000358045	1204
4434012	9606.ENSP00000247153	1200
4442876	9606.ENSP00000356385	1182
4443166	9606.ENSP00000357727	1161
4442879	9606.ENSP00000356391	1136
4434989	9606.ENSP00000261994	1120
4449187	9606.ENSP00000421801	1115
4433614	9606.ENSP00000234071	1090
4434311	9606.ENSP00000253496	1083
4444428	9606.ENSP00000363773	1083
