#id: 2304673249
#name: Homo sapiens - Plasma, iBAQ (Grassletal,genomemed2016)
#score: 2.7
#description: abundance based on iBAQ, Interaction consistency score: 2.7, Coverage: 1
#organ: PLASMA
#integrated: false
#coverage: 1
#link: http://www.ncbi.nlm.nih.gov/pubmed/27102203
#publication_year: 2016
#filename: 9606-PXD003028_Grassl_Genome_Med_2016_human_plasma.txt
#
#string_external_id	abundance
9606.ENSP00000295897	263838
9606.ENSP00000236850	88685
9606.ENSP00000416066	68824
9606.ENSP00000323929	67118
9606.ENSP00000385834	59136
9606.ENSP00000245907	45506
9606.ENSP00000233242	44283
9606.ENSP00000306361	29543
9606.ENSP00000336829	28232
9606.ENSP00000306099	24812
9606.ENSP00000333994	23034
9606.ENSP00000348170	21796
9606.ENSP00000396688	14844
9606.ENSP00000237014	14651
9606.ENSP00000251595	11863
9606.ENSP00000431254	11500
9606.ENSP00000376793	9522
9606.ENSP00000356671	9355
9606.ENSP00000346839	9248
9606.ENSP00000356969	8373
9606.ENSP00000350425	8347
9606.ENSP00000265983	7986
9606.ENSP00000259396	7912
9606.ENSP00000264613	7550
9606.ENSP00000266041	5961
9606.ENSP00000421725	5786
9606.ENSP00000315130	5438
9606.ENSP00000410815	5365
9606.ENSP00000263100	4818
9606.ENSP00000362924	4484
9606.ENSP00000393887	4438
9606.ENSP00000351190	4371
9606.ENSP00000278407	4158
9606.ENSP00000273283	4004
9606.ENSP00000356399	3356
9606.ENSP00000222381	3334
9606.ENSP00000227667	3209
9606.ENSP00000226218	2814
9606.ENSP00000355627	2617
9606.ENSP00000232003	2592
9606.ENSP00000252490	2211
9606.ENSP00000252486	2154
9606.ENSP00000308938	2119
9606.ENSP00000465356	2041
9606.ENSP00000321853	1987
9606.ENSP00000302621	1493
9606.ENSP00000265132	1439
9606.ENSP00000205948	1331
9606.ENSP00000215727	1313
9606.ENSP00000255040	1282
9606.ENSP00000223642	1268
9606.ENSP00000292401	1235
9606.ENSP00000308541	1209
9606.ENSP00000385035	1199
9606.ENSP00000416683	1125
9606.ENSP00000342850	980
9606.ENSP00000345179	954
9606.ENSP00000254722	942
9606.ENSP00000394936	912
9606.ENSP00000226355	883
9606.ENSP00000263413	870
9606.ENSP00000317674	782
9606.ENSP00000263408	758
9606.ENSP00000438615	721
9606.ENSP00000266718	689
9606.ENSP00000264690	688
9606.ENSP00000356037	656
9606.ENSP00000441828	649
9606.ENSP00000485552	646
9606.ENSP00000377783	613
9606.ENSP00000322061	596
9606.ENSP00000313967	562
9606.ENSP00000354458	500
9606.ENSP00000321334	492
9606.ENSP00000254801	491
9606.ENSP00000365081	473
9606.ENSP00000253496	447
9606.ENSP00000360522	445
9606.ENSP00000378130	416
9606.ENSP00000369654	400
9606.ENSP00000450838	385
9606.ENSP00000329374	296
9606.ENSP00000415769	294
9606.ENSP00000363770	276
9606.ENSP00000345968	275
9606.ENSP00000360281	256
9606.ENSP00000363773	235
9606.ENSP00000351682	212
9606.ENSP00000230036	201
9606.ENSP00000479675	184
9606.ENSP00000319464	179
9606.ENSP00000430656	166
9606.ENSP00000270879	166
9606.ENSP00000400995	149
9606.ENSP00000324205	149
9606.ENSP00000415941	132
9606.ENSP00000296130	119
9606.ENSP00000261994	118
9606.ENSP00000262919	115
9606.ENSP00000356771	115
9606.ENSP00000299367	107
9606.ENSP00000314299	106
9606.ENSP00000217407	102
9606.ENSP00000264870	101
9606.ENSP00000331544	99.8
9606.ENSP00000363827	98.2
9606.ENSP00000458162	89.1
9606.ENSP00000420939	88.8
9606.ENSP00000359446	86.1
9606.ENSP00000357156	85.8
9606.ENSP00000358045	80.3
9606.ENSP00000416330	78.3
9606.ENSP00000262776	76.2
9606.ENSP00000364709	76.1
9606.ENSP00000238256	76.1
9606.ENSP00000224181	74.8
9606.ENSP00000260356	74.1
9606.ENSP00000333203	65.7
9606.ENSP00000373477	64.7
9606.ENSP00000356382	62.6
9606.ENSP00000226524	59.7
9606.ENSP00000452780	57.7
9606.ENSP00000277903	56.5
9606.ENSP00000301522	54.9
9606.ENSP00000181383	53.4
9606.ENSP00000296028	52.6
9606.ENSP00000218099	48.5
9606.ENSP00000344458	41.7
9606.ENSP00000261405	41.2
9606.ENSP00000417138	38.5
9606.ENSP00000266542	37.4
9606.ENSP00000369816	35.4
9606.ENSP00000376776	33.9
9606.ENSP00000265023	31.2
9606.ENSP00000421801	31.0
9606.ENSP00000357727	30.0
9606.ENSP00000291744	29.7
9606.ENSP00000480884	28.0
9606.ENSP00000264005	28.0
9606.ENSP00000344115	27.6
9606.ENSP00000304236	27.3
9606.ENSP00000384957	27.2
9606.ENSP00000362778	26.5
9606.ENSP00000332139	25.9
9606.ENSP00000399679	25.8
9606.ENSP00000369609	25.4
9606.ENSP00000255030	24.9
9606.ENSP00000264381	22.5
9606.ENSP00000389814	21.0
9606.ENSP00000329312	20.6
9606.ENSP00000349325	20.1
9606.ENSP00000360797	19.1
9606.ENSP00000236147	19.0
9606.ENSP00000246662	18.4
9606.ENSP00000252244	18.2
9606.ENSP00000285379	17.7
9606.ENSP00000414287	17.3
9606.ENSP00000381250	17.1
9606.ENSP00000262746	16.7
9606.ENSP00000370473	16.6
9606.ENSP00000468236	14.0
9606.ENSP00000222399	12.9
9606.ENSP00000355645	12.7
9606.ENSP00000269576	10.8
9606.ENSP00000384906	10.4
