#id: 2845810289
#name: Homo sapiens - Arterial blood vessel, copy number estimated from proteomic ruler (Dolletal,natcomm2017)
#score: 14.7
#description: abundance based on copy number estimated from proteomic ruler, Interaction consistency score: 14.7, Coverage: 31
#organ: ARTERIAL_BLOOD_VESSEL
#integrated: false
#coverage: 31
#link: http://www.ncbi.nlm.nih.gov/pubmed/29133944
#publication_year: 2017
#filename: 9606-PXD006675_Doll_Nat_Comm_2017_heart_large_arteries.txt
#
#internal_id	string_external_id	abundance
4443409	9606.ENSP00000358866	246
4446531	9606.ENSP00000379616	243
4450181	9606.ENSP00000446007	240
4436861	9606.ENSP00000290378	239
4437161	9606.ENSP00000295550	235
4432924	9606.ENSP00000216181	234
4440511	9606.ENSP00000333994	234
4449622	9606.ENSP00000432282	233
4433346	9606.ENSP00000225964	233
4432848	9606.ENSP00000211998	231
4439524	9606.ENSP00000322421	231
4442096	9606.ENSP00000351022	231
4444989	9606.ENSP00000367263	230
4439035	9606.ENSP00000316029	230
4444439	9606.ENSP00000363827	230
4437383	9606.ENSP00000297268	230
4439901	9606.ENSP00000327145	228
4435104	9606.ENSP00000262551	228
4441661	9606.ENSP00000346839	228
4448813	9606.ENSP00000416066	227
4450215	9606.ENSP00000446955	226
4450595	9606.ENSP00000458162	226
4434224	9606.ENSP00000252456	226
4433451	9606.ENSP00000229239	226
4435725	9606.ENSP00000266718	226
4433951	9606.ENSP00000245907	226
4444265	9606.ENSP00000362924	226
4447279	9606.ENSP00000385834	225
4443076	9606.ENSP00000357283	225
4439914	9606.ENSP00000327336	225
4434247	9606.ENSP00000252699	225
4433668	9606.ENSP00000236850	225
4438049	9606.ENSP00000304408	225
4441378	9606.ENSP00000343924	225
4435552	9606.ENSP00000265077	225
4436327	9606.ENSP00000279022	224
4434059	9606.ENSP00000248553	224
4437442	9606.ENSP00000297848	224
4442622	9606.ENSP00000355180	223
4434270	9606.ENSP00000252999	222
4437672	9606.ENSP00000300527	222
4441580	9606.ENSP00000346032	222
4442549	9606.ENSP00000354826	222
4439337	9606.ENSP00000320171	221
4447549	9606.ENSP00000388325	221
4437720	9606.ENSP00000301071	220
4444297	9606.ENSP00000363071	220
4433634	9606.ENSP00000234590	220
4432629	9606.ENSP00000052754	220
4432714	9606.ENSP00000171887	219
4437297	9606.ENSP00000296511	219
4441360	9606.ENSP00000343690	219
4434618	9606.ENSP00000258341	219
4434727	9606.ENSP00000259818	219
4438776	9606.ENSP00000312326	219
4441634	9606.ENSP00000346550	219
4448463	9606.ENSP00000407685	218
4444160	9606.ENSP00000362413	218
4444796	9606.ENSP00000366109	218
4441742	9606.ENSP00000347665	217
4432889	9606.ENSP00000215909	217
4446540	9606.ENSP00000379678	217
4446425	9606.ENSP00000378957	217
4442357	9606.ENSP00000353452	217
4445267	9606.ENSP00000369071	217
4446386	9606.ENSP00000378669	216
4439640	9606.ENSP00000323856	216
4446480	9606.ENSP00000379287	216
4440740	9606.ENSP00000336829	216
4445368	9606.ENSP00000369677	216
4438214	9606.ENSP00000306361	216
4441481	9606.ENSP00000345008	215
4442353	9606.ENSP00000353408	215
4435232	9606.ENSP00000263277	215
4441728	9606.ENSP00000347507	215
4441798	9606.ENSP00000348099	215
4438974	9606.ENSP00000315130	215
4441904	9606.ENSP00000349259	215
4439653	9606.ENSP00000323929	215
4438237	9606.ENSP00000306606	215
4437332	9606.ENSP00000296755	215
4432991	9606.ENSP00000216962	214
4442857	9606.ENSP00000356275	214
4443268	9606.ENSP00000358151	214
4449041	9606.ENSP00000419425	214
4442382	9606.ENSP00000353654	214
4433326	9606.ENSP00000225655	214
4435814	9606.ENSP00000268182	214
4446672	9606.ENSP00000380489	214
4451678	9606.ENSP00000482472	214
4447940	9606.ENSP00000396688	214
4443160	9606.ENSP00000357709	214
4433584	9606.ENSP00000233242	214
4434407	9606.ENSP00000255040	214
4448825	9606.ENSP00000416330	213
4448229	9606.ENSP00000402373	213
4446489	9606.ENSP00000379350	213
4443770	9606.ENSP00000360609	213
4433456	9606.ENSP00000229270	213
4444948	9606.ENSP00000367034	213
4439744	9606.ENSP00000325146	213
4449327	9606.ENSP00000425556	213
4441289	9606.ENSP00000342858	213
4435671	9606.ENSP00000265983	213
4442654	9606.ENSP00000355330	213
4450150	9606.ENSP00000445175	213
4449616	9606.ENSP00000432083	213
4441938	9606.ENSP00000349541	213
4439770	9606.ENSP00000325527	213
4437661	9606.ENSP00000300289	213
4441138	9606.ENSP00000341289	213
4449639	9606.ENSP00000432660	212
4441877	9606.ENSP00000348965	212
4440966	9606.ENSP00000339566	212
4446235	9606.ENSP00000377710	212
4443158	9606.ENSP00000357705	212
4434854	9606.ENSP00000261313	212
4442050	9606.ENSP00000350425	212
4441806	9606.ENSP00000348163	212
4445365	9606.ENSP00000369654	212
4442190	9606.ENSP00000351807	211
4438190	9606.ENSP00000306099	211
4446852	9606.ENSP00000381736	211
4446837	9606.ENSP00000381607	211
4444027	9606.ENSP00000361883	211
4446285	9606.ENSP00000378058	211
4434700	9606.ENSP00000259396	211
4450086	9606.ENSP00000443495	211
4439666	9606.ENSP00000324173	211
4442467	9606.ENSP00000354468	211
4433964	9606.ENSP00000246069	211
4449412	9606.ENSP00000427687	211
4442881	9606.ENSP00000356399	211
4435133	9606.ENSP00000262746	210
4438513	9606.ENSP00000309539	210
4446501	9606.ENSP00000379386	210
4433675	9606.ENSP00000237014	210
4437604	9606.ENSP00000299767	210
4451404	9606.ENSP00000479606	210
4435927	9606.ENSP00000270142	210
4433357	9606.ENSP00000226218	210
4446590	9606.ENSP00000379975	210
4441808	9606.ENSP00000348170	210
4443033	9606.ENSP00000357076	209
4434993	9606.ENSP00000262030	209
4442292	9606.ENSP00000352834	209
4435259	9606.ENSP00000263408	209
4442574	9606.ENSP00000354923	209
4443270	9606.ENSP00000358155	209
4440269	9606.ENSP00000331544	209
4448574	9606.ENSP00000410815	209
4437548	9606.ENSP00000299198	209
4440933	9606.ENSP00000339191	209
4449678	9606.ENSP00000433560	209
4441216	9606.ENSP00000342026	209
4435811	9606.ENSP00000268150	209
4450866	9606.ENSP00000468057	208
4433280	9606.ENSP00000223357	208
4446258	9606.ENSP00000377833	208
4442853	9606.ENSP00000356257	208
4433162	9606.ENSP00000221476	208
