#id: 1247991762
#name: H.sapiens - Semi-lunar valve, copy number estimated from proteomic ruler (Dolletal,natcomm2017)
#score: 11.3
#weight: 100%
#description: abundance based on copy number estimated from proteomic ruler, Interaction consistency score: 11.3, Coverage: 30
#organ: SEMI-LUNAR_VALVE
#integrated: false
#coverage: 30
#link: http://www.ncbi.nlm.nih.gov/pubmed/29133944
#publication_year: 2017
#filename: 9606-PXD006675_Doll_Nat_Comm_2017_heart_semilunar_valve.txt
#
#internal_id	string_external_id	abundance
4450181	9606.ENSP00000446007	247
4437161	9606.ENSP00000295550	246
4440511	9606.ENSP00000333994	245
4437383	9606.ENSP00000297268	243
4433668	9606.ENSP00000236850	243
4433951	9606.ENSP00000245907	242
4433346	9606.ENSP00000225964	242
4439524	9606.ENSP00000322421	242
4448813	9606.ENSP00000416066	240
4441378	9606.ENSP00000343924	239
4433584	9606.ENSP00000233242	239
4439653	9606.ENSP00000323929	238
4439914	9606.ENSP00000327336	238
4442622	9606.ENSP00000355180	236
4447279	9606.ENSP00000385834	236
4437672	9606.ENSP00000300527	235
4445267	9606.ENSP00000369071	235
4444989	9606.ENSP00000367263	235
4441808	9606.ENSP00000348170	234
4448463	9606.ENSP00000407685	234
4440740	9606.ENSP00000336829	234
4447940	9606.ENSP00000396688	233
4438214	9606.ENSP00000306361	233
4435725	9606.ENSP00000266718	233
4441683	9606.ENSP00000347041	233
4446672	9606.ENSP00000380489	232
4441661	9606.ENSP00000346839	232
4436861	9606.ENSP00000290378	232
4432629	9606.ENSP00000052754	231
4438190	9606.ENSP00000306099	230
4441580	9606.ENSP00000346032	230
4438049	9606.ENSP00000304408	230
4443409	9606.ENSP00000358866	230
4435671	9606.ENSP00000265983	230
4435552	9606.ENSP00000265077	229
4433451	9606.ENSP00000229239	229
4436068	9606.ENSP00000273283	228
4433162	9606.ENSP00000221476	228
4442128	9606.ENSP00000351310	228
4435459	9606.ENSP00000264613	228
4444265	9606.ENSP00000362924	228
4442116	9606.ENSP00000351190	228
4443076	9606.ENSP00000357283	227
4444439	9606.ENSP00000363827	227
4450595	9606.ENSP00000458162	226
4434407	9606.ENSP00000255040	226
4434700	9606.ENSP00000259396	225
4441044	9606.ENSP00000340465	225
4448574	9606.ENSP00000410815	225
4435104	9606.ENSP00000262551	225
4441904	9606.ENSP00000349259	225
4437720	9606.ENSP00000301071	224
4433552	9606.ENSP00000232003	224
4444160	9606.ENSP00000362413	224
4434727	9606.ENSP00000259818	224
4442881	9606.ENSP00000356399	223
4446386	9606.ENSP00000378669	223
4433675	9606.ENSP00000237014	223
4436285	9606.ENSP00000278407	223
4438237	9606.ENSP00000306606	223
4444796	9606.ENSP00000366109	223
4439770	9606.ENSP00000325527	222
4450881	9606.ENSP00000468500	222
4449184	9606.ENSP00000421725	222
4432924	9606.ENSP00000216181	222
4435679	9606.ENSP00000266041	222
4438974	9606.ENSP00000315130	222
4433456	9606.ENSP00000229270	222
4443268	9606.ENSP00000358151	222
4441360	9606.ENSP00000343690	221
4443160	9606.ENSP00000357709	221
4439337	9606.ENSP00000320171	221
4433289	9606.ENSP00000223642	221
4444948	9606.ENSP00000367034	221
4445365	9606.ENSP00000369654	221
4442050	9606.ENSP00000350425	221
4444584	9606.ENSP00000364694	221
4444252	9606.ENSP00000362817	221
4435537	9606.ENSP00000265023	221
4439640	9606.ENSP00000323856	221
4433357	9606.ENSP00000226218	221
4434854	9606.ENSP00000261313	220
4448825	9606.ENSP00000416330	220
4443001	9606.ENSP00000356969	220
4442941	9606.ENSP00000356671	220
4432868	9606.ENSP00000215727	220
4449851	9606.ENSP00000438144	220
4446103	9606.ENSP00000376793	219
4449553	9606.ENSP00000430656	219
4439744	9606.ENSP00000325146	219
4439035	9606.ENSP00000316029	219
4443270	9606.ENSP00000358155	219
4435199	9606.ENSP00000263100	219
4435927	9606.ENSP00000270142	219
4437297	9606.ENSP00000296511	219
4432889	9606.ENSP00000215909	219
4435133	9606.ENSP00000262746	218
4433634	9606.ENSP00000234590	218
4445368	9606.ENSP00000369677	218
4437442	9606.ENSP00000297848	217
4446501	9606.ENSP00000379386	217
4449622	9606.ENSP00000432282	217
4447823	9606.ENSP00000393887	217
4442190	9606.ENSP00000351807	217
4449616	9606.ENSP00000432083	217
4449041	9606.ENSP00000419425	217
4434379	9606.ENSP00000254722	216
4437436	9606.ENSP00000297785	216
4437770	9606.ENSP00000301522	216
4448239	9606.ENSP00000402608	216
4440269	9606.ENSP00000331544	216
4434059	9606.ENSP00000248553	216
4441877	9606.ENSP00000348965	216
4442353	9606.ENSP00000353408	216
4441634	9606.ENSP00000346550	216
4438513	9606.ENSP00000309539	216
4434771	9606.ENSP00000260356	215
4441216	9606.ENSP00000342026	215
4446425	9606.ENSP00000378957	215
4432848	9606.ENSP00000211998	215
4435259	9606.ENSP00000263408	215
4439481	9606.ENSP00000321853	214
4434227	9606.ENSP00000252486	214
4436015	9606.ENSP00000272317	214
4437661	9606.ENSP00000300289	214
4434387	9606.ENSP00000254810	214
4433793	9606.ENSP00000241052	214
4437198	9606.ENSP00000295834	214
4437604	9606.ENSP00000299767	214
4443556	9606.ENSP00000359539	214
4447873	9606.ENSP00000394936	214
4435814	9606.ENSP00000268182	214
4434247	9606.ENSP00000252699	214
4440966	9606.ENSP00000339566	214
4446480	9606.ENSP00000379287	214
4441481	9606.ENSP00000345008	213
4442467	9606.ENSP00000354468	213
4450150	9606.ENSP00000445175	213
4433326	9606.ENSP00000225655	213
4443770	9606.ENSP00000360609	213
4451404	9606.ENSP00000479606	213
4438461	9606.ENSP00000308938	213
4443158	9606.ENSP00000357705	213
4439661	9606.ENSP00000324105	213
4435245	9606.ENSP00000263368	213
4450215	9606.ENSP00000446955	213
4436582	9606.ENSP00000284322	213
4435563	9606.ENSP00000265132	213
4444869	9606.ENSP00000366525	213
4436962	9606.ENSP00000292401	213
4448366	9606.ENSP00000405573	212
4434993	9606.ENSP00000262030	212
4447081	9606.ENSP00000384169	212
4446837	9606.ENSP00000381607	212
4439676	9606.ENSP00000324277	212
4440872	9606.ENSP00000338481	212
4434971	9606.ENSP00000261883	212
4439666	9606.ENSP00000324173	212
4436083	9606.ENSP00000273550	212
4444463	9606.ENSP00000363988	212
4439955	9606.ENSP00000327801	212
4440643	9606.ENSP00000335153	212
4445414	9606.ENSP00000369927	212
4448841	9606.ENSP00000416683	211
4432936	9606.ENSP00000216254	211
4447974	9606.ENSP00000397261	211
4437875	9606.ENSP00000302621	211
4450086	9606.ENSP00000443495	211
4433280	9606.ENSP00000223357	211
4443819	9606.ENSP00000360882	211
4435508	9606.ENSP00000264870	211
4437386	9606.ENSP00000297283	211
4442096	9606.ENSP00000351022	211
4439901	9606.ENSP00000327145	210
4443194	9606.ENSP00000357801	210
4432966	9606.ENSP00000216484	210
4435232	9606.ENSP00000263277	210
4445450	9606.ENSP00000370129	210
4444466	9606.ENSP00000364000	210
4443663	9606.ENSP00000360124	210
4450325	9606.ENSP00000450838	210
4441138	9606.ENSP00000341289	210
4432817	9606.ENSP00000205948	210
4439395	9606.ENSP00000320866	210
4442962	9606.ENSP00000356791	210
4441742	9606.ENSP00000347665	210
4439895	9606.ENSP00000327070	210
4449678	9606.ENSP00000433560	210
4449888	9606.ENSP00000439012	210
4433396	9606.ENSP00000227667	210
4434937	9606.ENSP00000261733	209
4447198	9606.ENSP00000385035	209
4448989	9606.ENSP00000418770	209
4447693	9606.ENSP00000391481	209
4435261	9606.ENSP00000263413	209
4449877	9606.ENSP00000438615	209
4450194	9606.ENSP00000446252	209
4442719	9606.ENSP00000355627	209
4442348	9606.ENSP00000353375	209
4444427	9606.ENSP00000363770	209
4438900	9606.ENSP00000313967	209
4433367	9606.ENSP00000226355	209
4443033	9606.ENSP00000357076	209
4441496	9606.ENSP00000345179	209
4436629	9606.ENSP00000285381	209
4447301	9606.ENSP00000386043	209
4442386	9606.ENSP00000353720	209
4444486	9606.ENSP00000364140	208
4434023	9606.ENSP00000247461	208
4433003	9606.ENSP00000217182	208
4432991	9606.ENSP00000216962	208
4440919	9606.ENSP00000339063	208
4438694	9606.ENSP00000311469	208
4436628	9606.ENSP00000285379	208
4440366	9606.ENSP00000332511	208
4446852	9606.ENSP00000381736	208
4441728	9606.ENSP00000347507	208
4438372	9606.ENSP00000307940	208
4443704	9606.ENSP00000360281	208
4440236	9606.ENSP00000331201	208
4435478	9606.ENSP00000264690	208
4441938	9606.ENSP00000349541	208
4442654	9606.ENSP00000355330	208
4436857	9606.ENSP00000290349	208
4435562	9606.ENSP00000265131	208
4440402	9606.ENSP00000332806	208
4436920	9606.ENSP00000291568	207
4445338	9606.ENSP00000369538	207
4449639	9606.ENSP00000432660	207
4444027	9606.ENSP00000361883	207
4442465	9606.ENSP00000354458	207
4435651	9606.ENSP00000265838	207
4437548	9606.ENSP00000299198	207
4433841	9606.ENSP00000243077	207
4442382	9606.ENSP00000353654	207
4441806	9606.ENSP00000348163	207
4445108	9606.ENSP00000367992	207
4438421	9606.ENSP00000308541	207
4433295	9606.ENSP00000224181	207
4440870	9606.ENSP00000338413	207
4450772	9606.ENSP00000465356	207
4432944	9606.ENSP00000216286	207
4442186	9606.ENSP00000351777	206
4444122	9606.ENSP00000362271	206
4436619	9606.ENSP00000285093	206
4440933	9606.ENSP00000339191	206
4446531	9606.ENSP00000379616	206
4434987	9606.ENSP00000261978	206
4442292	9606.ENSP00000352834	206
4433224	9606.ENSP00000222381	206
4437240	9606.ENSP00000296130	206
4441649	9606.ENSP00000346694	206
4435415	9606.ENSP00000264335	206
4433910	9606.ENSP00000244728	206
4434270	9606.ENSP00000252999	206
4433923	9606.ENSP00000245206	206
4436266	9606.ENSP00000277865	206
4450058	9606.ENSP00000442795	206
4442800	9606.ENSP00000356037	206
4433216	9606.ENSP00000222271	206
4438861	9606.ENSP00000313432	206
4446117	9606.ENSP00000376889	206
4445445	9606.ENSP00000370115	205
4435610	9606.ENSP00000265462	205
4445651	9606.ENSP00000371554	205
4444406	9606.ENSP00000363641	205
4435811	9606.ENSP00000268150	205
4434311	9606.ENSP00000253496	205
4437273	9606.ENSP00000296412	205
4449091	9606.ENSP00000420168	205
4447650	9606.ENSP00000390265	205
4451441	9606.ENSP00000480004	205
4437332	9606.ENSP00000296755	205
4439145	9606.ENSP00000317674	205
4441045	9606.ENSP00000340466	205
4448796	9606.ENSP00000415769	205
4435987	9606.ENSP00000271638	205
4445798	9606.ENSP00000373477	205
4443372	9606.ENSP00000358727	205
4447130	9606.ENSP00000384537	205
4446295	9606.ENSP00000378130	205
4451429	9606.ENSP00000479861	205
4440890	9606.ENSP00000338703	204
4441434	9606.ENSP00000344504	204
4441770	9606.ENSP00000347872	204
4443929	9606.ENSP00000361471	204
4432714	9606.ENSP00000171887	204
4447549	9606.ENSP00000388325	204
4436126	9606.ENSP00000274341	204
4450866	9606.ENSP00000468057	204
4438009	9606.ENSP00000303992	204
4435687	9606.ENSP00000266085	204
4434618	9606.ENSP00000258341	204
4441346	9606.ENSP00000343577	204
4446805	9606.ENSP00000381386	204
4436930	9606.ENSP00000291700	204
4446235	9606.ENSP00000377710	204
4445814	9606.ENSP00000373620	204
4448311	9606.ENSP00000404203	204
4446399	9606.ENSP00000378760	203
4436903	9606.ENSP00000291295	203
