#id: 1933621983
#name: H.sapiens - Cardiac ventricle, copy number estimated from proteomic ruler (Dolletal,natcomm2017)
#score: 15.6
#weight: 100%
#description: abundance based on copy number estimated from proteomic ruler, Interaction consistency score: 15.6, Coverage: 31
#organ: CARDIAC_VENTRICLE
#integrated: false
#coverage: 31
#link: http://www.ncbi.nlm.nih.gov/pubmed/29133944
#publication_year: 2017
#filename: 9606-PXD006675_Doll_Nat_Comm_2017_heart_ventricle.txt
#
#internal_id	string_external_id	abundance
4441728	9606.ENSP00000347507	255
4436861	9606.ENSP00000290378	240
4450086	9606.ENSP00000443495	237
4440511	9606.ENSP00000333994	237
4446468	9606.ENSP00000379210	236
4439524	9606.ENSP00000322421	234
4442096	9606.ENSP00000351022	233
4433162	9606.ENSP00000221476	233
4450058	9606.ENSP00000442795	233
4444297	9606.ENSP00000363071	233
4446852	9606.ENSP00000381736	232
4434993	9606.ENSP00000262030	231
4433432	9606.ENSP00000228841	230
4439901	9606.ENSP00000327145	230
4448311	9606.ENSP00000404203	229
4436430	9606.ENSP00000281456	229
4432936	9606.ENSP00000216254	228
4433670	9606.ENSP00000236918	228
4446672	9606.ENSP00000380489	227
4440308	9606.ENSP00000331897	227
4435009	9606.ENSP00000262113	226
4433451	9606.ENSP00000229239	226
4439895	9606.ENSP00000327070	226
4435471	9606.ENSP00000264663	224
4449678	9606.ENSP00000433560	224
4446501	9606.ENSP00000379386	224
4450181	9606.ENSP00000446007	223
4449928	9606.ENSP00000440045	223
4445432	9606.ENSP00000370023	223
4437161	9606.ENSP00000295550	223
4447279	9606.ENSP00000385834	223
4441863	9606.ENSP00000348821	223
4446386	9606.ENSP00000378669	223
4444252	9606.ENSP00000362817	222
4441191	9606.ENSP00000341838	222
4445274	9606.ENSP00000369129	222
4432796	9606.ENSP00000203407	222
4447300	9606.ENSP00000386041	222
4449878	9606.ENSP00000438689	222
4432848	9606.ENSP00000211998	222
4439640	9606.ENSP00000323856	222
4444989	9606.ENSP00000367263	221
4449851	9606.ENSP00000438144	221
4433923	9606.ENSP00000245206	221
4435820	9606.ENSP00000268379	220
4448813	9606.ENSP00000416066	220
4439337	9606.ENSP00000320171	220
4435651	9606.ENSP00000265838	220
4444439	9606.ENSP00000363827	220
4441217	9606.ENSP00000342056	220
4441904	9606.ENSP00000349259	220
4443556	9606.ENSP00000359539	220
4433244	9606.ENSP00000222673	220
4433668	9606.ENSP00000236850	220
4444160	9606.ENSP00000362413	219
4433130	9606.ENSP00000220764	219
4447763	9606.ENSP00000392709	219
4433456	9606.ENSP00000229270	219
4450571	9606.ENSP00000457513	219
4444832	9606.ENSP00000366326	219
4434059	9606.ENSP00000248553	218
4437775	9606.ENSP00000301587	218
4439742	9606.ENSP00000325136	218
4442574	9606.ENSP00000354923	217
4437376	9606.ENSP00000297185	217
4437386	9606.ENSP00000297283	217
4439526	9606.ENSP00000322439	217
4439151	9606.ENSP00000317780	217
4432813	9606.ENSP00000205402	216
4434630	9606.ENSP00000258424	216
4439661	9606.ENSP00000324105	216
4449616	9606.ENSP00000432083	216
4446934	9606.ENSP00000382518	216
4442694	9606.ENSP00000355518	216
4432924	9606.ENSP00000216181	216
4442560	9606.ENSP00000354876	216
4435517	9606.ENSP00000264932	216
4443076	9606.ENSP00000357283	216
4445276	9606.ENSP00000369134	216
4444392	9606.ENSP00000363557	215
4433570	9606.ENSP00000232975	215
4441686	9606.ENSP00000347055	215
4438276	9606.ENSP00000306997	215
4443770	9606.ENSP00000360609	215
4445814	9606.ENSP00000373620	215
4447410	9606.ENSP00000386665	215
4437548	9606.ENSP00000299198	215
4434618	9606.ENSP00000258341	214
4435583	9606.ENSP00000265333	214
4451107	9606.ENSP00000474560	214
4433951	9606.ENSP00000245907	214
4441599	9606.ENSP00000346173	214
4432991	9606.ENSP00000216962	214
4444576	9606.ENSP00000364649	214
4448366	9606.ENSP00000405573	214
4444265	9606.ENSP00000362924	214
4444122	9606.ENSP00000362271	214
4439527	9606.ENSP00000322450	214
4437720	9606.ENSP00000301071	214
4436718	9606.ENSP00000287295	214
4440978	9606.ENSP00000339720	214
4439666	9606.ENSP00000324173	214
4441216	9606.ENSP00000342026	214
4443374	9606.ENSP00000358737	214
4448118	9606.ENSP00000400365	214
4433634	9606.ENSP00000234590	214
4443268	9606.ENSP00000358151	213
4449224	9606.ENSP00000422607	213
4438304	9606.ENSP00000307241	213
4446981	9606.ENSP00000383023	213
4437383	9606.ENSP00000297268	213
4441551	9606.ENSP00000345771	213
4433407	9606.ENSP00000228318	213
4447549	9606.ENSP00000388325	213
4450194	9606.ENSP00000446252	213
4434727	9606.ENSP00000259818	213
4436619	9606.ENSP00000285093	213
4450403	9606.ENSP00000452762	213
4434880	9606.ENSP00000261448	213
4434797	9606.ENSP00000260665	212
4433989	9606.ENSP00000246554	212
4446205	9606.ENSP00000377508	212
4441580	9606.ENSP00000346032	212
4445095	9606.ENSP00000367923	212
4433356	9606.ENSP00000226207	212
4437770	9606.ENSP00000301522	212
4445365	9606.ENSP00000369654	212
4434854	9606.ENSP00000261313	212
4433003	9606.ENSP00000217182	212
4435927	9606.ENSP00000270142	212
4438219	9606.ENSP00000306397	212
4440659	9606.ENSP00000335304	212
4450866	9606.ENSP00000468057	212
4441634	9606.ENSP00000346550	212
4439104	9606.ENSP00000317159	211
4450595	9606.ENSP00000458162	211
4442696	9606.ENSP00000355533	211
4436373	9606.ENSP00000280346	211
4449548	9606.ENSP00000430494	211
4434937	9606.ENSP00000261733	211
4443409	9606.ENSP00000358866	211
4450508	9606.ENSP00000455507	211
4437495	9606.ENSP00000298510	211
4441877	9606.ENSP00000348965	211
4432692	9606.ENSP00000164139	211
4438356	9606.ENSP00000307786	211
4432889	9606.ENSP00000215909	211
4442622	9606.ENSP00000355180	211
4443270	9606.ENSP00000358155	211
4436853	9606.ENSP00000290299	211
4449041	9606.ENSP00000419425	211
4444948	9606.ENSP00000367034	211
4447562	9606.ENSP00000388658	210
4443625	9606.ENSP00000359871	210
4433346	9606.ENSP00000225964	210
4435708	9606.ENSP00000266544	210
4450739	9606.ENSP00000464317	210
4432648	9606.ENSP00000070846	210
4449371	9606.ENSP00000426638	210
4449031	9606.ENSP00000419325	210
4443964	9606.ENSP00000361635	210
4437672	9606.ENSP00000300527	210
4441938	9606.ENSP00000349541	209
4435725	9606.ENSP00000266718	209
4435610	9606.ENSP00000265462	209
4439911	9606.ENSP00000327268	209
4439035	9606.ENSP00000316029	209
4432629	9606.ENSP00000052754	209
4434257	9606.ENSP00000252825	209
4439770	9606.ENSP00000325527	209
4441502	9606.ENSP00000345230	209
4443663	9606.ENSP00000360124	209
4439653	9606.ENSP00000323929	209
4441138	9606.ENSP00000341289	209
4442654	9606.ENSP00000355330	209
4446860	9606.ENSP00000381785	209
4440740	9606.ENSP00000336829	209
4446196	9606.ENSP00000377446	209
4435232	9606.ENSP00000263277	209
4445100	9606.ENSP00000367939	209
4443002	9606.ENSP00000356972	209
4438372	9606.ENSP00000307940	209
4449603	9606.ENSP00000431813	208
4435313	9606.ENSP00000263774	208
4448216	9606.ENSP00000402103	208
4450605	9606.ENSP00000458770	208
4435104	9606.ENSP00000262551	208
4445602	9606.ENSP00000371230	208
4437578	9606.ENSP00000299518	208
4448989	9606.ENSP00000418770	208
4442348	9606.ENSP00000353375	208
4438667	9606.ENSP00000311224	208
4434248	9606.ENSP00000252711	208
4433665	9606.ENSP00000236671	208
4448869	9606.ENSP00000417142	208
4435837	9606.ENSP00000268668	208
4443119	9606.ENSP00000357535	207
4437742	9606.ENSP00000301286	207
4437688	9606.ENSP00000300688	207
4435831	9606.ENSP00000268613	207
4434697	9606.ENSP00000259365	207
4446480	9606.ENSP00000379287	207
4447621	9606.ENSP00000389649	207
4450244	9606.ENSP00000448035	207
