#id: 1464805838
#name: H.sapiens - Rectum (Integrated)
#score: 33.9
#description: integrated dataset: weighted average of all H.sapiens RECTUM, Interaction consistency score: 33.9, Coverage: 61
#organ: RECTUM
#integrated: true
#coverage: 61
#publication_year: 2022
#filename: 9606-RECTUM-integrated.txt
#
#internal_id	string_external_id	abundance
4437206	9606.ENSP00000295897	19385
4440511	9606.ENSP00000333994	15043
4449622	9606.ENSP00000432282	15011
4434183	9606.ENSP00000251595	10296
4439524	9606.ENSP00000322421	10296
4442857	9606.ENSP00000356275	9455
4446531	9606.ENSP00000379616	8633
4445033	9606.ENSP00000367542	8385
4444297	9606.ENSP00000363071	8255
4443409	9606.ENSP00000358866	7702
4434224	9606.ENSP00000252456	7576
4442096	9606.ENSP00000351022	7201
4436861	9606.ENSP00000290378	6204
4433451	9606.ENSP00000229239	6070
4442549	9606.ENSP00000354826	5727
4445428	9606.ENSP00000370010	5722
4450595	9606.ENSP00000458162	5622
4448229	9606.ENSP00000402373	5516
4447434	9606.ENSP00000386857	5450
4437548	9606.ENSP00000299198	5322
4448813	9606.ENSP00000416066	4740
4445365	9606.ENSP00000369654	4482
4442723	9606.ENSP00000355645	4243
4450181	9606.ENSP00000446007	4122
4449041	9606.ENSP00000419425	3941
4434216	9606.ENSP00000252244	3913
4437198	9606.ENSP00000295834	3875
4450215	9606.ENSP00000446955	3850
4441991	9606.ENSP00000349960	3793
4433326	9606.ENSP00000225655	3727
4436327	9606.ENSP00000279022	3632
4434059	9606.ENSP00000248553	3497
4435898	9606.ENSP00000269576	3283
4449553	9606.ENSP00000430656	3230
4432848	9606.ENSP00000211998	3128
4443160	9606.ENSP00000357709	2993
4441512	9606.ENSP00000345347	2927
4433993	9606.ENSP00000246662	2738
4450285	9606.ENSP00000449404	2712
4432629	9606.ENSP00000052754	2702
4432889	9606.ENSP00000215909	2693
4440919	9606.ENSP00000339063	2528
4442650	9606.ENSP00000355315	2442
4434352	9606.ENSP00000254301	2422
4446386	9606.ENSP00000378669	2375
4446235	9606.ENSP00000377710	2255
4441580	9606.ENSP00000346032	2239
4449639	9606.ENSP00000432660	2236
4447279	9606.ENSP00000385834	2227
4433634	9606.ENSP00000234590	2225
4435725	9606.ENSP00000266718	2150
4444265	9606.ENSP00000362924	2135
4435133	9606.ENSP00000262746	2122
4441502	9606.ENSP00000345230	2086
4435881	9606.ENSP00000269321	2081
4446270	9606.ENSP00000377941	2080
4451678	9606.ENSP00000482472	2076
4440740	9606.ENSP00000336829	2066
4443076	9606.ENSP00000357283	2042
4438190	9606.ENSP00000306099	2017
4442622	9606.ENSP00000355180	1958
4444160	9606.ENSP00000362413	1922
4441938	9606.ENSP00000349541	1906
4438640	9606.ENSP00000310861	1892
4434854	9606.ENSP00000261313	1880
4437672	9606.ENSP00000300527	1851
4438214	9606.ENSP00000306361	1841
4435927	9606.ENSP00000270142	1797
4443194	9606.ENSP00000357801	1779
4433964	9606.ENSP00000246069	1757
4441808	9606.ENSP00000348170	1753
4432924	9606.ENSP00000216181	1748
4448989	9606.ENSP00000418770	1743
4437161	9606.ENSP00000295550	1742
4449412	9606.ENSP00000427687	1693
4437770	9606.ENSP00000301522	1690
4439901	9606.ENSP00000327145	1689
4444406	9606.ENSP00000363641	1660
4435415	9606.ENSP00000264335	1654
4437822	9606.ENSP00000302100	1653
4441649	9606.ENSP00000346694	1631
4439395	9606.ENSP00000320866	1622
4441798	9606.ENSP00000348099	1609
4446480	9606.ENSP00000379287	1598
4439035	9606.ENSP00000316029	1577
4439337	9606.ENSP00000320171	1576
4434387	9606.ENSP00000254810	1556
4442746	9606.ENSP00000355778	1556
4441634	9606.ENSP00000346550	1555
4449851	9606.ENSP00000438144	1552
4433675	9606.ENSP00000237014	1532
4443118	9606.ENSP00000357516	1528
4438030	9606.ENSP00000304229	1523
4436628	9606.ENSP00000285379	1522
4437379	9606.ENSP00000297258	1503
4433668	9606.ENSP00000236850	1491
4433456	9606.ENSP00000229270	1447
4447538	9606.ENSP00000388107	1430
4442633	9606.ENSP00000355228	1402
4437604	9606.ENSP00000299767	1397
4444134	9606.ENSP00000362308	1345
4446501	9606.ENSP00000379386	1342
4441216	9606.ENSP00000342026	1332
4439914	9606.ENSP00000327336	1330
4446852	9606.ENSP00000381736	1328
4441378	9606.ENSP00000343924	1319
4450866	9606.ENSP00000468057	1316
4437619	9606.ENSP00000300026	1315
4434247	9606.ENSP00000252699	1312
4442353	9606.ENSP00000353408	1310
4436015	9606.ENSP00000272317	1308
4438776	9606.ENSP00000312326	1308
4437442	9606.ENSP00000297848	1295
4446837	9606.ENSP00000381607	1292
4435232	9606.ENSP00000263277	1264
4443166	9606.ENSP00000357727	1254
4440734	9606.ENSP00000336775	1250
4443770	9606.ENSP00000360609	1243
4435962	9606.ENSP00000270792	1238
4439666	9606.ENSP00000324173	1234
4437436	9606.ENSP00000297785	1229
4449581	9606.ENSP00000431254	1224
4449888	9606.ENSP00000439012	1214
4438356	9606.ENSP00000307786	1214
4434993	9606.ENSP00000262030	1203
4445700	9606.ENSP00000371958	1187
4440966	9606.ENSP00000339566	1183
4444796	9606.ENSP00000366109	1182
4442254	9606.ENSP00000352455	1175
4444439	9606.ENSP00000363827	1171
4445799	9606.ENSP00000373487	1168
4449678	9606.ENSP00000433560	1168
4443642	9606.ENSP00000359991	1167
4442612	9606.ENSP00000355124	1158
4441289	9606.ENSP00000342858	1135
4438237	9606.ENSP00000306606	1130
4433579	9606.ENSP00000233143	1129
4438348	9606.ENSP00000307705	1127
4442089	9606.ENSP00000350937	1119
4440933	9606.ENSP00000339191	1117
4442357	9606.ENSP00000353452	1113
4437293	9606.ENSP00000296503	1105
4437661	9606.ENSP00000300289	1096
4432948	9606.ENSP00000216336	1084
4439895	9606.ENSP00000327070	1074
4444989	9606.ENSP00000367263	1070
4438186	9606.ENSP00000306015	1061
4443164	9606.ENSP00000357722	1059
4434700	9606.ENSP00000259396	1058
4441434	9606.ENSP00000344504	1057
4447994	9606.ENSP00000397843	1053
4435104	9606.ENSP00000262551	1049
4434707	9606.ENSP00000259469	1038
4441168	9606.ENSP00000341610	1035
4433608	9606.ENSP00000233893	1030
4440643	9606.ENSP00000335153	1028
4435671	9606.ENSP00000265983	1023
4447695	9606.ENSP00000391490	1007
4449616	9606.ENSP00000432083	1001
4439770	9606.ENSP00000325527	993
4445814	9606.ENSP00000373620	988
4441138	9606.ENSP00000341289	988
4437273	9606.ENSP00000296412	987
4450150	9606.ENSP00000445175	986
4449475	9606.ENSP00000428895	982
4447693	9606.ENSP00000391481	979
4441360	9606.ENSP00000343690	972
4434459	9606.ENSP00000256104	967
4436920	9606.ENSP00000291568	953
4451269	9606.ENSP00000478061	947
4433951	9606.ENSP00000245907	937
4438372	9606.ENSP00000307940	936
4433900	9606.ENSP00000244534	930
4447974	9606.ENSP00000397261	927
4440154	9606.ENSP00000330074	927
4441661	9606.ENSP00000346839	910
4438543	9606.ENSP00000309830	908
4432702	9606.ENSP00000167588	897
4446540	9606.ENSP00000379678	895
4433003	9606.ENSP00000217182	889
4446590	9606.ENSP00000379975	885
4439653	9606.ENSP00000323929	881
4446979	9606.ENSP00000383003	880
4443158	9606.ENSP00000357705	870
4437297	9606.ENSP00000296511	869
4437720	9606.ENSP00000301071	863
4435245	9606.ENSP00000263368	857
4439187	9606.ENSP00000318195	852
4451107	9606.ENSP00000474560	844
4445606	9606.ENSP00000371267	842
4440915	9606.ENSP00000339001	842
4438847	9606.ENSP00000313199	842
4450217	9606.ENSP00000447001	841
4444027	9606.ENSP00000361883	840
4436603	9606.ENSP00000284770	840
4447293	9606.ENSP00000385958	816
4448154	9606.ENSP00000401010	811
4447854	9606.ENSP00000394496	806
4433313	9606.ENSP00000225430	804
4451847	9606.ENSP00000484398	804
4444702	9606.ENSP00000365439	800
4444040	9606.ENSP00000361930	795
4440360	9606.ENSP00000332449	785
4432936	9606.ENSP00000216254	780
4434618	9606.ENSP00000258341	779
4448825	9606.ENSP00000416330	776
4439747	9606.ENSP00000325240	772
4432969	9606.ENSP00000216492	766
4435987	9606.ENSP00000271638	766
4435820	9606.ENSP00000268379	765
4440308	9606.ENSP00000331897	763
4446035	9606.ENSP00000376309	761
4436586	9606.ENSP00000284440	756
4435610	9606.ENSP00000265462	751
4438513	9606.ENSP00000309539	749
4447028	9606.ENSP00000383563	748
4444968	9606.ENSP00000367154	742
4446258	9606.ENSP00000377833	734
4433442	9606.ENSP00000228945	724
4447823	9606.ENSP00000393887	723
4449013	9606.ENSP00000419117	723
4450191	9606.ENSP00000446215	715
4439687	9606.ENSP00000324422	713
4442467	9606.ENSP00000354468	712
