#id: 483925595
#name: H.sapiens - Cell line, Rko, SC (Geiger,mcp,2012)
#score: 13.8
#weight:  5%
#description: abundance based on Spectral counting, RKO, Interaction consistency score: 13.8, Coverage: 17
#organ: CELL_LINE
#integrated: false
#coverage: 17
#link: http://www.mcponline.org/cgi/doi/10.1074/mcp.M111.014050
#publication_year: 2012
#filename: 9606-RKO_Geiger_2012.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4442650	9606.ENSP00000355315	42537	264054052
4433456	9606.ENSP00000229270	10191	2057462211
4435133	9606.ENSP00000262746	10065	-1684719644
4448994	9606.ENSP00000418868	9884	801789607
4441649	9606.ENSP00000346694	8950	-432358909
4435108	9606.ENSP00000262584	8913	1608242290
4432873	9606.ENSP00000215754	8672	1218981148
4445814	9606.ENSP00000373620	7730	-1811704580
4433326	9606.ENSP00000225655	6953	2134125105
4440919	9606.ENSP00000339063	6752	729692695
4443156	9606.ENSP00000357697	6684	573923993
4437619	9606.ENSP00000300026	6186	-1791249324
4440758	9606.ENSP00000337060	6077	-1542293473
4449502	9606.ENSP00000429374	5868	1061499957
4438368	9606.ENSP00000307889	5700	1278527772
4450976	9606.ENSP00000470972	5661	1427494673
4438030	9606.ENSP00000304229	5521	918462122
4448949	9606.ENSP00000418082	5452	609821237
4439395	9606.ENSP00000320866	5289	-1921509780
4439523	9606.ENSP00000322419	5196	922748359
4449041	9606.ENSP00000419425	5096	-960677775
4450720	9606.ENSP00000463784	4927	1335444622
4444232	9606.ENSP00000362744	4864	1664501970
4438372	9606.ENSP00000307940	4747	-1217164716
4444137	9606.ENSP00000362329	4535	1495109343
4448124	9606.ENSP00000400467	4396	1153882892
4449616	9606.ENSP00000432083	4326	1371945437
4448829	9606.ENSP00000416429	4322	643514329
4449557	9606.ENSP00000430706	4224	1337135067
4439187	9606.ENSP00000318195	4103	-1573093555
4441576	9606.ENSP00000346001	3985	2134561656
4446501	9606.ENSP00000379386	3956	-2140579191
4437196	9606.ENSP00000295822	3947	1337135067
4439045	9606.ENSP00000316176	3933	584911062
4441512	9606.ENSP00000345347	3925	982059954
4448260	9606.ENSP00000403172	3904	1312264287
4450742	9606.ENSP00000464342	3869	420969420
4446480	9606.ENSP00000379287	3838	1597009049
4446116	9606.ENSP00000376886	3774	-1896896917
4441585	9606.ENSP00000346067	3760	-1842453743
4435550	9606.ENSP00000265073	3733	641899689
4433211	9606.ENSP00000222247	3719	888220660
4450191	9606.ENSP00000446215	3674	1370944813
4432889	9606.ENSP00000215909	3665	856134464
4447414	9606.ENSP00000386717	3612	877792390
4434174	9606.ENSP00000251453	3578	960721608
4451707	9606.ENSP00000482674	3558	-153968096
4451211	9606.ENSP00000477527	3558	-153968096
4443268	9606.ENSP00000358151	3558	-153968096
4451152	9606.ENSP00000476136	3558	-153968096
4444000	9606.ENSP00000361777	3480	2008574546
4439666	9606.ENSP00000324173	3473	195907144
4443502	9606.ENSP00000359345	3446	1323701298
4440720	9606.ENSP00000336702	3392	1337135067
4438491	9606.ENSP00000309334	3387	946642658
4442534	9606.ENSP00000354739	3351	674723437
4451378	9606.ENSP00000479284	3341	-1287842971
4434023	9606.ENSP00000247461	3250	-1873917115
4441578	9606.ENSP00000346015	3239	904237764
4440923	9606.ENSP00000339095	3200	999302090
4450164	9606.ENSP00000445633	3088	-122033915
4444932	9606.ENSP00000366962	3088	-122033915
4451817	9606.ENSP00000483903	3088	-122033915
4451252	9606.ENSP00000477907	3088	-122033915
4439472	9606.ENSP00000321744	3088	-122033915
4451599	9606.ENSP00000481622	3088	-122033915
4441923	9606.ENSP00000349430	3088	-122033915
4441873	9606.ENSP00000348924	3088	-122033915
4451366	9606.ENSP00000479169	3088	-122033915
4436804	9606.ENSP00000289316	3088	-122033915
4451751	9606.ENSP00000483237	3088	-122033915
4444884	9606.ENSP00000366618	3082	-147706769
4433634	9606.ENSP00000234590	3076	1756699069
4441579	9606.ENSP00000346027	3052	542490941
4437038	9606.ENSP00000293831	3036	-1795502715
4436015	9606.ENSP00000272317	2990	288614261
4448883	9606.ENSP00000417240	2973	2102112078
4441190	9606.ENSP00000341826	2919	-1878409839
4439216	9606.ENSP00000318646	2892	784737598
4450175	9606.ENSP00000445831	2869	-122033915
4450472	9606.ENSP00000454746	2846	784737598
4451540	9606.ENSP00000480946	2830	2008574546
4439337	9606.ENSP00000320171	2828	-915812976
4449435	9606.ENSP00000428223	2770	954482956
4434667	9606.ENSP00000258962	2759	1198879968
4438410	9606.ENSP00000308405	2698	531122334
4437274	9606.ENSP00000296417	2698	531122334
4447293	9606.ENSP00000385958	2695	372907317
4437297	9606.ENSP00000296511	2673	1684534656
4440915	9606.ENSP00000339001	2659	1568618311
4448385	9606.ENSP00000405965	2637	698880148
4435961	9606.ENSP00000270776	2618	1204132315
4442938	9606.ENSP00000356652	2579	931962085
4437320	9606.ENSP00000296674	2555	427737968
4441868	9606.ENSP00000348849	2550	492167271
4439526	9606.ENSP00000322439	2532	-1945319442
4437293	9606.ENSP00000296503	2403	591554359
4441502	9606.ENSP00000345230	2353	821363921
4437661	9606.ENSP00000300289	2328	2083764225
4436861	9606.ENSP00000290378	2247	-688233856
4442723	9606.ENSP00000355645	2247	-688233856
4448229	9606.ENSP00000402373	2247	-688233856
4447434	9606.ENSP00000386857	2237	-688233856
4438111	9606.ENSP00000305230	2227	385059337
4449475	9606.ENSP00000428895	2224	239703316
4438215	9606.ENSP00000306362	2202	564478745
4441792	9606.ENSP00000348056	2178	343078723
4447787	9606.ENSP00000393241	2143	542121890
4449119	9606.ENSP00000420443	2142	58920501
4448690	9606.ENSP00000413436	2124	655408699
4446117	9606.ENSP00000376889	2118	-1896896917
4437604	9606.ENSP00000299767	2105	-1948855690
4435770	9606.ENSP00000267512	2101	617758673
4433288	9606.ENSP00000223641	2094	240072956
4443961	9606.ENSP00000361626	2093	827661714
4440987	9606.ENSP00000339795	2080	555733217
4444169	9606.ENSP00000362463	2073	286567306
4450009	9606.ENSP00000441875	2063	1113113000
4449013	9606.ENSP00000419117	2050	244167619
4449378	9606.ENSP00000426909	2042	782998018
4450237	9606.ENSP00000447730	2021	421488506
4446035	9606.ENSP00000376309	2008	929002989
4443856	9606.ENSP00000361057	2006	561641005
4437376	9606.ENSP00000297185	1995	-2018012892
4435953	9606.ENSP00000270625	1976	525831744
4441583	9606.ENSP00000346050	1976	1318791400
4433329	9606.ENSP00000225698	1969	526293097
4441569	9606.ENSP00000345957	1962	439596714
4439661	9606.ENSP00000324105	1952	960282356
4441216	9606.ENSP00000342026	1944	894604744
4440717	9606.ENSP00000336687	1944	504065745
4443770	9606.ENSP00000360609	1936	-1872013251
4442011	9606.ENSP00000350090	1934	1933998887
4438137	9606.ENSP00000305556	1924	1188840371
4435881	9606.ENSP00000269321	1920	404682658
4433293	9606.ENSP00000224073	1855	276773565
4443402	9606.ENSP00000358840	1843	148950179
4446979	9606.ENSP00000383003	1840	282184444
4444414	9606.ENSP00000363676	1812	617715401
4451031	9606.ENSP00000472469	1810	268372126
4441138	9606.ENSP00000341289	1801	568127262
4435927	9606.ENSP00000270142	1791	304175969
4441434	9606.ENSP00000344504	1766	290249347
4439214	9606.ENSP00000318635	1760	698880148
4434482	9606.ENSP00000256433	1756	87474557
4435079	9606.ENSP00000262428	1754	236464825
4445193	9606.ENSP00000368646	1745	503704836
4445606	9606.ENSP00000371267	1725	1095790199
4442251	9606.ENSP00000352438	1687	1334775770
4451423	9606.ENSP00000479794	1683	-581475419
4444931	9606.ENSP00000366956	1683	-581475419
4444934	9606.ENSP00000366974	1683	-581475419
4450064	9606.ENSP00000443017	1683	-581475419
4433901	9606.ENSP00000244537	1683	-581475419
4441692	9606.ENSP00000347168	1683	-581475419
4451886	9606.ENSP00000484789	1683	-581475419
4444948	9606.ENSP00000367034	1683	-581475419
4451392	9606.ENSP00000479461	1683	-581475419
4450676	9606.ENSP00000462667	1683	-581475419
4451542	9606.ENSP00000480960	1683	-581475419
4451358	9606.ENSP00000479106	1683	-581475419
4451586	9606.ENSP00000481486	1683	-581475419
4450668	9606.ENSP00000462355	1683	-581475419
4443372	9606.ENSP00000358727	1674	793938836
4438689	9606.ENSP00000311430	1662	917710514
4436920	9606.ENSP00000291568	1655	276300898
4437495	9606.ENSP00000298510	1648	336994042
4438348	9606.ENSP00000307705	1630	253334843
4434119	9606.ENSP00000250101	1600	308410941
4450340	9606.ENSP00000451080	1599	201991318
4439758	9606.ENSP00000325376	1593	1467984339
4444702	9606.ENSP00000365439	1583	1013489144
4448989	9606.ENSP00000418770	1575	383890094
4447854	9606.ENSP00000394496	1575	1121129599
4441582	9606.ENSP00000346046	1568	213933288
4444518	9606.ENSP00000364320	1568	622599962
4438570	9606.ENSP00000310226	1545	359746614
4448523	9606.ENSP00000409666	1540	698880148
4433003	9606.ENSP00000217182	1538	2089858218
4440409	9606.ENSP00000332887	1535	106011017
4440126	9606.ENSP00000329757	1528	96377488
4450918	9606.ENSP00000469468	1526	270530002
4446837	9606.ENSP00000381607	1516	642775609
4440309	9606.ENSP00000331901	1514	863232188
4446521	9606.ENSP00000379512	1512	283562533
4437909	9606.ENSP00000302896	1498	321403373
4433154	9606.ENSP00000221419	1439	837807417
4442980	9606.ENSP00000356864	1437	120823298
4433066	9606.ENSP00000219169	1414	220796263
4433181	9606.ENSP00000221801	1413	902632596
4444623	9606.ENSP00000364935	1406	1010482670
4435205	9606.ENSP00000263168	1405	393581175
4439803	9606.ENSP00000325905	1399	428144298
4449851	9606.ENSP00000438144	1380	415555726
4449412	9606.ENSP00000427687	1368	460815229
4445338	9606.ENSP00000369538	1365	1058345207
4446386	9606.ENSP00000378669	1332	759486119
4434704	9606.ENSP00000259457	1317	358142890
4438366	9606.ENSP00000307863	1317	407617343
4445428	9606.ENSP00000370010	1310	25453997
4452095	9606.ENSP00000485638	1292	1772424527
4450711	9606.ENSP00000463419	1292	1772424527
4449908	9606.ENSP00000439444	1292	1772424527
4446783	9606.ENSP00000381216	1285	1186775642
4449262	9606.ENSP00000423674	1275	671495425
4440978	9606.ENSP00000339720	1274	182208042
4446000	9606.ENSP00000376077	1271	156627030
4444315	9606.ENSP00000363191	1259	73099052
4445375	9606.ENSP00000369703	1255	74205507
4437917	9606.ENSP00000302961	1251	1735671202
4435168	9606.ENSP00000262947	1250	183456023
4448728	9606.ENSP00000414321	1249	411675860
4434387	9606.ENSP00000254810	1243	1449432331
4440440	9606.ENSP00000333277	1243	1449432331
4444939	9606.ENSP00000366999	1243	1449432331
4451529	9606.ENSP00000480826	1243	1449432331
4451830	9606.ENSP00000484095	1243	1449432331
4442728	9606.ENSP00000355657	1243	1449432331
4447238	9606.ENSP00000385479	1243	1449432331
4443272	9606.ENSP00000358160	1243	1449432331
4443269	9606.ENSP00000358154	1243	1449432331
4451891	9606.ENSP00000484841	1243	1449432331
4442746	9606.ENSP00000355778	1243	1449432331
4451655	9606.ENSP00000482271	1243	1449432331
4442229	9606.ENSP00000352252	1243	1449432331
4451757	9606.ENSP00000483283	1243	1449432331
4451875	9606.ENSP00000484658	1243	1449432331
4451871	9606.ENSP00000484638	1243	1449432331
4436206	9606.ENSP00000276079	1229	657739532
4450748	9606.ENSP00000464619	1223	1772424527
4451964	9606.ENSP00000485206	1223	1772424527
4450691	9606.ENSP00000463057	1223	1772424527
4433035	9606.ENSP00000217971	1221	244667279
4444253	9606.ENSP00000362820	1218	367122743
4434727	9606.ENSP00000259818	1216	45719994
4437775	9606.ENSP00000301587	1200	247993851
4443642	9606.ENSP00000359991	1186	676681639
4435530	9606.ENSP00000264993	1184	180081459
4437474	9606.ENSP00000298283	1174	594787471
4441438	9606.ENSP00000344547	1164	135027840
4451051	9606.ENSP00000472998	1163	453324996
4447693	9606.ENSP00000391481	1159	693959369
4434993	9606.ENSP00000262030	1155	1025999660
4436526	9606.ENSP00000283179	1145	1174160338
4434854	9606.ENSP00000261313	1140	219187176
4447058	9606.ENSP00000383949	1129	234414143
4451393	9606.ENSP00000479488	1129	579946635
4435372	9606.ENSP00000264071	1102	55162990
4432926	9606.ENSP00000216190	1098	500570420
4433490	9606.ENSP00000230050	1088	243723381
4447492	9606.ENSP00000387286	1080	265693731
4435883	9606.ENSP00000269349	1072	997690214
4435583	9606.ENSP00000265333	1067	589922714
4436601	9606.ENSP00000284719	1049	527312184
4437578	9606.ENSP00000299518	1036	506303125
4441896	9606.ENSP00000349168	1030	974157870
4433130	9606.ENSP00000220764	1026	398806865
4444600	9606.ENSP00000364802	1023	-524581657
4444599	9606.ENSP00000364801	1023	-524581657
4432546	9606.ENSP00000001008	1023	739735333
4440643	9606.ENSP00000335153	1019	1752316085
4435411	9606.ENSP00000264279	1014	775869540
4434059	9606.ENSP00000248553	1011	428975870
4444406	9606.ENSP00000363641	1006	274422518
4441580	9606.ENSP00000346032	1004	903376537
4445998	9606.ENSP00000376056	986	195379680
4434273	9606.ENSP00000253024	986	509467400
4451050	9606.ENSP00000472985	986	288284083
4446939	9606.ENSP00000382595	985	438682795
4445840	9606.ENSP00000373918	979	956238794
4444160	9606.ENSP00000362413	973	546059852
4433923	9606.ENSP00000245206	969	640415270
4434496	9606.ENSP00000256545	964	78015998
4444394	9606.ENSP00000363574	961	241666800
4444751	9606.ENSP00000365773	959	638659543
4444038	9606.ENSP00000361927	953	897426103
4443409	9606.ENSP00000358866	952	-1091229816
4448121	9606.ENSP00000400433	951	645220490
4448639	9606.ENSP00000412189	946	523791898
4443153	9606.ENSP00000357688	944	261675464
4448537	9606.ENSP00000410059	937	797838337
4444140	9606.ENSP00000362334	924	353823827
4441670	9606.ENSP00000346931	917	21924254
4439351	9606.ENSP00000320295	913	-305970394
4442633	9606.ENSP00000355228	908	155775875
4446274	9606.ENSP00000377958	895	826090535
4437502	9606.ENSP00000298556	892	326874112
4433021	9606.ENSP00000217426	892	624182618
4448548	9606.ENSP00000410339	886	402372066
4443063	9606.ENSP00000357189	884	266797528
4437907	9606.ENSP00000302886	882	766473665
4439848	9606.ENSP00000326381	862	1156524695
4433858	9606.ENSP00000243563	860	126060016
4434275	9606.ENSP00000253039	856	465976333
4445241	9606.ENSP00000368927	856	170391019
4437177	9606.ENSP00000295688	850	874322406
4450850	9606.ENSP00000467466	850	132944696
4450354	9606.ENSP00000451291	843	764699963
4441968	9606.ENSP00000349748	841	636476705
4444249	9606.ENSP00000362803	837	164334911
4450581	9606.ENSP00000457723	836	234418185
4440150	9606.ENSP00000330032	829	504654540
4446516	9606.ENSP00000379475	825	663594255
4444040	9606.ENSP00000361930	822	858537777
4447225	9606.ENSP00000385385	821	351945011
4449328	9606.ENSP00000425561	820	254196107
4434343	9606.ENSP00000254108	819	193218838
4439895	9606.ENSP00000327070	819	523488363
4441654	9606.ENSP00000346762	814	1157035397
4447392	9606.ENSP00000386541	804	296178172
4436660	9606.ENSP00000286091	801	757146691
4439300	9606.ENSP00000319664	797	510673962
4448400	9606.ENSP00000406162	796	504930638
4445991	9606.ENSP00000375978	795	683740290
4442577	9606.ENSP00000354947	794	243267505
4442983	9606.ENSP00000356903	788	709878811
4450115	9606.ENSP00000444357	781	328369585
4433407	9606.ENSP00000228318	779	624834120
4432930	9606.ENSP00000216218	777	266912556
4432961	9606.ENSP00000216455	774	328327858
4437379	9606.ENSP00000297258	768	137652615
4435788	9606.ENSP00000267884	767	134568950
4434505	9606.ENSP00000256682	755	598932743
4449926	9606.ENSP00000440005	755	598932743
4444219	9606.ENSP00000362688	753	430175424
4441195	9606.ENSP00000341885	753	403372865
4436697	9606.ENSP00000286788	751	831292646
4442653	9606.ENSP00000355325	744	378485098
4433303	9606.ENSP00000225174	743	120796943
4443616	9606.ENSP00000359804	740	748735629
4438885	9606.ENSP00000313829	735	170316989
4450801	9606.ENSP00000466134	735	368612969
4446300	9606.ENSP00000378163	722	78425023
4434025	9606.ENSP00000247665	713	179470270
4447993	9606.ENSP00000397798	707	396268831
4447650	9606.ENSP00000390265	702	381754477
4435987	9606.ENSP00000271638	698	137176066
4442171	9606.ENSP00000351646	696	579380072
4439765	9606.ENSP00000325448	685	386867442
4435836	9606.ENSP00000268661	683	665559168
4444167	9606.ENSP00000362456	675	261012646
4432671	9606.ENSP00000157812	668	484136131
4451404	9606.ENSP00000479606	667	1674419337
4442104	9606.ENSP00000351108	657	179369547
4439687	9606.ENSP00000324422	656	361211613
4439122	9606.ENSP00000317334	652	673429001
4440475	9606.ENSP00000333667	648	722692834
4443649	9606.ENSP00000360034	638	304148735
4450692	9606.ENSP00000463058	634	62005358
4441977	9606.ENSP00000349860	633	694767848
4446067	9606.ENSP00000376472	631	614769064
4451754	9606.ENSP00000483254	627	233984984
4432722	9606.ENSP00000175506	627	582569980
4438352	9606.ENSP00000307741	625	9017496
4435036	9606.ENSP00000262225	624	184348996
4435610	9606.ENSP00000265462	623	208832642
4442432	9606.ENSP00000354125	623	579912951
4446400	9606.ENSP00000378769	618	1012882539
4434598	9606.ENSP00000258091	615	532453641
4435656	9606.ENSP00000265866	613	300269315
4433026	9606.ENSP00000217515	611	299825309
4438239	9606.ENSP00000306614	609	713173421
4443374	9606.ENSP00000358737	608	348878080
4443584	9606.ENSP00000359645	603	425555592
4450744	9606.ENSP00000464411	602	396268831
4440482	9606.ENSP00000333769	598	242412040
4440998	9606.ENSP00000339835	594	1449432331
4443861	9606.ENSP00000361076	587	167484308
4450306	9606.ENSP00000450353	584	284181256
4435962	9606.ENSP00000270792	583	79167358
4433173	9606.ENSP00000221566	580	278848022
4449254	9606.ENSP00000423563	580	248488610
4438562	9606.ENSP00000310129	576	621485246
4451272	9606.ENSP00000478121	573	103650165
4445513	9606.ENSP00000370589	573	499347571
4448775	9606.ENSP00000415151	573	155431624
4442186	9606.ENSP00000351777	572	582913041
4443094	9606.ENSP00000357384	572	80748971
4443700	9606.ENSP00000360268	571	503159998
4446852	9606.ENSP00000381736	571	349478297
4433236	9606.ENSP00000222553	571	469329014
4444404	9606.ENSP00000363638	570	83467037
4437923	9606.ENSP00000303057	568	785619505
4444198	9606.ENSP00000362592	566	213395067
4447410	9606.ENSP00000386665	564	292412466
4433263	9606.ENSP00000223029	563	144949021
4444194	9606.ENSP00000362576	563	649461049
4446948	9606.ENSP00000382707	560	94172162
4436296	9606.ENSP00000278572	560	428163968
4445447	9606.ENSP00000370125	558	69709023
4440337	9606.ENSP00000332198	556	50733987
4446598	9606.ENSP00000380033	551	666818259
4442589	9606.ENSP00000355011	550	280146061
4449868	9606.ENSP00000438465	547	309608701
4437797	9606.ENSP00000301785	545	492165831
4439459	9606.ENSP00000321584	545	279363786
4448366	9606.ENSP00000405573	540	390492272
4449872	9606.ENSP00000438507	539	598932743
4439340	9606.ENSP00000320184	537	201052081
4445877	9606.ENSP00000374354	533	67506021
4435386	9606.ENSP00000264161	531	567063248
4444422	9606.ENSP00000363745	529	381722075
4450709	9606.ENSP00000463379	526	396268831
4439037	9606.ENSP00000316042	526	190083544
4448964	9606.ENSP00000418438	526	37038978
4436287	9606.ENSP00000278412	525	396450255
4444985	9606.ENSP00000367220	522	269714004
4436371	9606.ENSP00000280326	521	445083575
4447332	9606.ENSP00000386187	521	94172162
4433393	9606.ENSP00000227524	515	218429821
4443964	9606.ENSP00000361635	514	232634465
4432984	9606.ENSP00000216802	512	211293667
4444601	9606.ENSP00000364805	512	-1437863271
4449601	9606.ENSP00000431800	510	286898903
4434945	9606.ENSP00000261772	510	712560723
4433537	9606.ENSP00000231487	507	99693364
4438310	9606.ENSP00000307275	503	102637056
4450361	9606.ENSP00000451560	500	-891235819
4450332	9606.ENSP00000450909	496	148922933
4433337	9606.ENSP00000225792	496	442164314
4451879	9606.ENSP00000484689	495	94172162
4441182	9606.ENSP00000341779	491	918167761
4448731	9606.ENSP00000414359	490	230517303
4448854	9606.ENSP00000416959	489	164552647
4443212	9606.ENSP00000357879	488	206844774
4447550	9606.ENSP00000388337	485	66936514
4433984	9606.ENSP00000246533	484	116279958
4438847	9606.ENSP00000313199	477	235509244
4451937	9606.ENSP00000485133	474	146483929
4433327	9606.ENSP00000225665	473	171286595
4447621	9606.ENSP00000389649	471	75629755
4443784	9606.ENSP00000360683	465	326013339
4445546	9606.ENSP00000370808	463	629257336
4441383	9606.ENSP00000343966	462	276594078
4442643	9606.ENSP00000355265	460	64860008
4439814	9606.ENSP00000326031	460	918539470
4436619	9606.ENSP00000285093	456	131820914
4444380	9606.ENSP00000363500	451	566590854
4436014	9606.ENSP00000272298	448	396544205
4436903	9606.ENSP00000291295	448	396544205
4441930	9606.ENSP00000349467	448	396544205
4448048	9606.ENSP00000398803	448	164313391
4451634	9606.ENSP00000482075	447	180289427
4450134	9606.ENSP00000444850	447	351279585
4432586	9606.ENSP00000011473	445	147071172
4434513	9606.ENSP00000256854	444	382947318
4438833	9606.ENSP00000312999	444	308344045
4446310	9606.ENSP00000378199	444	-1819715266
4451799	9606.ENSP00000483688	438	172256244
4445081	9606.ENSP00000367841	437	36345224
4434817	9606.ENSP00000261015	437	144159026
4449928	9606.ENSP00000440045	436	542802038
4436158	9606.ENSP00000274764	435	1938231171
4447403	9606.ENSP00000386636	435	244499664
4435998	9606.ENSP00000272067	433	109207863
4434006	9606.ENSP00000246957	432	531125714
4449729	9606.ENSP00000435096	431	90681981
4436156	9606.ENSP00000274712	431	69768437
4433830	9606.ENSP00000242776	430	420256017
4437092	9606.ENSP00000294742	428	91677203
4438834	9606.ENSP00000313007	428	726098882
4434135	9606.ENSP00000250498	427	79222860
4444712	9606.ENSP00000365505	423	79504003
4432901	9606.ENSP00000216038	420	252871410
4442743	9606.ENSP00000355759	420	460634865
4450403	9606.ENSP00000452762	418	145079840
4432626	9606.ENSP00000044462	413	140850048
4441726	9606.ENSP00000347495	412	225539909
4432997	9606.ENSP00000217121	410	189026942
4443009	9606.ENSP00000356989	405	89018886
4434937	9606.ENSP00000261733	405	352900242
4433404	9606.ENSP00000228251	402	431757795
4435086	9606.ENSP00000262455	402	226144236
4442908	9606.ENSP00000356520	401	765434652
4437104	9606.ENSP00000295006	401	277750280
4450940	9606.ENSP00000470059	400	251436127
4439788	9606.ENSP00000325690	397	151402337
4451186	9606.ENSP00000476960	397	1449432331
4438361	9606.ENSP00000307850	397	90701914
4450412	9606.ENSP00000452909	395	139794742
4434476	9606.ENSP00000256383	395	204900011
4442630	9606.ENSP00000355206	394	23040982
4442854	9606.ENSP00000356263	393	127177457
4442762	9606.ENSP00000355890	392	1020772620
4445333	9606.ENSP00000369500	386	176163263
4438496	9606.ENSP00000309415	385	63074297
4446831	9606.ENSP00000381581	385	488069072
4434884	9606.ENSP00000261479	383	231607434
4446520	9606.ENSP00000379506	381	162723023
4436266	9606.ENSP00000277865	381	395333672
4446222	9606.ENSP00000377617	380	172274929
4446141	9606.ENSP00000377036	380	153111334
4441590	9606.ENSP00000346120	380	625317696
4433191	9606.ENSP00000221957	375	241055416
4451701	9606.ENSP00000482613	374	155775875
4443517	9606.ENSP00000359393	373	80796423
4447793	9606.ENSP00000393316	373	130528222
4432925	9606.ENSP00000216185	372	40033030
4444748	9606.ENSP00000365745	372	214749095
4446993	9606.ENSP00000383168	371	653639004
4447684	9606.ENSP00000391211	369	272531656
4442080	9606.ENSP00000350848	365	118050017
4437151	9606.ENSP00000295448	365	190984721
4450194	9606.ENSP00000446252	364	93243991
4432544	9606.ENSP00000000233	363	107371420
4441829	9606.ENSP00000348442	362	271662988
4444483	9606.ENSP00000364119	361	205257770
4433989	9606.ENSP00000246554	360	64078720
4445273	9606.ENSP00000369127	357	152993736
4437273	9606.ENSP00000296412	356	167704013
4439272	9606.ENSP00000319255	354	138426571
4445779	9606.ENSP00000373312	354	86339896
4432834	9606.ENSP00000209875	353	162655457
4439194	9606.ENSP00000318297	353	200047776
4450244	9606.ENSP00000448035	352	210670279
4434247	9606.ENSP00000252699	352	975287892
4435220	9606.ENSP00000263238	351	276195156
4440966	9606.ENSP00000339566	349	96324086
4441922	9606.ENSP00000349428	348	162775914
4436430	9606.ENSP00000281456	347	538305321
4442645	9606.ENSP00000355299	347	21691289
4442801	9606.ENSP00000356042	346	397450116
4440907	9606.ENSP00000338862	346	138344641
4432935	9606.ENSP00000216252	345	46362805
4442392	9606.ENSP00000353741	344	324583441
4451531	9606.ENSP00000480832	344	100228899
4435028	9606.ENSP00000262193	343	118734989
4446787	9606.ENSP00000381237	341	179243792
4435518	9606.ENSP00000264933	340	85539137
4443006	9606.ENSP00000356982	340	46369961
4438211	9606.ENSP00000306330	339	323811994
4439033	9606.ENSP00000316007	338	38234983
4442423	9606.ENSP00000354040	335	200069385
4449100	9606.ENSP00000420213	334	1384126694
4434912	9606.ENSP00000261601	334	281643863
4449703	9606.ENSP00000434359	334	258720026
4448845	9606.ENSP00000416739	334	311085345
4437987	9606.ENSP00000303754	333	246236883
4438185	9606.ENSP00000306010	333	98607190
4448447	9606.ENSP00000407323	332	162984945
4447473	9606.ENSP00000387123	332	218985321
4448198	9606.ENSP00000401802	332	230576484
4441538	9606.ENSP00000345656	331	85531210
4442485	9606.ENSP00000354532	329	247665342
4437483	9606.ENSP00000298316	327	71327986
4433017	9606.ENSP00000217402	326	107783085
4432965	9606.ENSP00000216479	325	167231061
4443556	9606.ENSP00000359539	322	120752886
4449762	9606.ENSP00000435777	322	100134059
4441651	9606.ENSP00000346725	322	165435963
4440727	9606.ENSP00000336741	321	345614256
