#id: 1059565577
#name: Homo sapiens - Saliva secreting gland (Integrated)
#score: 30.1
#coverage: 54
#description: integrated dataset: weighted average of all Homo sapiens SALIVA_SECRETING_GLAND: 30.1, Coverage: 54
#organ: SALIVA_SECRETING_GLAND
#integrated: true
#weights: PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Salivary_gland:0.556;salivary_gland_Wilhelm_2014_Maxquant:0.444;
#publication_year: 2023
#filename: 9606-SALIVA_SECRETING_GLAND-integrated.txt
#
#string_external_id	abundance
9606.ENSP00000333994	75719
9606.ENSP00000295897	15877
9606.ENSP00000369654	13686
9606.ENSP00000217423	13532
9606.ENSP00000370010	10754
9606.ENSP00000291009	9600
9606.ENSP00000305731	9427
9606.ENSP00000479168	9064
9606.ENSP00000229239	8166
9606.ENSP00000307540	7854
9606.ENSP00000373487	7438
9606.ENSP00000251595	7410
9606.ENSP00000322421	7410
9606.ENSP00000419425	7273
9606.ENSP00000458162	6915
9606.ENSP00000449404	6457
9606.ENSP00000430656	6208
9606.ENSP00000371715	5766
9606.ENSP00000329243	5320
9606.ENSP00000253362	4634
9606.ENSP00000234590	4061
9606.ENSP00000301522	3975
9606.ENSP00000285379	3944
9606.ENSP00000261313	3749
9606.ENSP00000327801	3710
9606.ENSP00000481450	3468
9606.ENSP00000262746	3356
9606.ENSP00000378669	3345
9606.ENSP00000446007	3302
9606.ENSP00000366654	3186
9606.ENSP00000336829	3173
9606.ENSP00000264335	3154
9606.ENSP00000296511	3106
9606.ENSP00000339063	3103
9606.ENSP00000362413	3102
9606.ENSP00000292169	2914
9606.ENSP00000346032	2896
9606.ENSP00000432660	2868
9606.ENSP00000432561	2780
9606.ENSP00000446252	2770
9606.ENSP00000416066	2721
9606.ENSP00000271638	2664
9606.ENSP00000439012	2631
9606.ENSP00000263368	2624
9606.ENSP00000381448	2600
9606.ENSP00000432282	2576
9606.ENSP00000307132	2562
9606.ENSP00000229270	2547
9606.ENSP00000265462	2544
9606.ENSP00000306099	2501
9606.ENSP00000359991	2487
9606.ENSP00000300026	2369
9606.ENSP00000327070	2365
9606.ENSP00000418770	2361
9606.ENSP00000331897	2322
9606.ENSP00000355124	2282
9606.ENSP00000445175	2269
9606.ENSP00000369689	2235
9606.ENSP00000256104	2204
9606.ENSP00000259396	2188
9606.ENSP00000320171	2178
9606.ENSP00000269321	2137
9606.ENSP00000236850	2132
9606.ENSP00000345347	2121
9606.ENSP00000233893	2088
9606.ENSP00000385834	2056
9606.ENSP00000348170	1987
9606.ENSP00000304229	1986
9606.ENSP00000343172	1978
9606.ENSP00000391490	1937
9606.ENSP00000248553	1934
9606.ENSP00000292401	1907
9606.ENSP00000301071	1895
9606.ENSP00000324173	1854
9606.ENSP00000167586	1819
9606.ENSP00000215909	1788
9606.ENSP00000254301	1787
9606.ENSP00000265838	1715
9606.ENSP00000440005	1714
9606.ENSP00000341289	1688
9606.ENSP00000336702	1687
9606.ENSP00000342026	1666
9606.ENSP00000306361	1648
9606.ENSP00000291568	1639
9606.ENSP00000381607	1610
9606.ENSP00000290378	1594
9606.ENSP00000357283	1585
9606.ENSP00000379287	1564
9606.ENSP00000357535	1557
9606.ENSP00000351022	1532
9606.ENSP00000279022	1529
9606.ENSP00000270142	1522
9606.ENSP00000258424	1508
9606.ENSP00000376889	1504
9606.ENSP00000307786	1498
9606.ENSP00000302896	1482
9606.ENSP00000215754	1481
9606.ENSP00000346694	1473
9606.ENSP00000357709	1461
9606.ENSP00000307940	1454
9606.ENSP00000251453	1454
9606.ENSP00000299767	1433
9606.ENSP00000264908	1419
9606.ENSP00000300289	1407
9606.ENSP00000451712	1406
9606.ENSP00000357801	1386
9606.ENSP00000366109	1369
9606.ENSP00000290349	1368
9606.ENSP00000373620	1362
9606.ENSP00000356969	1350
9606.ENSP00000364801	1344
9606.ENSP00000379682	1340
9606.ENSP00000432083	1334
9606.ENSP00000246533	1319
9606.ENSP00000298510	1309
9606.ENSP00000474560	1282
9606.ENSP00000233143	1280
9606.ENSP00000268182	1280
9606.ENSP00000356275	1263
9606.ENSP00000225655	1254
9606.ENSP00000302400	1253
9606.ENSP00000252699	1253
9606.ENSP00000436455	1250
9606.ENSP00000322419	1244
9606.ENSP00000273258	1241
9606.ENSP00000438144	1236
9606.ENSP00000433560	1219
9606.ENSP00000252242	1215
9606.ENSP00000360671	1214
9606.ENSP00000363641	1196
9606.ENSP00000320866	1185
9606.ENSP00000446955	1182
9606.ENSP00000246069	1161
9606.ENSP00000330484	1154
9606.ENSP00000446215	1149
9606.ENSP00000252456	1141
9606.ENSP00000216802	1135
9606.ENSP00000297785	1120
9606.ENSP00000372155	1118
9606.ENSP00000362271	1113
9606.ENSP00000405573	1100
9606.ENSP00000379386	1094
9606.ENSP00000322439	1085
9606.ENSP00000309830	1084
9606.ENSP00000236671	1084
9606.ENSP00000370023	1066
9606.ENSP00000357705	1054
9606.ENSP00000325136	1048
9606.ENSP00000306010	1033
9606.ENSP00000379616	1032
9606.ENSP00000367542	1025
9606.ENSP00000379191	1010
9606.ENSP00000210444	1009
9606.ENSP00000358727	1009
9606.ENSP00000367038	1005
9606.ENSP00000386284	1001
9606.ENSP00000310226	991
9606.ENSP00000389103	990
9606.ENSP00000345957	987
9606.ENSP00000346173	983
9606.ENSP00000241052	977
9606.ENSP00000357516	977
9606.ENSP00000393241	976
9606.ENSP00000228945	965
9606.ENSP00000371958	959
9606.ENSP00000272317	951
9606.ENSP00000216254	947
9606.ENSP00000362924	939
9606.ENSP00000383118	934
9606.ENSP00000479606	930
9606.ENSP00000477781	928
9606.ENSP00000391481	926
9606.ENSP00000385958	922
9606.ENSP00000295685	919
9606.ENSP00000298316	919
9606.ENSP00000369609	918
9606.ENSP00000457513	918
9606.ENSP00000346921	914
9606.ENSP00000345230	913
9606.ENSP00000335153	910
9606.ENSP00000265983	905
9606.ENSP00000270625	892
9606.ENSP00000377941	889
9606.ENSP00000216181	886
9606.ENSP00000361140	885
9606.ENSP00000479488	881
9606.ENSP00000261267	880
9606.ENSP00000317780	875
9606.ENSP00000230050	875
9606.ENSP00000470972	873
9606.ENSP00000472469	873
9606.ENSP00000339795	858
9606.ENSP00000452762	857
9606.ENSP00000237014	856
9606.ENSP00000445306	854
9606.ENSP00000346088	854
9606.ENSP00000349960	847
9606.ENSP00000246554	843
9606.ENSP00000216962	843
9606.ENSP00000365439	839
9606.ENSP00000452780	826
9606.ENSP00000337060	824
9606.ENSP00000216330	823
9606.ENSP00000362744	821
9606.ENSP00000306606	813
9606.ENSP00000434142	810
9606.ENSP00000217182	810
9606.ENSP00000346050	807
9606.ENSP00000353408	802
9606.ENSP00000361824	802
9606.ENSP00000354826	793
9606.ENSP00000242285	785
9606.ENSP00000308452	784
9606.ENSP00000305556	783
9606.ENSP00000346015	782
9606.ENSP00000168216	780
9606.ENSP00000266718	780
9606.ENSP00000361930	775
9606.ENSP00000349428	774
9606.ENSP00000252244	771
9606.ENSP00000247461	762
9606.ENSP00000400175	759
9606.ENSP00000450385	758
9606.ENSP00000383003	754
9606.ENSP00000316176	750
9606.ENSP00000303145	750
9606.ENSP00000358866	750
9606.ENSP00000369538	741
9606.ENSP00000262455	739
9606.ENSP00000428085	735
9606.ENSP00000379888	735
9606.ENSP00000296255	732
9606.ENSP00000301729	728
9606.ENSP00000331901	728
9606.ENSP00000388293	725
9606.ENSP00000211998	712
9606.ENSP00000293831	707
9606.ENSP00000333547	707
9606.ENSP00000274364	705
9606.ENSP00000261735	704
9606.ENSP00000299198	704
9606.ENSP00000358417	701
9606.ENSP00000338345	700
9606.ENSP00000318646	700
9606.ENSP00000342056	698
9606.ENSP00000340466	697
9606.ENSP00000357076	697
9606.ENSP00000361777	690
9606.ENSP00000431254	687
9606.ENSP00000347872	686
9606.ENSP00000209718	685
9606.ENSP00000361883	684
9606.ENSP00000362308	679
9606.ENSP00000435096	679
9606.ENSP00000359098	677
9606.ENSP00000351777	675
9606.ENSP00000245206	674
9606.ENSP00000346550	673
9606.ENSP00000467466	671
9606.ENSP00000330945	667
9606.ENSP00000264028	662
9606.ENSP00000297258	660
9606.ENSP00000346067	659
9606.ENSP00000420065	656
9606.ENSP00000381386	651
9606.ENSP00000430494	649
9606.ENSP00000346762	648
9606.ENSP00000356632	648
9606.ENSP00000449328	647
9606.ENSP00000313050	644
9606.ENSP00000356790	643
9606.ENSP00000297185	639
9606.ENSP00000296930	638
9606.ENSP00000217121	637
9606.ENSP00000262290	635
9606.ENSP00000370194	634
9606.ENSP00000306330	633
9606.ENSP00000364935	630
9606.ENSP00000371267	630
9606.ENSP00000376886	629
9606.ENSP00000356481	628
9606.ENSP00000346827	628
9606.ENSP00000354511	628
9606.ENSP00000357835	626
9606.ENSP00000362339	621
9606.ENSP00000225972	621
9606.ENSP00000245907	621
9606.ENSP00000394936	611
9606.ENSP00000354739	611
9606.ENSP00000313199	609
9606.ENSP00000340684	607
9606.ENSP00000252603	606
9606.ENSP00000273359	604
9606.ENSP00000363500	599
9606.ENSP00000354610	598
9606.ENSP00000317331	597
9606.ENSP00000222800	596
9606.ENSP00000362329	595
9606.ENSP00000343924	595
9606.ENSP00000367615	591
9606.ENSP00000262030	590
9606.ENSP00000399457	588
9606.ENSP00000390265	585
9606.ENSP00000400467	579
9606.ENSP00000356671	579
9606.ENSP00000262646	579
9606.ENSP00000321259	577
9606.ENSP00000420213	575
9606.ENSP00000323929	575
9606.ENSP00000262812	574
9606.ENSP00000388169	574
9606.ENSP00000478310	573
9606.ENSP00000052754	573
9606.ENSP00000170150	571
9606.ENSP00000414321	569
9606.ENSP00000428895	569
9606.ENSP00000387654	569
9606.ENSP00000468633	566
9606.ENSP00000265333	565
9606.ENSP00000368517	565
9606.ENSP00000360939	564
9606.ENSP00000301149	563
9606.ENSP00000360305	561
9606.ENSP00000341826	561
9606.ENSP00000237530	556
9606.ENSP00000367309	553
9606.ENSP00000261733	552
9606.ENSP00000385385	551
9606.ENSP00000402373	549
9606.ENSP00000355645	547
9606.ENSP00000407422	546
9606.ENSP00000268379	543
9606.ENSP00000363018	543
9606.ENSP00000478828	542
9606.ENSP00000376056	540
9606.ENSP00000376309	538
9606.ENSP00000480004	537
9606.ENSP00000310275	537
9606.ENSP00000358853	536
9606.ENSP00000252250	535
9606.ENSP00000343885	535
9606.ENSP00000359345	532
9606.ENSP00000387123	531
9606.ENSP00000371230	531
9606.ENSP00000230895	530
9606.ENSP00000363676	529
9606.ENSP00000262613	528
9606.ENSP00000349259	526
9606.ENSP00000217652	525
9606.ENSP00000463393	524
9606.ENSP00000265062	524
9606.ENSP00000251047	523
9606.ENSP00000386651	520
9606.ENSP00000376800	519
9606.ENSP00000387286	519
9606.ENSP00000426119	518
9606.ENSP00000221418	515
9606.ENSP00000354468	514
9606.ENSP00000397843	513
9606.ENSP00000448785	510
9606.ENSP00000386857	510
9606.ENSP00000364649	508
9606.ENSP00000386717	505
9606.ENSP00000340989	505
9606.ENSP00000344547	504
9606.ENSP00000463379	502
9606.ENSP00000233379	501
9606.ENSP00000286091	499
9606.ENSP00000362463	497
9606.ENSP00000367992	497
9606.ENSP00000404854	496
9606.ENSP00000277865	494
9606.ENSP00000427687	494
9606.ENSP00000205402	493
9606.ENSP00000315299	491
9606.ENSP00000262225	491
9606.ENSP00000359539	491
9606.ENSP00000403172	488
9606.ENSP00000369129	488
9606.ENSP00000355518	487
9606.ENSP00000418401	487
9606.ENSP00000263672	487
9606.ENSP00000359910	483
9606.ENSP00000377446	482
9606.ENSP00000438689	481
9606.ENSP00000325240	480
9606.ENSP00000362817	480
9606.ENSP00000444357	480
9606.ENSP00000360609	477
9606.ENSP00000417142	476
9606.ENSP00000256682	475
9606.ENSP00000219169	475
9606.ENSP00000464813	474
9606.ENSP00000355180	474
9606.ENSP00000485133	471
9606.ENSP00000296412	470
9606.ENSP00000303920	468
9606.ENSP00000431984	466
9606.ENSP00000262418	465
9606.ENSP00000334785	461
9606.ENSP00000369314	460
9606.ENSP00000432799	458
9606.ENSP00000344674	458
9606.ENSP00000220764	458
9606.ENSP00000295550	457
9606.ENSP00000325002	456
9606.ENSP00000362946	455
9606.ENSP00000361635	455
9606.ENSP00000357727	454
9606.ENSP00000480853	454
9606.ENSP00000378046	452
9606.ENSP00000284031	451
9606.ENSP00000477639	450
9606.ENSP00000249923	450
9606.ENSP00000339720	449
9606.ENSP00000272298	449
9606.ENSP00000291295	449
9606.ENSP00000349467	449
9606.ENSP00000356864	447
9606.ENSP00000339095	446
9606.ENSP00000450436	445
9606.ENSP00000357048	445
9606.ENSP00000415840	444
9606.ENSP00000261479	444
9606.ENSP00000357555	443
9606.ENSP00000309334	441
9606.ENSP00000360021	440
9606.ENSP00000398632	439
9606.ENSP00000234454	437
9606.ENSP00000228811	437
9606.ENSP00000203407	436
9606.ENSP00000481878	435
9606.ENSP00000262193	433
9606.ENSP00000217426	431
9606.ENSP00000414359	430
9606.ENSP00000367263	428
9606.ENSP00000404042	428
9606.ENSP00000425759	427
9606.ENSP00000367154	426
9606.ENSP00000269576	425
9606.ENSP00000338413	423
9606.ENSP00000356042	422
9606.ENSP00000441875	421
9606.ENSP00000368970	419
9606.ENSP00000356652	419
9606.ENSP00000348849	419
9606.ENSP00000225698	418
9606.ENSP00000295006	418
9606.ENSP00000339001	417
9606.ENSP00000360268	417
9606.ENSP00000306362	415
9606.ENSP00000385432	415
9606.ENSP00000273450	408
9606.ENSP00000254079	407
9606.ENSP00000362873	406
9606.ENSP00000438113	405
9606.ENSP00000384949	402
9606.ENSP00000372136	401
9606.ENSP00000358723	400
9606.ENSP00000313432	400
9606.ENSP00000450909	399
9606.ENSP00000296503	399
9606.ENSP00000370115	398
9606.ENSP00000381736	398
9606.ENSP00000300605	398
9606.ENSP00000419449	397
9606.ENSP00000317159	397
9606.ENSP00000303356	397
9606.ENSP00000319788	396
9606.ENSP00000371554	395
9606.ENSP00000291565	395
9606.ENSP00000397261	395
9606.ENSP00000435777	395
9606.ENSP00000246662	393
9606.ENSP00000011473	391
9606.ENSP00000361471	390
9606.ENSP00000332449	389
9606.ENSP00000418842	389
9606.ENSP00000248975	389
9606.ENSP00000325548	389
9606.ENSP00000302886	389
9606.ENSP00000266735	389
9606.ENSP00000381581	388
9606.ENSP00000364945	387
9606.ENSP00000216121	386
9606.ENSP00000325376	385
9606.ENSP00000345848	383
9606.ENSP00000365950	382
9606.ENSP00000356354	381
9606.ENSP00000348888	380
9606.ENSP00000362334	380
9606.ENSP00000345672	379
9606.ENSP00000419325	378
9606.ENSP00000379256	378
9606.ENSP00000264613	378
9606.ENSP00000271308	377
9606.ENSP00000417864	376
9606.ENSP00000378191	376
9606.ENSP00000216455	376
9606.ENSP00000408025	375
9606.ENSP00000449751	375
9606.ENSP00000338703	373
9606.ENSP00000416330	373
9606.ENSP00000054950	372
9606.ENSP00000285381	372
9606.ENSP00000379838	372
9606.ENSP00000264932	371
9606.ENSP00000238379	371
9606.ENSP00000259667	369
9606.ENSP00000316809	369
9606.ENSP00000270792	368
9606.ENSP00000359096	368
9606.ENSP00000359100	368
9606.ENSP00000044462	366
9606.ENSP00000423673	365
9606.ENSP00000358140	365
9606.ENSP00000346037	364
9606.ENSP00000231751	363
9606.ENSP00000393887	362
9606.ENSP00000430598	362
9606.ENSP00000377532	362
9606.ENSP00000362820	361
9606.ENSP00000307241	360
9606.ENSP00000263277	355
9606.ENSP00000265395	354
9606.ENSP00000230431	353
9606.ENSP00000369081	353
9606.ENSP00000388806	352
9606.ENSP00000301329	347
9606.ENSP00000173527	347
9606.ENSP00000299300	347
9606.ENSP00000352257	346
9606.ENSP00000217515	346
9606.ENSP00000368927	346
9606.ENSP00000435289	345
9606.ENSP00000354490	345
9606.ENSP00000327336	344
9606.ENSP00000352438	343
9606.ENSP00000377640	343
9606.ENSP00000361076	343
9606.ENSP00000345179	343
9606.ENSP00000304669	343
9606.ENSP00000329419	343
9606.ENSP00000326381	343
9606.ENSP00000410059	342
9606.ENSP00000240851	342
9606.ENSP00000216500	342
9606.ENSP00000478061	341
9606.ENSP00000351646	340
9606.ENSP00000444850	340
9606.ENSP00000305230	339
9606.ENSP00000221130	339
9606.ENSP00000477310	338
9606.ENSP00000263238	337
9606.ENSP00000261636	336
9606.ENSP00000449270	336
