#id: 3867332124
#name: Homo sapiens - Spleen (Integrated)
#score: 27.3
#coverage: 59
#description: integrated dataset: weighted average of all Homo sapiens SPLEEN: 27.3, Coverage: 59
#organ: SPLEEN
#integrated: true
#weights: PXD016999_Jiang_Cell_2020_Spleen-ppm:0.351;spleen_Wilhelm_2014_Maxquant:0.333;PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Spleen:0.316;
#publication_year: 2023
#filename: 9606-SPLEEN-integrated.txt
#
#internal_id	string_external_id	abundance
4440511	9606.ENSP00000333994	63999
4445428	9606.ENSP00000370010	32820
4450595	9606.ENSP00000458162	13969
4434183	9606.ENSP00000251595	11574
4445365	9606.ENSP00000369654	10968
4437206	9606.ENSP00000295897	10947
4450181	9606.ENSP00000446007	10730
4439524	9606.ENSP00000322421	10192
4449041	9606.ENSP00000419425	6179
4433451	9606.ENSP00000229239	5968
4445711	9606.ENSP00000372136	5474
4432924	9606.ENSP00000216181	5005
4433579	9606.ENSP00000233143	4976
4449553	9606.ENSP00000430656	4429
4433326	9606.ENSP00000225655	3996
4433634	9606.ENSP00000234590	3975
4443409	9606.ENSP00000358866	3880
4446831	9606.ENSP00000381581	3728
4449639	9606.ENSP00000432660	3644
4435133	9606.ENSP00000262746	3555
4439035	9606.ENSP00000316029	3306
4437770	9606.ENSP00000301522	3236
4444160	9606.ENSP00000362413	3166
4434247	9606.ENSP00000252699	3030
4442353	9606.ENSP00000353408	2915
4432848	9606.ENSP00000211998	2881
4435245	9606.ENSP00000263368	2600
4441634	9606.ENSP00000346550	2592
4449622	9606.ENSP00000432282	2538
4437604	9606.ENSP00000299767	2506
4446480	9606.ENSP00000379287	2435
4443076	9606.ENSP00000357283	2413
4441649	9606.ENSP00000346694	2405
4437223	9606.ENSP00000296028	2392
4444989	9606.ENSP00000367263	2350
4436861	9606.ENSP00000290378	2329
4447693	9606.ENSP00000391481	2281
4441580	9606.ENSP00000346032	2224
4437297	9606.ENSP00000296511	2159
4433064	9606.ENSP00000219150	2149
4439640	9606.ENSP00000323856	2111
4433442	9606.ENSP00000228945	2078
4449616	9606.ENSP00000432083	2076
4433548	9606.ENSP00000231751	1973
4446386	9606.ENSP00000378669	1936
4440643	9606.ENSP00000335153	1922
4433456	9606.ENSP00000229270	1917
4444027	9606.ENSP00000361883	1908
4441502	9606.ENSP00000345230	1839
4441512	9606.ENSP00000345347	1829
4440919	9606.ENSP00000339063	1826
4437619	9606.ENSP00000300026	1823
4443033	9606.ENSP00000357076	1797
4449100	9606.ENSP00000420213	1787
4440740	9606.ENSP00000336829	1771
4450215	9606.ENSP00000446955	1767
4439337	9606.ENSP00000320171	1749
4443118	9606.ENSP00000357516	1749
4437720	9606.ENSP00000301071	1722
4437176	9606.ENSP00000295685	1681
4438237	9606.ENSP00000306606	1676
4441991	9606.ENSP00000349960	1673
4435415	9606.ENSP00000264335	1668
4448813	9606.ENSP00000416066	1661
4443770	9606.ENSP00000360609	1643
4442096	9606.ENSP00000351022	1630
4445357	9606.ENSP00000369609	1620
4443164	9606.ENSP00000357722	1615
4448989	9606.ENSP00000418770	1588
4439395	9606.ENSP00000320866	1583
4438372	9606.ENSP00000307940	1564
4436327	9606.ENSP00000279022	1562
4441138	9606.ENSP00000341289	1556
4435881	9606.ENSP00000269321	1548
4437661	9606.ENSP00000300289	1538
4439955	9606.ENSP00000327801	1510
4436628	9606.ENSP00000285379	1510
4437161	9606.ENSP00000295550	1483
4444040	9606.ENSP00000361930	1469
4445713	9606.ENSP00000372155	1465
4439666	9606.ENSP00000324173	1458
4446270	9606.ENSP00000377941	1456
4443166	9606.ENSP00000357727	1444
4444796	9606.ENSP00000366109	1415
4435927	9606.ENSP00000270142	1406
4441877	9606.ENSP00000348965	1404
4434771	9606.ENSP00000260356	1390
4450150	9606.ENSP00000445175	1376
4435814	9606.ENSP00000268182	1352
4435987	9606.ENSP00000271638	1351
4432889	9606.ENSP00000215909	1343
4439772	9606.ENSP00000325548	1316
4435079	9606.ENSP00000262428	1311
4441216	9606.ENSP00000342026	1291
4444013	9606.ENSP00000361824	1273
4445338	9606.ENSP00000369538	1252
4432984	9606.ENSP00000216802	1244
4439424	9606.ENSP00000321259	1240
4440870	9606.ENSP00000338413	1236
4446531	9606.ENSP00000379616	1235
4434847	9606.ENSP00000261267	1231
4432912	9606.ENSP00000216117	1214
4433668	9606.ENSP00000236850	1208
4438214	9606.ENSP00000306361	1203
4444869	9606.ENSP00000366525	1185
4447620	9606.ENSP00000389631	1180
4447279	9606.ENSP00000385834	1173
4443642	9606.ENSP00000359991	1172
4446837	9606.ENSP00000381607	1168
4448605	9606.ENSP00000411355	1155
4442171	9606.ENSP00000351646	1146
4435153	9606.ENSP00000262878	1144
4441904	9606.ENSP00000349259	1140
4446990	9606.ENSP00000383118	1139
4444702	9606.ENSP00000365439	1127
4450405	9606.ENSP00000452780	1122
4451404	9606.ENSP00000479606	1121
4442549	9606.ENSP00000354826	1112
4438190	9606.ENSP00000306099	1110
4437224	9606.ENSP00000296029	1100
4445814	9606.ENSP00000373620	1081
4444599	9606.ENSP00000364801	1070
4441045	9606.ENSP00000340466	1069
4442857	9606.ENSP00000356275	1067
4433364	9606.ENSP00000226299	1056
4439338	9606.ENSP00000320176	1046
4439187	9606.ENSP00000318195	1037
4434861	9606.ENSP00000261366	1030
4444985	9606.ENSP00000367220	1022
4445445	9606.ENSP00000370115	1019
4440720	9606.ENSP00000336702	1018
4433624	9606.ENSP00000234313	1010
4434059	9606.ENSP00000248553	995
4441726	9606.ENSP00000347495	994
4434854	9606.ENSP00000261313	991
4435961	9606.ENSP00000270776	981
4439747	9606.ENSP00000325240	975
4446501	9606.ENSP00000379386	970
4437293	9606.ENSP00000296503	956
4436340	9606.ENSP00000279227	945
4449888	9606.ENSP00000439012	944
4433951	9606.ENSP00000245907	941
4435220	9606.ENSP00000263238	941
4436920	9606.ENSP00000291568	941
4443049	9606.ENSP00000357129	940
4442186	9606.ENSP00000351777	939
4438847	9606.ENSP00000313199	937
4450194	9606.ENSP00000446252	934
4447540	9606.ENSP00000388169	931
4433793	9606.ENSP00000241052	921
4450191	9606.ENSP00000446215	917
4436526	9606.ENSP00000283179	909
4450307	9606.ENSP00000450385	903
4436660	9606.ENSP00000286091	871
4447701	9606.ENSP00000391592	869
4446035	9606.ENSP00000376309	855
4447225	9606.ENSP00000385385	846
4441806	9606.ENSP00000348163	844
4450367	9606.ENSP00000451752	839
4439895	9606.ENSP00000327070	837
4444265	9606.ENSP00000362924	835
4441968	9606.ENSP00000349748	835
4449412	9606.ENSP00000427687	826
4448625	9606.ENSP00000411825	824
4441541	9606.ENSP00000345672	805
4438833	9606.ENSP00000312999	800
4444623	9606.ENSP00000364935	798
4446590	9606.ENSP00000379975	795
4447650	9606.ENSP00000390265	787
4433665	9606.ENSP00000236671	781
4450840	9606.ENSP00000467141	780
4438858	9606.ENSP00000313420	778
4442456	9606.ENSP00000354394	777
4439894	9606.ENSP00000327054	776
4443709	9606.ENSP00000360305	774
4446438	9606.ENSP00000379038	774
4445678	9606.ENSP00000371798	773
4448825	9606.ENSP00000416330	769
4433430	9606.ENSP00000228825	767
4442230	9606.ENSP00000352257	763
4445033	9606.ENSP00000367542	759
4444134	9606.ENSP00000362308	750
4446176	9606.ENSP00000377298	746
4439758	9606.ENSP00000325376	745
4444439	9606.ENSP00000363827	744
4434023	9606.ENSP00000247461	743
4443194	9606.ENSP00000357801	738
4443371	9606.ENSP00000358723	737
4435562	9606.ENSP00000265131	736
4435962	9606.ENSP00000270792	735
4441808	9606.ENSP00000348170	733
4433305	9606.ENSP00000225275	733
4443543	9606.ENSP00000359504	732
4441661	9606.ENSP00000346839	729
4443066	9606.ENSP00000357206	728
4444000	9606.ENSP00000361777	726
4444406	9606.ENSP00000363641	714
4443919	9606.ENSP00000361405	712
4435512	9606.ENSP00000264908	712
4449926	9606.ENSP00000440005	710
