#id: 901499381
#name: Homo sapiens - Stomach (Integrated)
#score: 28.8
#coverage: 62
#description: integrated dataset: weighted average of all Homo sapiens STOMACH: 28.8, Coverage: 62
#organ: STOMACH
#integrated: true
#weights: PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Stomach:0.431;stomach_Wilhelm_2014_Maxquant:0.31;PXD016999_Jiang_Cell_2020_Stomach-ppm:0.259;
#publication_year: 2023
#filename: 9606-STOMACH-integrated.txt
#
#internal_id	string_external_id	abundance
4437206	9606.ENSP00000295897	25925
4440511	9606.ENSP00000333994	22511
4445428	9606.ENSP00000370010	13062
4449622	9606.ENSP00000432282	9994
4450595	9606.ENSP00000458162	9919
4448813	9606.ENSP00000416066	8003
4450181	9606.ENSP00000446007	6457
4442096	9606.ENSP00000351022	5867
4433668	9606.ENSP00000236850	5411
4450285	9606.ENSP00000449404	5245
4447695	9606.ENSP00000391490	4886
4433451	9606.ENSP00000229239	4859
4434847	9606.ENSP00000261267	4806
4436628	9606.ENSP00000285379	4725
4444972	9606.ENSP00000367172	4719
4447279	9606.ENSP00000385834	4655
4449041	9606.ENSP00000419425	4526
4444297	9606.ENSP00000363071	4317
4437270	9606.ENSP00000296370	4196
4441580	9606.ENSP00000346032	4021
4443409	9606.ENSP00000358866	3805
4446531	9606.ENSP00000379616	3643
4445033	9606.ENSP00000367542	3576
4443160	9606.ENSP00000357709	3523
4435133	9606.ENSP00000262746	3365
4436861	9606.ENSP00000290378	3040
4440252	9606.ENSP00000331358	3011
4437604	9606.ENSP00000299767	2852
4438237	9606.ENSP00000306606	2817
4444989	9606.ENSP00000367263	2788
4439955	9606.ENSP00000327801	2734
4443076	9606.ENSP00000357283	2702
4437619	9606.ENSP00000300026	2673
4445365	9606.ENSP00000369654	2647
4441808	9606.ENSP00000348170	2496
4446480	9606.ENSP00000379287	2471
4449639	9606.ENSP00000432660	2437
4437770	9606.ENSP00000301522	2413
4440919	9606.ENSP00000339063	2411
4433326	9606.ENSP00000225655	2351
4439666	9606.ENSP00000324173	2338
4433634	9606.ENSP00000234590	2323
4434059	9606.ENSP00000248553	2315
4441649	9606.ENSP00000346694	2313
4450215	9606.ENSP00000446955	2305
4445799	9606.ENSP00000373487	2295
4440090	9606.ENSP00000329292	2278
4434183	9606.ENSP00000251595	2252
4435725	9606.ENSP00000266718	2246
4437161	9606.ENSP00000295550	2215
4439395	9606.ENSP00000320866	2161
4436327	9606.ENSP00000279022	2146
4442857	9606.ENSP00000356275	2137
4437661	9606.ENSP00000300289	2132
4446386	9606.ENSP00000378669	2106
4432629	9606.ENSP00000052754	2099
4444160	9606.ENSP00000362413	2095
4437436	9606.ENSP00000297785	2072
4442268	9606.ENSP00000352584	2041
4437297	9606.ENSP00000296511	2019
4439524	9606.ENSP00000322421	2013
4440740	9606.ENSP00000336829	2010
4435415	9606.ENSP00000264335	2004
4437548	9606.ENSP00000299198	1969
4434247	9606.ENSP00000252699	1901
4444265	9606.ENSP00000362924	1891
4442549	9606.ENSP00000354826	1888
4432848	9606.ENSP00000211998	1859
4445814	9606.ENSP00000373620	1846
4434700	9606.ENSP00000259396	1845
4433456	9606.ENSP00000229270	1844
4446837	9606.ENSP00000381607	1844
4432889	9606.ENSP00000215909	1822
4445267	9606.ENSP00000369071	1787
4438190	9606.ENSP00000306099	1766
4438214	9606.ENSP00000306361	1758
4436660	9606.ENSP00000286091	1677
4433951	9606.ENSP00000245907	1676
4443118	9606.ENSP00000357516	1662
4441502	9606.ENSP00000345230	1649
4449616	9606.ENSP00000432083	1618
4441138	9606.ENSP00000341289	1596
4439337	9606.ENSP00000320171	1593
4434224	9606.ENSP00000252456	1591
4450866	9606.ENSP00000468057	1582
4438372	9606.ENSP00000307940	1578
4434352	9606.ENSP00000254301	1571
4435987	9606.ENSP00000271638	1555
4441634	9606.ENSP00000346550	1542
4442622	9606.ENSP00000355180	1538
4444085	9606.ENSP00000362116	1527
4434854	9606.ENSP00000261313	1520
4434216	9606.ENSP00000252244	1514
4437720	9606.ENSP00000301071	1512
4432924	9606.ENSP00000216181	1502
4444949	9606.ENSP00000367038	1499
4446035	9606.ENSP00000376309	1493
4443033	9606.ENSP00000357076	1479
4443001	9606.ENSP00000356969	1432
4446852	9606.ENSP00000381736	1404
4435104	9606.ENSP00000262551	1403
4449100	9606.ENSP00000420213	1400
4435671	9606.ENSP00000265983	1395
4440643	9606.ENSP00000335153	1371
4446235	9606.ENSP00000377710	1367
4435113	9606.ENSP00000262623	1363
4448989	9606.ENSP00000418770	1357
4441512	9606.ENSP00000345347	1356
4435898	9606.ENSP00000269576	1354
4452101	9606.ENSP00000485659	1316
4435245	9606.ENSP00000263368	1303
4433964	9606.ENSP00000246069	1301
4444702	9606.ENSP00000365439	1288
4451711	9606.ENSP00000482743	1279
4440720	9606.ENSP00000336702	1279
4439640	9606.ENSP00000323856	1270
4446258	9606.ENSP00000377833	1256
4439895	9606.ENSP00000327070	1255
4440308	9606.ENSP00000331897	1255
4444013	9606.ENSP00000361824	1243
4441216	9606.ENSP00000342026	1232
4441190	9606.ENSP00000341826	1229
4445711	9606.ENSP00000372136	1228
4449553	9606.ENSP00000430656	1228
4442612	9606.ENSP00000355124	1222
4447650	9606.ENSP00000390265	1218
4435927	9606.ENSP00000270142	1210
4439653	9606.ENSP00000323929	1207
4446270	9606.ENSP00000377941	1192
4437672	9606.ENSP00000300527	1190
4449888	9606.ENSP00000439012	1186
4439035	9606.ENSP00000316029	1183
4446266	9606.ENSP00000377900	1180
4437379	9606.ENSP00000297258	1159
4448623	9606.ENSP00000411821	1146
4439747	9606.ENSP00000325240	1143
4443770	9606.ENSP00000360609	1130
4442353	9606.ENSP00000353408	1123
4439310	9606.ENSP00000319788	1112
4444796	9606.ENSP00000366109	1108
4438002	9606.ENSP00000303920	1093
4441991	9606.ENSP00000349960	1092
4444599	9606.ENSP00000364801	1091
4441904	9606.ENSP00000349259	1091
4434407	9606.ENSP00000255040	1079
4442801	9606.ENSP00000356042	1071
4432936	9606.ENSP00000216254	1066
4441877	9606.ENSP00000348965	1023
4447693	9606.ENSP00000391481	998
4435610	9606.ENSP00000265462	989
4437352	9606.ENSP00000296930	989
4444040	9606.ENSP00000361930	973
4447225	9606.ENSP00000385385	969
4446501	9606.ENSP00000379386	962
4432702	9606.ENSP00000167588	957
4450194	9606.ENSP00000446252	955
4438847	9606.ENSP00000313199	950
4439187	9606.ENSP00000318195	943
4436857	9606.ENSP00000290349	941
4445445	9606.ENSP00000370115	937
4445338	9606.ENSP00000369538	926
4439526	9606.ENSP00000322439	925
4450307	9606.ENSP00000450385	923
4444623	9606.ENSP00000364935	919
4441378	9606.ENSP00000343924	918
4451404	9606.ENSP00000479606	910
4442228	9606.ENSP00000352248	907
4434385	9606.ENSP00000254801	902
4445454	9606.ENSP00000370194	896
4436526	9606.ENSP00000283179	892
4436920	9606.ENSP00000291568	883
4441045	9606.ENSP00000340466	882
4451678	9606.ENSP00000482472	869
4448825	9606.ENSP00000416330	866
4449926	9606.ENSP00000440005	859
4450150	9606.ENSP00000445175	858
4439424	9606.ENSP00000321259	854
4435881	9606.ENSP00000269321	851
4450405	9606.ENSP00000452780	843
4445270	9606.ENSP00000369081	841
4445970	9606.ENSP00000375836	836
4439901	9606.ENSP00000327145	832
4444990	9606.ENSP00000367265	831
4450840	9606.ENSP00000467141	830
4435814	9606.ENSP00000268182	822
4436129	9606.ENSP00000274364	817
4446990	9606.ENSP00000383118	817
4435512	9606.ENSP00000264908	817
4449412	9606.ENSP00000427687	811
4449851	9606.ENSP00000438144	810
4437376	9606.ENSP00000297185	810
4443372	9606.ENSP00000358727	806
4434023	9606.ENSP00000247461	804
4442941	9606.ENSP00000356671	799
4436910	9606.ENSP00000291526	787
4432840	9606.ENSP00000210444	786
4435583	9606.ENSP00000265333	780
4449347	9606.ENSP00000426083	778
4449184	9606.ENSP00000421725	776
4437255	9606.ENSP00000296255	773
4437442	9606.ENSP00000297848	772
4444027	9606.ENSP00000361883	772
4447974	9606.ENSP00000397261	768
4451457	9606.ENSP00000480150	762
4444439	9606.ENSP00000363827	760
4434076	9606.ENSP00000248975	756
4445713	9606.ENSP00000372155	749
4434993	9606.ENSP00000262030	746
4442186	9606.ENSP00000351777	744
4448366	9606.ENSP00000405573	744
4447823	9606.ENSP00000393887	742
4436962	9606.ENSP00000292401	739
4433003	9606.ENSP00000217182	739
4450191	9606.ENSP00000446215	739
4442171	9606.ENSP00000351646	728
4449502	9606.ENSP00000429374	726
4442086	9606.ENSP00000350911	725
4434937	9606.ENSP00000261733	722
4437822	9606.ENSP00000302100	720
4446103	9606.ENSP00000376793	717
4437176	9606.ENSP00000295685	711
4441103	9606.ENSP00000340989	709
4439772	9606.ENSP00000325548	703
4435651	9606.ENSP00000265838	697
4433993	9606.ENSP00000246662	694
4450571	9606.ENSP00000457513	694
4446117	9606.ENSP00000376889	693
4433675	9606.ENSP00000237014	691
4435330	9606.ENSP00000263867	690
4440870	9606.ENSP00000338413	688
4445788	9606.ENSP00000373364	686
4439770	9606.ENSP00000325527	682
4447873	9606.ENSP00000394936	675
4441169	9606.ENSP00000341625	671
4444406	9606.ENSP00000363641	670
4438066	9606.ENSP00000304669	664
4448472	9606.ENSP00000408025	662
4432813	9606.ENSP00000205402	661
4448229	9606.ENSP00000402373	661
4440933	9606.ENSP00000339191	661
4443642	9606.ENSP00000359991	657
4445432	9606.ENSP00000370023	657
4450308	9606.ENSP00000450436	657
4446481	9606.ENSP00000379290	656
4442654	9606.ENSP00000355330	655
4434174	9606.ENSP00000251453	654
4433984	9606.ENSP00000246533	651
4437273	9606.ENSP00000296412	651
4441654	9606.ENSP00000346762	651
4435360	9606.ENSP00000264028	650
4443371	9606.ENSP00000358723	643
4442050	9606.ENSP00000350425	640
4433579	9606.ENSP00000233143	640
4438137	9606.ENSP00000305556	636
4442694	9606.ENSP00000355518	635
4441438	9606.ENSP00000344547	633
4443872	9606.ENSP00000361140	631
4444137	9606.ENSP00000362329	630
4448625	9606.ENSP00000411825	625
4443780	9606.ENSP00000360671	625
4449581	9606.ENSP00000431254	624
4442386	9606.ENSP00000353720	615
4442660	9606.ENSP00000355377	614
4432984	9606.ENSP00000216802	611
4435471	9606.ENSP00000264663	606
4435508	9606.ENSP00000264870	604
4448339	9606.ENSP00000404854	602
4448216	9606.ENSP00000402103	602
4439742	9606.ENSP00000325136	602
4450354	9606.ENSP00000451291	601
4444232	9606.ENSP00000362744	597
4441922	9606.ENSP00000349428	596
4445467	9606.ENSP00000370254	595
4449878	9606.ENSP00000438689	594
4435459	9606.ENSP00000264613	594
4441668	9606.ENSP00000346921	591
4443021	9606.ENSP00000357048	589
4433430	9606.ENSP00000228825	588
4446540	9606.ENSP00000379678	587
