#id: 24423709
#name: H.sapiens - Urine (Integrated)
#score: 13.7
#description: integrated dataset: weighted average of all H.sapiens URINE, Interaction consistency score: 13.7, Coverage: 16
#organ: URINE
#integrated: true
#coverage: 16
#publication_year: 2022
#filename: 9606-URINE-integrated.txt
#
#internal_id	string_external_id	abundance
4437206	9606.ENSP00000295897	68499
4445428	9606.ENSP00000370010	47831
4446508	9606.ENSP00000379438	36259
4443785	9606.ENSP00000360687	27733
4435563	9606.ENSP00000265132	22975
4443752	9606.ENSP00000360522	20429
4440511	9606.ENSP00000333994	15334
4434183	9606.ENSP00000251595	15000
4439524	9606.ENSP00000322421	15000
4435537	9606.ENSP00000265023	11641
4446755	9606.ENSP00000381057	11127
4434700	9606.ENSP00000259396	10820
4441496	9606.ENSP00000345179	10471
4433990	9606.ENSP00000246635	10254
4436962	9606.ENSP00000292401	9912
4437950	9606.ENSP00000303276	9244
4446463	9606.ENSP00000379191	8881
4434216	9606.ENSP00000252244	8112
4448813	9606.ENSP00000416066	8017
4435962	9606.ENSP00000270792	7874
4447823	9606.ENSP00000393887	7861
4449581	9606.ENSP00000431254	7101
4447279	9606.ENSP00000385834	7092
4433982	9606.ENSP00000246515	6863
4443164	9606.ENSP00000357722	6764
4435898	9606.ENSP00000269576	6161
4446370	9606.ENSP00000378517	6106
4450254	9606.ENSP00000448220	6099
4438260	9606.ENSP00000306864	5903
4450405	9606.ENSP00000452780	5888
4447873	9606.ENSP00000394936	5867
4432817	9606.ENSP00000205948	5844
4437812	9606.ENSP00000301939	5791
4435887	9606.ENSP00000269389	5094
4438033	9606.ENSP00000304236	4822
4435139	9606.ENSP00000262776	4684
4441959	9606.ENSP00000349687	4548
4440432	9606.ENSP00000333203	4433
4436285	9606.ENSP00000278407	4353
4435199	9606.ENSP00000263100	4308
4444265	9606.ENSP00000362924	4298
4441870	9606.ENSP00000348888	4292
4435570	9606.ENSP00000265171	4179
4437173	9606.ENSP00000295666	4172
4435679	9606.ENSP00000266041	4171
4437954	9606.ENSP00000303366	4104
4433668	9606.ENSP00000236850	4088
4435671	9606.ENSP00000265983	3936
4443166	9606.ENSP00000357727	3799
4434748	9606.ENSP00000260118	3685
4437875	9606.ENSP00000302621	3481
4441808	9606.ENSP00000348170	3475
4432890	9606.ENSP00000215912	3447
4433451	9606.ENSP00000229239	3446
4438152	9606.ENSP00000305692	3435
4433602	9606.ENSP00000233735	3405
4445365	9606.ENSP00000369654	3281
4446348	9606.ENSP00000378394	3143
