#id: 1742611570
#name: H.sapiens - Ascitic fluid, SC (Wilhelm,nature,2014)
#score: 10.3
#weight: 100%
#description: abundance based on Spectral counting, Interaction consistency score: 10.3, Coverage: 11
#organ: ASCITIC_FLUID
#integrated: false
#coverage: 11
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13319.html
#publication_year: 2014
#filename: 9606-ascites_Wilhelm_2014_Maxquant.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4437206	9606.ENSP00000295897	78342	4889
4448813	9606.ENSP00000416066	39923	1310
4439524	9606.ENSP00000322421	23615	512
4434183	9606.ENSP00000251595	23615	512
4440740	9606.ENSP00000336829	23022	1124
4445428	9606.ENSP00000370010	21674	28
4433675	9606.ENSP00000237014	20394	170
4441808	9606.ENSP00000348170	19496	934
4440511	9606.ENSP00000333994	17552	521
4438214	9606.ENSP00000306361	17329	1152
4438190	9606.ENSP00000306099	17041	747
4434700	9606.ENSP00000259396	16302	254
4433951	9606.ENSP00000245907	13724	2052
4439653	9606.ENSP00000323929	12835	1608
4447279	9606.ENSP00000385834	12001	914
4449581	9606.ENSP00000431254	10913	244
4435459	9606.ENSP00000264613	10660	736
4433668	9606.ENSP00000236850	10646	334
4443166	9606.ENSP00000357727	9562	140
4435671	9606.ENSP00000265983	9207	312
4443164	9606.ENSP00000357722	7482	84
4445365	9606.ENSP00000369654	7072	322
4433579	9606.ENSP00000233143	6492	19
4450004	9606.ENSP00000441828	6347	469
4436285	9606.ENSP00000278407	5654	220
4435679	9606.ENSP00000266041	5498	361
4442881	9606.ENSP00000356399	5110	492
4436068	9606.ENSP00000273283	5004	302
4450315	9606.ENSP00000450540	4827	345
4446103	9606.ENSP00000376793	4827	345
4434227	9606.ENSP00000252486	4747	177
4447178	9606.ENSP00000384906	4690	57
4443001	9606.ENSP00000356969	4386	54
4434216	9606.ENSP00000252244	4340	324
4433451	9606.ENSP00000229239	4047	92
4441496	9606.ENSP00000345179	3979	66
4442116	9606.ENSP00000351190	3644	262
4450285	9606.ENSP00000449404	3489	236
4442050	9606.ENSP00000350425	3474	148
4433326	9606.ENSP00000225655	3442	53
4450595	9606.ENSP00000458162	3421	285
4441991	9606.ENSP00000349960	3421	285
4443160	9606.ENSP00000357709	3247	23
4451325	9606.ENSP00000478725	3225	63
4435898	9606.ENSP00000269576	3213	230
4449041	9606.ENSP00000419425	3206	49
4441661	9606.ENSP00000346839	3189	447
4436962	9606.ENSP00000292401	3161	77
4444265	9606.ENSP00000362924	3103	122
4450772	9606.ENSP00000465356	2986	12
4434405	9606.ENSP00000255030	2956	45
4435199	9606.ENSP00000263100	2853	83
4433584	9606.ENSP00000233242	2767	1173
4433993	9606.ENSP00000246662	2737	117
4448796	9606.ENSP00000415769	2725	160
4435962	9606.ENSP00000270792	2702	19
4444796	9606.ENSP00000366109	2682	90
4447873	9606.ENSP00000394936	2679	82
4438421	9606.ENSP00000308541	2660	156
4450194	9606.ENSP00000446252	2654	34
4448805	9606.ENSP00000415941	2610	615
