#id: 623692766
#name: Homo sapiens - Cell line, Hela, SC (Nagaraj,msb,2011)
#score: 19.0
#description: abundance based on Spectral counting, hela, Interaction consistency score: 19.0, Coverage: 45
#organ: CELL_LINE
#integrated: false
#coverage: 45
#link: http://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=22068331&retmode=ref&cmd=prlinks
#publication_year: 2011
#filename: 9606-hela_Nagaraj_2011.txt
#
#string_external_id	abundance	raw_spectral_count
9606.ENSP00000446007	15309	-913620544
9606.ENSP00000234590	13266	-1036259334
9606.ENSP00000320171	12507	994830956
9606.ENSP00000233893	11367	-351303416
9606.ENSP00000360609	9235	-398399946
9606.ENSP00000229239	8979	-466926883
9606.ENSP00000432660	8818	-1736227260
9606.ENSP00000391481	8802	-363935986
9606.ENSP00000318195	7749	1827725948
9606.ENSP00000357709	7045	1445341353
9606.ENSP00000432083	6757	-1423781574
9606.ENSP00000262746	6512	-1900774834
9606.ENSP00000346032	6140	1958241900
9606.ENSP00000419425	6006	102146911
9606.ENSP00000229270	5751	-132855994
9606.ENSP00000353408	5485	-2118436590
9606.ENSP00000335153	5115	1474416672
9606.ENSP00000324173	4981	-615555332
9606.ENSP00000320866	4901	867131726
9606.ENSP00000216181	4852	-64728349
9606.ENSP00000373620	4567	-1928222799
9606.ENSP00000357705	4523	-1371426386
9606.ENSP00000283179	4507	-1481824553
9606.ENSP00000299767	4316	917228444
9606.ENSP00000418868	4234	1775326000
9606.ENSP00000252699	4160	960008465
9606.ENSP00000435777	3941	-772567296
9606.ENSP00000358866	3940	-1598759577
9606.ENSP00000259469	3727	820362656
9606.ENSP00000366109	3633	1844917848
9606.ENSP00000362413	3497	234945136
9606.ENSP00000356042	3482	398670553
9606.ENSP00000307940	3448	-436331375
9606.ENSP00000339063	3444	1707192512
9606.ENSP00000402608	3436	1126608112
9606.ENSP00000300026	3324	1700436364
9606.ENSP00000376886	3311	-803855504
9606.ENSP00000322419	3277	-1083533016
9606.ENSP00000215909	3190	585364604
9606.ENSP00000373487	3184	-1397334254
9606.ENSP00000381736	3136	-2124577611
9606.ENSP00000270142	3118	-1144450523
9606.ENSP00000389103	3056	-1424137496
9606.ENSP00000327801	3041	-2140791249
9606.ENSP00000300289	2919	1667735542
9606.ENSP00000419117	2904	804051900
9606.ENSP00000472469	2875	944470960
9606.ENSP00000313829	2840	1848973844
9606.ENSP00000365439	2728	256846466
9606.ENSP00000362592	2627	-1246403142
9606.ENSP00000346037	2596	-1634576296
9606.ENSP00000330074	2590	-650300596
9606.ENSP00000297185	2461	796629712
9606.ENSP00000345347	2452	-1017514636
9606.ENSP00000296930	2356	1290301674
9606.ENSP00000271638	2288	2140133350
9606.ENSP00000261313	2272	-861407466
9606.ENSP00000351777	2260	-907827831
9606.ENSP00000379386	2259	-851575360
9606.ENSP00000376889	2243	971470496
9606.ENSP00000387710	2228	1000223705
9606.ENSP00000357283	2204	1199472917
9606.ENSP00000393241	2189	1573476500
9606.ENSP00000352257	2170	1273774674
9606.ENSP00000215754	2120	1857087120
9606.ENSP00000356275	2116	-416638703
9606.ENSP00000388107	2093	-854863492
9606.ENSP00000379157	2081	374929378
9606.ENSP00000298159	2076	1624398694
9606.ENSP00000363676	2065	-1176111286
9606.ENSP00000346001	2016	-194976736
9606.ENSP00000378669	1981	195307838
9606.ENSP00000278572	1979	891405554
9606.ENSP00000369424	1917	-1248295772
9606.ENSP00000446215	1916	-121729496
9606.ENSP00000420213	1887	-260395920
9606.ENSP00000379888	1883	-762868756
9606.ENSP00000363018	1879	-468922366
9606.ENSP00000341885	1872	1309401304
9606.ENSP00000381607	1863	-14759386
9606.ENSP00000446955	1858	-617659646
9606.ENSP00000304229	1856	1658125000
9606.ENSP00000418770	1844	-1306297357
9606.ENSP00000357801	1837	1628039100
9606.ENSP00000331901	1810	2030043704
9606.ENSP00000262030	1804	1772640488
9606.ENSP00000467466	1787	-1969512896
9606.ENSP00000351646	1776	-1145360285
9606.ENSP00000211998	1774	-280153520
9606.ENSP00000370010	1764	144830750
9606.ENSP00000247461	1749	-1514311798
9606.ENSP00000307705	1722	1362288704
