#id: 4244933005
#name: Homo sapiens - Plasma, Non alkylated, SC (Qian,mcp,2005)
#score: 1.1
#description: abundance based on Spectral counting, non alkylated, Interaction consistency score: 1.1, Coverage: 4
#organ: PLASMA
#integrated: false
#coverage: 4
#link: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1829297/
#publication_year: 2005
#filename: 9606-human3_non-alkylatedPlasma_PRIDE.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4449581	9606.ENSP00000431254	332262	114934
4450772	9606.ENSP00000465356	120735	646
4437206	9606.ENSP00000295897	79970	37520
4433668	9606.ENSP00000236850	61152	14494
4448813	9606.ENSP00000416066	26529	8948
4438214	9606.ENSP00000306361	25160	14690
4447279	9606.ENSP00000385834	22000	12060
4439653	9606.ENSP00000323929	19349	22604
4433951	9606.ENSP00000245907	19067	20220
4441808	9606.ENSP00000348170	16811	5520
4433675	9606.ENSP00000237014	16193	1348
4440740	9606.ENSP00000336829	15263	8032
4438190	9606.ENSP00000306099	15173	9738
4443001	9606.ENSP00000356969	14161	1412
4435199	9606.ENSP00000263100	13137	2508
4442941	9606.ENSP00000356671	11152	2364
4435671	9606.ENSP00000265983	9675	3714
4442050	9606.ENSP00000350425	9021	2876
4435459	9606.ENSP00000264613	8532	5106
4440511	9606.ENSP00000333994	8230	1742
4435679	9606.ENSP00000266041	5871	3228
4433993	9606.ENSP00000246662	5443	994
4447823	9606.ENSP00000393887	5222	1186
4433224	9606.ENSP00000222381	5102	852
4433396	9606.ENSP00000227667	5057	738
4434228	9606.ENSP00000252490	4438	380
4450821	9606.ENSP00000466775	4438	380
4434700	9606.ENSP00000259396	4403	1544
4436068	9606.ENSP00000273283	4257	1986
4437875	9606.ENSP00000302621	4077	588
4442116	9606.ENSP00000351190	4051	2918
4445428	9606.ENSP00000370010	3877	2
4448805	9606.ENSP00000415941	3774	6306
4434216	9606.ENSP00000252244	3558	1198
4447940	9606.ENSP00000396688	3495	5986
4438974	9606.ENSP00000315130	3252	968
4444265	9606.ENSP00000362924	3207	1222
4433552	9606.ENSP00000232003	3114	738
4450004	9606.ENSP00000441828	3047	1992
4449184	9606.ENSP00000421725	2761	810
4448835	9606.ENSP00000416561	2346	1774
4438900	9606.ENSP00000313967	2099	612
4436285	9606.ENSP00000278407	2092	698
4433357	9606.ENSP00000226218	2071	776
4436962	9606.ENSP00000292401	2056	252
4450315	9606.ENSP00000450540	2043	1470
4446103	9606.ENSP00000376793	2043	1470
4435898	9606.ENSP00000269576	1996	732
4451325	9606.ENSP00000478725	1928	320
4445365	9606.ENSP00000369654	1858	1088
4434227	9606.ENSP00000252486	1822	784
4447873	9606.ENSP00000394936	1678	436
4447178	9606.ENSP00000384906	1518	260
4439481	9606.ENSP00000321853	1373	334
4435537	9606.ENSP00000265023	1307	558
4434407	9606.ENSP00000255040	1297	296
4445353	9606.ENSP00000369586	1279	928
4432868	9606.ENSP00000215727	1261	378
4439145	9606.ENSP00000317674	1251	290
4441661	9606.ENSP00000346839	1159	1430
4439919	9606.ENSP00000327431	1129	928
4445357	9606.ENSP00000369609	1129	928
4438421	9606.ENSP00000308541	1054	692
4448574	9606.ENSP00000410815	1036	1864
4438461	9606.ENSP00000308938	1009	524
4442881	9606.ENSP00000356399	982	834
4435259	9606.ENSP00000263408	971	402
4443704	9606.ENSP00000360281	925	300
4438640	9606.ENSP00000310861	921	538
4441570	9606.ENSP00000345968	856	278
4434183	9606.ENSP00000251595	757	184
4439524	9606.ENSP00000322421	757	184
4434379	9606.ENSP00000254722	717	230
4441496	9606.ENSP00000345179	716	98
4442719	9606.ENSP00000355627	691	306
4434385	9606.ENSP00000254801	660	238
4444427	9606.ENSP00000363770	640	112
4433584	9606.ENSP00000233242	612	2408
4448429	9606.ENSP00000406773	610	36
4435261	9606.ENSP00000263413	595	246
4435725	9606.ENSP00000266718	580	158
4433295	9606.ENSP00000224181	559	134
4436277	9606.ENSP00000278222	548	242
4451570	9606.ENSP00000481152	537	130
4447198	9606.ENSP00000385035	469	278
4446295	9606.ENSP00000378130	459	196
4451094	9606.ENSP00000474135	431	190
4449771	9606.ENSP00000436126	424	120
4438413	9606.ENSP00000308452	424	198
4442800	9606.ENSP00000356037	412	200
4435478	9606.ENSP00000264690	394	204
4433289	9606.ENSP00000223642	388	394
4448796	9606.ENSP00000415769	387	232
4434858	9606.ENSP00000261336	385	752
4452063	9606.ENSP00000485552	383	326
4434405	9606.ENSP00000255030	375	26
4440097	9606.ENSP00000329374	304	100
4442465	9606.ENSP00000354458	301	132
4451414	9606.ENSP00000479675	296	42
4450391	9606.ENSP00000452347	291	56
4441288	9606.ENSP00000342850	287	100
4433367	9606.ENSP00000226355	283	86
4449877	9606.ENSP00000438615	259	172
4443530	9606.ENSP00000359446	251	106
4432701	9606.ENSP00000167586	248	320
4446272	9606.ENSP00000377948	247	48
4435707	9606.ENSP00000266542	241	96
4446246	9606.ENSP00000377783	231	134
4432817	9606.ENSP00000205948	219	90
4443752	9606.ENSP00000360522	214	60
4441276	9606.ENSP00000342710	212	236
4435563	9606.ENSP00000265132	212	92
4443191	9606.ENSP00000357791	208	218
4438033	9606.ENSP00000304236	203	34
4443247	9606.ENSP00000358045	201	88
4445798	9606.ENSP00000373477	200	40
4447754	9606.ENSP00000392511	178	72
4433018	9606.ENSP00000217407	167	34
4439282	9606.ENSP00000319464	166	58
4450325	9606.ENSP00000450838	158	48
4438923	9606.ENSP00000314299	157	108
4435910	9606.ENSP00000269848	155	60
4446622	9606.ENSP00000380165	154	14
4445370	9606.ENSP00000369682	147	8
