#id: 3149447476
#name: Homo sapiens - Cerebrospinal fluid, SC (Peptideatlas,sep,2014)
#score: 10.3
#description: abundance based on Spectral counting, Interaction consistency score: 10.3, Coverage: 19
#organ: CEREBROSPINAL_FLUID
#integrated: false
#coverage: 19
#link: http://www.peptideatlas.org/
#publication_year: 2014
#filename: 9606-human_PA_CSF.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4437206	9606.ENSP00000295897	97271	97933
4443785	9606.ENSP00000360687	69902	23491
4446810	9606.ENSP00000381448	33339	10363
4433675	9606.ENSP00000237014	31421	10217
4445428	9606.ENSP00000370010	22647	204
4434227	9606.ENSP00000252486	19664	11990
4435671	9606.ENSP00000265983	18373	15496
4442719	9606.ENSP00000355627	18370	11762
4448813	9606.ENSP00000416066	17262	11724
4447279	9606.ENSP00000385834	16848	20352
4438974	9606.ENSP00000315130	14254	10470
4449184	9606.ENSP00000421725	12322	11448
4444265	9606.ENSP00000362924	12165	11755
4447823	9606.ENSP00000393887	10803	4942
4442941	9606.ENSP00000356671	9908	7592
4446755	9606.ENSP00000381057	9526	2057
4433668	9606.ENSP00000236850	9481	4834
4434700	9606.ENSP00000259396	8876	3439
4434216	9606.ENSP00000252244	8709	10095
4446557	9606.ENSP00000379762	8070	6134
4435927	9606.ENSP00000270142	7978	1028
4450405	9606.ENSP00000452780	7843	2120
4441496	9606.ENSP00000345179	7592	3224
4446370	9606.ENSP00000378517	7592	3767
4432817	9606.ENSP00000205948	6803	3791
4444787	9606.ENSP00000366047	6790	3320
4446103	9606.ENSP00000376793	6496	10796
4450315	9606.ENSP00000450540	6496	10796
4435199	9606.ENSP00000263100	6413	5020
4435459	9606.ENSP00000264613	6364	11571
4436962	9606.ENSP00000292401	6255	3245
4433993	9606.ENSP00000246662	6032	6597
4442175	9606.ENSP00000351682	5638	4677
4443752	9606.ENSP00000360522	5545	2266
4433187	9606.ENSP00000221891	5440	5655
4434379	9606.ENSP00000254722	5304	3291
4435898	9606.ENSP00000269576	5289	6646
4432969	9606.ENSP00000216492	4831	2527
4433951	9606.ENSP00000245907	4661	15565
4438472	9606.ENSP00000309096	4505	2722
4442881	9606.ENSP00000356399	4465	8909
4447940	9606.ENSP00000396688	4358	20507
4439481	9606.ENSP00000321853	4309	2209
4448805	9606.ENSP00000415941	4263	20464
4436608	9606.ENSP00000284981	4212	5305
4437766	9606.ENSP00000301464	4193	1343
4445138	9606.ENSP00000368244	4087	4395
4448749	9606.ENSP00000414856	3960	5087
4441808	9606.ENSP00000348170	3843	2600
4434708	9606.ENSP00000259486	3768	6038
4433115	9606.ENSP00000220478	3593	2246
4449581	9606.ENSP00000431254	3538	1684
4442050	9606.ENSP00000350425	3517	2603
4444866	9606.ENSP00000366513	3473	3043
4447873	9606.ENSP00000394936	3270	1710
4439653	9606.ENSP00000323929	3195	9513
4445210	9606.ENSP00000368752	3190	1408
4436571	9606.ENSP00000284240	3142	1194
4446463	9606.ENSP00000379191	2920	1012
4436285	9606.ENSP00000278407	2811	2569
4433520	9606.ENSP00000231061	2750	962
4438461	9606.ENSP00000308938	2730	3855
4438640	9606.ENSP00000310861	2725	4873
4438421	9606.ENSP00000308541	2682	3044
4450218	9606.ENSP00000447006	2681	4736
4435537	9606.ENSP00000265023	2673	2998
4441661	9606.ENSP00000346839	2644	9866
4437173	9606.ENSP00000295666	2580	1217
4451455	9606.ENSP00000480132	2560	3084
4446285	9606.ENSP00000378058	2495	2131
4435563	9606.ENSP00000265132	2476	1889
4432868	9606.ENSP00000215727	2472	1799
4448835	9606.ENSP00000416561	2437	5986
4450343	9606.ENSP00000451112	2410	937
4437240	9606.ENSP00000296130	2400	1251
4440269	9606.ENSP00000331544	2269	2558
4433357	9606.ENSP00000226218	2267	2321
4438033	9606.ENSP00000304236	2194	1275
4442312	9606.ENSP00000353025	2189	1044
4437875	9606.ENSP00000302621	2186	1106
4447198	9606.ENSP00000385035	2162	2081
4443001	9606.ENSP00000356969	2149	517
4445651	9606.ENSP00000371554	2148	765
4434493	9606.ENSP00000256509	2137	4154
4435104	9606.ENSP00000262551	2135	1438
4445512	9606.ENSP00000370588	2075	343
4445150	9606.ENSP00000368314	1973	4231
4439494	9606.ENSP00000322061	1935	2725
4449002	9606.ENSP00000419000	1927	1192
4438190	9606.ENSP00000306099	1909	1725
4433367	9606.ENSP00000226355	1812	1629
4442041	9606.ENSP00000350364	1805	924
4433552	9606.ENSP00000232003	1800	1502
4451402	9606.ENSP00000479586	1793	533
4433603	9606.ENSP00000233809	1784	837
4440238	9606.ENSP00000331210	1729	1939
4440740	9606.ENSP00000336829	1674	1931
4448574	9606.ENSP00000410815	1636	6753
4434854	9606.ENSP00000261313	1628	386
4435259	9606.ENSP00000263408	1624	1511
4438214	9606.ENSP00000306361	1616	2473
4434091	9606.ENSP00000249330	1601	1550
4434432	9606.ENSP00000255409	1527	1365
4434479	9606.ENSP00000256404	1497	467
4447942	9606.ENSP00000396722	1495	917
4448826	9606.ENSP00000416341	1491	2376
4434215	9606.ENSP00000252242	1476	2447
4443041	9606.ENSP00000357106	1470	672
4435441	9606.ENSP00000264474	1461	206
4435679	9606.ENSP00000266041	1451	2229
4434847	9606.ENSP00000261267	1443	339
4435725	9606.ENSP00000266718	1426	948
4439337	9606.ENSP00000320171	1402	1287
4449877	9606.ENSP00000438615	1392	1735
4443580	9606.ENSP00000359629	1359	1448
4437645	9606.ENSP00000300175	1357	392
4439935	9606.ENSP00000327545	1343	1026
4448429	9606.ENSP00000406773	1335	271
4447304	9606.ENSP00000386104	1326	1052
4439395	9606.ENSP00000320866	1326	649
4441959	9606.ENSP00000349687	1325	370
4446348	9606.ENSP00000378394	1310	1592
4440213	9606.ENSP00000330862	1250	665
4438900	9606.ENSP00000313967	1237	547
4432701	9606.ENSP00000167586	1228	2579
4433451	9606.ENSP00000229239	1219	680
4441570	9606.ENSP00000345968	1207	1125
4433047	9606.ENSP00000218230	1205	683
4433579	9606.ENSP00000233143	1187	34
4436068	9606.ENSP00000273283	1184	1819
4433052	9606.ENSP00000218388	1088	529
4446972	9606.ENSP00000382941	1060	1095
4432890	9606.ENSP00000215912	1059	429
4443247	9606.ENSP00000358045	1052	1113
4435138	9606.ENSP00000262768	1047	382
4446386	9606.ENSP00000378669	1028	738
