#id: 3301693244
#name: Homo sapiens - Brain, SC (Peptideatlas,jan,2015)
#score: 21.2
#description: abundance based on Spectral counting, Interaction consistency score: 21.2, Coverage: 45
#organ: BRAIN
#integrated: false
#coverage: 45
#link: http://www.peptideatlas.org/
#publication_year: 2015
#filename: 9606-human_brain_PA_2015-1.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4434183	9606.ENSP00000251595	17894	25450
4439524	9606.ENSP00000322421	17894	25450
4445428	9606.ENSP00000370010	17751	726
4433451	9606.ENSP00000229239	14739	22044
4450881	9606.ENSP00000468500	13430	43543
4440511	9606.ENSP00000333994	13410	24574
4451549	9606.ENSP00000481006	11418	11300
4437548	9606.ENSP00000299198	11010	22091
4437206	9606.ENSP00000295897	10369	40115
4446198	9606.ENSP00000377470	8436	18167
4434216	9606.ENSP00000252244	7410	29147
4436586	9606.ENSP00000284440	7247	6914
4449678	9606.ENSP00000433560	6704	5572
4433993	9606.ENSP00000246662	6510	15989
4446738	9606.ENSP00000380958	6416	5738
4440915	9606.ENSP00000339001	6301	56857
4438513	9606.ENSP00000309539	5948	23671
4441991	9606.ENSP00000349960	5846	37459
4450595	9606.ENSP00000458162	5734	37203
4435372	9606.ENSP00000264071	5688	49717
4435898	9606.ENSP00000269576	5327	18621
4445375	9606.ENSP00000369703	5296	56042
4449041	9606.ENSP00000419425	5218	4844
4434727	9606.ENSP00000259818	4713	55383
4443785	9606.ENSP00000360687	4649	5334
4441138	9606.ENSP00000341289	4636	53112
4446386	9606.ENSP00000378669	4563	10211
4435927	9606.ENSP00000270142	4533	2072
4440737	9606.ENSP00000336799	4435	60556
4437720	9606.ENSP00000301071	4321	60798
4437721	9606.ENSP00000301072	4252	52874
4445365	9606.ENSP00000369654	3961	11492
4434056	9606.ENSP00000248437	3916	50146
4444156	9606.ENSP00000362399	3883	12960
4450181	9606.ENSP00000446007	3780	13286
4434854	9606.ENSP00000261313	3758	3595
4435415	9606.ENSP00000264335	3754	8954
4446480	9606.ENSP00000379287	3740	8402
4433634	9606.ENSP00000234590	3623	10794
4449639	9606.ENSP00000432660	3596	4307
4437770	9606.ENSP00000301522	3515	3709
4439274	9606.ENSP00000319281	3199	3603
4439337	9606.ENSP00000320171	3120	9953
4437217	9606.ENSP00000295987	3112	12074
4451641	9606.ENSP00000482169	2989	10571
4439351	9606.ENSP00000320295	2952	37417
4439815	9606.ENSP00000326042	2898	48949
4446977	9606.ENSP00000382982	2898	48949
4442397	9606.ENSP00000353785	2846	2082
4446806	9606.ENSP00000381412	2843	8171
4435133	9606.ENSP00000262746	2818	3738
4451621	9606.ENSP00000481878	2722	5389
4448554	9606.ENSP00000410452	2702	1799
4433145	9606.ENSP00000221166	2678	12878
4434993	9606.ENSP00000262030	2670	9129
4439188	9606.ENSP00000318197	2640	43947
4446852	9606.ENSP00000381736	2627	7816
4433361	9606.ENSP00000226253	2566	6307
4433456	9606.ENSP00000229270	2564	5577
4438211	9606.ENSP00000306330	2554	5996
4435583	9606.ENSP00000265333	2548	5330
4446184	9606.ENSP00000377372	2493	3052
4449816	9606.ENSP00000437402	2456	8039
4433579	9606.ENSP00000233143	2454	292
4436930	9606.ENSP00000291700	2393	951
4436083	9606.ENSP00000273550	2393	3570
4439895	9606.ENSP00000327070	2389	5182
4446501	9606.ENSP00000379386	2362	5099
4449851	9606.ENSP00000438144	2350	3420
4433675	9606.ENSP00000237014	2289	1845
4435881	9606.ENSP00000269321	2270	1205
4447538	9606.ENSP00000388107	2261	5929
4448989	9606.ENSP00000418770	2226	2259
4435094	9606.ENSP00000262494	2183	6043
4441649	9606.ENSP00000346694	2156	3829
4440919	9606.ENSP00000339063	2141	5487
4444013	9606.ENSP00000361824	2135	32852
4443408	9606.ENSP00000358865	2133	7639
4440446	9606.ENSP00000333326	2080	33552
4444160	9606.ENSP00000362413	2074	5349
4451269	9606.ENSP00000478061	2033	2417
4449616	9606.ENSP00000432083	1946	9984
4438640	9606.ENSP00000310861	1911	11950
4444869	9606.ENSP00000366525	1891	1759
4441216	9606.ENSP00000342026	1871	3007
4434401	9606.ENSP00000254976	1865	2507
4444040	9606.ENSP00000361930	1842	5611
4450361	9606.ENSP00000451560	1810	31525
4436362	9606.ENSP00000280187	1798	2416
4444265	9606.ENSP00000362924	1782	5637
4436857	9606.ENSP00000290349	1770	3868
4445746	9606.ENSP00000372654	1762	1091
4443642	9606.ENSP00000359991	1759	4031
4441904	9606.ENSP00000349259	1686	27666
4445700	9606.ENSP00000371958	1647	921
4436571	9606.ENSP00000284240	1646	1906
4450127	9606.ENSP00000444688	1642	15001
4438384	9606.ENSP00000308057	1632	738
4436015	9606.ENSP00000272317	1617	5944
4444057	9606.ENSP00000362014	1613	9315
4440865	9606.ENSP00000338345	1608	1206
4436014	9606.ENSP00000272298	1607	3817
4436903	9606.ENSP00000291295	1607	3817
4441930	9606.ENSP00000349467	1607	3817
4451455	9606.ENSP00000480132	1570	7088
4445606	9606.ENSP00000371267	1556	4840
4446837	9606.ENSP00000381607	1547	1877
4447833	9606.ENSP00000394071	1546	6061
4451404	9606.ENSP00000479606	1510	17925
4445814	9606.ENSP00000373620	1508	4701
4442961	9606.ENSP00000356790	1484	2210
4440643	9606.ENSP00000335153	1464	10033
4442746	9606.ENSP00000355778	1413	1063
4434387	9606.ENSP00000254810	1413	1063
4439221	9606.ENSP00000318697	1376	22966
4432936	9606.ENSP00000216254	1345	5464
4450152	9606.ENSP00000445306	1329	12331
4432855	9606.ENSP00000215095	1316	2755
4443770	9606.ENSP00000360609	1284	8004
4443964	9606.ENSP00000361635	1277	2384
4432873	9606.ENSP00000215754	1272	770
4446795	9606.ENSP00000381293	1267	6998
4446990	9606.ENSP00000383118	1260	1342
4437297	9606.ENSP00000296511	1259	2530
4450150	9606.ENSP00000445175	1257	3227
4433003	9606.ENSP00000217182	1253	4053
4434059	9606.ENSP00000248553	1245	1638
4439460	9606.ENSP00000321606	1243	6844
