#id: 1012124876
#name: Homo sapiens - Platelet, SC (Martens,proteomics,2006)
#score: 2.8
#description: abundance based on Spectral counting, Interaction consistency score: 2.8, Coverage: 4
#organ: PLATELET
#integrated: false
#coverage: 4
#link: http://onlinelibrary.wiley.com/doi/10.1002/pmic.200401142/abstract;jsessionid=C3DD079FC6E27896523F256C594477A6.d01t04
#publication_year: 2006
#filename: 9606-human_platelet_Martens_2005_Proteomics.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4437223	9606.ENSP00000296028	74299	218
4437224	9606.ENSP00000296029	52635	106
4441991	9606.ENSP00000349960	28653	484
4432873	9606.ENSP00000215754	26336	81
4433373	9606.ENSP00000226524	25507	83
4446480	9606.ENSP00000379287	21847	92
4442934	9606.ENSP00000356632	20210	20
4438150	9606.ENSP00000305675	18237	98
4449639	9606.ENSP00000432660	18095	45
4450595	9606.ENSP00000458162	17727	440
4441216	9606.ENSP00000342026	14001	55
4433451	9606.ENSP00000229239	12983	66
4438214	9606.ENSP00000306361	12799	167
4438190	9606.ENSP00000306099	12721	145
4433430	9606.ENSP00000228825	11104	20
4433326	9606.ENSP00000225655	10798	47
4444968	9606.ENSP00000367154	10045	44
4447015	9606.ENSP00000383382	10043	22
4436066	9606.ENSP00000273258	9156	18
4448248	9606.ENSP00000402855	8719	24
4446590	9606.ENSP00000379975	8703	68
4443033	9606.ENSP00000357076	8548	72
4448229	9606.ENSP00000402373	8388	335
4447434	9606.ENSP00000386857	8363	335
4439524	9606.ENSP00000322421	8325	22
4434183	9606.ENSP00000251595	8325	22
4442723	9606.ENSP00000355645	8289	329
4436861	9606.ENSP00000290378	8289	329
4443591	9606.ENSP00000359675	7674	6
4437092	9606.ENSP00000294742	7502	30
4434137	9606.ENSP00000250559	6935	24
4432999	9606.ENSP00000217133	6844	56
4435073	9606.ENSP00000262407	6255	107
4439035	9606.ENSP00000316029	6220	322
4433624	9606.ENSP00000234313	6211	25
4437206	9606.ENSP00000295897	6068	97
4444265	9606.ENSP00000362924	5906	56
4432924	9606.ENSP00000216181	5817	219
4432848	9606.ENSP00000211998	5788	140
4438030	9606.ENSP00000304229	5385	6
4447055	9606.ENSP00000383931	5312	51
4441502	9606.ENSP00000345230	5277	32
4435415	9606.ENSP00000264335	5120	26
4439747	9606.ENSP00000325240	4900	20
4444027	9606.ENSP00000361883	4780	65
4442318	9606.ENSP00000353072	4773	80
4439559	9606.ENSP00000322837	4426	16
4443014	9606.ENSP00000357005	4397	26
4433821	9606.ENSP00000242465	4333	12
4443409	9606.ENSP00000358866	4324	217
4443709	9606.ENSP00000360305	4274	26
4436340	9606.ENSP00000279227	4248	57
4449041	9606.ENSP00000419425	4153	18
4439687	9606.ENSP00000324422	4125	41
4448154	9606.ENSP00000401010	4101	26
4438005	9606.ENSP00000303942	4020	18
4435079	9606.ENSP00000262428	3867	14
4433955	9606.ENSP00000245932	3831	28
4446386	9606.ENSP00000378669	3646	21
4442096	9606.ENSP00000351022	3597	21
4434771	9606.ENSP00000260356	3482	77
4432652	9606.ENSP00000075120	3334	18
4448350	9606.ENSP00000405165	3334	23
4448322	9606.ENSP00000404432	3334	23
4439337	9606.ENSP00000320171	3333	32
4447621	9606.ENSP00000389649	3139	6
4436327	9606.ENSP00000279022	2912	26
4450071	9606.ENSP00000443189	2901	10
4433964	9606.ENSP00000246069	2897	13
4446979	9606.ENSP00000383003	2873	6
4433634	9606.ENSP00000234590	2785	35
4434076	9606.ENSP00000248975	2779	23
4444040	9606.ENSP00000361930	2744	18
4433675	9606.ENSP00000237014	2693	6
4449616	9606.ENSP00000432083	2661	32
4437176	9606.ENSP00000295685	2646	19
4442353	9606.ENSP00000353408	2618	32
4433303	9606.ENSP00000225174	2593	8
4444194	9606.ENSP00000362576	2504	26
4439411	9606.ENSP00000321070	2497	26
4446837	9606.ENSP00000381607	2419	13
4433984	9606.ENSP00000246533	2392	8
4435508	9606.ENSP00000264870	2378	36
4439666	9606.ENSP00000324173	2287	32
4450406	9606.ENSP00000452786	2270	39
4434103	9606.ENSP00000249647	2198	13
4435510	9606.ENSP00000264893	2130	21
4446805	9606.ENSP00000381386	2129	10
4440098	9606.ENSP00000329380	2087	12
4432880	9606.ENSP00000215832	2067	15
4436690	9606.ENSP00000286713	2065	12
4446235	9606.ENSP00000377710	2059	14
4447540	9606.ENSP00000388169	2055	16
4437619	9606.ENSP00000300026	2051	8
4433027	9606.ENSP00000217652	2038	22
4450713	9606.ENSP00000463559	2038	22
4432634	9606.ENSP00000054666	2015	4
4442867	9606.ENSP00000356354	1956	7
4441668	9606.ENSP00000346921	1890	12
4445033	9606.ENSP00000367542	1887	17
4435962	9606.ENSP00000270792	1824	3
4447620	9606.ENSP00000389631	1794	7
4450215	9606.ENSP00000446955	1774	8
4445445	9606.ENSP00000370115	1759	13
4446270	9606.ENSP00000377941	1716	45
4438211	9606.ENSP00000306330	1713	16
4445606	9606.ENSP00000371267	1705	10
4436321	9606.ENSP00000278927	1691	15
4439955	9606.ENSP00000327801	1686	16
4446203	9606.ENSP00000377494	1667	16
4451862	9606.ENSP00000484580	1663	2
4447607	9606.ENSP00000389414	1662	20
4442485	9606.ENSP00000354532	1661	16
4437568	9606.ENSP00000299427	1633	22
4435198	9606.ENSP00000263097	1624	9
4434059	9606.ENSP00000248553	1623	8
4432874	9606.ENSP00000215770	1619	10
4450905	9606.ENSP00000469240	1606	5
4446501	9606.ENSP00000379386	1596	9
4445814	9606.ENSP00000373620	1570	19
4434060	9606.ENSP00000248564	1569	2
4440511	9606.ENSP00000333994	1560	5
4435804	9606.ENSP00000268099	1549	6
4435002	9606.ENSP00000262094	1515	10
4441459	9606.ENSP00000344819	1507	4
4443372	9606.ENSP00000358727	1505	9
4444404	9606.ENSP00000363638	1435	5
4437661	9606.ENSP00000300289	1364	16
4440463	9606.ENSP00000333547	1364	10
4436575	9606.ENSP00000284273	1351	12
4450515	9606.ENSP00000455625	1351	6
4434993	9606.ENSP00000262030	1342	18
4450237	9606.ENSP00000447730	1329	4
4449412	9606.ENSP00000427687	1327	10
4450564	9606.ENSP00000457386	1322	2
4444628	9606.ENSP00000364964	1318	8
4434975	9606.ENSP00000261890	1315	10
4444985	9606.ENSP00000367220	1305	8
4447739	9606.ENSP00000392330	1297	8
4436371	9606.ENSP00000280326	1295	14
4442560	9606.ENSP00000354876	1240	4
4446068	9606.ENSP00000376475	1225	8
4451268	9606.ENSP00000478059	1193	10
4436957	9606.ENSP00000292314	1182	3
4451364	9606.ENSP00000479153	1165	16
4448449	9606.ENSP00000407375	1162	9
4442857	9606.ENSP00000356275	1151	3
4435736	9606.ENSP00000267012	1142	10
4438570	9606.ENSP00000310226	1118	6
4450188	9606.ENSP00000446121	1098	25
4435220	9606.ENSP00000263238	1096	12
4442912	9606.ENSP00000356540	1093	6
4449856	9606.ENSP00000438248	1066	8
4439898	9606.ENSP00000327116	1057	14
4442577	9606.ENSP00000354947	1047	6
4447545	9606.ENSP00000388293	1039	2
4447550	9606.ENSP00000388337	1037	2
4447191	9606.ENSP00000385000	1023	19
4448871	9606.ENSP00000417175	1019	4
4446822	9606.ENSP00000381504	995	6
4440740	9606.ENSP00000336829	992	16
4436365	9606.ENSP00000280200	984	5
4449647	9606.ENSP00000432799	979	4
4444380	9606.ENSP00000363500	958	5
4444160	9606.ENSP00000362413	958	8
4449926	9606.ENSP00000440005	954	14
4434505	9606.ENSP00000256682	954	14
4432889	9606.ENSP00000215909	954	2
4443406	9606.ENSP00000358857	933	4
4448034	9606.ENSP00000398610	932	6
4435610	9606.ENSP00000265462	929	6
4450405	9606.ENSP00000452780	917	2
4443160	9606.ENSP00000357709	913	2
4446479	9606.ENSP00000379282	897	10
4441514	9606.ENSP00000345361	891	8
4438974	9606.ENSP00000315130	888	8
4441179	9606.ENSP00000341743	884	6
4449897	9606.ENSP00000439189	876	129
4448498	9606.ENSP00000408910	874	6
4441138	9606.ENSP00000341289	872	39
4436660	9606.ENSP00000286091	860	10
4442356	9606.ENSP00000353444	859	4
4442989	9606.ENSP00000356918	858	3
4439226	9606.ENSP00000318804	844	6
4433382	9606.ENSP00000227155	843	4
4437502	9606.ENSP00000298556	833	6
4442006	9606.ENSP00000350052	830	123
4435881	9606.ENSP00000269321	827	2
4436191	9606.ENSP00000275603	816	6
4447898	9606.ENSP00000395590	808	4
4446852	9606.ENSP00000381736	790	8
4449851	9606.ENSP00000438144	787	3
4437850	9606.ENSP00000302400	786	2
4433456	9606.ENSP00000229270	778	5
4447764	9606.ENSP00000392718	777	120
4433668	9606.ENSP00000236850	775	6
4448961	9606.ENSP00000418397	773	4
4438120	9606.ENSP00000305355	772	10
4435111	9606.ENSP00000262613	767	6
4435372	9606.ENSP00000264071	767	35
4433993	9606.ENSP00000246662	764	6
4447479	9606.ENSP00000387176	757	111
4434149	9606.ENSP00000251047	750	4
4446489	9606.ENSP00000379350	749	9
4441490	9606.ENSP00000345107	747	2
4432851	9606.ENSP00000214869	746	2
4448989	9606.ENSP00000418770	737	2
4433493	9606.ENSP00000230085	737	3
4439895	9606.ENSP00000327070	735	4
4437953	9606.ENSP00000303356	733	6
4439132	9606.ENSP00000317468	733	2
4448110	9606.ENSP00000400175	727	4
4445779	9606.ENSP00000373312	725	2
4450530	9606.ENSP00000456206	725	26
4439526	9606.ENSP00000322439	723	12
4443024	9606.ENSP00000357055	722	2
4440915	9606.ENSP00000339001	715	36
4446701	9606.ENSP00000380702	712	2
4437604	9606.ENSP00000299767	709	8
4447833	9606.ENSP00000394071	705	8
4448521	9606.ENSP00000409581	698	4
4446882	9606.ENSP00000381992	694	6
4435133	9606.ENSP00000262746	692	2
4434056	9606.ENSP00000248437	692	20
4448843	9606.ENSP00000416706	682	46
4434955	9606.ENSP00000261813	670	2
4435645	9606.ENSP00000265753	662	3
4444750	9606.ENSP00000365757	659	4
4436628	9606.ENSP00000285379	653	2
4441074	9606.ENSP00000340691	650	1
4450801	9606.ENSP00000466134	649	6
4433947	9606.ENSP00000245816	647	4
4432544	9606.ENSP00000000233	641	6
4434938	9606.ENSP00000261735	639	4
4433199	9606.ENSP00000222005	636	4
4434727	9606.ENSP00000259818	634	32
