#id: 2651329184
#name: Homo sapiens - Cell line, Hek293 (Geiger,mcp,2012)
#score: 15.4
#description: abundance based on MAPPED_BY_AUTHORS, HEK293, Interaction consistency score: 15.4, Coverage: 51
#organ: CELL_LINE
#integrated: false
#coverage: 51
#link: http://www.mcponline.org/cgi/doi/10.1074/mcp.M111.014050
#publication_year: 2012
#filename: 9606-iBAQ_HEK293_Geiger_2012_uniprot.txt
#
#string_external_id	abundance
9606.ENSP00000410059	448
9606.ENSP00000416255	436
9606.ENSP00000373905	433
9606.ENSP00000266732	431
9606.ENSP00000361824	418
9606.ENSP00000337838	374
9606.ENSP00000379157	367
9606.ENSP00000365439	362
9606.ENSP00000347005	355
9606.ENSP00000376309	354
9606.ENSP00000419425	352
9606.ENSP00000356354	348
9606.ENSP00000264932	345
9606.ENSP00000367028	340
9606.ENSP00000396937	340
9606.ENSP00000217121	339
9606.ENSP00000320171	338
9606.ENSP00000477538	336
9606.ENSP00000438248	334
9606.ENSP00000234590	332
9606.ENSP00000243253	329
9606.ENSP00000345230	328
9606.ENSP00000262013	327
9606.ENSP00000404121	327
9606.ENSP00000411825	326
9606.ENSP00000320917	325
9606.ENSP00000302886	322
9606.ENSP00000359804	320
9606.ENSP00000363745	319
9606.ENSP00000325017	318
9606.ENSP00000423563	316
9606.ENSP00000216122	316
9606.ENSP00000358089	314
9606.ENSP00000338481	313
9606.ENSP00000435210	313
9606.ENSP00000299736	311
9606.ENSP00000354346	311
9606.ENSP00000441065	310
9606.ENSP00000340466	310
9606.ENSP00000417864	310
9606.ENSP00000295640	309
9606.ENSP00000306881	308
9606.ENSP00000357283	308
9606.ENSP00000302768	308
9606.ENSP00000329097	305
9606.ENSP00000401371	305
9606.ENSP00000366604	304
9606.ENSP00000443459	303
9606.ENSP00000387262	301
9606.ENSP00000350199	301
9606.ENSP00000299157	300
9606.ENSP00000242351	300
9606.ENSP00000380157	300
9606.ENSP00000348380	298
9606.ENSP00000317379	296
9606.ENSP00000367050	295
9606.ENSP00000391723	294
9606.ENSP00000420213	294
9606.ENSP00000410769	294
9606.ENSP00000318697	294
9606.ENSP00000320866	293
9606.ENSP00000222572	293
9606.ENSP00000379133	292
9606.ENSP00000261776	292
9606.ENSP00000360034	290
9606.ENSP00000357555	290
9606.ENSP00000341483	287
9606.ENSP00000377941	286
9606.ENSP00000323076	286
9606.ENSP00000452871	285
9606.ENSP00000369424	285
9606.ENSP00000293831	284
9606.ENSP00000301396	284
9606.ENSP00000219252	281
9606.ENSP00000417518	280
9606.ENSP00000353375	280
9606.ENSP00000367086	279
9606.ENSP00000398722	279
9606.ENSP00000394734	279
9606.ENSP00000350018	276
9606.ENSP00000364361	276
9606.ENSP00000399888	274
9606.ENSP00000261889	274
9606.ENSP00000254900	272
9606.ENSP00000403524	271
9606.ENSP00000375960	270
9606.ENSP00000425634	269
9606.ENSP00000272067	269
9606.ENSP00000313199	268
9606.ENSP00000367727	265
9606.ENSP00000415151	265
9606.ENSP00000328848	264
9606.ENSP00000378769	264
9606.ENSP00000228251	264
9606.ENSP00000251507	263
9606.ENSP00000345445	263
9606.ENSP00000293677	261
9606.ENSP00000357516	261
9606.ENSP00000370223	261
9606.ENSP00000400175	260
9606.ENSP00000263245	260
9606.ENSP00000244007	259
9606.ENSP00000375836	257
9606.ENSP00000325425	256
9606.ENSP00000262265	254
9606.ENSP00000377298	252
9606.ENSP00000382595	252
9606.ENSP00000263934	250
9606.ENSP00000360609	249
9606.ENSP00000309539	248
9606.ENSP00000349961	248
9606.ENSP00000384109	247
9606.ENSP00000247194	246
9606.ENSP00000412733	244
9606.ENSP00000353098	244
9606.ENSP00000350170	243
9606.ENSP00000292180	243
9606.ENSP00000467579	242
9606.ENSP00000312734	242
9606.ENSP00000376097	241
9606.ENSP00000325905	240
9606.ENSP00000335153	239
9606.ENSP00000360329	239
9606.ENSP00000229795	239
9606.ENSP00000380033	236
9606.ENSP00000365233	236
9606.ENSP00000377700	236
9606.ENSP00000361990	236
9606.ENSP00000417677	235
9606.ENSP00000320650	235
9606.ENSP00000378260	234
9606.ENSP00000357459	234
9606.ENSP00000362824	234
9606.ENSP00000480421	233
9606.ENSP00000306117	232
9606.ENSP00000356811	232
9606.ENSP00000379287	232
9606.ENSP00000409171	232
9606.ENSP00000387911	230
9606.ENSP00000316598	230
9606.ENSP00000378935	230
9606.ENSP00000352438	229
9606.ENSP00000439012	229
9606.ENSP00000261868	229
9606.ENSP00000361883	228
9606.ENSP00000410396	226
9606.ENSP00000365576	225
9606.ENSP00000263710	225
9606.ENSP00000369965	224
9606.ENSP00000357643	224
9606.ENSP00000261183	223
9606.ENSP00000263867	223
9606.ENSP00000194214	223
9606.ENSP00000369915	223
9606.ENSP00000248098	222
9606.ENSP00000367208	221
9606.ENSP00000428845	219
9606.ENSP00000348596	218
9606.ENSP00000351273	217
9606.ENSP00000389445	217
9606.ENSP00000228825	216
9606.ENSP00000263253	215
9606.ENSP00000377250	215
9606.ENSP00000373918	214
9606.ENSP00000337168	214
9606.ENSP00000274364	214
9606.ENSP00000289316	214
9606.ENSP00000381992	214
9606.ENSP00000373696	213
9606.ENSP00000359160	213
9606.ENSP00000481920	213
9606.ENSP00000264993	213
9606.ENSP00000263121	212
9606.ENSP00000373713	212
9606.ENSP00000370201	212
9606.ENSP00000358327	212
9606.ENSP00000320949	212
9606.ENSP00000239940	212
9606.ENSP00000474032	211
9606.ENSP00000366237	211
9606.ENSP00000477639	211
9606.ENSP00000339063	210
9606.ENSP00000449428	210
9606.ENSP00000360268	210
9606.ENSP00000262746	210
9606.ENSP00000341289	209
9606.ENSP00000229239	209
9606.ENSP00000370109	209
9606.ENSP00000360922	208
9606.ENSP00000354791	208
9606.ENSP00000264883	208
9606.ENSP00000380378	208
9606.ENSP00000322419	208
9606.ENSP00000349259	208
9606.ENSP00000256078	208
9606.ENSP00000483489	208
9606.ENSP00000349078	207
9606.ENSP00000358363	207
9606.ENSP00000356903	207
9606.ENSP00000325941	206
9606.ENSP00000346694	206
9606.ENSP00000480359	206
9606.ENSP00000376132	206
9606.ENSP00000225655	205
9606.ENSP00000379888	205
9606.ENSP00000230050	205
9606.ENSP00000299198	205
9606.ENSP00000432083	205
9606.ENSP00000367123	205
9606.ENSP00000351644	205
9606.ENSP00000429374	205
9606.ENSP00000379386	205
9606.ENSP00000355001	204
9606.ENSP00000258821	204
9606.ENSP00000339566	204
9606.ENSP00000378669	204
9606.ENSP00000446215	204
9606.ENSP00000432660	204
9606.ENSP00000389103	204
9606.ENSP00000261497	204
9606.ENSP00000345347	203
9606.ENSP00000264335	203
9606.ENSP00000385958	203
9606.ENSP00000402103	203
9606.ENSP00000296930	203
9606.ENSP00000464813	203
9606.ENSP00000428085	203
9606.ENSP00000446007	202
9606.ENSP00000307940	202
9606.ENSP00000348828	202
9606.ENSP00000472469	202
9606.ENSP00000342026	201
9606.ENSP00000370377	201
9606.ENSP00000373620	201
9606.ENSP00000394869	201
9606.ENSP00000349168	201
9606.ENSP00000395083	201
9606.ENSP00000408910	201
9606.ENSP00000278572	201
9606.ENSP00000255194	201
9606.ENSP00000411010	200
9606.ENSP00000447001	200
9606.ENSP00000346088	200
9606.ENSP00000270625	200
9606.ENSP00000346050	200
9606.ENSP00000405965	200
9606.ENSP00000233893	200
9606.ENSP00000362744	200
9606.ENSP00000359991	200
9606.ENSP00000445175	200
9606.ENSP00000407487	199
9606.ENSP00000335595	199
9606.ENSP00000363641	199
