#id: 3863583806
#name: Homo sapiens - Cell line, U2os (Geiger,mcp,2012)
#score: 15.9
#description: abundance based on MAPPED_BY_AUTHORS, U2OS, Interaction consistency score: 15.9, Coverage: 51
#organ: CELL_LINE
#integrated: false
#coverage: 51
#link: http://www.mcponline.org/cgi/doi/10.1074/mcp.M111.014050
#publication_year: 2012
#filename: 9606-iBAQ_U2OS_Geiger_2012_uniprot.txt
#
#string_external_id	abundance
9606.ENSP00000367542	492
9606.ENSP00000337838	487
9606.ENSP00000410059	476
9606.ENSP00000323856	475
9606.ENSP00000361824	463
9606.ENSP00000234590	390
9606.ENSP00000320171	389
9606.ENSP00000365439	388
9606.ENSP00000320866	384
9606.ENSP00000317379	382
9606.ENSP00000351022	377
9606.ENSP00000335153	375
9606.ENSP00000416255	374
9606.ENSP00000396937	373
9606.ENSP00000477538	373
9606.ENSP00000279068	366
9606.ENSP00000318697	365
9606.ENSP00000338481	364
9606.ENSP00000266732	364
9606.ENSP00000356354	362
9606.ENSP00000217121	362
9606.ENSP00000477639	361
9606.ENSP00000357283	359
9606.ENSP00000377941	359
9606.ENSP00000438248	357
9606.ENSP00000419425	356
9606.ENSP00000345230	354
9606.ENSP00000353375	353
9606.ENSP00000262013	353
9606.ENSP00000293831	352
9606.ENSP00000359804	351
9606.ENSP00000347005	349
9606.ENSP00000443459	348
9606.ENSP00000352438	345
9606.ENSP00000264932	345
9606.ENSP00000325017	344
9606.ENSP00000299157	342
9606.ENSP00000335304	342
9606.ENSP00000373918	340
9606.ENSP00000358089	339
9606.ENSP00000360609	338
9606.ENSP00000363745	338
9606.ENSP00000302768	337
9606.ENSP00000222572	337
9606.ENSP00000420213	337
9606.ENSP00000378935	336
9606.ENSP00000359225	327
9606.ENSP00000295640	327
9606.ENSP00000367050	326
9606.ENSP00000353408	326
9606.ENSP00000364361	318
9606.ENSP00000339795	318
9606.ENSP00000319788	318
9606.ENSP00000243253	312
9606.ENSP00000242351	309
9606.ENSP00000349259	306
9606.ENSP00000394734	306
9606.ENSP00000404121	304
9606.ENSP00000481626	300
9606.ENSP00000357555	300
9606.ENSP00000343635	299
9606.ENSP00000423563	299
9606.ENSP00000357206	299
9606.ENSP00000361930	297
9606.ENSP00000411825	296
9606.ENSP00000425634	295
9606.ENSP00000373696	295
9606.ENSP00000376132	295
9606.ENSP00000348316	294
9606.ENSP00000348380	293
9606.ENSP00000449428	292
9606.ENSP00000338703	292
9606.ENSP00000401371	291
9606.ENSP00000367086	289
9606.ENSP00000350071	289
9606.ENSP00000350018	289
9606.ENSP00000378769	286
9606.ENSP00000228251	285
9606.ENSP00000400175	285
9606.ENSP00000375857	284
9606.ENSP00000264993	284
9606.ENSP00000358327	281
9606.ENSP00000375960	281
9606.ENSP00000229795	280
9606.ENSP00000375836	279
9606.ENSP00000309539	279
9606.ENSP00000216465	277
9606.ENSP00000361990	276
9606.ENSP00000362592	276
9606.ENSP00000350199	276
9606.ENSP00000367123	275
9606.ENSP00000380157	274
9606.ENSP00000366604	273
9606.ENSP00000263934	270
9606.ENSP00000417864	269
9606.ENSP00000337168	269
9606.ENSP00000417518	269
9606.ENSP00000435210	266
9606.ENSP00000325425	266
9606.ENSP00000399888	265
9606.ENSP00000417677	265
9606.ENSP00000333326	265
9606.ENSP00000312734	264
9606.ENSP00000377298	264
9606.ENSP00000367038	263
9606.ENSP00000376309	262
9606.ENSP00000282486	262
9606.ENSP00000449089	262
9606.ENSP00000244007	260
9606.ENSP00000302886	259
9606.ENSP00000391481	258
9606.ENSP00000362824	258
9606.ENSP00000361883	258
9606.ENSP00000357459	257
9606.ENSP00000386896	257
9606.ENSP00000381992	255
9606.ENSP00000382595	254
9606.ENSP00000369703	251
9606.ENSP00000320117	251
9606.ENSP00000367028	251
9606.ENSP00000370201	251
9606.ENSP00000467579	250
9606.ENSP00000272067	249
9606.ENSP00000379133	248
9606.ENSP00000232219	247
9606.ENSP00000321706	246
9606.ENSP00000263710	246
9606.ENSP00000255120	245
9606.ENSP00000415151	244
9606.ENSP00000339404	244
9606.ENSP00000378306	244
9606.ENSP00000360034	244
9606.ENSP00000264668	244
9606.ENSP00000483408	243
9606.ENSP00000258098	243
9606.ENSP00000358635	243
9606.ENSP00000348050	241
9606.ENSP00000357879	240
9606.ENSP00000307567	240
9606.ENSP00000357516	238
9606.ENSP00000360922	236
9606.ENSP00000349078	235
9606.ENSP00000284719	235
9606.ENSP00000370223	234
9606.ENSP00000354251	233
9606.ENSP00000256078	232
9606.ENSP00000349142	232
9606.ENSP00000346032	232
9606.ENSP00000446007	231
9606.ENSP00000229239	231
9606.ENSP00000360268	231
9606.ENSP00000339063	231
9606.ENSP00000380998	231
9606.ENSP00000289316	230
9606.ENSP00000387911	229
9606.ENSP00000367208	229
9606.ENSP00000417229	229
9606.ENSP00000306881	229
9606.ENSP00000384999	229
9606.ENSP00000325827	229
