#id: 924648648
#name: H.sapiens - Liver, SC (Wilhelm,nature,2014)
#score: 13.6
#weight:  20%
#description: abundance based on Spectral counting, Interaction consistency score: 13.6, Coverage: 25
#organ: LIVER
#integrated: false
#coverage: 25
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13319.html
#publication_year: 2014
#filename: 9606-liver_Wilhelm_2014_Maxquant.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4445428	9606.ENSP00000370010	68386	122
4439524	9606.ENSP00000322421	22116	1527
4434183	9606.ENSP00000251595	22116	1527
4440511	9606.ENSP00000333994	16871	1384
4437206	9606.ENSP00000295897	14241	2548
4433451	9606.ENSP00000229239	10798	629
4443194	9606.ENSP00000357801	8147	135
4433579	9606.ENSP00000233143	7920	43
4443166	9606.ENSP00000357727	6728	194
4437198	9606.ENSP00000295834	6680	186
4449041	9606.ENSP00000419425	5693	230
4443160	9606.ENSP00000357709	5437	148
4445365	9606.ENSP00000369654	5406	723
4435987	9606.ENSP00000271638	4665	124
4448813	9606.ENSP00000416066	4373	533
4433634	9606.ENSP00000234590	4280	485
4444869	9606.ENSP00000366525	4265	180
4449639	9606.ENSP00000432660	4218	183
4443165	9606.ENSP00000357726	3980	42
4441580	9606.ENSP00000346032	3965	407
4443164	9606.ENSP00000357722	3908	106
4442650	9606.ENSP00000355315	3740	2
4450595	9606.ENSP00000458162	3635	971
4441991	9606.ENSP00000349960	3501	957
4433668	9606.ENSP00000236850	3381	285
4437352	9606.ENSP00000296930	3378	130
4450181	9606.ENSP00000446007	3357	429
4441649	9606.ENSP00000346694	3320	232
4435133	9606.ENSP00000262746	3072	178
4446837	9606.ENSP00000381607	3050	148
4440919	9606.ENSP00000339063	3043	350
4449888	9606.ENSP00000439012	2925	61
4435962	9606.ENSP00000270792	2905	39
4434059	9606.ENSP00000248553	2900	163
4437297	9606.ENSP00000296511	2766	205
4435927	9606.ENSP00000270142	2736	42
4437619	9606.ENSP00000300026	2733	135
4439337	9606.ENSP00000320171	2680	376
4433456	9606.ENSP00000229270	2664	247
4450150	9606.ENSP00000445175	2494	230
4446386	9606.ENSP00000378669	2456	211
4432889	9606.ENSP00000215909	2385	105
4435881	9606.ENSP00000269321	2380	69
4437770	9606.ENSP00000301522	2357	91
4439955	9606.ENSP00000327801	2353	304
4436920	9606.ENSP00000291568	2303	63
4450194	9606.ENSP00000446252	2295	113
4444160	9606.ENSP00000362413	2291	232
4433326	9606.ENSP00000225655	2283	122
4442353	9606.ENSP00000353408	2278	376
4433442	9606.ENSP00000228945	2262	73
4433675	9606.ENSP00000237014	2201	65
4441216	9606.ENSP00000342026	2118	138
4444265	9606.ENSP00000362924	2084	259
4438543	9606.ENSP00000309830	2075	20
4434854	9606.ENSP00000261313	2021	75
4444796	9606.ENSP00000366109	2001	189
4435245	9606.ENSP00000263368	1956	88
4432924	9606.ENSP00000216181	1956	1046
4437604	9606.ENSP00000299767	1944	403
4441512	9606.ENSP00000345347	1917	65
4447279	9606.ENSP00000385834	1914	418
4445357	9606.ENSP00000369609	1884	303
4440154	9606.ENSP00000330074	1815	57
4441103	9606.ENSP00000340989	1815	117
4447538	9606.ENSP00000388107	1785	189
4433951	9606.ENSP00000245907	1772	871
4449475	9606.ENSP00000428895	1755	20
4443770	9606.ENSP00000360609	1752	489
4447586	9606.ENSP00000389103	1750	42
4440923	9606.ENSP00000339095	1748	48
4446480	9606.ENSP00000379287	1747	144
4435550	9606.ENSP00000265073	1712	37
4438030	9606.ENSP00000304229	1684	32
4440966	9606.ENSP00000339566	1682	148
4438348	9606.ENSP00000307705	1669	148
4434387	9606.ENSP00000254810	1666	51
4442746	9606.ENSP00000355778	1666	51
4433984	9606.ENSP00000246533	1663	76
4449553	9606.ENSP00000430656	1652	120
4439919	9606.ENSP00000327431	1644	285
4451404	9606.ENSP00000479606	1626	752
4448989	9606.ENSP00000418770	1596	75
4446035	9606.ENSP00000376309	1571	110
4435330	9606.ENSP00000263867	1565	103
4439395	9606.ENSP00000320866	1564	128
4440643	9606.ENSP00000335153	1564	502
4437661	9606.ENSP00000300289	1558	195
4446501	9606.ENSP00000379386	1550	139
4436861	9606.ENSP00000290378	1549	656
4433608	9606.ENSP00000233893	1527	46
4442723	9606.ENSP00000355645	1518	645
4449581	9606.ENSP00000431254	1509	107
4434352	9606.ENSP00000254301	1479	59
4443033	9606.ENSP00000357076	1478	121
4441808	9606.ENSP00000348170	1477	189
4447693	9606.ENSP00000391481	1458	152
4439653	9606.ENSP00000323929	1430	638
4446521	9606.ENSP00000379512	1424	53
4441434	9606.ENSP00000344504	1416	35
4449622	9606.ENSP00000432282	1408	90
4446403	9606.ENSP00000378786	1401	71
4443409	9606.ENSP00000358866	1398	1025
4441190	9606.ENSP00000341826	1395	143
4450191	9606.ENSP00000446215	1384	62
4449616	9606.ENSP00000432083	1361	289
4439666	9606.ENSP00000324173	1353	238
4436015	9606.ENSP00000272317	1337	189
4445814	9606.ENSP00000373620	1319	176
4444702	9606.ENSP00000365439	1307	132
4438372	9606.ENSP00000307940	1301	292
4434023	9606.ENSP00000247461	1300	174
4438847	9606.ENSP00000313199	1291	73
4443158	9606.ENSP00000357705	1277	35
4441541	9606.ENSP00000345672	1269	122
4441922	9606.ENSP00000349428	1263	111
4442612	9606.ENSP00000355124	1260	195
4433665	9606.ENSP00000236671	1227	206
4438570	9606.ENSP00000310226	1221	93
4438576	9606.ENSP00000310275	1221	18
4442801	9606.ENSP00000356042	1212	236
4433900	9606.ENSP00000244534	1207	138
4432848	9606.ENSP00000211998	1197	336
4434216	9606.ENSP00000252244	1197	280
4444137	9606.ENSP00000362329	1182	84
4433816	9606.ENSP00000242285	1178	16
4434247	9606.ENSP00000252699	1175	415
4440915	9606.ENSP00000339001	1174	446
4440870	9606.ENSP00000338413	1160	289
4434700	9606.ENSP00000259396	1159	63
4438356	9606.ENSP00000307786	1158	35
4446990	9606.ENSP00000383118	1148	47
4444040	9606.ENSP00000361930	1142	102
4432984	9606.ENSP00000216802	1129	69
4445033	9606.ENSP00000367542	1129	99
4441634	9606.ENSP00000346550	1113	199
4435814	9606.ENSP00000268182	1097	439
4435415	9606.ENSP00000264335	1095	116
4450285	9606.ENSP00000449404	1092	170
4443076	9606.ENSP00000357283	1083	213
4444253	9606.ENSP00000362820	1064	27
4451393	9606.ENSP00000479488	1061	63
4449234	9606.ENSP00000423014	1055	30
4437176	9606.ENSP00000295685	1051	63
4436066	9606.ENSP00000273258	1048	14
4448802	9606.ENSP00000415840	1041	142
4443118	9606.ENSP00000357516	1039	89
4441502	9606.ENSP00000345230	1038	85
4438237	9606.ENSP00000306606	1035	119
4441726	9606.ENSP00000347495	1019	115
4450215	9606.ENSP00000446955	1017	58
4434707	9606.ENSP00000259469	1005	8
4445445	9606.ENSP00000370115	1000	99
4435545	9606.ENSP00000265062	991	73
4446104	9606.ENSP00000376800	987	21
4436828	9606.ENSP00000289902	987	11
4445432	9606.ENSP00000370023	986	185
4434137	9606.ENSP00000250559	974	87
4433003	9606.ENSP00000217182	970	211
4450343	9606.ENSP00000451112	967	46
4444778	9606.ENSP00000365950	965	19
4446258	9606.ENSP00000377833	958	88
4440740	9606.ENSP00000336829	957	143
4439187	9606.ENSP00000318195	956	82
4451107	9606.ENSP00000474560	954	48
4442096	9606.ENSP00000351022	951	79
4439895	9606.ENSP00000327070	950	94
4447695	9606.ENSP00000391490	941	45
4447492	9606.ENSP00000387286	932	81
4436660	9606.ENSP00000286091	931	183
4445713	9606.ENSP00000372155	925	68
4441045	9606.ENSP00000340466	915	178
4434993	9606.ENSP00000262030	914	136
4443371	9606.ENSP00000358723	906	83
4436526	9606.ENSP00000283179	898	163
4435459	9606.ENSP00000264613	893	202
4443642	9606.ENSP00000359991	885	70
4437293	9606.ENSP00000296503	882	39
4451031	9606.ENSP00000472469	881	14
4444027	9606.ENSP00000361883	873	109
4442654	9606.ENSP00000355330	868	177
4436628	9606.ENSP00000285379	867	54
4435671	9606.ENSP00000265983	862	95
4445799	9606.ENSP00000373487	861	89
4434748	9606.ENSP00000260118	860	57
4446852	9606.ENSP00000381736	857	110
4440087	9606.ENSP00000329243	856	134
4446831	9606.ENSP00000381581	852	158
4438214	9606.ENSP00000306361	852	184
4449851	9606.ENSP00000438144	846	46
4442467	9606.ENSP00000354468	836	55
4440440	9606.ENSP00000333277	831	48
4447238	9606.ENSP00000385479	831	48
4443269	9606.ENSP00000358154	831	48
4437464	9606.ENSP00000298159	827	64
4450354	9606.ENSP00000451291	826	83
4445590	9606.ENSP00000371152	822	99
4437495	9606.ENSP00000298510	821	58
4443455	9606.ENSP00000359098	819	19
4447540	9606.ENSP00000388169	816	43
4439035	9606.ENSP00000316029	808	490
4450315	9606.ENSP00000450540	803	210
4446103	9606.ENSP00000376793	803	210
4449613	9606.ENSP00000431984	800	132
4435079	9606.ENSP00000262428	800	31
4437104	9606.ENSP00000295006	793	115
4432704	9606.ENSP00000168216	788	57
4432936	9606.ENSP00000216254	787	134
4447650	9606.ENSP00000390265	785	79
4435583	9606.ENSP00000265333	769	73
4432873	9606.ENSP00000215754	768	28
4442934	9606.ENSP00000356632	765	15
4443372	9606.ENSP00000358727	764	45
4449147	9606.ENSP00000420914	762	169
4432583	9606.ENSP00000009530	760	55
4450405	9606.ENSP00000452780	757	27
4444406	9606.ENSP00000363641	753	30
4444134	9606.ENSP00000362308	752	26
4439424	9606.ENSP00000321259	751	63
4444013	9606.ENSP00000361824	748	533
4440720	9606.ENSP00000336702	748	47
4449573	9606.ENSP00000431049	745	60
4441138	9606.ENSP00000341289	741	417
4447873	9606.ENSP00000394936	740	44
4441346	9606.ENSP00000343577	736	147
4435610	9606.ENSP00000265462	736	45
4440933	9606.ENSP00000339191	734	21
4441668	9606.ENSP00000346921	731	44
4448385	9606.ENSP00000405965	728	12
4442186	9606.ENSP00000351777	722	160
4436083	9606.ENSP00000273550	719	51
4446979	9606.ENSP00000383003	718	18
4446116	9606.ENSP00000376886	711	54
4437376	9606.ENSP00000297185	701	127
4440737	9606.ENSP00000336799	696	386
4433064	9606.ENSP00000219150	695	47
4439747	9606.ENSP00000325240	694	41
4438070	9606.ENSP00000304697	691	189
4435482	9606.ENSP00000264710	690	49
4435508	9606.ENSP00000264870	690	140
4451711	9606.ENSP00000482743	690	147
4445338	9606.ENSP00000369538	688	112
4438776	9606.ENSP00000312326	688	119
4442560	9606.ENSP00000354876	685	25
4434505	9606.ENSP00000256682	682	126
4449926	9606.ENSP00000440005	682	126
4434938	9606.ENSP00000261735	679	44
4450772	9606.ENSP00000465356	674	7
4445193	9606.ENSP00000368646	670	70
4438215	9606.ENSP00000306362	664	22
4447293	9606.ENSP00000385958	664	15
4449706	9606.ENSP00000434412	657	76
4435518	9606.ENSP00000264933	657	33
4450009	9606.ENSP00000441875	656	55
4436020	9606.ENSP00000272348	655	8
4445606	9606.ENSP00000371267	654	62
4438190	9606.ENSP00000306099	652	83
4437721	9606.ENSP00000301072	651	362
4444602	9606.ENSP00000364813	651	16
4448229	9606.ENSP00000402373	651	503
4446270	9606.ENSP00000377941	645	299
4442938	9606.ENSP00000356652	641	26
4447434	9606.ENSP00000386857	640	500
4438513	9606.ENSP00000309539	637	107
4443862	9606.ENSP00000361083	635	5
4449551	9606.ENSP00000430598	635	13
4435788	9606.ENSP00000267884	632	24
4442867	9606.ENSP00000356354	631	31
4447787	9606.ENSP00000393241	624	23
4450071	9606.ENSP00000443189	624	27
4451325	9606.ENSP00000478725	621	39
4448366	9606.ENSP00000405573	620	81
4441217	9606.ENSP00000342056	616	40
4432544	9606.ENSP00000000233	614	87
4433430	9606.ENSP00000228825	607	27
4448154	9606.ENSP00000401010	606	56
4442104	9606.ENSP00000351108	605	27
4438184	9606.ENSP00000306003	605	13
4434491	9606.ENSP00000256496	604	41
4451534	9606.ENSP00000480853	604	26
4446117	9606.ENSP00000376889	600	72
4448110	9606.ENSP00000400175	597	34
4440758	9606.ENSP00000337060	596	54
4438061	9606.ENSP00000304592	594	361
4443780	9606.ENSP00000360671	593	82
4438137	9606.ENSP00000305556	585	60
4442116	9606.ENSP00000351190	582	120
4433236	9606.ENSP00000222553	579	70
4442980	9606.ENSP00000356864	578	18
4437688	9606.ENSP00000300688	576	19
4443517	9606.ENSP00000359393	572	22
4440126	9606.ENSP00000329757	572	10
4432948	9606.ENSP00000216336	570	43
4437720	9606.ENSP00000301071	568	331
4441938	9606.ENSP00000349541	567	47
4444122	9606.ENSP00000362271	567	34
4445041	9606.ENSP00000367615	566	32
4449412	9606.ENSP00000427687	561	73
4437436	9606.ENSP00000297785	560	64
4451423	9606.ENSP00000479794	559	190
4444931	9606.ENSP00000366956	559	190
4444934	9606.ENSP00000366974	559	190
4450064	9606.ENSP00000443017	559	190
4433901	9606.ENSP00000244537	559	190
4441692	9606.ENSP00000347168	559	190
4451886	9606.ENSP00000484789	559	190
4444948	9606.ENSP00000367034	559	190
4451392	9606.ENSP00000479461	559	190
4450676	9606.ENSP00000462667	559	190
4451542	9606.ENSP00000480960	559	190
4451358	9606.ENSP00000479106	559	190
4451586	9606.ENSP00000481486	559	190
4450668	9606.ENSP00000462355	559	190
4434076	9606.ENSP00000248975	559	62
4432997	9606.ENSP00000217121	558	36
4434937	9606.ENSP00000261733	557	72
4435372	9606.ENSP00000264071	557	315
4444140	9606.ENSP00000362334	556	29
4445244	9606.ENSP00000368959	555	19
4441169	9606.ENSP00000341625	553	19
4446199	9606.ENSP00000377471	553	36
4443264	9606.ENSP00000358140	552	125
4441661	9606.ENSP00000346839	550	270
4444498	9606.ENSP00000364210	549	23
4444000	9606.ENSP00000361777	548	38
4437379	9606.ENSP00000297258	548	19
4441958	9606.ENSP00000349679	548	20
4442011	9606.ENSP00000350090	548	80
4433686	9606.ENSP00000237530	547	62
4433467	9606.ENSP00000229379	546	18
4445267	9606.ENSP00000369071	545	110
4436285	9606.ENSP00000278407	545	68
4448121	9606.ENSP00000400433	542	60
4435972	9606.ENSP00000271308	541	28
4435728	9606.ENSP00000266735	535	7
4436007	9606.ENSP00000272217	533	38
4434319	9606.ENSP00000253719	533	41
4438211	9606.ENSP00000306330	532	60
4447974	9606.ENSP00000397261	531	93
4436206	9606.ENSP00000276079	527	55
4450710	9606.ENSP00000463393	526	41
4445991	9606.ENSP00000375978	525	96
4448239	9606.ENSP00000402608	525	187
4438505	9606.ENSP00000309477	524	86
4433278	9606.ENSP00000223321	524	35
4444272	9606.ENSP00000362946	524	40
4444623	9606.ENSP00000364935	521	54
4450736	9606.ENSP00000464265	521	153
4435120	9606.ENSP00000262646	520	62
4439640	9606.ENSP00000323856	519	802
4443001	9606.ENSP00000356969	518	18
4435512	9606.ENSP00000264908	518	50
4444169	9606.ENSP00000362463	517	24
4442456	9606.ENSP00000354394	517	127
4441168	9606.ENSP00000341610	515	14
4448472	9606.ENSP00000408025	514	56
4443584	9606.ENSP00000359645	513	47
4447078	9606.ENSP00000384136	512	155
4443153	9606.ENSP00000357688	512	11
4449736	9606.ENSP00000435289	510	21
4433793	9606.ENSP00000241052	507	72
4441562	9606.ENSP00000345848	506	30
4451239	9606.ENSP00000477781	505	23
4442908	9606.ENSP00000356520	504	176
4435511	9606.ENSP00000264896	503	47
4444985	9606.ENSP00000367220	502	41
4444141	9606.ENSP00000362339	502	25
4433153	9606.ENSP00000221418	501	45
4450801	9606.ENSP00000466134	501	68
4434056	9606.ENSP00000248437	500	285
4438412	9606.ENSP00000308430	500	12
4449280	9606.ENSP00000424183	499	15
4437667	9606.ENSP00000300413	499	11
4436857	9606.ENSP00000290349	498	48
4439742	9606.ENSP00000325136	496	51
4449647	9606.ENSP00000432799	496	21
4437255	9606.ENSP00000296255	494	71
4433584	9606.ENSP00000233242	492	662
4438066	9606.ENSP00000304669	491	110
4434118	9606.ENSP00000250092	491	14
4443021	9606.ENSP00000357048	487	168
4441877	9606.ENSP00000348965	487	685
4444896	9606.ENSP00000366694	487	37
4443402	9606.ENSP00000358840	485	12
4442384	9606.ENSP00000353701	482	64
4438185	9606.ENSP00000306010	481	78
4433364	9606.ENSP00000226299	478	83
4435961	9606.ENSP00000270776	478	60
4434975	9606.ENSP00000261890	478	47
4437038	9606.ENSP00000293831	476	72
4442321	9606.ENSP00000353099	475	34
4437555	9606.ENSP00000299299	474	14
4437909	9606.ENSP00000302896	473	18
4449100	9606.ENSP00000420213	472	432
4448130	9606.ENSP00000400591	470	13
4451799	9606.ENSP00000483688	469	24
4451429	9606.ENSP00000479861	467	49
4445353	9606.ENSP00000369586	466	177
4448092	9606.ENSP00000399888	466	7
4434689	9606.ENSP00000259253	465	164
4446805	9606.ENSP00000381386	465	25
4435028	9606.ENSP00000262193	464	31
4446026	9606.ENSP00000376276	464	10
4451332	9606.ENSP00000478828	463	7
4434846	9606.ENSP00000261263	462	41
4445375	9606.ENSP00000369703	461	330
4440443	9606.ENSP00000333298	460	47
4432597	9606.ENSP00000014930	460	25
4446568	9606.ENSP00000379838	459	9
4451213	9606.ENSP00000477538	459	33
4433348	9606.ENSP00000225972	459	29
4435744	9606.ENSP00000267113	459	133
4447225	9606.ENSP00000385385	458	46
4446438	9606.ENSP00000379038	456	54
4434727	9606.ENSP00000259818	454	329
4450029	9606.ENSP00000442318	454	146
4435205	9606.ENSP00000263168	452	30
4434407	9606.ENSP00000255040	451	29
4433191	9606.ENSP00000221957	451	47
4442230	9606.ENSP00000352257	449	73
4444158	9606.ENSP00000362409	448	77
4442941	9606.ENSP00000356671	448	50
4444463	9606.ENSP00000363988	447	42
4435294	9606.ENSP00000263672	447	32
4433154	9606.ENSP00000221419	446	50
4450267	9606.ENSP00000448785	445	23
4447269	9606.ENSP00000385757	445	32
4447739	9606.ENSP00000392330	445	37
4446348	9606.ENSP00000378394	444	53
4433407	9606.ENSP00000228318	444	50
4446224	9606.ENSP00000377640	443	10
4444588	9606.ENSP00000364721	442	34
4450799	9606.ENSP00000466090	441	27
4447362	9606.ENSP00000386346	438	56
4449181	9606.ENSP00000421592	437	19
4442251	9606.ENSP00000352438	436	48
4439772	9606.ENSP00000325548	436	59
4440308	9606.ENSP00000331897	435	50
4432830	9606.ENSP00000209668	435	87
4442485	9606.ENSP00000354532	435	39
4439045	9606.ENSP00000316176	435	17
4433066	9606.ENSP00000219169	434	16
4442292	9606.ENSP00000352834	433	131
4436296	9606.ENSP00000278572	431	31
4432947	9606.ENSP00000216330	430	21
4441770	9606.ENSP00000347872	430	38
4449184	9606.ENSP00000421725	429	54
4434134	9606.ENSP00000250495	429	9
4448449	9606.ENSP00000407375	427	33
4436184	9606.ENSP00000275428	427	26
4448147	9606.ENSP00000400906	426	26
4434459	9606.ENSP00000256104	425	16
4439355	9606.ENSP00000320324	424	99
4449083	9606.ENSP00000420065	423	22
4444658	9606.ENSP00000365147	422	26
4443829	9606.ENSP00000360939	422	32
4436853	9606.ENSP00000290299	422	42
4450340	9606.ENSP00000451080	420	11
4444380	9606.ENSP00000363500	419	36
4432842	9606.ENSP00000211076	417	55
4451846	9606.ENSP00000484343	417	57
4437932	9606.ENSP00000303145	416	28
4437812	9606.ENSP00000301939	415	5
4443872	9606.ENSP00000361140	415	43
4451723	9606.ENSP00000482841	414	12
4438596	9606.ENSP00000310491	413	47
4451457	9606.ENSP00000480150	413	109
4450713	9606.ENSP00000463559	413	56
4433027	9606.ENSP00000217652	413	56
4436014	9606.ENSP00000272298	413	42
4436903	9606.ENSP00000291295	413	42
4441930	9606.ENSP00000349467	413	42
4432626	9606.ENSP00000044462	412	28
4437775	9606.ENSP00000301587	412	20
4434873	9606.ENSP00000261416	411	51
4446282	9606.ENSP00000378046	410	18
4436919	9606.ENSP00000291565	410	29
4439327	9606.ENSP00000320043	410	20
4441904	9606.ENSP00000349259	408	305
4451441	9606.ENSP00000480004	406	52
4439151	9606.ENSP00000317780	404	21
4436690	9606.ENSP00000286713	404	31
4437795	9606.ENSP00000301764	404	104
4450152	9606.ENSP00000445306	402	134
4447545	9606.ENSP00000388293	402	7
4434343	9606.ENSP00000254108	402	23
4441868	9606.ENSP00000348849	402	9
4436840	9606.ENSP00000290158	402	92
4444404	9606.ENSP00000363638	401	18
4442843	9606.ENSP00000356218	400	26
4439523	9606.ENSP00000322419	400	9
4441968	9606.ENSP00000349748	399	64
4445840	9606.ENSP00000373918	398	74
4436327	9606.ENSP00000279022	398	50
4436068	9606.ENSP00000273283	398	85
4436035	9606.ENSP00000272519	398	22
4445875	9606.ENSP00000374332	397	20
4449498	9606.ENSP00000429301	396	18
4434861	9606.ENSP00000261366	396	81
4446030	9606.ENSP00000376297	395	19
4436650	9606.ENSP00000285930	395	29
4449091	9606.ENSP00000420168	394	54
4438368	9606.ENSP00000307889	394	12
4437537	9606.ENSP00000299138	394	92
4441834	9606.ENSP00000348461	394	32
4440463	9606.ENSP00000333547	394	46
4440219	9606.ENSP00000330945	393	28
4439526	9606.ENSP00000322439	391	53
4443374	9606.ENSP00000358737	391	36
4449527	9606.ENSP00000429986	391	6
4434241	9606.ENSP00000252603	389	25
4451197	9606.ENSP00000477310	388	20
4434392	9606.ENSP00000254878	388	16
4435679	9606.ENSP00000266041	387	91
4440697	9606.ENSP00000335620	387	56
4436283	9606.ENSP00000278353	386	26
4433293	9606.ENSP00000224073	386	9
4444949	9606.ENSP00000367038	385	112
4435651	9606.ENSP00000265838	385	36
4437442	9606.ENSP00000297848	384	175
4442857	9606.ENSP00000356275	384	16
4449076	9606.ENSP00000419970	383	65
4434211	9606.ENSP00000252102	383	8
4449489	9606.ENSP00000429150	382	40
4437954	9606.ENSP00000303366	382	28
4436619	9606.ENSP00000285093	381	31
4443119	9606.ENSP00000357535	379	37
4433021	9606.ENSP00000217426	378	42
4438836	9606.ENSP00000313050	378	20
4435898	9606.ENSP00000269576	378	73
4448961	9606.ENSP00000418397	378	31
4450571	9606.ENSP00000457513	377	18
4446457	9606.ENSP00000379157	377	45
4445602	9606.ENSP00000371230	376	27
4433288	9606.ENSP00000223641	376	11
4441891	9606.ENSP00000349142	375	21
4445499	9606.ENSP00000370517	375	72
4449816	9606.ENSP00000437402	375	73
4440101	9606.ENSP00000329419	375	89
4441538	9606.ENSP00000345656	373	24
4435471	9606.ENSP00000264663	373	80
4433425	9606.ENSP00000228740	373	70
4434227	9606.ENSP00000252486	372	40
4442387	9606.ENSP00000353731	372	78
4446489	9606.ENSP00000379350	372	78
4443473	9606.ENSP00000359211	371	99
4438858	9606.ENSP00000313420	371	403
4442450	9606.ENSP00000354346	371	61
4449097	9606.ENSP00000420195	371	12
4438431	9606.ENSP00000308610	370	57
4442171	9606.ENSP00000351646	370	42
4447620	9606.ENSP00000389631	370	32
4450115	9606.ENSP00000444357	369	29
4448088	9606.ENSP00000399805	368	29
4433904	9606.ENSP00000244573	368	54
4440890	9606.ENSP00000338703	368	49
4435036	9606.ENSP00000262225	368	17
4446656	9606.ENSP00000380402	367	25
4434024	9606.ENSP00000247470	367	23
4433336	9606.ENSP00000225777	367	19
4443629	9606.ENSP00000359910	365	28
4436872	9606.ENSP00000290541	365	20
4441252	9606.ENSP00000342374	364	11
4438833	9606.ENSP00000312999	364	54
4450123	9606.ENSP00000444561	364	10
4445546	9606.ENSP00000370808	364	65
4433923	9606.ENSP00000245206	364	43
4441654	9606.ENSP00000346762	364	98
4448304	9606.ENSP00000404121	363	78
4449872	9606.ENSP00000438507	363	99
4438152	9606.ENSP00000305692	361	68
4448625	9606.ENSP00000411825	361	87
4451123	9606.ENSP00000475168	360	14
4434149	9606.ENSP00000251047	358	23
4448869	9606.ENSP00000417142	358	8
4448124	9606.ENSP00000400467	357	17
4440118	9606.ENSP00000329662	355	17
4448935	9606.ENSP00000417864	354	24
4434119	9606.ENSP00000250101	354	17
4433490	9606.ENSP00000230050	353	13
4441792	9606.ENSP00000348056	353	12
4439914	9606.ENSP00000327336	353	35
4433548	9606.ENSP00000231751	352	102
4451226	9606.ENSP00000477639	352	40
4435199	9606.ENSP00000263100	350	28
4438692	9606.ENSP00000311449	349	42
4445241	9606.ENSP00000368927	348	10
4442386	9606.ENSP00000353720	348	65
4438111	9606.ENSP00000305230	345	10
4432930	9606.ENSP00000216218	344	23
4434085	9606.ENSP00000249071	342	26
4439351	9606.ENSP00000320295	342	244
4448731	9606.ENSP00000414359	342	27
4443155	9606.ENSP00000357693	341	14
4437092	9606.ENSP00000294742	341	14
4439815	9606.ENSP00000326042	341	246
4446977	9606.ENSP00000382982	341	246
4450219	9606.ENSP00000447053	340	45
4450697	9606.ENSP00000463154	340	18
4441083	9606.ENSP00000340836	337	23
4445108	9606.ENSP00000367992	337	26
4435441	9606.ENSP00000264474	335	9
4448070	9606.ENSP00000399457	335	23
4435075	9606.ENSP00000262418	335	65
4447868	9606.ENSP00000394842	334	14
4448339	9606.ENSP00000404854	334	24
4449990	9606.ENSP00000441434	334	17
4432636	9606.ENSP00000054950	334	28
4435139	9606.ENSP00000262776	334	55
4440446	9606.ENSP00000333326	333	208
4442881	9606.ENSP00000356399	333	114
4434025	9606.ENSP00000247665	333	10
4435613	9606.ENSP00000265512	331	42
4450004	9606.ENSP00000441828	331	78
4451094	9606.ENSP00000474135	330	24
4449224	9606.ENSP00000422607	330	66
4434174	9606.ENSP00000251453	329	11
4442480	9606.ENSP00000354511	329	27
4447833	9606.ENSP00000394071	328	67
4434307	9606.ENSP00000253413	328	22
4441585	9606.ENSP00000346067	327	31
4443063	9606.ENSP00000357189	327	29
4446042	9606.ENSP00000376345	326	24
4441599	9606.ENSP00000346173	326	34
4450403	9606.ENSP00000452762	325	32
4437483	9606.ENSP00000298316	324	14
4435220	9606.ENSP00000263238	324	45
4443646	9606.ENSP00000360021	324	8
4444600	9606.ENSP00000364802	324	146
4444599	9606.ENSP00000364801	324	146
4432913	9606.ENSP00000216121	323	18
4441438	9606.ENSP00000344547	322	7
4447414	9606.ENSP00000386717	321	7
4433130	9606.ENSP00000220764	321	29
