#id: 2314295388
#name: H.sapiens - Lymph node, SC (Wilhelm,nature,2014)
#score: 14.0
#weight:  100%
#description: abundance based on Spectral counting, Interaction consistency score: 14.0, Coverage: 30
#organ: LYMPH_NODE
#integrated: false
#coverage: 30
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13319.html
#publication_year: 2014
#filename: 9606-lymph_node_Wilhelm_2014_Maxquant.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4445428	9606.ENSP00000370010	62362	331
4433451	9606.ENSP00000229239	13058	1135
4437206	9606.ENSP00000295897	12221	3732
4440511	9606.ENSP00000333994	11513	1497
4439524	9606.ENSP00000322421	10968	1229
4434183	9606.ENSP00000251595	10968	1229
4433579	9606.ENSP00000233143	7179	140
4441512	9606.ENSP00000345347	6071	382
4449639	9606.ENSP00000432660	6068	601
4433634	9606.ENSP00000234590	5968	781
4448989	9606.ENSP00000418770	5870	413
4433442	9606.ENSP00000228945	5782	380
4449041	9606.ENSP00000419425	5605	452
4435927	9606.ENSP00000270142	5361	238
4435881	9606.ENSP00000269321	5326	244
4440919	9606.ENSP00000339063	5271	820
4441438	9606.ENSP00000344547	4447	117
4437770	9606.ENSP00000301522	4283	358
4435133	9606.ENSP00000262746	4254	428
4433456	9606.ENSP00000229270	3909	620
4441649	9606.ENSP00000346694	3849	440
4445365	9606.ENSP00000369654	3704	728
4437619	9606.ENSP00000300026	3666	306
4446480	9606.ENSP00000379287	3595	397
4441991	9606.ENSP00000349960	3585	1980
4449851	9606.ENSP00000438144	3531	273
4444160	9606.ENSP00000362413	3389	586
4449553	9606.ENSP00000430656	3288	313
4448813	9606.ENSP00000416066	3197	538
4435962	9606.ENSP00000270792	3155	120
4450595	9606.ENSP00000458162	3133	1921
4449622	9606.ENSP00000432282	3080	380
4437352	9606.ENSP00000296930	3065	274
4433064	9606.ENSP00000219150	3044	372
4433668	9606.ENSP00000236850	2997	515
4436526	9606.ENSP00000283179	2875	625
4434854	9606.ENSP00000261313	2687	176
4446501	9606.ENSP00000379386	2673	343
4434085	9606.ENSP00000249071	2671	317
4443033	9606.ENSP00000357076	2646	359
4442650	9606.ENSP00000355315	2501	4
4439338	9606.ENSP00000320176	2483	313
4443642	9606.ENSP00000359991	2480	287
4445447	9606.ENSP00000370125	2478	96
4450194	9606.ENSP00000446252	2428	213
4441580	9606.ENSP00000346032	2405	377
4445713	9606.ENSP00000372155	2354	305
4443160	9606.ENSP00000357709	2327	89
4441562	9606.ENSP00000345848	2290	185
4442353	9606.ENSP00000353408	2288	618
4444702	9606.ENSP00000365439	2286	372
4443770	9606.ENSP00000360609	2275	936
4437176	9606.ENSP00000295685	2269	225
4446403	9606.ENSP00000378786	2212	132
4437297	9606.ENSP00000296511	2200	289
4450191	9606.ENSP00000446215	2197	210
4440966	9606.ENSP00000339566	2178	219
4444796	9606.ENSP00000366109	2170	299
4450150	9606.ENSP00000445175	2116	336
4441634	9606.ENSP00000346550	1989	547
4444040	9606.ENSP00000361930	1984	229
4434216	9606.ENSP00000252244	1981	738
4441922	9606.ENSP00000349428	1979	243
4433993	9606.ENSP00000246662	1958	394
4448935	9606.ENSP00000417864	1945	157
4446837	9606.ENSP00000381607	1910	172
4437293	9606.ENSP00000296503	1881	129
4441968	9606.ENSP00000349748	1879	398
4449581	9606.ENSP00000431254	1873	171
4439395	9606.ENSP00000320866	1870	202
4439747	9606.ENSP00000325240	1860	196
4435198	9606.ENSP00000263097	1821	223
4438847	9606.ENSP00000313199	1795	155
4438348	9606.ENSP00000307705	1794	212
4444027	9606.ENSP00000361883	1789	321
4440643	9606.ENSP00000335153	1740	890
4435415	9606.ENSP00000264335	1737	245
4445814	9606.ENSP00000373620	1721	371
4435898	9606.ENSP00000269576	1712	509
4439337	9606.ENSP00000320171	1698	391
4446386	9606.ENSP00000378669	1673	289
4439895	9606.ENSP00000327070	1663	245
4447293	9606.ENSP00000385958	1651	66
4438372	9606.ENSP00000307940	1629	600
4446990	9606.ENSP00000383118	1608	115
4441834	9606.ENSP00000348461	1607	264
4444137	9606.ENSP00000362329	1590	152
4450354	9606.ENSP00000451291	1577	282
4441190	9606.ENSP00000341826	1575	244
4443961	9606.ENSP00000361626	1569	107
4442633	9606.ENSP00000355228	1556	22
4446831	9606.ENSP00000381581	1556	595
4435299	9606.ENSP00000263697	1508	78
4437604	9606.ENSP00000299767	1506	501
4440915	9606.ENSP00000339001	1503	693
4432984	9606.ENSP00000216802	1491	141
4447693	9606.ENSP00000391481	1447	258
4433900	9606.ENSP00000244534	1440	199
4438137	9606.ENSP00000305556	1440	254
4443409	9606.ENSP00000358866	1439	1687
4450181	9606.ENSP00000446007	1438	428
4432978	9606.ENSP00000216714	1419	144
4437661	9606.ENSP00000300289	1406	274
4445606	9606.ENSP00000371267	1376	165
4447994	9606.ENSP00000397843	1371	11
4439274	9606.ENSP00000319281	1357	111
4447279	9606.ENSP00000385834	1350	512
4433003	9606.ENSP00000217182	1311	439
4434059	9606.ENSP00000248553	1303	116
4451332	9606.ENSP00000478828	1303	34
4451031	9606.ENSP00000472469	1301	48
4443118	9606.ENSP00000357516	1296	195
4443591	9606.ENSP00000359675	1293	43
