#id: 2107371595
#name: Homo sapiens - Female gonad, SC (Wilhelm,nature,2014)
#score: 13.4
#description: abundance based on Spectral counting, Interaction consistency score: 13.4, Coverage: 26
#organ: FEMALE_GONAD
#integrated: false
#coverage: 26
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13319.html
#publication_year: 2014
#filename: 9606-ovary_Wilhelm_2014_Maxquant.txt
#
#string_external_id	abundance	raw_spectral_count
9606.ENSP00000370010	46894	115
9606.ENSP00000295897	16777	2839
9606.ENSP00000322421	13808	1010
9606.ENSP00000251595	13808	1010
9606.ENSP00000233143	10131	61
9606.ENSP00000229239	9444	605
9606.ENSP00000270142	8385	149
9606.ENSP00000333994	8257	684
9606.ENSP00000357801	7735	145
9606.ENSP00000446007	7482	1025
9606.ENSP00000419425	5701	277
9606.ENSP00000381607	5173	226
9606.ENSP00000296511	4992	381
9606.ENSP00000344547	4969	94
9606.ENSP00000236850	4282	350
9606.ENSP00000432660	4140	187
9606.ENSP00000345347	4044	169
9606.ENSP00000232219	3894	227
9606.ENSP00000215909	3862	179
9606.ENSP00000261313	3840	156
9606.ENSP00000478828	3576	55
9606.ENSP00000385834	3401	657
9606.ENSP00000342026	3382	228
9606.ENSP00000310275	3254	59
9606.ENSP00000416066	3193	372
9606.ENSP00000356671	3192	316
9606.ENSP00000299767	3137	616
9606.ENSP00000309830	3120	33
9606.ENSP00000237014	3112	100
9606.ENSP00000369654	3035	400
9606.ENSP00000234590	2783	341
9606.ENSP00000349428	2696	240
9606.ENSP00000284440	2650	110
9606.ENSP00000357709	2601	60
9606.ENSP00000354826	2582	334
9606.ENSP00000269321	2451	63
9606.ENSP00000458162	2421	630
9606.ENSP00000349960	2374	625
9606.ENSP00000388107	2285	261
9606.ENSP00000346694	2278	165
9606.ENSP00000418770	2260	118
9606.ENSP00000304229	2225	48
9606.ENSP00000320866	2217	157
9606.ENSP00000383003	2210	57
9606.ENSP00000219169	2165	72
9606.ENSP00000356275	2134	90
9606.ENSP00000346032	2103	223
9606.ENSP00000397843	2087	11
9606.ENSP00000346550	2087	358
9606.ENSP00000229270	2052	196
9606.ENSP00000339063	2043	211
9606.ENSP00000379386	1982	158
9606.ENSP00000357283	1976	405
9606.ENSP00000378669	1955	165
9606.ENSP00000246533	1948	92
9606.ENSP00000264335	1916	189
9606.ENSP00000439012	1900	45
9606.ENSP00000362413	1884	194
9606.ENSP00000340466	1856	373
9606.ENSP00000362924	1841	247
9606.ENSP00000432282	1827	131
9606.ENSP00000468057	1825	61
9606.ENSP00000361083	1812	20
9606.ENSP00000301522	1766	75
9606.ENSP00000307940	1765	410
9606.ENSP00000335153	1743	535
9606.ENSP00000359991	1742	134
9606.ENSP00000262746	1727	116
9606.ENSP00000297785	1713	199
9606.ENSP00000272317	1705	261
9606.ENSP00000365439	1676	188
9606.ENSP00000338481	1676	409
9606.ENSP00000248553	1661	119
9606.ENSP00000363641	1656	63
9606.ENSP00000052754	1653	184
9606.ENSP00000362308	1650	57
9606.ENSP00000360609	1616	453
9606.ENSP00000349541	1609	151
9606.ENSP00000285930	1599	116
9606.ENSP00000233893	1597	53
9606.ENSP00000313199	1596	86
9606.ENSP00000384537	1581	624
9606.ENSP00000266735	1558	19
9606.ENSP00000320171	1526	202
9606.ENSP00000300026	1494	82
9606.ENSP00000367542	1490	117
9606.ENSP00000271638	1483	48
9606.ENSP00000241337	1478	130
9606.ENSP00000248564	1470	21
9606.ENSP00000376800	1468	37
9606.ENSP00000410452	1460	45
9606.ENSP00000263368	1459	62
9606.ENSP00000376886	1454	104
9606.ENSP00000254301	1450	61
9606.ENSP00000366109	1448	138
9606.ENSP00000362463	1446	66
9606.ENSP00000338413	1436	359
9606.ENSP00000300289	1402	182
9606.ENSP00000216714	1386	108
9606.ENSP00000266718	1384	130
9606.ENSP00000356969	1379	48
9606.ENSP00000273258	1375	25
9606.ENSP00000250495	1367	35
9606.ENSP00000296930	1356	81
9606.ENSP00000299633	1339	56
9606.ENSP00000379287	1338	128
9606.ENSP00000360021	1321	28
9606.ENSP00000477781	1315	38
9606.ENSP00000296503	1311	59
9606.ENSP00000215754	1307	57
9606.ENSP00000347872	1300	98
9606.ENSP00000290378	1296	459
9606.ENSP00000291568	1288	37
9606.ENSP00000225655	1283	70
9606.ENSP00000349748	1279	189
9606.ENSP00000247461	1275	177
9606.ENSP00000445175	1271	115
9606.ENSP00000430598	1270	28
9606.ENSP00000355645	1269	452
9606.ENSP00000245907	1262	644
9606.ENSP00000446252	1253	71
9606.ENSP00000463058	1238	34
9606.ENSP00000361777	1233	47
9606.ENSP00000353408	1228	223
9606.ENSP00000270792	1221	19
9606.ENSP00000379838	1208	27
