#id: 1036965629
#name: Homo sapiens - Pancreas, SC (Wilhelm,nature,2014)
#score: 14.1
#description: abundance based on Spectral counting, Interaction consistency score: 14.1, Coverage: 23
#organ: PANCREAS
#integrated: false
#coverage: 23
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13319.html
#publication_year: 2014
#filename: 9606-pancreas_Wilhelm_2014_Maxquant.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4445428	9606.ENSP00000370010	41288	111
4437206	9606.ENSP00000295897	39041	5798
4439524	9606.ENSP00000322421	31720	1790
4434183	9606.ENSP00000251595	31720	1790
4440511	9606.ENSP00000333994	23270	1745
4445365	9606.ENSP00000369654	9846	1103
4433451	9606.ENSP00000229239	9737	506
4448813	9606.ENSP00000416066	7841	740
4433668	9606.ENSP00000236850	7732	600
4450181	9606.ENSP00000446007	7474	987
4447279	9606.ENSP00000385834	6382	1209
4449553	9606.ENSP00000430656	5191	305
4437297	9606.ENSP00000296511	4762	370
4434854	9606.ENSP00000261313	4196	140
4441512	9606.ENSP00000345347	4152	148
4449041	9606.ENSP00000419425	3835	149
4449622	9606.ENSP00000432282	3830	215
4444160	9606.ENSP00000362413	3770	303
4440919	9606.ENSP00000339063	3769	377
4446258	9606.ENSP00000377833	3700	271
4437619	9606.ENSP00000300026	3655	151
4433675	9606.ENSP00000237014	3568	92
4433634	9606.ENSP00000234590	3510	321
4441808	9606.ENSP00000348170	3478	422
4440740	9606.ENSP00000336829	3468	412
4450285	9606.ENSP00000449404	3394	491
4437770	9606.ENSP00000301522	3350	138
4435927	9606.ENSP00000270142	3329	57
4434700	9606.ENSP00000259396	3325	153
4441580	9606.ENSP00000346032	3315	296
4441649	9606.ENSP00000346694	3265	187
4449639	9606.ENSP00000432660	3253	160
4443194	9606.ENSP00000357801	3237	37
4435133	9606.ENSP00000262746	3125	163
4450595	9606.ENSP00000458162	3111	787
4439653	9606.ENSP00000323929	2992	1142
4441991	9606.ENSP00000349960	2968	776
4444796	9606.ENSP00000366109	2951	225
4433579	9606.ENSP00000233143	2905	20
4442050	9606.ENSP00000350425	2899	329
4448989	9606.ENSP00000418770	2817	107
4433951	9606.ENSP00000245907	2788	1272
4433456	9606.ENSP00000229270	2696	225
4438439	9606.ENSP00000308720	2693	149
4449581	9606.ENSP00000431254	2651	145
4435415	9606.ENSP00000264335	2627	218
4435245	9606.ENSP00000263368	2548	89
4448880	9606.ENSP00000417222	2533	295
4438007	9606.ENSP00000303963	2467	185
4450194	9606.ENSP00000446252	2440	81
4441216	9606.ENSP00000342026	2429	146
4435881	9606.ENSP00000269321	2294	56
4452030	9606.ENSP00000485444	2282	145
4443409	9606.ENSP00000358866	2245	1377
4437604	9606.ENSP00000299767	2240	439
4446990	9606.ENSP00000383118	2237	72
4443875	9606.ENSP00000361151	2207	230
4443164	9606.ENSP00000357722	2205	59
4438214	9606.ENSP00000306361	2200	427
4439955	9606.ENSP00000327801	2148	285
4438237	9606.ENSP00000306606	2085	211
4435962	9606.ENSP00000270792	2071	26
4443033	9606.ENSP00000357076	2066	132
4446480	9606.ENSP00000379287	2050	163
4443166	9606.ENSP00000357727	2047	72
4445799	9606.ENSP00000373487	2039	206
4446837	9606.ENSP00000381607	2035	93
4434059	9606.ENSP00000248553	2020	102
4434459	9606.ENSP00000256104	2020	51
4442446	9606.ENSP00000354294	2010	146
4435987	9606.ENSP00000271638	1998	50
4432585	9606.ENSP00000011292	1969	225
4441770	9606.ENSP00000347872	1937	114
4435725	9606.ENSP00000266718	1925	139
4441634	9606.ENSP00000346550	1895	282
4433442	9606.ENSP00000228945	1861	60
4435671	9606.ENSP00000265983	1852	188
4434216	9606.ENSP00000252244	1825	379
4434352	9606.ENSP00000254301	1800	66
4443160	9606.ENSP00000357709	1799	28
4444265	9606.ENSP00000362924	1798	197
4442353	9606.ENSP00000353408	1782	305
4439337	9606.ENSP00000320171	1768	219
4438190	9606.ENSP00000306099	1696	196
4432848	9606.ENSP00000211998	1665	497
4436628	9606.ENSP00000285379	1664	99
4447518	9606.ENSP00000387662	1642	68
4437442	9606.ENSP00000297848	1641	640
4450150	9606.ENSP00000445175	1633	154
4438847	9606.ENSP00000313199	1594	88
4433064	9606.ENSP00000219150	1593	101
4441562	9606.ENSP00000345848	1587	65
4450191	9606.ENSP00000446215	1567	70
4439666	9606.ENSP00000324173	1565	222
4438372	9606.ENSP00000307940	1518	310
4444141	9606.ENSP00000362339	1492	50
4433326	9606.ENSP00000225655	1492	66
4432629	9606.ENSP00000052754	1488	133
4446501	9606.ENSP00000379386	1479	106
4440915	9606.ENSP00000339001	1474	428
4436285	9606.ENSP00000278407	1456	149
4443770	9606.ENSP00000360609	1449	359
4446582	9606.ENSP00000379895	1441	139
4444702	9606.ENSP00000365439	1420	127
4437293	9606.ENSP00000296503	1417	56
4433584	9606.ENSP00000233242	1403	1725
4443158	9606.ENSP00000357705	1389	34
4445651	9606.ENSP00000371554	1380	48
4448154	9606.ENSP00000401010	1344	101
4442941	9606.ENSP00000356671	1343	130
4437352	9606.ENSP00000296930	1342	49
4435679	9606.ENSP00000266041	1335	253
4443076	9606.ENSP00000357283	1309	238
4437661	9606.ENSP00000300289	1303	164
4433124	9606.ENSP00000220616	1294	798
4444253	9606.ENSP00000362820	1288	27
4447225	9606.ENSP00000385385	1283	104
4433665	9606.ENSP00000236671	1269	166
4447823	9606.ENSP00000393887	1260	66
4449851	9606.ENSP00000438144	1254	70
4446386	9606.ENSP00000378669	1246	103
4435330	9606.ENSP00000263867	1240	71
4446197	9606.ENSP00000377456	1237	29
4443001	9606.ENSP00000356969	1232	26
4442116	9606.ENSP00000351190	1231	275
4441502	9606.ENSP00000345230	1225	122
