#id: 3727411423
#name: Homo sapiens - Prostate gland, SC (Wilhelm,nature,2014)
#score: 13.1
#description: abundance based on Spectral counting, Interaction consistency score: 13.1, Coverage: 25
#organ: PROSTATE_GLAND
#integrated: false
#coverage: 25
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13319.html
#publication_year: 2014
#filename: 9606-prostate_Wilhelm_2014_Maxquant.txt
#
#string_external_id	abundance	raw_spectral_count
9606.ENSP00000370010	29611	78
9606.ENSP00000295897	27363	5727
9606.ENSP00000432282	23111	1845
9606.ENSP00000322421	16743	1545
9606.ENSP00000251595	16743	1545
9606.ENSP00000229239	14469	1194
9606.ENSP00000252456	14142	1093
9606.ENSP00000333994	13840	1394
9606.ENSP00000356275	9786	496
9606.ENSP00000259396	7757	362
9606.ENSP00000354826	7659	1192
9606.ENSP00000299198	6587	651
9606.ENSP00000416066	6584	904
9606.ENSP00000358866	6360	5450
9606.ENSP00000367542	5620	454
9606.ENSP00000386857	5595	2044
9606.ENSP00000369654	5092	828
9606.ENSP00000225655	5073	294
9606.ENSP00000351022	5005	399
9606.ENSP00000211998	4263	1361
9606.ENSP00000357801	4235	89
9606.ENSP00000419425	4234	248
9606.ENSP00000236850	4212	438
9606.ENSP00000290378	4140	1979
9606.ENSP00000402373	4120	1995
9606.ENSP00000385834	4049	926
9606.ENSP00000270142	3948	89
9606.ENSP00000215909	3938	194
9606.ENSP00000237014	3923	159
9606.ENSP00000304229	3882	103
9606.ENSP00000345347	3705	164
9606.ENSP00000355645	3576	1795
9606.ENSP00000273258	3328	72
9606.ENSP00000362413	3303	400
9606.ENSP00000377941	3192	1555
9606.ENSP00000378669	3046	311
9606.ENSP00000246069	3045	198
9606.ENSP00000342026	3018	236
9606.ENSP00000349541	2926	293
9606.ENSP00000271638	2849	95
9606.ENSP00000357727	2831	126
9606.ENSP00000432660	2751	145
9606.ENSP00000367154	2706	168
9606.ENSP00000431254	2651	218
9606.ENSP00000296511	2646	237
9606.ENSP00000342858	2572	563
9606.ENSP00000359991	2551	231
9606.ENSP00000339063	2519	349
9606.ENSP00000346550	2495	510
9606.ENSP00000344547	2476	53
9606.ENSP00000234590	2474	380
9606.ENSP00000348099	2433	308
9606.ENSP00000297848	2393	1277
9606.ENSP00000482472	2361	428
9606.ENSP00000371554	2285	137
9606.ENSP00000381607	2217	125
9606.ENSP00000248553	2210	189
9606.ENSP00000355315	2204	2
9606.ENSP00000261313	2183	108
9606.ENSP00000346032	2107	251
9606.ENSP00000379616	2093	1385
9606.ENSP00000331544	2065	433
9606.ENSP00000266718	2065	241
9606.ENSP00000446007	2055	366
9606.ENSP00000296412	2046	183
9606.ENSP00000349960	2036	1082
9606.ENSP00000357705	2024	80
9606.ENSP00000418770	1992	113
9606.ENSP00000458162	1976	1074
9606.ENSP00000052754	1964	255
9606.ENSP00000252244	1952	534
9606.ENSP00000357709	1899	69
9606.ENSP00000285381	1886	187
9606.ENSP00000356969	1854	72
9606.ENSP00000310275	1845	37
9606.ENSP00000377710	1844	174
9606.ENSP00000334008	1830	199
9606.ENSP00000383003	1789	57
9606.ENSP00000264335	1779	218
9606.ENSP00000353452	1778	980
9606.ENSP00000284770	1752	186
9606.ENSP00000269321	1728	60
9606.ENSP00000246533	1711	109
9606.ENSP00000233143	1693	12
9606.ENSP00000316029	1683	1338
9606.ENSP00000320171	1678	281
9606.ENSP00000350425	1650	262
9606.ENSP00000362817	1626	63
9606.ENSP00000262746	1615	152
9606.ENSP00000433560	1606	74
9606.ENSP00000379386	1605	148
9606.ENSP00000263277	1605	306
9606.ENSP00000252699	1588	902
9606.ENSP00000265983	1575	260
9606.ENSP00000346694	1569	145
9606.ENSP00000378957	1569	66
9606.ENSP00000445175	1550	180
9606.ENSP00000394496	1534	160
9606.ENSP00000367263	1528	3184
9606.ENSP00000439012	1523	44
9606.ENSP00000306015	1511	557
9606.ENSP00000468057	1510	73
9606.ENSP00000446955	1509	109
9606.ENSP00000356671	1503	196
9606.ENSP00000379287	1503	196
9606.ENSP00000343690	1500	389
9606.ENSP00000307786	1484	44
9606.ENSP00000343924	1481	210
9606.ENSP00000356481	1471	323
9606.ENSP00000357055	1471	62
9606.ENSP00000362308	1449	56
9606.ENSP00000397843	1445	8
9606.ENSP00000379678	1437	273
9606.ENSP00000312326	1424	324
9606.ENSP00000357722	1424	58
9606.ENSP00000358727	1408	95
9606.ENSP00000416330	1400	287
9606.ENSP00000394936	1388	101
9606.ENSP00000393887	1380	98
9606.ENSP00000446252	1371	92
9606.ENSP00000269576	1367	327
9606.ENSP00000309830	1363	15
9606.ENSP00000344504	1358	40
9606.ENSP00000229270	1335	150
9606.ENSP00000388107	1333	186
9606.ENSP00000245907	1331	801
9606.ENSP00000365439	1316	177
9606.ENSP00000478828	1314	23
9606.ENSP00000363641	1310	66
9606.ENSP00000345230	1301	186
9606.ENSP00000219169	1301	59
9606.ENSP00000215754	1290	64
9606.ENSP00000347872	1283	119
9606.ENSP00000301522	1265	84
9606.ENSP00000327145	1256	1558
9606.ENSP00000353408	1248	271
9606.ENSP00000327336	1236	148
9606.ENSP00000291568	1231	39
9606.ENSP00000339001	1229	545
9606.ENSP00000270792	1227	21
9606.ENSP00000307940	1219	309
9606.ENSP00000246662	1201	208
9606.ENSP00000299767	1192	286
9606.ENSP00000376800	1180	41
9606.ENSP00000438144	1176	86
9606.ENSP00000357516	1168	193
9606.ENSP00000233893	1167	49
9606.ENSP00000256594	1166	103
9606.ENSP00000474560	1160	77
9606.ENSP00000362271	1159	76
9606.ENSP00000264613	1155	330
9606.ENSP00000310491	1154	163
9606.ENSP00000376309	1145	102
9606.ENSP00000320866	1139	106
9606.ENSP00000363071	1133	208
9606.ENSP00000171887	1115	587
9606.ENSP00000427687	1106	182
9606.ENSP00000296930	1094	71
9606.ENSP00000379350	1081	264
9606.ENSP00000444561	1073	35
9606.ENSP00000356042	1036	230
9606.ENSP00000217182	1033	239
9606.ENSP00000362924	1005	170
9606.ENSP00000379975	997	120
9606.ENSP00000323929	995	545
9606.ENSP00000325240	994	96
9606.ENSP00000389103	992	31
9606.ENSP00000361083	990	14
9606.ENSP00000262030	988	174
9606.ENSP00000363500	977	92
9606.ENSP00000366109	966	110
9606.ENSP00000263368	962	52
9606.ENSP00000272317	962	186
9606.ENSP00000360021	958	25
9606.ENSP00000446215	956	60
9606.ENSP00000278407	955	146
9606.ENSP00000262551	950	95
9606.ENSP00000361087	926	45
9606.ENSP00000310111	925	66
9606.ENSP00000246792	922	94
9606.ENSP00000358723	921	102
9606.ENSP00000465356	906	14
9606.ENSP00000279022	900	105
9606.ENSP00000380489	895	49
9606.ENSP00000477781	893	31
9606.ENSP00000250559	886	99
9606.ENSP00000354468	884	78
9606.ENSP00000426119	882	65
9606.ENSP00000348170	878	121
9606.ENSP00000217121	859	60
9606.ENSP00000331897	859	122
9606.ENSP00000425556	853	340
9606.ENSP00000290349	850	101
9606.ENSP00000300026	848	57
9606.ENSP00000313199	848	60
9606.ENSP00000339191	843	41
9606.ENSP00000292401	838	77
9606.ENSP00000306003	828	22
9606.ENSP00000405573	827	140
9606.ENSP00000295685	824	62
9606.ENSP00000381386	818	51
9606.ENSP00000398610	816	97
9606.ENSP00000430656	815	70
9606.ENSP00000361930	807	135
9606.ENSP00000430598	797	19
9606.ENSP00000378332	796	105
9606.ENSP00000339566	795	76
9606.ENSP00000216218	784	55
9606.ENSP00000377833	783	95
9606.ENSP00000369609	772	190
9606.ENSP00000341289	771	516
9606.ENSP00000357076	770	78
9606.ENSP00000305731	770	65
9606.ENSP00000264036	765	174
9606.ENSP00000359225	765	85
9606.ENSP00000360293	764	351
9606.ENSP00000247665	757	32
9606.ENSP00000295550	751	868
9606.ENSP00000265838	745	91
9606.ENSP00000365950	743	20
9606.ENSP00000228945	742	33
9606.ENSP00000247461	739	123
9606.ENSP00000360522	739	41
9606.ENSP00000478121	737	29
9606.ENSP00000306362	734	29
9606.ENSP00000309477	734	152
9606.ENSP00000484398	728	241
9606.ENSP00000364945	727	58
9606.ENSP00000309539	723	182
9606.ENSP00000336702	722	60
9606.ENSP00000340466	722	165
9606.ENSP00000232003	720	115
9606.ENSP00000421725	716	131
9606.ENSP00000232219	713	54
9606.ENSP00000298159	711	54
9606.ENSP00000371267	710	110
9606.ENSP00000391481	707	106
9606.ENSP00000355180	706	263
9606.ENSP00000254301	705	34
9606.ENSP00000296503	705	40
9606.ENSP00000221476	701	63
9606.ENSP00000324422	695	114
9606.ENSP00000350708	694	61
9606.ENSP00000411825	685	199
9606.ENSP00000353375	684	238
9606.ENSP00000342056	682	71
9606.ENSP00000389168	677	190
9606.ENSP00000362463	676	49
9606.ENSP00000263645	676	39
9606.ENSP00000300527	673	218
9606.ENSP00000351190	671	192
9606.ENSP00000320324	669	173
9606.ENSP00000327431	668	181
9606.ENSP00000356354	668	40
