#id: 224922582
#name: Homo sapiens - Saliva secreting gland, SC (Wilhelm,nature,2014)
#score: 16.5
#description: abundance based on Spectral counting, Interaction consistency score: 16.5, Coverage: 29
#organ: SALIVA_SECRETING_GLAND
#integrated: false
#coverage: 29
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13319.html
#publication_year: 2014
#filename: 9606-salivary_gland_Wilhelm_2014_Maxquant.txt
#
#string_external_id	abundance	raw_spectral_count
9606.ENSP00000295897	17402	4526
9606.ENSP00000370010	17176	52
9606.ENSP00000322421	16672	1816
9606.ENSP00000251595	16672	1816
9606.ENSP00000217423	15406	1352
9606.ENSP00000305731	12658	1093
9606.ENSP00000229239	10588	1000
9606.ENSP00000333994	10541	1324
9606.ENSP00000291009	8622	612
9606.ENSP00000373487	7436	1062
9606.ENSP00000371715	6266	718
9606.ENSP00000253362	6149	526
9606.ENSP00000419425	5292	363
9606.ENSP00000307540	5156	529
9606.ENSP00000355124	5130	1186
9606.ENSP00000449404	4560	1060
9606.ENSP00000369654	4472	835
9606.ENSP00000329243	4321	907
9606.ENSP00000269321	4240	176
9606.ENSP00000446252	4232	317
9606.ENSP00000292169	4214	108
9606.ENSP00000343172	3988	184
9606.ENSP00000234590	3886	732
9606.ENSP00000339063	3849	684
9606.ENSP00000359991	3791	381
9606.ENSP00000285379	3764	371
9606.ENSP00000264335	3709	532
9606.ENSP00000345347	3482	194
9606.ENSP00000430656	3403	361
9606.ENSP00000432282	3232	317
9606.ENSP00000296511	3180	376
9606.ENSP00000432660	3135	183
9606.ENSP00000261313	3031	179
9606.ENSP00000379682	3013	103
9606.ENSP00000271638	2963	112
9606.ENSP00000416066	2903	560
9606.ENSP00000474560	2885	212
9606.ENSP00000446007	2813	612
9606.ENSP00000362413	2784	404
9606.ENSP00000254301	2769	148
9606.ENSP00000391490	2575	188
9606.ENSP00000229270	2569	351
9606.ENSP00000378669	2397	296
9606.ENSP00000366654	2364	163
9606.ENSP00000246533	2359	185
9606.ENSP00000327801	2348	493
9606.ENSP00000270142	2344	63
9606.ENSP00000479168	2323	103
9606.ENSP00000445175	2318	346
9606.ENSP00000348170	2219	310
9606.ENSP00000381607	2216	161
9606.ENSP00000385834	2213	609
9606.ENSP00000273258	2173	68
9606.ENSP00000236850	2158	272
9606.ENSP00000418770	2126	161
9606.ENSP00000342026	2065	209
9606.ENSP00000301522	2045	135
9606.ENSP00000216802	2018	151
9606.ENSP00000300026	1992	158
9606.ENSP00000268182	1992	1256
9606.ENSP00000458162	1957	910
9606.ENSP00000299767	1944	557
9606.ENSP00000320171	1921	389
9606.ENSP00000357801	1888	54
9606.ENSP00000346694	1851	195
9606.ENSP00000228945	1844	94
9606.ENSP00000349960	1837	890
9606.ENSP00000265462	1812	201
9606.ENSP00000439012	1807	58
9606.ENSP00000252456	1784	153
9606.ENSP00000351022	1765	177
9606.ENSP00000356969	1722	61
9606.ENSP00000262746	1715	163
9606.ENSP00000356275	1712	98
9606.ENSP00000248553	1707	163
9606.ENSP00000290349	1700	265
9606.ENSP00000217182	1683	480
9606.ENSP00000367542	1677	193
9606.ENSP00000304229	1652	52
9606.ENSP00000354826	1645	305
9606.ENSP00000451712	1634	176
9606.ENSP00000320866	1612	184
9606.ENSP00000292401	1588	183
9606.ENSP00000307940	1579	500
9606.ENSP00000242285	1567	28
9606.ENSP00000233143	1505	12
9606.ENSP00000252244	1502	598
9606.ENSP00000381448	1501	102
9606.ENSP00000307786	1476	59
9606.ENSP00000379287	1474	248
9606.ENSP00000346921	1461	137
9606.ENSP00000302400	1454	33
9606.ENSP00000307132	1451	85
9606.ENSP00000313050	1450	116
9606.ENSP00000217121	1433	126
