#id: 3948726487
#name: Homo sapiens - Skin, SC (Wilhelm,nature,2014)
#score: 11.6
#description: abundance based on Spectral counting, Interaction consistency score: 11.6, Coverage: 21
#organ: SKIN
#integrated: false
#coverage: 21
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13319.html
#publication_year: 2014
#filename: 9606-skin_Wilhelm_2014_Maxquant.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4439524	9606.ENSP00000322421	24570	1314
4434183	9606.ENSP00000251595	24570	1314
4437206	9606.ENSP00000295897	16760	2983
4433020	9606.ENSP00000217423	16035	954
4438159	9606.ENSP00000305731	15644	816
4440511	9606.ENSP00000333994	15142	1397
4434300	9606.ENSP00000253362	13263	762
4445428	9606.ENSP00000370010	13156	38
4445671	9606.ENSP00000371715	11547	460
4438331	9606.ENSP00000307540	11327	608
4446542	9606.ENSP00000379682	9599	151
4445365	9606.ENSP00000369654	8638	1006
4451365	9606.ENSP00000479168	8454	151
4444890	9606.ENSP00000366654	7576	345
4433451	9606.ENSP00000229239	7559	423
4450285	9606.ENSP00000449404	6784	1066
4445799	9606.ENSP00000373487	6634	659
4439955	9606.ENSP00000327801	5184	742
4433634	9606.ENSP00000234590	5023	431
4446386	9606.ENSP00000378669	4339	281
4441512	9606.ENSP00000345347	4156	125
4440919	9606.ENSP00000339063	4082	568
4435881	9606.ENSP00000269321	4043	77
4434854	9606.ENSP00000261313	3700	147
4436897	9606.ENSP00000291009	3683	163
4442612	9606.ENSP00000355124	3623	562
4436628	9606.ENSP00000285379	3552	194
4436962	9606.ENSP00000292401	3441	207
4449041	9606.ENSP00000419425	3416	147
4437619	9606.ENSP00000300026	3312	153
4438030	9606.ENSP00000304229	3238	39
4448989	9606.ENSP00000418770	3237	120
4437770	9606.ENSP00000301522	3190	123
4449622	9606.ENSP00000432282	3030	248
4444160	9606.ENSP00000362413	2938	315
4449553	9606.ENSP00000430656	2891	153
4439395	9606.ENSP00000320866	2859	201
4439666	9606.ENSP00000324173	2823	394
4437604	9606.ENSP00000299767	2797	550
4448813	9606.ENSP00000416066	2750	248
4443862	9606.ENSP00000361083	2739	25
4435415	9606.ENSP00000264335	2713	210
4450181	9606.ENSP00000446007	2676	422
4449851	9606.ENSP00000438144	2660	135
4445371	9606.ENSP00000369689	2652	77
4435133	9606.ENSP00000262746	2640	163
4433003	9606.ENSP00000217182	2595	453
4446810	9606.ENSP00000381448	2568	72
4440740	9606.ENSP00000336829	2536	285
4435898	9606.ENSP00000269576	2522	377
4440087	9606.ENSP00000329243	2504	479
