#id: 1289103813
#name: Homo sapiens - Spleen, SC (Wilhelm,nature,2014)
#score: 11.8
#description: abundance based on Spectral counting, Interaction consistency score: 11.8, Coverage: 24
#organ: SPLEEN
#integrated: false
#coverage: 24
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13319.html
#publication_year: 2014
#filename: 9606-spleen_Wilhelm_2014_Maxquant.txt
#
#string_external_id	abundance	raw_spectral_count
9606.ENSP00000370010	54729	147
9606.ENSP00000322421	30576	1884
9606.ENSP00000251595	30576	1884
9606.ENSP00000333994	22901	1878
9606.ENSP00000295897	15939	2487
9606.ENSP00000369654	11822	1310
9606.ENSP00000229239	10344	579
9606.ENSP00000446007	7562	1028
9606.ENSP00000233143	6650	42
9606.ENSP00000234590	5818	544
9606.ENSP00000419425	5586	212
9606.ENSP00000349960	4641	1095
9606.ENSP00000362413	4517	402
9606.ENSP00000432660	4469	225
9606.ENSP00000458162	4416	1076
9606.ENSP00000353408	4402	679
9606.ENSP00000262746	4306	239
9606.ENSP00000381581	4199	773
9606.ENSP00000263368	4098	172
9606.ENSP00000299767	4051	776
9606.ENSP00000346694	4009	238
9606.ENSP00000301522	3924	165
9606.ENSP00000339063	3909	387
9606.ENSP00000358866	3888	2475
9606.ENSP00000432282	3797	214
9606.ENSP00000211998	3583	975
9606.ENSP00000346550	3575	542
9606.ENSP00000219150	3407	215
9606.ENSP00000360609	3406	834
9606.ENSP00000416066	3178	323
9606.ENSP00000296511	3163	255
9606.ENSP00000269321	3117	72
9606.ENSP00000391481	3116	325
9606.ENSP00000225655	3061	148
9606.ENSP00000366525	3034	109
9606.ENSP00000430656	3017	186
9606.ENSP00000335153	2956	858
9606.ENSP00000316029	2880	1740
9606.ENSP00000228945	2877	95
9606.ENSP00000432083	2832	523
9606.ENSP00000270142	2769	62
9606.ENSP00000366109	2631	212
9606.ENSP00000378669	2574	218
9606.ENSP00000383118	2350	80
9606.ENSP00000418770	2297	91
9606.ENSP00000306606	2289	228
9606.ENSP00000295685	2285	144
9606.ENSP00000346032	2281	208
9606.ENSP00000342026	2268	138
9606.ENSP00000379287	2254	186
9606.ENSP00000347495	2243	235
9606.ENSP00000320866	2218	161
9606.ENSP00000307940	2206	430
9606.ENSP00000357076	2187	152
9606.ENSP00000216117	2088	150
9606.ENSP00000300026	2085	88
9606.ENSP00000338413	2084	444
9606.ENSP00000252699	2052	678
9606.ENSP00000361883	2045	233
9606.ENSP00000345347	2015	77
9606.ENSP00000325548	1973	246
9606.ENSP00000324173	1969	304
9606.ENSP00000370115	1964	191
9606.ENSP00000381607	1940	98
9606.ENSP00000234313	1934	87
9606.ENSP00000340466	1919	340
9606.ENSP00000369538	1912	259
9606.ENSP00000229270	1875	180
9606.ENSP00000446252	1872	72
9606.ENSP00000285379	1862	105
9606.ENSP00000313199	1827	98
9606.ENSP00000216802	1819	111
9606.ENSP00000264335	1797	156
9606.ENSP00000385834	1768	358
9606.ENSP00000290378	1764	735
9606.ENSP00000361930	1757	157
9606.ENSP00000355645	1744	731
9606.ENSP00000236850	1737	145
9606.ENSP00000357727	1709	62
9606.ENSP00000271638	1661	44
9606.ENSP00000228825	1648	66
9606.ENSP00000367220	1647	110
9606.ENSP00000336829	1610	195
9606.ENSP00000268182	1586	643
9606.ENSP00000379038	1572	168
9606.ENSP00000261313	1560	55
9606.ENSP00000357722	1558	48
9606.ENSP00000389631	1534	107
9606.ENSP00000446215	1482	66
9606.ENSP00000377941	1443	577
9606.ENSP00000270792	1438	19
9606.ENSP00000359504	1433	175
9606.ENSP00000270776	1397	145
9606.ENSP00000252244	1391	292
9606.ENSP00000397843	1387	7
9606.ENSP00000310491	1361	136
9606.ENSP00000420213	1333	1038
9606.ENSP00000296503	1318	57
9606.ENSP00000372155	1292	89
9606.ENSP00000385385	1286	112
9606.ENSP00000248553	1275	65
9606.ENSP00000351646	1267	150
9606.ENSP00000376309	1253	81
9606.ENSP00000318195	1246	139
9606.ENSP00000431254	1246	73
9606.ENSP00000373620	1241	188
9606.ENSP00000361777	1232	58
9606.ENSP00000377471	1231	79
9606.ENSP00000303276	1217	27
9606.ENSP00000388169	1216	68
9606.ENSP00000349428	1212	94
9606.ENSP00000262878	1209	237
9606.ENSP00000354826	1206	139
9606.ENSP00000479606	1205	577
