#id: 3433759715
#name: Homo sapiens - Thyroid gland, SC (Wilhelm,nature,2014)
#score: 12.2
#description: abundance based on Spectral counting, Interaction consistency score: 12.2, Coverage: 20
#organ: THYROID_GLAND
#integrated: false
#coverage: 20
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13319.html
#publication_year: 2014
#filename: 9606-thyroid_gland_Wilhelm_2014_Maxquant.txt
#
#string_external_id	abundance	raw_spectral_count
9606.ENSP00000322421	50070	1976
9606.ENSP00000251595	50070	1976
9606.ENSP00000333994	45942	2413
9606.ENSP00000220616	34438	12916
9606.ENSP00000295897	27136	3182
9606.ENSP00000369654	18347	1487
9606.ENSP00000446007	9109	905
9606.ENSP00000229239	7530	310
9606.ENSP00000416066	7352	485
9606.ENSP00000237014	7239	108
9606.ENSP00000430656	5743	246
9606.ENSP00000261313	5685	147
9606.ENSP00000432282	5330	254
9606.ENSP00000262746	5108	187
9606.ENSP00000236850	4876	271
9606.ENSP00000380489	4831	139
9606.ENSP00000419425	4820	133
9606.ENSP00000270142	4533	54
9606.ENSP00000252244	4348	612
9606.ENSP00000345347	4233	100
9606.ENSP00000301522	4147	127
9606.ENSP00000342026	4071	162
9606.ENSP00000346032	3948	258
9606.ENSP00000381607	3616	122
9606.ENSP00000366109	3552	194
9606.ENSP00000304229	3485	32
9606.ENSP00000373487	3470	221
9606.ENSP00000362413	3279	210
9606.ENSP00000385834	2931	423
9606.ENSP00000269576	2885	344
9606.ENSP00000296511	2829	156
9606.ENSP00000234590	2788	203
9606.ENSP00000418770	2787	78
9606.ENSP00000345672	2691	140
9606.ENSP00000449404	2674	367
9606.ENSP00000248553	2648	110
9606.ENSP00000339063	2605	219
9606.ENSP00000300026	2479	67
9606.ENSP00000229270	2341	148
9606.ENSP00000346694	2340	106
9606.ENSP00000329243	2333	300
9606.ENSP00000458162	2327	433
9606.ENSP00000371554	2312	63
9606.ENSP00000349960	2307	432
9606.ENSP00000431254	2303	96
9606.ENSP00000378669	2250	133
9606.ENSP00000320866	2141	106
9606.ENSP00000267814	2134	114
9606.ENSP00000357283	2032	246
9606.ENSP00000355124	2006	229
9606.ENSP00000349541	1994	90
9606.ENSP00000379386	1983	112
9606.ENSP00000355315	1968	1
9606.ENSP00000296930	1945	59
9606.ENSP00000367542	1889	110
9606.ENSP00000433560	1881	46
9606.ENSP00000264335	1879	126
9606.ENSP00000285379	1878	75
9606.ENSP00000379287	1877	106
9606.ENSP00000246662	1842	159
9606.ENSP00000336829	1827	160
9606.ENSP00000263368	1824	51
9606.ENSP00000269321	1818	33
9606.ENSP00000432660	1802	64
9606.ENSP00000362924	1792	137
9606.ENSP00000365439	1755	120
9606.ENSP00000259396	1723	52
9606.ENSP00000397261	1723	189
9606.ENSP00000299767	1721	239
9606.ENSP00000225655	1693	51
9606.ENSP00000356275	1687	46
9606.ENSP00000254301	1671	40
9606.ENSP00000249842	1639	80
9606.ENSP00000446215	1621	53
9606.ENSP00000315130	1615	108
9606.ENSP00000306099	1590	133
9606.ENSP00000313199	1590	61
9606.ENSP00000344504	1571	28
9606.ENSP00000299529	1562	40
9606.ENSP00000256104	1543	32
9606.ENSP00000320171	1518	126
9606.ENSP00000265983	1501	102
9606.ENSP00000327431	1487	224
9606.ENSP00000296503	1442	39
9606.ENSP00000369609	1428	222
9606.ENSP00000356671	1411	95
9606.ENSP00000264908	1390	78
9606.ENSP00000052754	1363	84
9606.ENSP00000362271	1356	50
9606.ENSP00000297785	1332	121
9606.ENSP00000445175	1288	107
9606.ENSP00000348170	1286	106
9606.ENSP00000300289	1285	117
9606.ENSP00000246533	1277	39
9606.ENSP00000351022	1275	83
9606.ENSP00000245907	1270	439
9606.ENSP00000215909	1263	39
9606.ENSP00000265462	1256	58
9606.ENSP00000362463	1252	31
9606.ENSP00000220763	1247	65
9606.ENSP00000357727	1225	34
9606.ENSP00000306361	1225	166
9606.ENSP00000360305	1223	71
9606.ENSP00000353408	1221	155
9606.ENSP00000266718	1220	81
9606.ENSP00000255040	1211	41
9606.ENSP00000357076	1200	67
9606.ENSP00000310861	1184	279
9606.ENSP00000373477	1146	39
9606.ENSP00000338345	1141	19
9606.ENSP00000377833	1127	67
9606.ENSP00000383118	1126	27
9606.ENSP00000339001	1116	245
9606.ENSP00000354468	1115	42
9606.ENSP00000376309	1111	49
9606.ENSP00000323929	1105	331
9606.ENSP00000405965	1093	12
9606.ENSP00000272298	1072	68
9606.ENSP00000291295	1072	68
9606.ENSP00000349467	1072	68
9606.ENSP00000306606	1071	75
9606.ENSP00000246069	1064	40
9606.ENSP00000263867	1055	47
9606.ENSP00000324173	1048	103
9606.ENSP00000217182	1036	148
9606.ENSP00000252456	1025	54
9606.ENSP00000307786	1021	20
9606.ENSP00000360609	1020	163
9606.ENSP00000368959	1017	23
9606.ENSP00000446252	1014	30
9606.ENSP00000339191	999	29
9606.ENSP00000346550	985	110
9606.ENSP00000358866	982	454
9606.ENSP00000361930	980	73
9606.ENSP00000345179	979	28
9606.ENSP00000262030	977	90
9606.ENSP00000242285	974	12
9606.ENSP00000305675	974	56
9606.ENSP00000357516	968	69
9606.ENSP00000462435	962	32
9606.ENSP00000296412	957	45
9606.ENSP00000350425	949	79
9606.ENSP00000371958	945	15
9606.ENSP00000391481	937	77
9606.ENSP00000297848	936	250
9606.ENSP00000217515	920	36
9606.ENSP00000448785	917	32
9606.ENSP00000377710	914	45
9606.ENSP00000356042	908	123
9606.ENSP00000401010	903	48
9606.ENSP00000443189	902	18
9606.ENSP00000381736	897	79
9606.ENSP00000327336	896	54
9606.ENSP00000426119	891	32
9606.ENSP00000361883	882	75
9606.ENSP00000343924	880	58
9606.ENSP00000296424	878	29
9606.ENSP00000325548	873	71
9606.ENSP00000336702	869	37
9606.ENSP00000341289	863	243
9606.ENSP00000256682	861	88
9606.ENSP00000440005	861	88
9606.ENSP00000247665	859	21
9606.ENSP00000347872	859	37
9606.ENSP00000393887	859	37
9606.ENSP00000265062	858	40
9606.ENSP00000270776	851	60
9606.ENSP00000362339	846	24
9606.ENSP00000420065	846	29
9606.ENSP00000290378	832	316
9606.ENSP00000438144	832	30
9606.ENSP00000345230	832	63
9606.ENSP00000205948	831	45
9606.ENSP00000241052	829	75
9606.ENSP00000216802	829	37
9606.ENSP00000341826	828	57
9606.ENSP00000262418	825	90
9606.ENSP00000252699	823	196
9606.ENSP00000307940	816	118
9606.ENSP00000385385	808	42
9606.ENSP00000305556	805	42
9606.ENSP00000327801	802	71
9606.ENSP00000432083	799	111
9606.ENSP00000349428	789	48
9606.ENSP00000355645	783	310
9606.ENSP00000402373	782	307
9606.ENSP00000429301	781	22
9606.ENSP00000335153	780	154
9606.ENSP00000345848	777	21
9606.ENSP00000168216	774	35
9606.ENSP00000316176	774	19
9606.ENSP00000354826	772	74
9606.ENSP00000362308	770	17
9606.ENSP00000421725	770	71
9606.ENSP00000376886	765	46
9606.ENSP00000392330	765	35
9606.ENSP00000357709	763	11
9606.ENSP00000357722	763	17
9606.ENSP00000298510	759	32
9606.ENSP00000337060	759	46
9606.ENSP00000451112	757	21
9606.ENSP00000359991	752	41
9606.ENSP00000217426	752	49
9606.ENSP00000383003	750	9
9606.ENSP00000362329	744	38
9606.ENSP00000325240	739	32
9606.ENSP00000299633	738	22
9606.ENSP00000250559	738	42
9606.ENSP00000211998	734	146
9606.ENSP00000367992	733	30
9606.ENSP00000236671	731	68
9606.ENSP00000386857	729	300
