#id: 2526331855
#name: H.sapiens - Fallopian tube, SC (Wilhelm,nature,2014)
#score: 13.0
#weight:  80%
#description: abundance based on Spectral counting, Interaction consistency score: 13.0, Coverage: 23
#organ: FALLOPIAN_TUBE
#integrated: false
#coverage: 23
#link: http://www.nature.com/nature/journal/v509/n7502/full/nature13319.html
#publication_year: 2014
#filename: 9606-tube_Wilhelm_2014_Maxquant.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
4437206	9606.ENSP00000295897	35851	5398
4449622	9606.ENSP00000432282	25785	1317
4433451	9606.ENSP00000229239	13781	740
4448813	9606.ENSP00000416066	12970	1209
4439524	9606.ENSP00000322421	11242	685
4434183	9606.ENSP00000251595	11242	685
4434224	9606.ENSP00000252456	9536	512
4450181	9606.ENSP00000446007	9256	1152
4442549	9606.ENSP00000354826	8282	942
4445033	9606.ENSP00000367542	7308	476
4433668	9606.ENSP00000236850	7082	560
4435927	9606.ENSP00000270142	7064	147
4440511	9606.ENSP00000333994	6817	535
4441512	9606.ENSP00000345347	6688	222
4444297	9606.ENSP00000363071	6360	798
4442096	9606.ENSP00000351022	6233	371
4443409	9606.ENSP00000358866	6162	3737
4451332	9606.ENSP00000478828	6026	79
4446837	9606.ENSP00000381607	5599	226
4442857	9606.ENSP00000356275	5447	193
4449041	9606.ENSP00000419425	5058	223
4434700	9606.ENSP00000259396	5016	220
4441216	9606.ENSP00000342026	4686	261
4433634	9606.ENSP00000234590	4678	437
4447279	9606.ENSP00000385834	4642	905
4437297	9606.ENSP00000296511	4527	367
4440919	9606.ENSP00000339063	4379	474
4449553	9606.ENSP00000430656	4230	256
4437548	9606.ENSP00000299198	4227	283
4434216	9606.ENSP00000252244	4050	758
4435881	9606.ENSP00000269321	4028	94
4434854	9606.ENSP00000261313	3843	132
4449639	9606.ENSP00000432660	3760	167
4434059	9606.ENSP00000248553	3706	220
4448989	9606.ENSP00000418770	3441	145
4437770	9606.ENSP00000301522	3179	131
4434352	9606.ENSP00000254301	3114	106
4435671	9606.ENSP00000265983	3110	324
4435133	9606.ENSP00000262746	3003	170
4450866	9606.ENSP00000468057	2969	79
4445267	9606.ENSP00000369071	2935	550
4432848	9606.ENSP00000211998	2926	708
4441580	9606.ENSP00000346032	2889	266
4435898	9606.ENSP00000269576	2848	513
4433456	9606.ENSP00000229270	2814	233
4433951	9606.ENSP00000245907	2809	1229
4441502	9606.ENSP00000345230	2796	246
4441634	9606.ENSP00000346550	2791	399
4441649	9606.ENSP00000346694	2779	179
4435415	9606.ENSP00000264335	2743	237
4433993	9606.ENSP00000246662	2705	281
4444160	9606.ENSP00000362413	2678	234
4444989	9606.ENSP00000367263	2651	3909
4445365	9606.ENSP00000369654	2568	313
4449581	9606.ENSP00000431254	2564	155
4441991	9606.ENSP00000349960	2472	808
4450595	9606.ENSP00000458162	2413	803
4445651	9606.ENSP00000371554	2391	92
4435245	9606.ENSP00000263368	2370	89
4437619	9606.ENSP00000300026	2362	98
4437604	9606.ENSP00000299767	2350	420
4432629	9606.ENSP00000052754	2270	201
4449851	9606.ENSP00000438144	2265	116
4444265	9606.ENSP00000362924	2237	258
4448229	9606.ENSP00000402373	2197	904
4436861	9606.ENSP00000290378	2141	902
4446480	9606.ENSP00000379287	2103	191
4441808	9606.ENSP00000348170	2088	271
4437352	9606.ENSP00000296930	2071	78
4447434	9606.ENSP00000386857	2044	865
4443983	9606.ENSP00000361711	1962	52
4438214	9606.ENSP00000306361	1962	381
4438237	9606.ENSP00000306606	1949	238
4442353	9606.ENSP00000353408	1899	294
4442723	9606.ENSP00000355645	1897	853
4446672	9606.ENSP00000380489	1880	81
4445428	9606.ENSP00000370010	1879	4
4444796	9606.ENSP00000366109	1850	156
4443770	9606.ENSP00000360609	1823	456
4447823	9606.ENSP00000393887	1808	94
4442612	9606.ENSP00000355124	1798	301
4435459	9606.ENSP00000264613	1773	380
4442467	9606.ENSP00000354468	1755	104
4442941	9606.ENSP00000356671	1746	147
4445799	9606.ENSP00000373487	1745	170
4441938	9606.ENSP00000349541	1744	128
4446386	9606.ENSP00000378669	1706	157
4433003	9606.ENSP00000217182	1697	321
4451239	9606.ENSP00000477781	1688	51
4440740	9606.ENSP00000336829	1688	217
4435725	9606.ENSP00000266718	1663	155
4446501	9606.ENSP00000379386	1656	140
4439653	9606.ENSP00000323929	1644	631
4450285	9606.ENSP00000449404	1637	330
4443118	9606.ENSP00000357516	1619	196
4446258	9606.ENSP00000377833	1613	145
4438847	9606.ENSP00000313199	1613	75
4439747	9606.ENSP00000325240	1597	98
4440915	9606.ENSP00000339001	1596	471
4448110	9606.ENSP00000400175	1589	82
4450150	9606.ENSP00000445175	1577	154
4450191	9606.ENSP00000446215	1575	75
4438640	9606.ENSP00000310861	1570	412
4451107	9606.ENSP00000474560	1565	75
4437436	9606.ENSP00000297785	1557	167
4446531	9606.ENSP00000379616	1519	744
4440643	9606.ENSP00000335153	1512	454
4439337	9606.ENSP00000320171	1505	188
4440087	9606.ENSP00000329243	1485	265
4442357	9606.ENSP00000353452	1458	572
4436857	9606.ENSP00000290349	1456	119
4437273	9606.ENSP00000296412	1455	93
4433984	9606.ENSP00000246533	1415	63
4433964	9606.ENSP00000246069	1395	85
4433035	9606.ENSP00000217971	1380	47
4443076	9606.ENSP00000357283	1379	257
4441496	9606.ENSP00000345179	1368	68
4451678	9606.ENSP00000482472	1333	158
4442633	9606.ENSP00000355228	1323	8
4443033	9606.ENSP00000357076	1317	113
