#id: 2261468430
#name: Bos taurus - Whole organism, SC (Peptideatlas,dec,2011)
#score: 7.3
#description: abundance based on Spectral counting, Interaction consistency score: 7.3, Coverage: 12
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 12
#link: http://www.peptideatlas.org/builds/
#publication_year: 2011
#filename: 9913-PA_201112.txt
#
#string_external_id	abundance	raw_spectral_count
9913.ENSBTAP00000019538	173795	24155
9913.ENSBTAP00000003409	76386	4611
9913.ENSBTAP00000010119	64471	11247
9913.ENSBTAP00000022763	35547	21107
9913.ENSBTAP00000033392	32870	15560
9913.ENSBTAP00000004737	32870	15560
9913.ENSBTAP00000043063	29832	6081
9913.ENSBTAP00000007701	24577	1440
9913.ENSBTAP00000028685	23772	2460
9913.ENSBTAP00000037374	23758	5540
9913.ENSBTAP00000022034	23758	5540
9913.ENSBTAP00000008132	15816	9578
9913.ENSBTAP00000009469	8769	2027
9913.ENSBTAP00000015883	8768	1249
9913.ENSBTAP00000006590	8447	2195
9913.ENSBTAP00000036739	7072	6210
9913.ENSBTAP00000025561	5918	335
9913.ENSBTAP00000021256	5469	1256
9913.ENSBTAP00000007504	5389	7978
9913.ENSBTAP00000037577	5349	699
9913.ENSBTAP00000020520	4914	5789
9913.ENSBTAP00000019461	4909	7917
9913.ENSBTAP00000054269	4756	538
9913.ENSBTAP00000041617	4714	1093
9913.ENSBTAP00000006532	4707	7528
9913.ENSBTAP00000043833	4630	72
9913.ENSBTAP00000000673	4547	767
9913.ENSBTAP00000017140	4474	1029
9913.ENSBTAP00000043502	3874	828
9913.ENSBTAP00000012655	3815	961
9913.ENSBTAP00000027348	3637	1131
9913.ENSBTAP00000054812	3635	1645
9913.ENSBTAP00000020148	3353	107
9913.ENSBTAP00000026750	3121	716
9913.ENSBTAP00000008523	3031	304
9913.ENSBTAP00000042255	3022	594
9913.ENSBTAP00000042747	2951	238
9913.ENSBTAP00000012523	2932	113
9913.ENSBTAP00000011364	2910	678
9913.ENSBTAP00000018855	2898	338
9913.ENSBTAP00000000589	2743	76
9913.ENSBTAP00000004751	2666	350
9913.ENSBTAP00000014304	2650	362
9913.ENSBTAP00000022375	2586	380
9913.ENSBTAP00000007943	2571	763
9913.ENSBTAP00000007127	2523	8
9913.ENSBTAP00000002674	2481	579
9913.ENSBTAP00000015996	2430	165
9913.ENSBTAP00000050256	2424	1663
9913.ENSBTAP00000055471	2421	1298
9913.ENSBTAP00000015944	2410	121
9913.ENSBTAP00000024572	2398	1125
9913.ENSBTAP00000027941	2316	889
9913.ENSBTAP00000026747	2291	166
9913.ENSBTAP00000055469	2288	267
9913.ENSBTAP00000016712	2267	129
9913.ENSBTAP00000016359	2218	337
9913.ENSBTAP00000034497	2202	182
9913.ENSBTAP00000054283	2200	498
9913.ENSBTAP00000032915	2196	340
9913.ENSBTAP00000002326	2116	135
9913.ENSBTAP00000047181	2110	477
9913.ENSBTAP00000016774	2099	168
9913.ENSBTAP00000009699	1980	170
9913.ENSBTAP00000055431	1976	705
9913.ENSBTAP00000046041	1947	359
9913.ENSBTAP00000000079	1911	284
9913.ENSBTAP00000017854	1788	358
9913.ENSBTAP00000017710	1760	805
9913.ENSBTAP00000033750	1755	265
9913.ENSBTAP00000010838	1731	148
9913.ENSBTAP00000024749	1715	178
9913.ENSBTAP00000020111	1704	326
9913.ENSBTAP00000044619	1630	634
9913.ENSBTAP00000009564	1622	969
9913.ENSBTAP00000028602	1527	246
9913.ENSBTAP00000000289	1500	634
