#id: 3749887929
#name: S.enterica - Whole organism, SC (Gpm,aug,2014)
#score: 9.5
#weight:  100%
#description: abundance based on Spectral counting, Interaction consistency score: 9.5, Coverage: 38
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 38
#link: http://www.thegpm.org/
#publication_year: 2014
#filename: 99287-GPM_201408.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
60268830	99287.STM4170	27109	3873
60266132	99287.STM1377	20978	5534
60265237	99287.STM0451	20210	2032
60268806	99287.STM4146	19443	46938
60268139	99287.STM3445	19443	46938
60269208	99287.STM4561	19142	10345
60268985	99287.STM4330	17796	25755
60265834	99287.STM1070	17653	15879
60268812	99287.STM4152	16577	4428
60267511	99287.STM2795	15644	4974
60266454	99287.STM1705	14355	2013
60268896	99287.STM4240	12980	686
60265598	99287.STM0831	12019	5235
60266263	99287.STM1513	12016	1315
60266500	99287.STM1751	11449	2375
60266478	99287.STM1729	11131	4034
60266046	99287.STM1290	9879	8143
60265883	99287.STM1121	8707	992
60265251	99287.STM0465	7938	3823
60266702	99287.STM1959	7783	22856
60265529	99287.STM0759	7539	1594
60266477	99287.STM1728	6873	1036
60268141	99287.STM3447	6865	1929
60267488	99287.STM2771	6844	20566
60264838	99287.STM0043	6763	588
60268984	99287.STM4329	6538	1906
60268121	99287.STM3427	6367	304
60268122	99287.STM3428	6364	2137
60268126	99287.STM3432	6297	802
60269045	99287.STM4393	6128	467
60265747	99287.STM0982	5850	585
60265006	99287.STM0211	5574	876
60267663	99287.STM2952	5406	6779
60266479	99287.STM1730	5405	2869
60268108	99287.STM3414	5250	773
60268555	99287.STM3865	5196	7739
60268127	99287.STM3433	5165	992
60265202	99287.STM0417	5163	1754
60266131	99287.STM1376	5162	3230
60268118	99287.STM3424	4905	768
60268811	99287.STM4151	4877	1554
60266958	99287.STM2224	4796	858
60265020	99287.STM0225	4660	1802
60267158	99287.STM2433	4635	2316
60268112	99287.STM3418	4587	953
60268134	99287.STM3440	4472	1960
60267692	99287.STM2983	4464	1133
60268059	99287.STM3359	4438	3931
60268110	99287.STM3416	4374	1624
60268129	99287.STM3435	4317	807
60266480	99287.STM1731	4315	2433
60268115	99287.STM3421	4272	1283
60268128	99287.STM3434	4197	1581
60267043	99287.STM2311	4188	1318
60267393	99287.STM2673	4161	889
60267933	99287.STM3229	4104	934
60265151	99287.STM0366	4092	946
60265012	99287.STM0217	4079	2968
60268135	99287.STM3441	4032	931
60266583	99287.STM1837	4012	1006
60268117	99287.STM3423	4007	2289
60265541	99287.STM0772	3991	2288
60266314	99287.STM1565	3939	470
60269091	99287.STM4439	3935	1074
60268140	99287.STM3446	3923	7665
60269046	99287.STM4394	3902	1354
60267156	99287.STM2431	3848	699
60266005	99287.STM1246	3838	3029
60266481	99287.STM1732	3791	2377
60265998	99287.STM1238	3780	2784
60264877	99287.STM0082	3662	1184
60267000	99287.STM2267	3620	4383
60268557	99287.STM3867	3499	4825
60266794	99287.STM2059	3419	390
60267775	99287.STM3069	3419	4050
60268243	99287.STM3552	3362	1814
