#id: 2716974510
#name: Ovis aries - Uterine fluid, NSAF (Soleilhavoupetal,molcellproteomics2015)
#score: 2.9
#description: abundance based on NSAF, Interaction consistency score: 2.9, Coverage: 1
#organ: UTERINE_FLUID
#integrated: false
#coverage: 1
#link: http://www.ncbi.nlm.nih.gov/pubmed/26518761
#publication_year: 2015
#filename: 9940-PXD000299_uterine_fluid_luteal_phase.txt
#
#string_external_id	abundance
9940.ENSOARP00000014782	415303
9940.ENSOARP00000005423	97325
9940.ENSOARP00000020383	35769
9940.ENSOARP00000009080	31079
9940.ENSOARP00000013575	17179
9940.ENSOARP00000005881	13418
9940.ENSOARP00000002929	10959
9940.ENSOARP00000010235	10537
9940.ENSOARP00000004171	10271
9940.ENSOARP00000020586	10151
9940.ENSOARP00000003468	10018
9940.ENSOARP00000005822	8957
9940.ENSOARP00000013878	8608
9940.ENSOARP00000004761	8342
9940.ENSOARP00000013892	8029
9940.ENSOARP00000022381	7981
9940.ENSOARP00000004428	7860
9940.ENSOARP00000011580	7342
9940.ENSOARP00000003460	7330
9940.ENSOARP00000015963	7173
9940.ENSOARP00000010027	6787
9940.ENSOARP00000012699	6691
9940.ENSOARP00000001787	6534
9940.ENSOARP00000013117	6534
9940.ENSOARP00000020034	6365
9940.ENSOARP00000013073	6317
9940.ENSOARP00000004505	6028
9940.ENSOARP00000016266	5883
9940.ENSOARP00000011910	5775
9940.ENSOARP00000015459	5618
9940.ENSOARP00000015915	5413
9940.ENSOARP00000007318	5244
9940.ENSOARP00000013240	5075
9940.ENSOARP00000014569	4907
9940.ENSOARP00000003155	4774
9940.ENSOARP00000002427	4533
9940.ENSOARP00000022246	4497
9940.ENSOARP00000005864	4256
9940.ENSOARP00000019868	4195
9940.ENSOARP00000022056	3846
9940.ENSOARP00000013613	3701
9940.ENSOARP00000019304	3617
9940.ENSOARP00000019439	3508
9940.ENSOARP00000000124	3496
9940.ENSOARP00000021923	3448
9940.ENSOARP00000008476	3364
9940.ENSOARP00000006793	3159
9940.ENSOARP00000020336	3002
9940.ENSOARP00000013752	2978
9940.ENSOARP00000008686	2954
9940.ENSOARP00000020200	2869
9940.ENSOARP00000008665	2809
9940.ENSOARP00000006993	2749
9940.ENSOARP00000007515	2700
9940.ENSOARP00000015780	2664
9940.ENSOARP00000001973	2508
9940.ENSOARP00000022235	2508
9940.ENSOARP00000003118	2375
9940.ENSOARP00000010303	2279
9940.ENSOARP00000006586	2254
9940.ENSOARP00000021780	2254
9940.ENSOARP00000000489	2206
9940.ENSOARP00000004710	2206
9940.ENSOARP00000014218	2206
9940.ENSOARP00000014236	2206
9940.ENSOARP00000006527	2062
9940.ENSOARP00000004463	1941
9940.ENSOARP00000004803	1929
9940.ENSOARP00000001882	1917
9940.ENSOARP00000003143	1760
9940.ENSOARP00000009202	1700
9940.ENSOARP00000005065	1664
9940.ENSOARP00000010038	1628
9940.ENSOARP00000006211	1591
9940.ENSOARP00000010837	1531
9940.ENSOARP00000021549	1519
9940.ENSOARP00000008691	1507
9940.ENSOARP00000009630	1483
9940.ENSOARP00000010651	1447
9940.ENSOARP00000011026	1435
9940.ENSOARP00000012978	1435
9940.ENSOARP00000014769	1386
9940.ENSOARP00000021468	1362
9940.ENSOARP00000020086	1338
9940.ENSOARP00000016247	1326
9940.ENSOARP00000001651	1254
9940.ENSOARP00000011485	1230
9940.ENSOARP00000016287	1218
9940.ENSOARP00000006704	1206
9940.ENSOARP00000017968	1206
9940.ENSOARP00000019294	1194
9940.ENSOARP00000004985	1133
9940.ENSOARP00000006485	1133
9940.ENSOARP00000012635	1133
9940.ENSOARP00000004609	1097
9940.ENSOARP00000019654	1073
9940.ENSOARP00000001097	1037
9940.ENSOARP00000002250	989
9940.ENSOARP00000012160	964
9940.ENSOARP00000018330	952
9940.ENSOARP00000018686	916
9940.ENSOARP00000007961	904
9940.ENSOARP00000008507	904
9940.ENSOARP00000021391	892
9940.ENSOARP00000018231	880
9940.ENSOARP00000013317	868
9940.ENSOARP00000022421	832
9940.ENSOARP00000006579	820
9940.ENSOARP00000005070	808
9940.ENSOARP00000009937	808
9940.ENSOARP00000018873	772
9940.ENSOARP00000011098	699
9940.ENSOARP00000020608	663
9940.ENSOARP00000015280	627
9940.ENSOARP00000013845	615
9940.ENSOARP00000010543	603
9940.ENSOARP00000022685	603
9940.ENSOARP00000019919	567
9940.ENSOARP00000002125	543
9940.ENSOARP00000021201	543
9940.ENSOARP00000007408	530
9940.ENSOARP00000002651	518
9940.ENSOARP00000011880	518
9940.ENSOARP00000015893	518
9940.ENSOARP00000021664	518
9940.ENSOARP00000020149	506
9940.ENSOARP00000018234	494
9940.ENSOARP00000007478	482
9940.ENSOARP00000014654	482
9940.ENSOARP00000019140	482
9940.ENSOARP00000009491	458
9940.ENSOARP00000014498	458
9940.ENSOARP00000021574	458
9940.ENSOARP00000009685	434
9940.ENSOARP00000020156	422
9940.ENSOARP00000012368	410
9940.ENSOARP00000013387	410
9940.ENSOARP00000020967	398
9940.ENSOARP00000015496	386
9940.ENSOARP00000011923	374
9940.ENSOARP00000016369	374
9940.ENSOARP00000003445	362
9940.ENSOARP00000012171	362
9940.ENSOARP00000004823	350
9940.ENSOARP00000019956	350
9940.ENSOARP00000005503	338
9940.ENSOARP00000017958	338
9940.ENSOARP00000001607	313
9940.ENSOARP00000004316	313
9940.ENSOARP00000007214	301
9940.ENSOARP00000009640	301
9940.ENSOARP00000001683	277
9940.ENSOARP00000018311	277
9940.ENSOARP00000019364	277
9940.ENSOARP00000020993	277
9940.ENSOARP00000022035	277
9940.ENSOARP00000004472	265
9940.ENSOARP00000017506	265
9940.ENSOARP00000018619	265
9940.ENSOARP00000007618	253
9940.ENSOARP00000010904	253
9940.ENSOARP00000019273	253
9940.ENSOARP00000000808	241
9940.ENSOARP00000006820	241
9940.ENSOARP00000007203	241
9940.ENSOARP00000020962	241
9940.ENSOARP00000005603	229
9940.ENSOARP00000013052	229
9940.ENSOARP00000017581	229
9940.ENSOARP00000010489	217
9940.ENSOARP00000007149	205
9940.ENSOARP00000010588	205
9940.ENSOARP00000012561	205
9940.ENSOARP00000013155	205
9940.ENSOARP00000015465	205
9940.ENSOARP00000019414	205
9940.ENSOARP00000019897	205
9940.ENSOARP00000022138	205
9940.ENSOARP00000005726	193
9940.ENSOARP00000009652	181
9940.ENSOARP00000022564	181
9940.ENSOARP00000004395	169
9940.ENSOARP00000009322	169
9940.ENSOARP00000022043	169
9940.ENSOARP00000007131	157
9940.ENSOARP00000021118	157
9940.ENSOARP00000009328	145
9940.ENSOARP00000018226	145
9940.ENSOARP00000020647	145
9940.ENSOARP00000000144	133
9940.ENSOARP00000002279	133
9940.ENSOARP00000005755	133
9940.ENSOARP00000012126	133
9940.ENSOARP00000000452	109
9940.ENSOARP00000014444	109
9940.ENSOARP00000015018	109
9940.ENSOARP00000003591	96.4
9940.ENSOARP00000004517	96.4
9940.ENSOARP00000014528	96.4
9940.ENSOARP00000018173	96.4
9940.ENSOARP00000022299	96.4
9940.ENSOARP00000017999	84.4
9940.ENSOARP00000001033	72.3
9940.ENSOARP00000003296	72.3
9940.ENSOARP00000004272	72.3
9940.ENSOARP00000007807	72.3
