#id: 479954155
#name: Ovis aries - Uterine cervix, NSAF (Soleilhavoupetal,molcellproteomics2015)
#score: 2.8
#description: abundance based on NSAF, Interaction consistency score: 2.8, Coverage: 1
#organ: UTERINE_CERVIX
#integrated: false
#coverage: 1
#link: http://www.ncbi.nlm.nih.gov/pubmed/26518761
#publication_year: 2015
#filename: 9940-PXD000299_uterine_fluid_oestrus_phase.txt
#
#internal_id	string_external_id	abundance
4892086	9940.ENSOARP00000014782	477593
4886854	9940.ENSOARP00000009080	46185
4883491	9940.ENSOARP00000005423	34670
4887013	9940.ENSOARP00000009256	23191
4897219	9940.ENSOARP00000020383	22092
4887722	9940.ENSOARP00000010027	15370
4889459	9940.ENSOARP00000011910	12961
4883910	9940.ENSOARP00000005881	11849
4890991	9940.ENSOARP00000013575	11503
4882354	9940.ENSOARP00000004171	10836
4893168	9940.ENSOARP00000015963	10725
4891271	9940.ENSOARP00000013878	9971
4898742	9940.ENSOARP00000022056	8810
4897400	9940.ENSOARP00000020586	8291
4891283	9940.ENSOARP00000013892	8019
4883858	9940.ENSOARP00000005822	7722
4884568	9940.ENSOARP00000006586	7426
4890525	9940.ENSOARP00000013073	7030
4891894	9940.ENSOARP00000014569	6796
4881418	9940.ENSOARP00000003143	6338
4884760	9940.ENSOARP00000006793	6240
4892701	9940.ENSOARP00000015459	6215
4880179	9940.ENSOARP00000001787	5782
4880355	9940.ENSOARP00000001973	5622
4896356	9940.ENSOARP00000019439	5152
4883166	9940.ENSOARP00000005065	4955
4896903	9940.ENSOARP00000020034	4955
4896750	9940.ENSOARP00000019868	4918
4878641	9940.ENSOARP00000000124	4658
4893448	9940.ENSOARP00000016266	4436
4883895	9940.ENSOARP00000005864	4386
4899037	9940.ENSOARP00000022381	4386
4891156	9940.ENSOARP00000013752	4324
4886296	9940.ENSOARP00000008476	4263
4889154	9940.ENSOARP00000011580	4263
4887909	9940.ENSOARP00000010235	4176
4897044	9940.ENSOARP00000020200	4176
4884218	9940.ENSOARP00000006211	4139
4891578	9940.ENSOARP00000014218	4077
4896234	9940.ENSOARP00000019304	3719
4881396	9940.ENSOARP00000003118	3484
4886491	9940.ENSOARP00000008686	3484
4896089	9940.ENSOARP00000019140	3484
4898913	9940.ENSOARP00000022246	3472
4882586	9940.ENSOARP00000004428	3287
4891596	9940.ENSOARP00000014236	3225
4881220	9940.ENSOARP00000002929	3175
4891969	9940.ENSOARP00000014654	3077
4892999	9940.ENSOARP00000015780	3064
4890567	9940.ENSOARP00000013117	3027
4886471	9940.ENSOARP00000008665	3015
4894930	9940.ENSOARP00000017896	3015
4882653	9940.ENSOARP00000004505	2990
4880019	9940.ENSOARP00000001607	2792
4886964	9940.ENSOARP00000009202	2706
4898497	9940.ENSOARP00000021780	2496
4883768	9940.ENSOARP00000005726	2422
4887733	9940.ENSOARP00000010038	2397
4891027	9940.ENSOARP00000013613	2273
4884946	9940.ENSOARP00000006993	2249
4889064	9940.ENSOARP00000011485	2076
4884563	9940.ENSOARP00000006579	2014
4882615	9940.ENSOARP00000004463	1927
4896558	9940.ENSOARP00000019654	1915
4881428	9940.ENSOARP00000003155	1878
4898288	9940.ENSOARP00000021549	1779
4882842	9940.ENSOARP00000004710	1680
4886496	9940.ENSOARP00000008691	1668
4889691	9940.ENSOARP00000012160	1544
4887072	9940.ENSOARP00000009322	1520
4879544	9940.ENSOARP00000001097	1433
4887974	9940.ENSOARP00000010303	1433
4891242	9940.ENSOARP00000013845	1409
4888645	9940.ENSOARP00000011026	1384
4893430	9940.ENSOARP00000016247	1347
4894017	9940.ENSOARP00000016893	1347
4898725	9940.ENSOARP00000022035	1347
4898815	9940.ENSOARP00000022138	1347
4894998	9940.ENSOARP00000017968	1334
4897006	9940.ENSOARP00000020156	1334
4882930	9940.ENSOARP00000004803	1322
4880267	9940.ENSOARP00000001882	1297
4887368	9940.ENSOARP00000009652	1211
4894459	9940.ENSOARP00000017378	1186
4893124	9940.ENSOARP00000015915	1174
4887511	9940.ENSOARP00000009798	1137
4880492	9940.ENSOARP00000002125	1087
4881692	9940.ENSOARP00000003445	1075
4893468	9940.ENSOARP00000016287	1075
4883795	9940.ENSOARP00000005755	1001
4880604	9940.ENSOARP00000002250	964
4894645	9940.ENSOARP00000017581	964
4889660	9940.ENSOARP00000012126	939
4883096	9940.ENSOARP00000004985	927
4898144	9940.ENSOARP00000021391	927
4879225	9940.ENSOARP00000000757	902
4880630	9940.ENSOARP00000002279	890
4894004	9940.ENSOARP00000016879	890
4895337	9940.ENSOARP00000018330	890
4892076	9940.ENSOARP00000014769	865
4885327	9940.ENSOARP00000007408	840
4891136	9940.ENSOARP00000013730	840
4891833	9940.ENSOARP00000014498	840
4897564	9940.ENSOARP00000020765	840
4878789	9940.ENSOARP00000000285	828
4884515	9940.ENSOARP00000006527	815
4890167	9940.ENSOARP00000012685	803
4893761	9940.ENSOARP00000016603	803
4885390	9940.ENSOARP00000007478	791
4888469	9940.ENSOARP00000010837	791
4890094	9940.ENSOARP00000012602	778
4898732	9940.ENSOARP00000022043	778
4879852	9940.ENSOARP00000001430	741
4889470	9940.ENSOARP00000011923	729
4889430	9940.ENSOARP00000011880	704
