#id: 1149897016
#name: Ovis aries - Uterine fluid (Integrated)
#score: 4.5
#coverage: 1
#description: integrated dataset: weighted average of all Ovis aries UTERINE_FLUID: 4.5, Coverage: 1
#organ: UTERINE_FLUID
#integrated: true
#weights: PXD000299_oviduct_oestrus_phase:0.526;PXD000299_uterine_fluid_luteal_phase:0.474;
#publication_year: 2023
#filename: 9940-UTERINE_FLUID-integrated.txt
#
#internal_id	string_external_id	abundance
4892086	9940.ENSOARP00000014782	376519
4883491	9940.ENSOARP00000005423	50611
4897826	9940.ENSOARP00000021050	45603
4886854	9940.ENSOARP00000009080	36399
4882354	9940.ENSOARP00000004171	22968
4897219	9940.ENSOARP00000020383	22918
4897400	9940.ENSOARP00000020586	18552
4890991	9940.ENSOARP00000013575	16020
4889459	9940.ENSOARP00000011910	10858
4887909	9940.ENSOARP00000010235	10600
4883910	9940.ENSOARP00000005881	10487
4881220	9940.ENSOARP00000002929	9814
4883858	9940.ENSOARP00000005822	9624
4898214	9940.ENSOARP00000021469	8944
4884568	9940.ENSOARP00000006586	8420
4882586	9940.ENSOARP00000004428	8309
4880179	9940.ENSOARP00000001787	7782
4878641	9940.ENSOARP00000000124	7631
4890525	9940.ENSOARP00000013073	7616
4893168	9940.ENSOARP00000015963	7604
4886296	9940.ENSOARP00000008476	7013
4896903	9940.ENSOARP00000020034	6919
4891283	9940.ENSOARP00000013892	6848
4891271	9940.ENSOARP00000013878	6793
4890567	9940.ENSOARP00000013117	6645
4899037	9940.ENSOARP00000022381	6067
4892701	9940.ENSOARP00000015459	5630
4893448	9940.ENSOARP00000016266	5528
4891156	9940.ENSOARP00000013752	5428
4898497	9940.ENSOARP00000021780	5426
4881428	9940.ENSOARP00000003155	5217
4880827	9940.ENSOARP00000002502	4927
4881713	9940.ENSOARP00000003468	4745
4893124	9940.ENSOARP00000015915	4686
4891894	9940.ENSOARP00000014569	4623
4898742	9940.ENSOARP00000022056	4310
4884760	9940.ENSOARP00000006793	4263
4889154	9940.ENSOARP00000011580	4185
4896356	9940.ENSOARP00000019439	4011
4882889	9940.ENSOARP00000004761	3952
4883895	9940.ENSOARP00000005864	3885
4891027	9940.ENSOARP00000013613	3774
4890125	9940.ENSOARP00000012635	3606
4892999	9940.ENSOARP00000015780	3548
4881705	9940.ENSOARP00000003460	3472
4889691	9940.ENSOARP00000012160	3375
4887722	9940.ENSOARP00000010027	3215
4890179	9940.ENSOARP00000012699	3169
4891578	9940.ENSOARP00000014218	2915
4882653	9940.ENSOARP00000004505	2855
4897044	9940.ENSOARP00000020200	2837
4881418	9940.ENSOARP00000003143	2741
4889064	9940.ENSOARP00000011485	2717
4880267	9940.ENSOARP00000001882	2626
4880355	9940.ENSOARP00000001973	2615
4886491	9940.ENSOARP00000008686	2587
4896234	9940.ENSOARP00000019304	2585
4885245	9940.ENSOARP00000007318	2509
4890682	9940.ENSOARP00000013240	2467
4884946	9940.ENSOARP00000006993	2439
4882842	9940.ENSOARP00000004710	2409
4898288	9940.ENSOARP00000021549	2374
4884515	9940.ENSOARP00000006527	2328
4886471	9940.ENSOARP00000008665	2227
4882930	9940.ENSOARP00000004803	2177
4896777	9940.ENSOARP00000019897	2156
4880760	9940.ENSOARP00000002427	2147
4887974	9940.ENSOARP00000010303	2140
4898913	9940.ENSOARP00000022246	2130
4883096	9940.ENSOARP00000004985	2128
4898902	9940.ENSOARP00000022235	2123
4893430	9940.ENSOARP00000016247	2056
4896750	9940.ENSOARP00000019868	1987
4882747	9940.ENSOARP00000004609	1909
4887358	9940.ENSOARP00000009640	1836
4888469	9940.ENSOARP00000010837	1824
4882615	9940.ENSOARP00000004463	1816
4886496	9940.ENSOARP00000008691	1674
4898627	9940.ENSOARP00000021923	1633
4897127	9940.ENSOARP00000020288	1617
4883166	9940.ENSOARP00000005065	1609
4891242	9940.ENSOARP00000013845	1567
4893468	9940.ENSOARP00000016287	1562
4897173	9940.ENSOARP00000020336	1422
4896558	9940.ENSOARP00000019654	1405
4887733	9940.ENSOARP00000010038	1377
4886323	9940.ENSOARP00000008507	1376
4884563	9940.ENSOARP00000006579	1374
4897743	9940.ENSOARP00000020962	1365
