#id: 3087941123
#name: Homo sapiens - Cell line, U2os (Lundberg,msb,2010)
#score: 15.2
#description: abundance based on MAPPED_BY_AUTHORS, U2OS, Interaction consistency score: 15.2, Coverage: 27
#organ: CELL_LINE
#integrated: false
#coverage: 27
#link: http://www.ncbi.nlm.nih.gov/pubmed/21179022
#publication_year: 2010
#filename: 9606-U2OS_cellline_Lundberg_2010.txt
#
#string_external_id	abundance
9606.ENSP00000446007	17747
9606.ENSP00000360609	16108
9606.ENSP00000301072	13077
9606.ENSP00000458162	11765
9606.ENSP00000234590	11052
9606.ENSP00000432083	10458
9606.ENSP00000323856	9862
9606.ENSP00000346032	9505
9606.ENSP00000229239	9062
9606.ENSP00000216181	8984
9606.ENSP00000339063	8588
9606.ENSP00000367263	8266
9606.ENSP00000367034	7964
9606.ENSP00000366974	7964
9606.ENSP00000366956	7964
9606.ENSP00000443017	7964
9606.ENSP00000320171	7193
9606.ENSP00000419425	6981
9606.ENSP00000366679	5531
9606.ENSP00000366999	5531
9606.ENSP00000341094	5531
9606.ENSP00000352119	5531
9606.ENSP00000328484	5531
9606.ENSP00000351589	5531
9606.ENSP00000339001	5323
9606.ENSP00000358866	4917
9606.ENSP00000262746	4584
9606.ENSP00000307940	4432
9606.ENSP00000379386	4351
9606.ENSP00000248553	4130
9606.ENSP00000479284	4022
9606.ENSP00000476136	4022
9606.ENSP00000215909	3988
9606.ENSP00000296511	3775
9606.ENSP00000357076	3578
9606.ENSP00000304592	3316
9606.ENSP00000327145	3247
9606.ENSP00000373620	3225
9606.ENSP00000264335	3209
9606.ENSP00000296930	3203
9606.ENSP00000357283	3197
9606.ENSP00000479606	3124
9606.ENSP00000254810	3109
9606.ENSP00000355657	3109
9606.ENSP00000355778	3109
9606.ENSP00000339835	3109
9606.ENSP00000358160	3109
9606.ENSP00000352252	3109
9606.ENSP00000252699	2896
9606.ENSP00000324173	2892
9606.ENSP00000335153	2856
9606.ENSP00000353408	2821
9606.ENSP00000373487	2816
9606.ENSP00000358155	2765
9606.ENSP00000332194	2765
9606.ENSP00000286788	2749
9606.ENSP00000225655	2700
9606.ENSP00000339566	2675
9606.ENSP00000365439	2661
9606.ENSP00000381607	2630
9606.ENSP00000293831	2620
9606.ENSP00000426909	2614
9606.ENSP00000300026	2594
9606.ENSP00000432660	2591
9606.ENSP00000304697	2531
9606.ENSP00000441543	2531
9606.ENSP00000388107	2531
9606.ENSP00000272317	2531
9606.ENSP00000379287	2508
9606.ENSP00000346694	2499
9606.ENSP00000327801	2459
9606.ENSP00000446215	2457
9606.ENSP00000318195	2448
9606.ENSP00000340989	2283
9606.ENSP00000341826	2282
9606.ENSP00000350090	2282
9606.ENSP00000377192	2263
9606.ENSP00000357516	2239
9606.ENSP00000262982	2232
9606.ENSP00000283179	2196
9606.ENSP00000311430	2051
9606.ENSP00000351777	2050
9606.ENSP00000262030	2034
9606.ENSP00000358151	2011
9606.ENSP00000349430	1991
9606.ENSP00000299767	1966
9606.ENSP00000346050	1926
9606.ENSP00000379888	1908
9606.ENSP00000302961	1895
9606.ENSP00000361824	1849
9606.ENSP00000377941	1843
9606.ENSP00000229270	1832
9606.ENSP00000349259	1811
9606.ENSP00000376889	1798
9606.ENSP00000360671	1719
9606.ENSP00000410059	1695
9606.ENSP00000362744	1691
9606.ENSP00000366109	1679
9606.ENSP00000361930	1677
9606.ENSP00000378669	1656
9606.ENSP00000217426	1637
9606.ENSP00000001008	1635
9606.ENSP00000449328	1627
9606.ENSP00000386857	1622
9606.ENSP00000402373	1622
9606.ENSP00000355645	1622
9606.ENSP00000290378	1622
9606.ENSP00000313199	1610
9606.ENSP00000316029	1588
9606.ENSP00000338413	1588
9606.ENSP00000278572	1578
9606.ENSP00000351646	1566
9606.ENSP00000295688	1558
9606.ENSP00000358154	1554
