#id: 1102028202
#name: P.aeruginosa - Whole organism (Integrated)
#score: 23.2
#description: integrated dataset: weighted average of all P.aeruginosa WHOLE_ORGANISM, Interaction consistency score: 23.2, Coverage: 74
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 74
#publication_year: 2022
#filename: 208964-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
63148209	208964.PA1092	23307
63151502	208964.PA4385	13158
63148896	208964.PA1777	10982
63151962	208964.PA4847	10188
63148295	208964.PA1178	9933
63151382	208964.PA4265	8327
63151394	208964.PA4277	8327
63151642	208964.PA4525	7297
63149859	208964.PA2741	6935
63151388	208964.PA4271	6147
63151684	208964.PA4568	5435
63148728	208964.PA1609	5279
63151356	208964.PA4239	5101
63152287	208964.PA5172	5046
63151374	208964.PA4257	5033
63152672	208964.PA5556	4948
63147696	208964.PA0579	4938
63151355	208964.PA4238	4788
63149971	208964.PA2853	4608
63151384	208964.PA4267	4462
63150280	208964.PA3162	4454
63152670	208964.PA5554	4407
63148923	208964.PA1804	4367
63151370	208964.PA4253	4124
63152368	208964.PA5253	4116
63151365	208964.PA4248	4113
63151375	208964.PA4258	4047
63151377	208964.PA4260	4038
63151379	208964.PA4262	4015
63151432	208964.PA4315	3986
63149741	208964.PA2623	3941
63151353	208964.PA4236	3933
63151383	208964.PA4266	3884
63152049	208964.PA4934	3572
63151380	208964.PA4263	3554
63151876	208964.PA4761	3551
63151367	208964.PA4250	3413
63150939	208964.PA3822	3401
63151363	208964.PA4246	3323
63151362	208964.PA4245	3232
63152286	208964.PA5171	3216
63150773	208964.PA3656	3209
63151371	208964.PA4254	3196
63151373	208964.PA4256	3173
63151368	208964.PA4251	3118
63152175	208964.PA5060	3105
63151386	208964.PA4269	3100
63149878	208964.PA2760	3070
63152050	208964.PA4935	3005
63151387	208964.PA4270	2981
63151390	208964.PA4273	2880
63148707	208964.PA1588	2860
63150907	208964.PA3790	2851
63149785	208964.PA2667	2835
63150070	208964.PA2952	2820
63150085	208964.PA2967	2820
63147117	208964.PA0002	2803
63151184	208964.PA4067	2792
63148706	208964.PA1587	2788
63148702	208964.PA1583	2745
63151361	208964.PA4244	2718
63150859	208964.PA3742	2696
63151338	208964.PA4221	2647
63151856	208964.PA4741	2633
63151679	208964.PA4563	2632
63151364	208964.PA4247	2621
63151369	208964.PA4252	2609
63152668	208964.PA5552	2606
63151549	208964.PA4432	2598
63152059	208964.PA4944	2555
63151391	208964.PA4274	2544
63151776	208964.PA4661	2528
63150862	208964.PA3745	2488
63148075	208964.PA0958	2480
63150069	208964.PA2951	2471
63150931	208964.PA3814	2426
63148705	208964.PA1586	2401
63151855	208964.PA4740	2401
63148170	208964.PA1053	2386
63147407	208964.PA0291	2349
63150084	208964.PA2966	2340
63147969	208964.PA0852	2322
63148703	208964.PA1584	2287
63151550	208964.PA4433	2286
63148919	208964.PA1800	2286
63150646	208964.PA3529	2256
63148708	208964.PA1589	2253
63151378	208964.PA4261	2249
63148090	208964.PA0973	2248
63148276	208964.PA1159	2225
63147739	208964.PA0622	2187
63149609	208964.PA2491	2156
63151786	208964.PA4671	2127
63148675	208964.PA1556	2104
63152130	208964.PA5015	2103
63150772	208964.PA3655	2097
63152431	208964.PA5316	2093
63151385	208964.PA4268	2085
63147254	208964.PA0139	2084
63151548	208964.PA4431	2073
63150426	208964.PA3309	2061
63147185	208964.PA0070	2058
63151487	208964.PA4370	2025
63151358	208964.PA4241	2018
63150094	208964.PA2976	1999
63151354	208964.PA4237	1999
63151389	208964.PA4272	1965
63147572	208964.PA0456	1955
63149517	208964.PA2398	1952
63151503	208964.PA4386	1936
63151808	208964.PA4694	1935
63152047	208964.PA4932	1921
63148671	208964.PA1553	1909
63148454	208964.PA1337	1895
63149612	208964.PA2494	1852
63151546	208964.PA4429	1837
63152161	208964.PA5046	1823
63148699	208964.PA1580	1814
63152606	208964.PA5490	1799
63147548	208964.PA0432	1772
63148906	208964.PA1787	1766
63147663	208964.PA0546	1764
63148715	208964.PA1596	1756
63152674	208964.PA5558	1749
63149120	208964.PA2001	1740
63150924	208964.PA3807	1725
63150762	208964.PA3645	1715
63149505	208964.PA2386	1665
63152057	208964.PA4942	1653
63147693	208964.PA0576	1649
63151859	208964.PA4744	1648
63150887	208964.PA3770	1634
63151116	208964.PA3999	1626
